index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
0,2023-03-31,USD,-0.11,0,-0.11,,18677400
1,2023-03-30,USD,-0.102,,,,27321700
2,2023-03-29,USD,-0.102,,,,27321700
3,2023-03-28,USD,-0.102,,,,27321700
4,2023-03-27,USD,-0.102,,,,27321700
5,2023-03-26,USD,-0.102,,,,27321700
6,2023-03-25,USD,-0.102,,,,27321700
7,2023-03-24,USD,-0.102,,,,27321700
8,2023-03-23,USD,-0.102,,,,27321700
9,2023-03-22,USD,-0.102,,,,27321700
10,2023-03-21,USD,-0.102,,,,27321700
11,2023-03-20,USD,-0.102,,,,27321700
12,2023-03-19,USD,-0.102,,,,27321700
13,2023-03-18,USD,-0.102,,,,27321700
14,2023-03-17,USD,-0.102,,,,27321700
15,2023-03-16,USD,-0.102,,,,27321700
16,2023-03-15,USD,-0.102,,,,27321700
17,2023-03-14,USD,-0.102,,,,27321700
18,2023-03-13,USD,-0.102,,,,27321700
19,2023-03-12,USD,-0.102,,,,27321700
20,2023-03-11,USD,-0.102,,,,27321700
21,2023-03-10,USD,-0.102,,,,27321700
22,2023-03-09,USD,-0.102,,,,27321700
23,2023-03-08,USD,-0.102,,,,27321700
24,2023-03-07,USD,-0.102,,,,27321700
25,2023-03-06,USD,-0.102,,,,27321700
26,2023-03-05,USD,-0.102,,,,27321700
27,2023-03-04,USD,-0.102,,,,27321700
28,2023-03-03,USD,-0.102,,,,27321700
29,2023-03-02,USD,-0.102,,,,27321700
30,2023-03-01,USD,-0.102,,,,27321700
31,2023-02-28,USD,-0.102,,,,27321700
32,2023-02-27,USD,-0.102,,,,27321700
33,2023-02-26,USD,-0.102,,,,27321700
34,2023-02-25,USD,-0.102,,,,27321700
35,2023-02-24,USD,-0.102,,,,27321700
36,2023-02-23,USD,-0.102,,,,27321700
37,2023-02-22,USD,-0.102,,,,27321700
38,2023-02-21,USD,-0.102,,,,27321700
39,2023-02-20,USD,-0.102,,,,27321700
40,2023-02-19,USD,-0.102,,,,27321700
41,2023-02-18,USD,-0.102,,,,27321700
42,2023-02-17,USD,-0.102,,,,27321700
43,2023-02-16,USD,-0.102,,,,27321700
44,2023-02-15,USD,-0.102,,,,27321700
45,2023-02-14,USD,-0.102,,,,27321700
46,2023-02-13,USD,-0.102,,,,27321700
47,2023-02-12,USD,-0.102,,,,27321700
48,2023-02-11,USD,-0.102,,,,27321700
49,2023-02-10,USD,-0.102,,,,27321700
50,2023-02-09,USD,-0.102,,,,27321700
51,2023-02-08,USD,-0.102,,,,27321700
52,2023-02-07,USD,-0.102,,,,27321700
53,2023-02-06,USD,-0.102,,,,27321700
54,2023-02-05,USD,-0.102,,,,27321700
55,2023-02-04,USD,-0.102,,,,27321700
56,2023-02-03,USD,-0.102,,,,27321700
57,2023-02-02,USD,-0.102,,,,27321700
58,2023-02-01,USD,-0.102,,,,27321700
59,2023-01-31,USD,-0.102,,,,27321700
60,2023-01-30,USD,-0.102,,,,27321700
61,2023-01-29,USD,-0.102,,,,27321700
62,2023-01-28,USD,-0.102,,,,27321700
63,2023-01-27,USD,-0.102,,,,27321700
64,2023-01-26,USD,-0.102,,,,27321700
65,2023-01-25,USD,-0.102,,,,27321700
66,2023-01-24,USD,-0.102,,,,27321700
67,2023-01-23,USD,-0.102,,,,27321700
68,2023-01-22,USD,-0.102,,,,27321700
69,2023-01-21,USD,-0.102,,,,27321700
70,2023-01-20,USD,-0.102,,,,27321700
71,2023-01-19,USD,-0.102,,,,27321700
72,2023-01-18,USD,-0.102,,,,27321700
73,2023-01-17,USD,-0.102,,,,27321700
74,2023-01-16,USD,-0.102,,,,27321700
75,2023-01-15,USD,-0.102,,,,27321700
76,2023-01-14,USD,-0.102,,,,27321700
77,2023-01-13,USD,-0.102,,,,27321700
78,2023-01-12,USD,-0.102,,,,27321700
79,2023-01-11,USD,-0.102,,,,27321700
80,2023-01-10,USD,-0.102,,,,27321700
81,2023-01-09,USD,-0.102,,,,27321700
82,2023-01-08,USD,-0.102,,,,27321700
83,2023-01-07,USD,-0.102,,,,27321700
84,2023-01-06,USD,-0.102,,,,27321700
85,2023-01-05,USD,-0.102,,,,27321700
86,2023-01-04,USD,-0.102,,,,27321700
87,2023-01-03,USD,-0.102,,,,27321700
88,2023-01-02,USD,-0.102,,,,27321700
89,2023-01-01,USD,-0.102,,,,27321700
90,2022-12-31,USD,-0.102,,,,27321700
91,2022-12-30,USD,-0.03,,,,27321700
92,2022-12-29,USD,-0.03,,,,27321700
93,2022-12-28,USD,-0.03,,,,27321700
94,2022-12-27,USD,-0.03,,,,27321700
95,2022-12-26,USD,-0.03,,,,27321700
96,2022-12-25,USD,-0.03,,,,27321700
97,2022-12-24,USD,-0.03,,,,27321700
98,2022-12-23,USD,-0.03,,,,27321700
99,2022-12-22,USD,-0.03,,,,27321700
100,2022-12-21,USD,-0.03,,,,27321700
101,2022-12-20,USD,-0.03,,,,27321700
102,2022-12-19,USD,-0.03,,,,27321700
103,2022-12-18,USD,-0.03,,,,27321700
104,2022-12-17,USD,-0.03,,,,27321700
105,2022-12-16,USD,-0.03,,,,27321700
106,2022-12-15,USD,-0.03,,,,27321700
107,2022-12-14,USD,-0.03,,,,27321700
108,2022-12-13,USD,-0.03,,,,27321700
109,2022-12-12,USD,-0.03,,,,27321700
110,2022-12-11,USD,-0.03,,,,27321700
111,2022-12-10,USD,-0.03,,,,27321700
112,2022-12-09,USD,-0.03,,,,27321700
113,2022-12-08,USD,-0.03,,,,27321700
114,2022-12-07,USD,-0.03,,,,27321700
115,2022-12-06,USD,-0.03,,,,27321700
116,2022-12-05,USD,-0.03,,,,27321700
