index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
213,2023-07-31,USD,-0.96,-0.86,-0.1,-11.6279,
214,2023-07-30,USD,-0.96,-0.86,-0.1,-11.6279,
215,2023-07-29,USD,-0.96,-0.86,-0.1,-11.6279,
216,2023-07-28,USD,-0.96,-0.86,-0.1,-11.6279,
217,2023-07-27,USD,-0.96,-0.86,-0.1,-11.6279,
218,2023-07-26,USD,-0.96,-0.86,-0.1,-11.6279,
219,2023-07-25,USD,-0.96,-0.86,-0.1,-11.6279,
220,2023-07-24,USD,-0.96,-0.86,-0.1,-11.6279,
221,2023-07-23,USD,-0.96,-0.86,-0.1,-11.6279,
222,2023-07-22,USD,-0.96,-0.86,-0.1,-11.6279,
223,2023-07-21,USD,-0.96,-0.86,-0.1,-11.6279,
224,2023-07-20,USD,-0.96,-0.86,-0.1,-11.6279,
225,2023-07-19,USD,-0.96,-0.86,-0.1,-11.6279,
226,2023-07-18,USD,-0.96,-0.86,-0.1,-11.6279,
227,2023-07-17,USD,-0.96,-0.86,-0.1,-11.6279,
228,2023-07-16,USD,-0.96,-0.86,-0.1,-11.6279,
229,2023-07-15,USD,-0.96,-0.86,-0.1,-11.6279,
230,2023-07-14,USD,-0.96,-0.86,-0.1,-11.6279,
231,2023-07-13,USD,-0.96,-0.86,-0.1,-11.6279,
232,2023-07-12,USD,-0.96,-0.86,-0.1,-11.6279,
233,2023-07-11,USD,-0.96,-0.86,-0.1,-11.6279,
234,2023-07-10,USD,-0.96,-0.86,-0.1,-11.6279,
235,2023-07-09,USD,-0.96,-0.86,-0.1,-11.6279,
236,2023-07-08,USD,-0.96,-0.86,-0.1,-11.6279,
237,2023-07-07,USD,-0.96,-0.86,-0.1,-11.6279,
238,2023-07-06,USD,-0.96,-0.86,-0.1,-11.6279,
239,2023-07-05,USD,-0.96,-0.86,-0.1,-11.6279,
240,2023-07-04,USD,-0.96,-0.86,-0.1,-11.6279,
241,2023-07-03,USD,-0.96,-0.86,-0.1,-11.6279,
242,2023-07-02,USD,-0.96,-0.86,-0.1,-11.6279,
243,2023-07-01,USD,-0.96,-0.86,-0.1,-11.6279,
244,2023-06-30,USD,-0.96,-0.86,-0.1,-11.6279,19197000
245,2023-06-29,USD,-0.96,-0.86,-0.1,-11.6279,19255000
246,2023-06-28,USD,-0.96,-0.86,-0.1,-11.6279,19255000
247,2023-06-27,USD,-0.96,-0.86,-0.1,-11.6279,19255000
248,2023-06-26,USD,-0.96,-0.86,-0.1,-11.6279,19255000
249,2023-06-25,USD,-0.96,-0.86,-0.1,-11.6279,19255000
250,2023-06-24,USD,-0.96,-0.86,-0.1,-11.6279,19255000
251,2023-06-23,USD,-0.96,-0.86,-0.1,-11.6279,19255000
252,2023-06-22,USD,-0.96,-0.86,-0.1,-11.6279,19255000
253,2023-06-21,USD,-0.96,-0.86,-0.1,-11.6279,19255000
254,2023-06-20,USD,-0.96,-0.86,-0.1,-11.6279,19255000
255,2023-06-19,USD,-0.96,-0.86,-0.1,-11.6279,19255000
256,2023-06-18,USD,-0.96,-0.86,-0.1,-11.6279,19255000
257,2023-06-17,USD,-0.96,-0.86,-0.1,-11.6279,19255000
258,2023-06-16,USD,-0.96,-0.86,-0.1,-11.6279,19255000
259,2023-06-15,USD,-0.96,-0.86,-0.1,-11.6279,19255000
260,2023-06-14,USD,-0.96,-0.86,-0.1,-11.6279,19255000
261,2023-06-13,USD,-0.96,-0.86,-0.1,-11.6279,19255000
262,2023-06-12,USD,-0.96,-0.86,-0.1,-11.6279,19255000
263,2023-06-11,USD,-0.96,-0.86,-0.1,-11.6279,19255000
264,2023-06-10,USD,-0.96,-0.86,-0.1,-11.6279,19255000
265,2023-06-09,USD,-0.96,-0.86,-0.1,-11.6279,19255000
266,2023-06-08,USD,-0.96,-0.86,-0.1,-11.6279,19255000
267,2023-06-07,USD,-0.96,-0.86,-0.1,-11.6279,19255000
268,2023-06-06,USD,-0.96,-0.86,-0.1,-11.6279,19255000
269,2023-06-05,USD,-0.96,-0.86,-0.1,-11.6279,19255000
270,2023-06-04,USD,-0.96,-0.86,-0.1,-11.6279,19255000
271,2023-06-03,USD,-0.96,-0.86,-0.1,-11.6279,19255000
272,2023-06-02,USD,-0.96,-0.86,-0.1,-11.6279,19255000
273,2023-06-01,USD,-0.96,-0.86,-0.1,-11.6279,19255000
274,2023-05-31,USD,-0.96,-0.86,-0.1,-11.6279,19255000
275,2023-05-30,USD,0.59,0.49,0.1,20.4082,19255000
276,2023-05-29,USD,0.59,0.49,0.1,20.4082,19255000
277,2023-05-28,USD,0.59,0.49,0.1,20.4082,19255000
278,2023-05-27,USD,0.59,0.49,0.1,20.4082,19255000
279,2023-05-26,USD,0.59,0.49,0.1,20.4082,19255000
280,2023-05-25,USD,0.59,0.49,0.1,20.4082,19255000
281,2023-05-24,USD,0.59,0.49,0.1,20.4082,19255000
282,2023-05-23,USD,0.59,0.49,0.1,20.4082,19255000
283,2023-05-22,USD,0.59,0.49,0.1,20.4082,19255000
284,2023-05-21,USD,0.59,0.49,0.1,20.4082,19255000
285,2023-05-20,USD,0.59,0.49,0.1,20.4082,19255000
286,2023-05-19,USD,0.59,0.49,0.1,20.4082,19255000
287,2023-05-18,USD,0.59,0.49,0.1,20.4082,19255000
