index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
244,2023-07-31,USD,-0.15,-0.34,0.19,55.8824,
245,2023-07-30,USD,-0.15,-0.34,0.19,55.8824,
246,2023-07-29,USD,-0.15,-0.34,0.19,55.8824,
247,2023-07-28,USD,-0.15,-0.34,0.19,55.8824,
248,2023-07-27,USD,-0.15,-0.34,0.19,55.8824,
249,2023-07-26,USD,-0.15,-0.34,0.19,55.8824,
250,2023-07-25,USD,-0.15,-0.34,0.19,55.8824,
251,2023-07-24,USD,-0.15,-0.34,0.19,55.8824,
252,2023-07-23,USD,-0.15,-0.34,0.19,55.8824,
253,2023-07-22,USD,-0.15,-0.34,0.19,55.8824,
254,2023-07-21,USD,-0.15,-0.34,0.19,55.8824,
255,2023-07-20,USD,-0.15,-0.34,0.19,55.8824,
256,2023-07-19,USD,-0.15,-0.34,0.19,55.8824,
257,2023-07-18,USD,-0.15,-0.34,0.19,55.8824,
258,2023-07-17,USD,-0.15,-0.34,0.19,55.8824,
259,2023-07-16,USD,-0.15,-0.34,0.19,55.8824,
260,2023-07-15,USD,-0.15,-0.34,0.19,55.8824,
261,2023-07-14,USD,-0.15,-0.34,0.19,55.8824,
262,2023-07-13,USD,-0.15,-0.34,0.19,55.8824,
263,2023-07-12,USD,-0.15,-0.34,0.19,55.8824,
264,2023-07-11,USD,-0.15,-0.34,0.19,55.8824,
265,2023-07-10,USD,-0.15,-0.34,0.19,55.8824,
266,2023-07-09,USD,-0.15,-0.34,0.19,55.8824,
267,2023-07-08,USD,-0.15,-0.34,0.19,55.8824,
268,2023-07-07,USD,-0.15,-0.34,0.19,55.8824,
269,2023-07-06,USD,-0.15,-0.34,0.19,55.8824,
270,2023-07-05,USD,-0.15,-0.34,0.19,55.8824,
271,2023-07-04,USD,-0.15,-0.34,0.19,55.8824,
272,2023-07-03,USD,-0.15,-0.34,0.19,55.8824,
273,2023-07-02,USD,-0.15,-0.34,0.19,55.8824,
274,2023-07-01,USD,-0.15,-0.34,0.19,55.8824,
275,2023-06-30,USD,-0.15,-0.34,0.19,55.8824,33898200
276,2023-06-29,USD,-0.34,-0.23,-0.11,-47.8261,34466500
277,2023-06-28,USD,-0.34,-0.23,-0.11,-47.8261,34466500
278,2023-06-27,USD,-0.34,-0.23,-0.11,-47.8261,34466500
