LLM_score,date,company
1,2023-01-24T16:45:04+00:00,NBT Bancorp Inc
-1,2023-01-24T16:51:04+00:00,Red Rock Resorts Inc
0,2023-01-24T16:53:16+00:00,Fox Corporation Class A Common Stock
0,2023-01-24T16:53:16+00:00,Fox Corporation Class B Common Stock
-1,2023-01-24T16:53:16+00:00,News Corporation Class A Common Stock
-1,2023-01-24T16:53:16+00:00,News Corporation Class B Common Stock
-1,2023-01-24T16:57:00+00:00,Affirm Holdings Inc
0,2023-01-24T17:00:00+00:00,Regeneron Pharmaceuticals Inc
1,2023-01-24T17:00:05+00:00,Vir Biotechnology Inc
0,2023-01-24T17:02:00+00:00,Regeneron Pharmaceuticals Inc
0,2023-01-24T17:02:16+00:00,Fortinet Inc
0,2023-01-24T17:04:00+00:00,Netflix Inc
0,2023-01-24T17:04:00+00:00,Netflix Inc
1,2023-01-24T17:10:05+00:00,Biogen Inc
0,2023-01-24T17:10:05+00:00,Lantheus Holdings Inc
0,2023-01-24T17:10:36+00:00,Avis Budget Group Inc
1,2023-01-24T17:10:36+00:00,Chesapeake Energy Corporation Common Stock
1,2023-01-24T17:10:36+00:00,DISH Network Corporation Class A Common Stock
0,2023-01-24T17:10:36+00:00,East West Bancorp Inc
0,2023-01-24T17:10:36+00:00,Intel Corporation Common Stock
0,2023-01-24T17:10:36+00:00,Moderna Inc
1,2023-01-24T17:10:36+00:00,Nexstar Media Group Inc
0,2023-01-24T17:10:36+00:00,PacWest Bancorp Common Stock
0,2023-01-24T17:10:36+00:00,Paramount Global Class B Common Stock
0,2023-01-24T17:10:36+00:00,The Goodyear Tire & Rubber Company Common Stock
0,2023-01-24T17:10:54+00:00,Booking Holdings Inc
1,2023-01-24T17:15:05+00:00,Iovance Biotherapeutics Inc
1,2023-01-24T17:18:00+00:00,Dollar Tree Inc
-1,2023-01-24T17:22:05+00:00,United Airlines Holdings Inc
-1,2023-01-24T17:22:13+00:00,Cassava Sciences Inc
-1,2023-01-24T17:22:31+00:00,Lyft Inc
0,2023-01-24T17:22:52+00:00,Netflix Inc
-1,2023-01-24T17:26:05+00:00,Eton Pharmaceuticals Inc
0,2023-01-24T17:30:00+00:00,Funko Inc
0,2023-01-24T17:31:50+00:00,Netflix Inc
0,2023-01-24T17:43:05+00:00,AngioDynamics Inc
1,2023-01-24T17:54:00+00:00,Dollar Tree Inc
0,2023-01-24T17:57:15+00:00,Icahn Enterprises L
1,2023-01-24T17:58:10+00:00,PACCAR Inc
-1,2023-01-24T18:00:00+00:00,Enovix Corporation Common Stock
-1,2023-01-24T18:00:00+00:00,NeoGenomics Inc
1,2023-01-24T18:00:00+00:00,The Simply Good Foods Company Common Stock
-1,2023-01-24T18:00:00+00:00,Veru Inc
0,2023-01-24T18:03:21+00:00,Advanced Micro Devices Inc
0,2023-01-24T18:03:21+00:00,Icahn Enterprises L
0,2023-01-24T18:03:21+00:00,Texas Instruments Incorporated Common Stock
-1,2023-01-24T18:09:21+00:00,Cassava Sciences Inc
-1,2023-01-24T18:12:32+00:00,Zscaler Inc
0,2023-01-24T18:14:30+00:00,Costco Wholesale Corporation Common Stock
-1,2023-01-24T18:18:07+00:00,Coinbase Global Inc
0,2023-01-24T18:23:00+00:00,Paramount Global Class A Common Stock
0,2023-01-24T18:23:00+00:00,Paramount Global Class B Common Stock
-1,2023-01-24T18:31:46+00:00,Intuitive Surgical Inc
0,2023-01-24T18:37:06+00:00,PACCAR Inc
1,2023-01-24T18:39:00+00:00,C&F Financial Corporation Common Stock
0,2023-01-24T18:39:37+00:00,Paramount Global Class A Common Stock
0,2023-01-24T18:39:37+00:00,Paramount Global Class B Common Stock
0,2023-01-24T18:40:00+00:00,Marriott International Class A Common Stock
0,2023-01-24T18:43:00+00:00,Intel Corporation Common Stock
0,2023-01-24T18:44:41+00:00,Advanced Micro Devices Inc
1,2023-01-24T18:45:00+00:00,Axon Enterprise Inc
-1,2023-01-24T18:46:00+00:00,Nasdaq Inc
0,2023-01-24T18:51:00+00:00,United Airlines Holdings Inc
0,2023-01-24T18:53:06+00:00,Gilead Sciences Inc
1,2023-01-24T19:00:00+00:00,Blink Charging Co
0,2023-01-24T19:00:00+00:00,E
0,2023-01-24T19:00:00+00:00,Quantum Computing Inc
0,2023-01-24T19:00:17+00:00,Dollar Tree Inc
0,2023-01-24T19:00:55+00:00,Costco Wholesale Corporation Common Stock
0,2023-01-24T19:08:21+00:00,Bloomin' Brands Inc
0,2023-01-24T19:08:21+00:00,Cheesecake Factory Incorporated (The) Common Stock
0,2023-01-24T19:08:21+00:00,Dave & Buster's Entertainment Inc
0,2023-01-24T19:11:07+00:00,LSI Industries Inc
1,2023-01-24T19:19:33+00:00,Piedmont Lithium Inc
0,2023-01-24T19:20:43+00:00,Intel Corporation Common Stock
0,2023-01-24T19:20:43+00:00,Iridium Communications Inc Common Stock
0,2023-01-24T19:20:43+00:00,QUALCOMM Incorporated Common Stock
0,2023-01-24T19:20:43+00:00,Rocket Lab USA Inc
0,2023-01-24T19:20:43+00:00,Teradyne Inc
1,2023-01-24T19:25:00+00:00,Exelon Corporation Common Stock
0,2023-01-24T19:30:00+00:00,Carter Bankshares Inc
0,2023-01-24T19:30:00+00:00,Kimball Electronics Inc
-1,2023-01-24T19:31:00+00:00,Y-mAbs Therapeutics Inc
-1,2023-01-24T19:32:43+00:00,Taysha Gene Therapies Inc
-1,2023-01-24T19:38:00+00:00,Y-mAbs Therapeutics Inc
0,2023-01-24T19:40:00+00:00,QUALCOMM Incorporated Common Stock
-1,2023-01-24T19:41:29+00:00,Moderna Inc
0,2023-01-24T19:46:07+00:00,Advanced Micro Devices Inc
0,2023-01-24T19:46:07+00:00,QUALCOMM Incorporated Common Stock
-1,2023-01-24T19:53:00+00:00,Peloton Interactive Inc
