date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-07-31,34.79,36.66,34.36,36.63,36.63,137900,335,USD,0.28,0.25,0.03,12,
2023-07-28,34.89,35.42,34.44,34.76,34.76,91100,338,USD,0.28,0.25,0.03,12,
2023-07-27,35.5,35.74,34.4,34.55,34.55,125300,339,USD,0.28,0.25,0.03,12,
2023-07-26,34.12,35.46,34.12,35.24,35.24,109600,340,USD,0.28,0.25,0.03,12,
2023-07-25,33.9,34.44,33.63,34.32,34.32,127100,341,USD,0.28,0.25,0.03,12,
2023-07-24,34.41,34.86,33.9,34.07,34.07,135300,342,USD,0.28,0.25,0.03,12,
2023-07-21,35.05,35.05,33.91,34.47,34.47,143600,345,USD,0.28,0.25,0.03,12,
2023-07-20,34.84,35.13,33.84,34.7,34.7,109400,346,USD,0.28,0.25,0.03,12,
2023-07-19,34.89,35.55,34.47,34.77,34.77,187300,347,USD,0.28,0.25,0.03,12,
2023-07-18,33.78,34.91,33.76,34.87,34.87,178200,348,USD,0.28,0.25,0.03,12,
2023-07-17,33.39,33.83,32.8,33.62,33.62,128600,349,USD,0.28,0.25,0.03,12,
2023-07-14,32.85,33.76,32.29,33.47,33.47,146300,352,USD,0.28,0.25,0.03,12,
2023-07-13,32.98,33.2,32.26,32.7,32.7,158900,353,USD,0.28,0.25,0.03,12,
2023-07-12,33.03,33.03,32.41,32.69,32.69,100200,354,USD,0.28,0.25,0.03,12,
2023-07-11,32.16,32.66,31.85,32.07,32.07,72000,355,USD,0.28,0.25,0.03,12,
2023-07-10,30.63,32.3,30.63,32.05,32.05,138500,356,USD,0.28,0.25,0.03,12,
2023-07-07,29.97,30.96,29.97,30.74,30.74,121700,359,USD,0.28,0.25,0.03,12,
2023-07-06,30.18,30.18,29.3,29.85,29.85,217300,360,USD,0.28,0.25,0.03,12,
2023-07-05,30.9,31.13,30.07,30.58,30.58,257000,361,USD,0.28,0.25,0.03,12,
2023-07-03,31.46,31.88,30.69,31.02,31.02,55900,363,USD,0.28,0.25,0.03,12,
2023-06-30,32.7,32.85,31.5,31.6,31.6,133300,366,USD,0.28,0.25,0.03,12,47035700
2023-06-29,32.24,33.25,31.64,32.41,32.41,130800,367,USD,0.31,0.31,0,0,47167700
2023-06-28,30.98,32.37,30.98,32.27,32.27,141400,368,USD,0.31,0.31,0,0,47167700
2023-06-27,29.51,31.29,29.39,31.14,31.14,122200,369,USD,0.31,0.31,0,0,47167700
2023-06-26,29.58,30.32,29.47,29.55,29.55,111600,370,USD,0.31,0.31,0,0,47167700
2023-06-23,29.4,30.01,28.9,29.68,29.68,621800,373,USD,0.31,0.31,0,0,47167700
2023-06-22,31.09,31.69,29.62,29.74,29.74,185600,374,USD,0.31,0.31,0,0,47167700
2023-06-21,31.29,31.57,30.92,31.08,31.08,115900,375,USD,0.31,0.31,0,0,47167700
2023-06-20,30.92,31.68,30.65,31.61,31.61,137900,376,USD,0.31,0.31,0,0,47167700
2023-06-16,32.43,32.79,30.82,31.12,31.12,437300,380,USD,0.31,0.31,0,0,47167700
