date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-07-31,40.16,41.35,40.16,41.28,41.28,55900,335,USD,0.67,0.71,-0.04,-5.6338,
2023-07-28,40.28,41.4,39.9,40.11,40.11,61500,338,USD,0.67,0.71,-0.04,-5.6338,
2023-07-27,40.07,41.08,39.99,40.79,40.79,101300,339,USD,0.67,0.71,-0.04,-5.6338,
2023-07-26,38.42,40.38,37.92,39.8,39.8,430900,340,USD,0.67,0.71,-0.04,-5.6338,
2023-07-25,37.64,39.2,37.27,38.35,38.35,1420400,341,USD,0.67,0.71,-0.04,-5.6338,
2023-07-24,31.16,31.82,31.16,31.6,31.6,7000,342,USD,0.67,0.71,-0.04,-5.6338,
2023-07-21,31.99,31.99,31.06,31.06,31.06,10600,345,USD,0.67,0.71,-0.04,-5.6338,
2023-07-20,31.0,31.99,30.8,31.99,31.99,15500,346,USD,0.67,0.71,-0.04,-5.6338,
2023-07-19,30.43,31.84,30.43,31.3,31.3,12100,347,USD,0.67,0.71,-0.04,-5.6338,
2023-07-18,30.27,30.99,29.77,30.42,30.42,18000,348,USD,0.67,0.71,-0.04,-5.6338,
2023-07-17,30.14,30.89,29.67,29.93,29.93,19800,349,USD,0.67,0.71,-0.04,-5.6338,
2023-07-14,30.88,30.88,29.52,29.72,29.72,8700,352,USD,0.67,0.71,-0.04,-5.6338,
2023-07-13,30.4,30.97,30.16,30.6,30.6,7300,353,USD,0.67,0.71,-0.04,-5.6338,
2023-07-12,29.55,30.53,29.35,30.4,30.4,21300,354,USD,0.67,0.71,-0.04,-5.6338,
2023-07-11,29.75,29.75,28.91,29.41,29.41,13900,355,USD,0.67,0.71,-0.04,-5.6338,
2023-07-10,28.58,28.82,28.51,28.62,28.62,8200,356,USD,0.67,0.71,-0.04,-5.6338,
2023-07-07,27.55,28.93,27.55,28.79,28.79,33400,359,USD,0.67,0.71,-0.04,-5.6338,
2023-07-06,28.3,28.3,27.15,27.57,27.57,12600,360,USD,0.67,0.71,-0.04,-5.6338,
2023-07-05,28.93,29.0,28.38,28.41,28.41,15000,361,USD,0.67,0.71,-0.04,-5.6338,
2023-07-03,28.94,29.08,28.74,29.08,29.08,2100,363,USD,0.67,0.71,-0.04,-5.6338,
2023-06-30,29.07,29.29,28.25,28.98,28.98,20000,366,USD,0.67,0.71,-0.04,-5.6338,10624900
2023-06-29,28.71,29.02,28.45,28.8,28.8,13100,367,USD,0.86,0.8,0.06,7.5,10632700
2023-06-28,28.67,28.67,27.7,28.51,28.51,15000,368,USD,0.86,0.8,0.06,7.5,10632700
2023-06-27,29.06,29.45,28.52,28.52,28.52,16700,369,USD,0.86,0.8,0.06,7.5,10632700
2023-06-26,29.19,29.71,28.29,29.0,29.0,28400,370,USD,0.86,0.8,0.06,7.5,10632700
2023-06-23,28.19,29.71,28.03,29.44,29.44,88900,373,USD,0.86,0.8,0.06,7.5,10632700
2023-06-22,29.39,29.39,28.54,28.69,28.69,12300,374,USD,0.86,0.8,0.06,7.5,10632700
2023-06-21,29.93,30.4,29.05,29.32,29.32,18300,375,USD,0.86,0.8,0.06,7.5,10632700
2023-06-20,30.46,30.58,29.8,29.84,29.84,16700,376,USD,0.86,0.8,0.06,7.5,10632700
2023-06-16,30.91,32.48,30.26,30.7,30.7,37800,380,USD,0.86,0.8,0.06,7.5,10632700
2023-06-15,29.85,31.21,29.85,30.91,30.91,16400,381,USD,0.86,0.8,0.06,7.5,10632700
2023-06-14,30.6,31.33,30.01,30.1,30.1,21400,382,USD,0.86,0.8,0.06,7.5,10632700
2023-06-13,30.52,30.87,29.92,30.56,30.56,18000,383,USD,0.86,0.8,0.06,7.5,10632700
2023-06-12,30.73,30.83,29.87,30.32,30.32,13200,384,USD,0.86,0.8,0.06,7.5,10632700
2023-06-09,30.87,31.29,30.45,30.58,30.58,10600,387,USD,0.86,0.8,0.06,7.5,10632700
2023-06-08,31.45,31.45,30.34,30.84,30.84,19200,388,USD,0.86,0.8,0.06,7.5,10632700
