date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-07-31,1.79,1.9,1.71,1.8,1.8,115100,61,USD,0,0,0,,
2023-07-28,1.7,1.8,1.65,1.8,1.8,75000,64,USD,0,0,0,,
2023-07-27,1.75,1.776,1.66,1.71,1.71,78600,65,USD,0,0,0,,
2023-07-26,1.78,1.81,1.72,1.77,1.77,58500,66,USD,0,0,0,,
2023-07-25,1.82,1.82,1.759,1.77,1.77,54800,67,USD,0,0,0,,
2023-07-24,1.82,1.82,1.77,1.82,1.82,43000,68,USD,0,0,0,,
2023-07-21,1.75,1.845,1.75,1.81,1.81,36700,71,USD,0,0,0,,
2023-07-20,1.8,1.86,1.7,1.75,1.75,102000,72,USD,0,0,0,,
2023-07-19,1.83,1.843,1.78,1.8,1.8,46900,73,USD,0,0,0,,
2023-07-18,1.84,1.86,1.83,1.86,1.86,59200,74,USD,0,0,0,,
2023-07-17,1.86,1.89,1.781,1.85,1.85,59400,75,USD,0,0,0,,
2023-07-14,1.75,1.88,1.75,1.85,1.85,27100,78,USD,0,0,0,,
2023-07-13,1.86,1.9,1.75,1.76,1.76,80900,79,USD,0,0,0,,
2023-07-12,1.97,1.97,1.83,1.88,1.88,46000,80,USD,0,0,0,,
2023-07-11,1.86,1.92,1.86,1.92,1.92,46300,81,USD,0,0,0,,
2023-07-10,1.9,1.919,1.82,1.88,1.88,54900,82,USD,0,0,0,,
2023-07-07,1.97,1.97,1.89,1.92,1.92,60500,85,USD,0,0,0,,
2023-07-06,1.95,2.0,1.9,1.97,1.97,47000,86,USD,0,0,0,,
2023-07-05,1.99,2.0,1.91,1.95,1.95,62000,87,USD,0,0,0,,
2023-07-03,1.94,2.0,1.94,1.99,1.99,64300,89,USD,0,0,0,,
2023-06-30,2.02,2.02,1.95,1.97,1.97,58700,92,USD,0,0,0,,18581400
2023-06-29,1.98,2.02,1.9,2.0,2.0,156700,93,USD,-0.2193,,,,17847800
2023-06-28,1.79,1.97,1.79,1.91,1.91,169900,94,USD,-0.2193,,,,17847800
2023-06-27,1.76,1.93,1.712,1.8,1.8,167700,95,USD,-0.2193,,,,17847800
2023-06-26,1.77,1.8,1.7,1.73,1.73,114400,96,USD,-0.2193,,,,17847800
2023-06-23,1.74,1.77,1.63,1.77,1.77,126800,99,USD,-0.2193,,,,17847800
2023-06-22,1.75,1.75,1.65,1.71,1.71,42300,100,USD,-0.2193,,,,17847800
2023-06-21,1.73,1.79,1.65,1.67,1.67,108600,101,USD,-0.2193,,,,17847800
2023-06-20,1.74,1.78,1.419,1.72,1.72,191200,102,USD,-0.2193,,,,17847800
2023-06-16,1.62,1.73,1.62,1.63,1.63,76500,106,USD,-0.2193,,,,17847800
2023-06-15,1.69,1.76,1.61,1.65,1.65,123800,107,USD,-0.2193,,,,17847800
2023-06-14,1.75,1.75,1.61,1.71,1.71,154400,108,USD,-0.2193,,,,17847800
2023-06-13,1.72,1.78,1.72,1.75,1.75,140100,109,USD,-0.2193,,,,17847800
2023-06-12,1.8,2.18,1.64,1.7,1.7,316400,110,USD,-0.2193,,,,17847800
2023-06-09,2.0,2.05,1.809,1.84,1.84,74100,113,USD,-0.2193,,,,17847800
2023-06-08,1.905,2.0,1.85,1.97,1.97,65500,114,USD,-0.2193,,,,17847800
2023-06-07,1.9,1.9,1.8,1.9,1.9,60100,115,USD,-0.2193,,,,17847800
2023-06-06,1.8,1.903,1.77,1.85,1.85,105100,116,USD,-0.2193,,,,17847800
2023-06-05,1.81,1.83,1.77,1.79,1.79,32200,117,USD,-0.2193,,,,17847800
