date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-07-31,28.16,28.7,27.9,28.07,28.07,244500,335,USD,-0.11,-0.58,0.47,81.0345,
2023-07-28,28.2,29.41,28.18,28.18,28.18,205700,338,USD,-0.11,-0.58,0.47,81.0345,
2023-07-27,29.07,29.41,28.09,28.09,28.09,209500,339,USD,-0.11,-0.58,0.47,81.0345,
2023-07-26,29.24,29.71,28.93,29.04,29.04,117300,340,USD,-0.11,-0.58,0.47,81.0345,
2023-07-25,29.06,29.77,29.06,29.18,29.18,142600,341,USD,-0.11,-0.58,0.47,81.0345,
2023-07-24,28.7,29.78,28.7,29.19,29.19,162500,342,USD,-0.11,-0.58,0.47,81.0345,
2023-07-21,28.8,29.305,28.51,28.65,28.65,68900,345,USD,-0.11,-0.58,0.47,81.0345,
2023-07-20,29.0,29.37,28.65,28.74,28.74,72700,346,USD,-0.11,-0.58,0.47,81.0345,
2023-07-19,28.9,29.35,28.79,28.98,28.98,124000,347,USD,-0.11,-0.58,0.47,81.0345,
2023-07-18,29.17,29.7,28.63,28.72,28.72,122500,348,USD,-0.11,-0.58,0.47,81.0345,
2023-07-17,30.31,30.44,29.06,29.3,29.3,165200,349,USD,-0.11,-0.58,0.47,81.0345,
2023-07-14,30.79,31.25,30.26,30.29,30.29,143500,352,USD,-0.11,-0.58,0.47,81.0345,
2023-07-13,30.92,31.47,30.77,30.88,30.88,97800,353,USD,-0.11,-0.58,0.47,81.0345,
2023-07-12,31.43,31.8,30.84,30.89,30.89,112600,354,USD,-0.11,-0.58,0.47,81.0345,
2023-07-11,30.35,31.015,29.5,30.98,30.98,439500,355,USD,-0.11,-0.58,0.47,81.0345,
2023-07-10,30.12,30.9,30.0,30.23,30.23,110300,356,USD,-0.11,-0.58,0.47,81.0345,
2023-07-07,30.35,30.61,30.15,30.2,30.2,103500,359,USD,-0.11,-0.58,0.47,81.0345,
2023-07-06,31.27,31.27,30.06,30.36,30.36,131700,360,USD,-0.11,-0.58,0.47,81.0345,
2023-07-05,31.8,32.2,31.305,31.51,31.51,133300,361,USD,-0.11,-0.58,0.47,81.0345,
2023-07-03,31.71,32.085,31.58,31.74,31.74,30500,363,USD,-0.11,-0.58,0.47,81.0345,
2023-06-30,31.93,32.26,31.63,31.69,31.69,106500,366,USD,-0.11,-0.58,0.47,81.0345,18951000
2023-06-29,31.33,32.21,31.33,31.72,31.72,96800,367,USD,0.82,-0.71,1.53,215.493,18846700
2023-06-28,31.48,31.48,30.45,31.26,31.26,436500,368,USD,0.82,-0.71,1.53,215.493,18846700
2023-06-27,31.79,32.17,31.48,31.48,31.48,102300,369,USD,0.82,-0.71,1.53,215.493,18846700
2023-06-26,31.46,31.91,31.16,31.59,31.59,105700,370,USD,0.82,-0.71,1.53,215.493,18846700
2023-06-23,31.85,32.47,31.14,31.67,31.67,552200,373,USD,0.82,-0.71,1.53,215.493,18846700
2023-06-22,31.79,32.39,31.27,32.19,32.19,109600,374,USD,0.82,-0.71,1.53,215.493,18846700
2023-06-21,32.56,32.56,31.86,31.91,31.91,97900,375,USD,0.82,-0.71,1.53,215.493,18846700
2023-06-20,33.82,34.02,32.51,32.75,32.75,115100,376,USD,0.82,-0.71,1.53,215.493,18846700
2023-06-16,36.07,36.08,33.87,34.08,34.08,159500,380,USD,0.82,-0.71,1.53,215.493,18846700
2023-06-15,34.95,36.97,34.78,35.92,35.92,228000,381,USD,0.82,-0.71,1.53,215.493,18846700
2023-06-14,36.09,36.09,33.79,34.95,34.95,312500,382,USD,0.82,-0.71,1.53,215.493,18846700
2023-06-13,33.14,33.75,32.871,32.95,32.95,185900,383,USD,0.82,-0.71,1.53,215.493,18846700
2023-06-12,33.39,33.48,33.04,33.22,33.22,162500,384,USD,0.82,-0.71,1.53,215.493,18846700
2023-06-09,33.65,34.09,33.34,33.34,33.34,84400,387,USD,0.82,-0.71,1.53,215.493,18846700
2023-06-08,33.97,34.21,32.49,33.61,33.61,105400,388,USD,0.82,-0.71,1.53,215.493,18846700
2023-06-07,33.55,34.2,33.445,34.02,34.02,168400,389,USD,0.82,-0.71,1.53,215.493,18846700
2023-06-06,32.62,33.61,32.47,33.27,33.27,145800,390,USD,0.82,-0.71,1.53,215.493,18846700
2023-06-05,32.7,33.655,32.45,32.97,32.97,85800,391,USD,0.82,-0.71,1.53,215.493,18846700
2023-06-02,32.39,32.86,31.92,32.6,32.6,184800,394,USD,0.82,-0.71,1.53,215.493,18846700
