date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-07-31,40.28,40.7,39.66,40.7,40.7,15100,335,USD,1.02,0.74,0.28,37.8378,
2023-07-28,39.98,40.83,39.88,40.02,40.02,19100,338,USD,1.02,0.74,0.28,37.8378,
2023-07-27,40.21,40.21,39.54,39.58,39.58,19000,339,USD,1.02,0.74,0.28,37.8378,
2023-07-26,41.1,41.2,39.84,40.03,40.03,8700,340,USD,1.02,0.74,0.28,37.8378,
2023-07-25,41.01,41.3,39.73,40.42,40.42,9700,341,USD,1.02,0.74,0.28,37.8378,
2023-07-24,41.16,41.48,40.82,41.01,41.01,7900,342,USD,1.02,0.74,0.28,37.8378,
2023-07-21,41.92,41.92,40.39,40.53,40.53,12500,345,USD,1.02,0.74,0.28,37.8378,
2023-07-20,41.8,42.13,41.66,41.75,41.75,11400,346,USD,1.02,0.74,0.28,37.8378,
2023-07-19,42.46,43.05,42.11,42.57,42.57,9100,347,USD,1.02,0.74,0.28,37.8378,
2023-07-18,42.4,43.59,42.0,42.68,42.68,30500,348,USD,1.02,0.74,0.28,37.8378,
2023-07-17,41.33,42.5,41.33,42.44,42.44,19700,349,USD,1.02,0.74,0.28,37.8378,
2023-07-14,42.1,42.38,41.41,42.03,42.03,29000,352,USD,1.02,0.74,0.28,37.8378,
2023-07-13,41.1,42.33,40.75,42.07,42.07,14600,353,USD,1.02,0.74,0.28,37.8378,
2023-07-12,41.7,42.17,40.97,40.97,40.97,10000,354,USD,1.02,0.74,0.28,37.8378,
2023-07-11,41.98,42.63,40.88,41.7,41.7,22200,355,USD,1.02,0.74,0.28,37.8378,
2023-07-10,41.4,41.55,40.75,41.0,41.0,7200,356,USD,1.02,0.74,0.28,37.8378,
2023-07-07,38.72,41.71,38.72,40.8,40.8,39300,359,USD,1.02,0.74,0.28,37.8378,
2023-07-06,40.81,40.81,38.31,39.35,39.35,20300,360,USD,1.02,0.74,0.28,37.8378,
2023-07-05,42.47,43.28,41.04,41.05,41.05,43400,361,USD,1.02,0.74,0.28,37.8378,
2023-07-03,42.01,42.905,42.01,42.52,42.52,6737,363,USD,1.02,0.74,0.28,37.8378,
2023-06-30,42.5,43.49,42.0,42.01,42.01,15600,366,USD,1.02,0.74,0.28,37.8378,18431400
2023-06-29,42.17,43.7,42.11,42.54,42.54,10700,367,USD,1.08,0.94,0.14,14.8936,18981000
2023-06-28,42.0,43.2,41.73,42.34,42.34,13700,368,USD,1.08,0.94,0.14,14.8936,18981000
2023-06-27,40.83,43.5,40.76,42.09,42.09,32000,369,USD,1.08,0.94,0.14,14.8936,18981000
2023-06-26,39.59,41.5,39.59,40.32,40.32,9700,370,USD,1.08,0.94,0.14,14.8936,18981000
2023-06-23,39.6,40.51,39.44,40.19,40.19,136400,373,USD,1.08,0.94,0.14,14.8936,18981000
2023-06-22,40.27,40.6,39.02,40.6,40.6,13400,374,USD,1.08,0.94,0.14,14.8936,18981000
2023-06-21,40.8,40.8,39.23,40.08,40.08,13600,375,USD,1.08,0.94,0.14,14.8936,18981000
2023-06-20,37.55,39.76,37.55,39.03,39.03,14900,376,USD,1.08,0.94,0.14,14.8936,18981000
2023-06-16,43.0,43.0,38.51,38.8,38.8,34800,380,USD,1.08,0.94,0.14,14.8936,18981000
2023-06-15,40.79,42.97,40.55,42.97,42.97,41500,381,USD,1.08,0.94,0.14,14.8936,18981000
2023-06-14,39.38,40.88,38.11,40.66,40.66,18000,382,USD,1.08,0.94,0.14,14.8936,18981000
2023-06-13,38.21,39.41,38.21,38.91,38.91,15300,383,USD,1.08,0.94,0.14,14.8936,18981000
2023-06-12,37.17,38.86,36.72,38.2,38.2,15200,384,USD,1.08,0.94,0.14,14.8936,18981000
2023-06-09,37.67,38.78,37.01,37.01,37.01,9700,387,USD,1.08,0.94,0.14,14.8936,18981000
2023-06-08,39.17,39.84,37.86,38.1,38.1,14200,388,USD,1.08,0.94,0.14,14.8936,18981000
2023-06-07,38.41,39.59,38.26,39.21,39.21,27600,389,USD,1.08,0.94,0.14,14.8936,18981000
2023-06-06,35.87,38.35,35.7,38.07,38.07,11400,390,USD,1.08,0.94,0.14,14.8936,18981000
