date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-07-31,8.94,9.13,8.88,8.96,8.96,203500,335,USD,-0.45,-0.49,0.04,8.1633,
2023-07-28,8.63,9.09,8.59,8.94,8.94,123600,338,USD,-0.45,-0.49,0.04,8.1633,
2023-07-27,8.58,8.68,8.25,8.48,8.48,259100,339,USD,-0.45,-0.49,0.04,8.1633,
2023-07-26,8.81,9.09,8.48,8.53,8.53,270800,340,USD,-0.45,-0.49,0.04,8.1633,
2023-07-25,8.94,9.09,8.5,8.8,8.8,360800,341,USD,-0.45,-0.49,0.04,8.1633,
2023-07-24,9.67,9.68,8.91,9.05,9.05,338700,342,USD,-0.45,-0.49,0.04,8.1633,
2023-07-21,9.91,9.91,9.5,9.67,9.67,267800,345,USD,-0.45,-0.49,0.04,8.1633,
2023-07-20,9.42,10.08,9.39,9.86,9.86,412700,346,USD,-0.45,-0.49,0.04,8.1633,
2023-07-19,9.3,9.595,9.17,9.41,9.41,148500,347,USD,-0.45,-0.49,0.04,8.1633,
2023-07-18,8.83,9.44,8.8,9.27,9.27,487400,348,USD,-0.45,-0.49,0.04,8.1633,
2023-07-17,9.29,9.37,8.81,8.83,8.83,176000,349,USD,-0.45,-0.49,0.04,8.1633,
2023-07-14,9.25,9.46,8.991,9.26,9.26,93600,352,USD,-0.45,-0.49,0.04,8.1633,
2023-07-13,9.06,9.33,9.01,9.29,9.29,89600,353,USD,-0.45,-0.49,0.04,8.1633,
2023-07-12,9.08,9.17,8.95,9.05,9.05,111300,354,USD,-0.45,-0.49,0.04,8.1633,
2023-07-11,9.13,9.13,8.72,9.0,9.0,253300,355,USD,-0.45,-0.49,0.04,8.1633,
2023-07-10,8.67,9.43,8.55,9.13,9.13,240900,356,USD,-0.45,-0.49,0.04,8.1633,
2023-07-07,8.39,8.77,8.27,8.75,8.75,228800,359,USD,-0.45,-0.49,0.04,8.1633,
2023-07-06,8.16,8.5,8.03,8.34,8.34,279700,360,USD,-0.45,-0.49,0.04,8.1633,
2023-07-05,8.49,8.69,8.13,8.34,8.34,130000,361,USD,-0.45,-0.49,0.04,8.1633,
2023-07-03,8.3,8.53,7.96,8.51,8.51,163100,363,USD,-0.45,-0.49,0.04,8.1633,
2023-06-30,8.47,8.72,8.08,8.33,8.33,210900,366,USD,-0.45,-0.49,0.04,8.1633,28022300
2023-06-29,9.13,9.14,8.38,8.45,8.45,178600,367,USD,-0.4,-0.55,0.15,27.2727,27944500
2023-06-28,9.01,9.43,8.91,9.26,9.26,234700,368,USD,-0.4,-0.55,0.15,27.2727,27944500
2023-06-27,9.36,9.36,8.42,9.0,9.0,173900,369,USD,-0.4,-0.55,0.15,27.2727,27944500
2023-06-26,9.98,10.0,9.2,9.38,9.38,199400,370,USD,-0.4,-0.55,0.15,27.2727,27944500
2023-06-23,10.03,10.13,9.74,10.03,10.03,3466500,373,USD,-0.4,-0.55,0.15,27.2727,27944500
2023-06-22,9.96,10.31,9.82,10.11,10.11,198700,374,USD,-0.4,-0.55,0.15,27.2727,27944500
2023-06-21,9.73,10.22,9.56,10.01,10.01,180900,375,USD,-0.4,-0.55,0.15,27.2727,27944500
2023-06-20,9.8,10.09,9.62,9.8,9.8,203200,376,USD,-0.4,-0.55,0.15,27.2727,27944500
2023-06-16,10.0,10.31,9.45,9.81,9.81,508200,380,USD,-0.4,-0.55,0.15,27.2727,27944500
2023-06-15,10.72,10.91,9.75,10.18,10.18,408500,381,USD,-0.4,-0.55,0.15,27.2727,27944500
