date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-07-31,4.0,4.187,4.0,4.17,4.17,697000,335,USD,-0.17,-0.14,-0.03,-21.4286,
2023-07-28,3.87,4.02,3.839,3.94,3.94,373400,338,USD,-0.17,-0.14,-0.03,-21.4286,
2023-07-27,3.96,3.96,3.75,3.78,3.78,365800,339,USD,-0.17,-0.14,-0.03,-21.4286,
2023-07-26,3.86,3.935,3.842,3.91,3.91,272400,340,USD,-0.17,-0.14,-0.03,-21.4286,
2023-07-25,3.91,3.915,3.81,3.86,3.86,374500,341,USD,-0.17,-0.14,-0.03,-21.4286,
2023-07-24,3.9,3.925,3.84,3.91,3.91,402900,342,USD,-0.17,-0.14,-0.03,-21.4286,
2023-07-21,4.05,4.11,3.841,3.91,3.91,584300,345,USD,-0.17,-0.14,-0.03,-21.4286,
2023-07-20,4.33,4.34,3.99,4.03,4.03,631800,346,USD,-0.17,-0.14,-0.03,-21.4286,
2023-07-19,4.36,4.44,4.21,4.3,4.3,1546900,347,USD,-0.17,-0.14,-0.03,-21.4286,
2023-07-18,4.41,4.505,4.28,4.3,4.3,1017100,348,USD,-0.17,-0.14,-0.03,-21.4286,
2023-07-17,4.12,4.54,4.11,4.42,4.42,2405100,349,USD,-0.17,-0.14,-0.03,-21.4286,
2023-07-14,3.95,4.005,3.895,4.0,4.0,375700,352,USD,-0.17,-0.14,-0.03,-21.4286,
2023-07-13,4.09,4.17,3.939,3.96,3.96,488300,353,USD,-0.17,-0.14,-0.03,-21.4286,
2023-07-12,4.2,4.23,4.03,4.09,4.09,434800,354,USD,-0.17,-0.14,-0.03,-21.4286,
2023-07-11,3.99,4.15,3.935,4.08,4.08,829100,355,USD,-0.17,-0.14,-0.03,-21.4286,
2023-07-10,3.81,4.005,3.81,3.98,3.98,1166700,356,USD,-0.17,-0.14,-0.03,-21.4286,
2023-07-07,3.65,3.92,3.65,3.85,3.85,382900,359,USD,-0.17,-0.14,-0.03,-21.4286,
2023-07-06,3.88,3.88,3.605,3.7,3.7,927300,360,USD,-0.17,-0.14,-0.03,-21.4286,
2023-07-05,3.96,4.02,3.915,3.99,3.99,581400,361,USD,-0.17,-0.14,-0.03,-21.4286,
2023-07-03,3.94,4.04,3.93,3.99,3.99,340500,363,USD,-0.17,-0.14,-0.03,-21.4286,
2023-06-30,4.0,4.01,3.92,3.94,3.94,383200,366,USD,-0.17,-0.14,-0.03,-21.4286,73169000
2023-06-29,4.0,4.069,3.91,3.97,3.97,643100,367,USD,-0.14,-0.21,0.07,33.3333,71992800
2023-06-28,3.66,3.96,3.66,3.9,3.9,783200,368,USD,-0.14,-0.21,0.07,33.3333,71992800
2023-06-27,3.51,3.68,3.481,3.65,3.65,269800,369,USD,-0.14,-0.21,0.07,33.3333,71992800
2023-06-26,3.54,3.6,3.48,3.49,3.49,391000,370,USD,-0.14,-0.21,0.07,33.3333,71992800
2023-06-23,3.48,3.57,3.385,3.54,3.54,1026400,373,USD,-0.14,-0.21,0.07,33.3333,71992800
2023-06-22,3.66,3.68,3.48,3.56,3.56,656900,374,USD,-0.14,-0.21,0.07,33.3333,71992800
2023-06-21,3.6,3.77,3.53,3.72,3.72,388100,375,USD,-0.14,-0.21,0.07,33.3333,71992800
2023-06-20,3.77,3.85,3.61,3.63,3.63,409700,376,USD,-0.14,-0.21,0.07,33.3333,71992800
2023-06-16,4.22,4.22,3.78,3.78,3.78,2210000,380,USD,-0.14,-0.21,0.07,33.3333,71992800
2023-06-15,4.04,4.255,4.01,4.1,4.1,722400,381,USD,-0.14,-0.21,0.07,33.3333,71992800
2023-06-14,4.25,4.37,4.02,4.03,4.03,757400,382,USD,-0.14,-0.21,0.07,33.3333,71992800
2023-06-13,4.13,4.38,4.1,4.25,4.25,934600,383,USD,-0.14,-0.21,0.07,33.3333,71992800
2023-06-12,3.71,4.065,3.708,4.03,4.03,783900,384,USD,-0.14,-0.21,0.07,33.3333,71992800
2023-06-09,3.7,3.71,3.57,3.69,3.69,346700,387,USD,-0.14,-0.21,0.07,33.3333,71992800
2023-06-08,3.71,3.76,3.59,3.65,3.65,328000,388,USD,-0.14,-0.21,0.07,33.3333,71992800
2023-06-07,3.69,3.78,3.685,3.72,3.72,604200,389,USD,-0.14,-0.21,0.07,33.3333,71992800
2023-06-06,3.33,3.65,3.32,3.64,3.64,648700,390,USD,-0.14,-0.21,0.07,33.3333,71992800
2023-06-05,3.2,3.385,3.2,3.33,3.33,431400,391,USD,-0.14,-0.21,0.07,33.3333,71992800
2023-06-02,3.25,3.27,3.13,3.22,3.22,477200,394,USD,-0.14,-0.21,0.07,33.3333,71992800
2023-06-01,3.2,3.25,3.12,3.22,3.22,222900,395,USD,-0.14,-0.21,0.07,33.3333,71992800
2023-05-31,3.15,3.25,3.115,3.23,3.23,297100,396,USD,-0.14,-0.21,0.07,33.3333,71992800
2023-05-30,3.07,3.18,3.07,3.15,3.15,329000,397,USD,-0.14,-0.21,0.07,33.3333,71992800
2023-05-26,3.02,3.07,2.97,3.05,3.05,365700,401,USD,-0.14,-0.21,0.07,33.3333,71992800
2023-05-25,3.12,3.15,2.97,2.99,2.99,461300,402,USD,-0.14,-0.21,0.07,33.3333,71992800
2023-05-24,3.19,3.22,3.101,3.14,3.14,207600,403,USD,-0.14,-0.21,0.07,33.3333,71992800
2023-05-23,3.2,3.31,3.199,3.25,3.25,375900,404,USD,-0.14,-0.21,0.07,33.3333,71992800
2023-05-22,3.19,3.21,3.1,3.2,3.2,432500,405,USD,-0.14,-0.21,0.07,33.3333,71992800
2023-05-19,3.18,3.25,3.15,3.19,3.19,289600,408,USD,-0.14,-0.21,0.07,33.3333,71992800
2023-05-18,3.07,3.16,3.01,3.14,3.14,301900,409,USD,-0.14,-0.21,0.07,33.3333,71992800
2023-05-17,3.0,3.1,2.94,3.05,3.05,1123700,410,USD,-0.14,-0.21,0.07,33.3333,71992800
2023-05-16,3.06,3.135,2.955,2.96,2.96,270400,411,USD,-0.14,-0.21,0.07,33.3333,71992800
2023-05-15,3.2,3.2,3.08,3.1,3.1,347400,412,USD,-0.14,-0.21,0.07,33.3333,71992800
2023-05-12,3.12,3.21,3.055,3.15,3.15,329300,415,USD,-0.14,-0.21,0.07,33.3333,71992800
2023-05-11,3.29,3.32,3.01,3.09,3.09,935300,416,USD,-0.14,-0.21,0.07,33.3333,71992800
2023-05-10,2.85,2.99,2.835,2.88,2.88,329700,417,USD,-0.14,-0.21,0.07,33.3333,71992800
2023-05-09,2.7,2.84,2.67,2.81,2.81,306000,418,USD,-0.14,-0.21,0.07,33.3333,71992800
2023-05-08,2.64,2.74,2.62,2.73,2.73,269300,419,USD,-0.14,-0.21,0.07,33.3333,71992800
2023-05-05,2.57,2.67,2.57,2.64,2.64,210600,422,USD,-0.14,-0.21,0.07,33.3333,71992800
2023-05-04,2.64,2.64,2.51,2.54,2.54,300700,423,USD,-0.14,-0.21,0.07,33.3333,71992800
2023-05-03,2.595,2.705,2.585,2.63,2.63,239900,424,USD,-0.14,-0.21,0.07,33.3333,71992800
2023-05-02,2.64,2.69,2.59,2.6,2.6,231700,425,USD,-0.14,-0.21,0.07,33.3333,71992800
2023-05-01,2.64,2.675,2.61,2.67,2.67,238900,426,USD,-0.14,-0.21,0.07,33.3333,71992800
2023-04-28,2.62,2.69,2.595,2.62,2.62,303700,429,USD,-0.14,-0.21,0.07,33.3333,71992800
2023-04-27,2.58,2.645,2.575,2.62,2.62,231200,430,USD,-0.14,-0.21,0.07,33.3333,71992800
2023-04-26,2.63,2.655,2.55,2.56,2.56,253500,431,USD,-0.14,-0.21,0.07,33.3333,71992800
2023-04-25,2.69,2.71,2.6,2.61,2.61,228700,432,USD,-0.14,-0.21,0.07,33.3333,71992800
2023-04-24,2.76,2.775,2.71,2.72,2.72,177600,433,USD,-0.14,-0.21,0.07,33.3333,71992800
2023-04-21,2.75,2.75,2.675,2.75,2.75,256900,436,USD,-0.14,-0.21,0.07,33.3333,71992800
2023-04-20,2.79,2.82,2.73,2.75,2.75,276600,437,USD,-0.14,-0.21,0.07,33.3333,71992800
2023-04-19,2.76,2.84,2.72,2.83,2.83,242100,438,USD,-0.14,-0.21,0.07,33.3333,71992800
2023-04-18,2.85,2.85,2.77,2.78,2.78,268800,439,USD,-0.14,-0.21,0.07,33.3333,71992800
2023-04-17,2.71,2.82,2.71,2.81,2.81,312100,440,USD,-0.14,-0.21,0.07,33.3333,71992800
2023-04-14,2.79,2.8,2.66,2.7,2.7,435800,443,USD,-0.14,-0.21,0.07,33.3333,71992800
2023-04-13,2.81,2.83,2.72,2.74,2.74,321000,444,USD,-0.14,-0.21,0.07,33.3333,71992800
2023-04-12,2.99,3.0,2.75,2.76,2.76,448100,445,USD,-0.14,-0.21,0.07,33.3333,71992800
2023-04-11,2.93,3.04,2.915,2.98,2.98,307300,446,USD,-0.14,-0.21,0.07,33.3333,71992800
2023-04-10,2.93,2.94,2.79,2.91,2.91,901300,447,USD,-0.14,-0.21,0.07,33.3333,71992800
2023-04-06,2.87,3.015,2.87,2.925,2.925,380100,451,USD,-0.14,-0.21,0.07,33.3333,71992800
2023-04-05,3.16,3.18,2.825,2.85,2.85,850100,452,USD,-0.14,-0.21,0.07,33.3333,71992800
2023-04-04,3.34,3.345,3.19,3.2,3.2,233600,453,USD,-0.14,-0.21,0.07,33.3333,71992800
2023-04-03,3.31,3.33,3.23,3.33,3.33,280500,454,USD,-0.14,-0.21,0.07,33.3333,71992800
2023-03-31,3.31,3.399,3.28,3.38,3.38,238100,457,USD,-0.14,-0.21,0.07,33.3333,71992800
2023-03-30,3.31,3.42,3.27,3.28,3.28,201600,458,USD,-0.21,-0.17,-0.04,-23.5294,71660600
2023-03-29,3.22,3.29,3.153,3.28,3.28,228300,459,USD,-0.21,-0.17,-0.04,-23.5294,71660600
2023-03-28,3.2,3.25,3.155,3.19,3.19,159600,460,USD,-0.21,-0.17,-0.04,-23.5294,71660600
2023-03-27,3.26,3.26,3.17,3.21,3.21,208400,461,USD,-0.21,-0.17,-0.04,-23.5294,71660600
2023-03-24,3.12,3.21,3.08,3.21,3.21,250100,464,USD,-0.21,-0.17,-0.04,-23.5294,71660600
2023-03-23,3.16,3.33,3.14,3.15,3.15,2752600,465,USD,-0.21,-0.17,-0.04,-23.5294,71660600
2023-03-22,3.24,3.27,3.12,3.13,3.13,226500,466,USD,-0.21,-0.17,-0.04,-23.5294,71660600
2023-03-21,3.13,3.35,3.1,3.26,3.26,389600,467,USD,-0.21,-0.17,-0.04,-23.5294,71660600
2023-03-20,3.17,3.17,3.011,3.06,3.06,494500,468,USD,-0.21,-0.17,-0.04,-23.5294,71660600
2023-03-17,3.44,3.44,3.11,3.13,3.13,974200,471,USD,-0.21,-0.17,-0.04,-23.5294,71660600
2023-03-16,3.58,3.58,3.39,3.44,3.44,460100,472,USD,-0.21,-0.17,-0.04,-23.5294,71660600
