date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-07-31,0.98,1.02,0.96,0.995,0.995,637900,335,USD,-0.14,-0.13,-0.01,-7.6923,
2023-07-28,0.94,1.01,0.937,0.972,0.972,302200,338,USD,-0.14,-0.13,-0.01,-7.6923,
2023-07-27,0.99,1.02,0.931,0.94,0.94,460800,339,USD,-0.14,-0.13,-0.01,-7.6923,
2023-07-26,0.97,1.02,0.93,0.999,0.999,611200,340,USD,-0.14,-0.13,-0.01,-7.6923,
2023-07-25,0.99,1.03,0.96,0.96,0.96,367100,341,USD,-0.14,-0.13,-0.01,-7.6923,
2023-07-24,1.04,1.04,0.97,0.98,0.98,773700,342,USD,-0.14,-0.13,-0.01,-7.6923,
2023-07-21,1.05,1.08,0.9,1.06,1.06,2538700,345,USD,-0.14,-0.13,-0.01,-7.6923,
2023-07-20,1.16,1.16,1.1,1.1,1.1,410500,346,USD,-0.14,-0.13,-0.01,-7.6923,
2023-07-19,1.15,1.18,1.14,1.15,1.15,317100,347,USD,-0.14,-0.13,-0.01,-7.6923,
2023-07-18,1.13,1.16,1.12,1.16,1.16,358900,348,USD,-0.14,-0.13,-0.01,-7.6923,
2023-07-17,1.1,1.14,1.099,1.13,1.13,595600,349,USD,-0.14,-0.13,-0.01,-7.6923,
2023-07-14,1.11,1.12,1.09,1.1,1.1,588200,352,USD,-0.14,-0.13,-0.01,-7.6923,
2023-07-13,1.1,1.135,1.1,1.13,1.13,428200,353,USD,-0.14,-0.13,-0.01,-7.6923,
2023-07-12,1.1,1.12,1.1,1.1,1.1,302500,354,USD,-0.14,-0.13,-0.01,-7.6923,
2023-07-11,1.13,1.135,1.08,1.1,1.1,462300,355,USD,-0.14,-0.13,-0.01,-7.6923,
2023-07-10,1.12,1.13,1.105,1.11,1.11,350900,356,USD,-0.14,-0.13,-0.01,-7.6923,
2023-07-07,1.11,1.12,1.09,1.11,1.11,294200,359,USD,-0.14,-0.13,-0.01,-7.6923,
2023-07-06,1.1,1.12,1.08,1.11,1.11,451500,360,USD,-0.14,-0.13,-0.01,-7.6923,
2023-07-05,1.12,1.17,1.08,1.12,1.12,626700,361,USD,-0.14,-0.13,-0.01,-7.6923,
2023-07-03,1.12,1.14,1.11,1.13,1.13,248400,363,USD,-0.14,-0.13,-0.01,-7.6923,
2023-06-30,1.12,1.15,1.105,1.13,1.13,316800,366,USD,-0.14,-0.13,-0.01,-7.6923,90115900
2023-06-29,1.11,1.13,1.1,1.13,1.13,301600,367,USD,0.03,-0.04,0.07,175,101189400
2023-06-28,1.1,1.125,1.06,1.11,1.11,403100,368,USD,0.03,-0.04,0.07,175,101189400
2023-06-27,1.11,1.12,1.04,1.09,1.09,902300,369,USD,0.03,-0.04,0.07,175,101189400
2023-06-26,1.17,1.17,1.11,1.11,1.11,357200,370,USD,0.03,-0.04,0.07,175,101189400
2023-06-23,1.15,1.18,1.115,1.16,1.16,944200,373,USD,0.03,-0.04,0.07,175,101189400
2023-06-22,1.21,1.22,1.1,1.17,1.17,1711400,374,USD,0.03,-0.04,0.07,175,101189400
2023-06-21,1.11,1.157,1.1,1.1,1.1,341000,375,USD,0.03,-0.04,0.07,175,101189400
2023-06-20,1.1,1.15,1.09,1.13,1.13,575200,376,USD,0.03,-0.04,0.07,175,101189400
2023-06-16,1.15,1.21,1.11,1.11,1.11,1241000,380,USD,0.03,-0.04,0.07,175,101189400
2023-06-15,1.15,1.18,1.125,1.14,1.14,873300,381,USD,0.03,-0.04,0.07,175,101189400
2023-06-14,1.2,1.2,1.13,1.15,1.15,969500,382,USD,0.03,-0.04,0.07,175,101189400
2023-06-13,1.22,1.25,1.2,1.2,1.2,512900,383,USD,0.03,-0.04,0.07,175,101189400
2023-06-12,1.21,1.26,1.205,1.23,1.23,560900,384,USD,0.03,-0.04,0.07,175,101189400
2023-06-09,1.25,1.26,1.2,1.21,1.21,586000,387,USD,0.03,-0.04,0.07,175,101189400
2023-06-08,1.27,1.27,1.222,1.24,1.24,690600,388,USD,0.03,-0.04,0.07,175,101189400
2023-06-07,1.32,1.33,1.24,1.27,1.27,1037700,389,USD,0.03,-0.04,0.07,175,101189400
2023-06-06,1.3,1.34,1.3,1.31,1.31,475800,390,USD,0.03,-0.04,0.07,175,101189400
2023-06-05,1.32,1.38,1.27,1.3,1.3,1199800,391,USD,0.03,-0.04,0.07,175,101189400
2023-06-02,1.32,1.34,1.28,1.31,1.31,497200,394,USD,0.03,-0.04,0.07,175,101189400
2023-06-01,1.33,1.36,1.295,1.32,1.32,481300,395,USD,0.03,-0.04,0.07,175,101189400
2023-05-31,1.33,1.35,1.23,1.33,1.33,1030600,396,USD,0.03,-0.04,0.07,175,101189400
2023-05-30,1.36,1.37,1.28,1.29,1.29,701500,397,USD,0.03,-0.04,0.07,175,101189400
2023-05-26,1.3,1.363,1.29,1.36,1.36,905500,401,USD,0.03,-0.04,0.07,175,101189400
2023-05-25,1.36,1.37,1.26,1.28,1.28,717300,402,USD,0.03,-0.04,0.07,175,101189400
2023-05-24,1.35,1.37,1.28,1.34,1.34,620100,403,USD,0.03,-0.04,0.07,175,101189400
2023-05-23,1.4,1.48,1.31,1.37,1.37,1082200,404,USD,0.03,-0.04,0.07,175,101189400
2023-05-22,1.3,1.44,1.3,1.42,1.42,1424300,405,USD,0.03,-0.04,0.07,175,101189400
2023-05-19,1.26,1.36,1.26,1.3,1.3,903200,408,USD,0.03,-0.04,0.07,175,101189400
2023-05-18,1.35,1.351,1.25,1.27,1.27,1414700,409,USD,0.03,-0.04,0.07,175,101189400
2023-05-17,1.32,1.37,1.255,1.35,1.35,1360600,410,USD,0.03,-0.04,0.07,175,101189400
2023-05-16,1.36,1.42,1.29,1.32,1.32,2316857,411,USD,0.03,-0.04,0.07,175,101189400
2023-05-15,1.14,1.395,1.09,1.36,1.36,3339988,412,USD,0.03,-0.04,0.07,175,101189400
2023-05-12,1.27,1.29,1.135,1.17,1.17,5654400,415,USD,0.03,-0.04,0.07,175,101189400
2023-05-11,1.14,1.19,1.11,1.18,1.18,1220900,416,USD,0.03,-0.04,0.07,175,101189400
2023-05-10,1.13,1.15,1.085,1.11,1.11,947200,417,USD,0.03,-0.04,0.07,175,101189400
2023-05-09,1.06,1.11,1.034,1.11,1.11,747800,418,USD,0.03,-0.04,0.07,175,101189400
2023-05-08,1.04,1.09,1.04,1.06,1.06,584100,419,USD,0.03,-0.04,0.07,175,101189400
2023-05-05,1.0,1.06,1.0,1.05,1.05,826600,422,USD,0.03,-0.04,0.07,175,101189400
2023-05-04,1.0,1.03,0.971,1.01,1.01,885300,423,USD,0.03,-0.04,0.07,175,101189400
2023-05-03,1.01,1.03,0.985,1.01,1.01,865800,424,USD,0.03,-0.04,0.07,175,101189400
2023-05-02,1.05,1.07,1.02,1.02,1.02,666300,425,USD,0.03,-0.04,0.07,175,101189400
2023-05-01,1.02,1.08,1.01,1.05,1.05,1061000,426,USD,0.03,-0.04,0.07,175,101189400
2023-04-28,1.04,1.07,1.01,1.02,1.02,760200,429,USD,0.03,-0.04,0.07,175,101189400
2023-04-27,1.01,1.05,1.0,1.04,1.04,970600,430,USD,0.03,-0.04,0.07,175,101189400
2023-04-26,1.03,1.07,0.98,1.03,1.03,1107900,431,USD,0.03,-0.04,0.07,175,101189400
2023-04-25,1.08,1.12,1.01,1.03,1.03,2925800,432,USD,0.03,-0.04,0.07,175,101189400
2023-04-24,1.13,1.15,1.04,1.07,1.07,2163400,433,USD,0.03,-0.04,0.07,175,101189400
2023-04-21,1.055,1.18,1.05,1.13,1.13,1277700,436,USD,0.03,-0.04,0.07,175,101189400
2023-04-20,1.09,1.15,1.06,1.06,1.06,1152800,437,USD,0.03,-0.04,0.07,175,101189400
2023-04-19,1.13,1.15,1.09,1.12,1.12,1122700,438,USD,0.03,-0.04,0.07,175,101189400
2023-04-18,1.15,1.165,1.11,1.13,1.13,954300,439,USD,0.03,-0.04,0.07,175,101189400
2023-04-17,1.08,1.17,1.06,1.14,1.14,1161900,440,USD,0.03,-0.04,0.07,175,101189400
2023-04-14,1.12,1.15,1.06,1.08,1.08,1034600,443,USD,0.03,-0.04,0.07,175,101189400
2023-04-13,1.11,1.165,1.1,1.14,1.14,1309500,444,USD,0.03,-0.04,0.07,175,101189400
2023-04-12,1.18,1.18,1.08,1.09,1.09,1610500,445,USD,0.03,-0.04,0.07,175,101189400
2023-04-11,1.09,1.2,1.08,1.18,1.18,1263600,446,USD,0.03,-0.04,0.07,175,101189400
2023-04-10,1.14,1.17,1.07,1.11,1.11,2044500,447,USD,0.03,-0.04,0.07,175,101189400
2023-04-06,1.12,1.2,1.071,1.2,1.2,1899700,451,USD,0.03,-0.04,0.07,175,101189400
2023-04-05,1.2,1.21,1.12,1.15,1.15,1792700,452,USD,0.03,-0.04,0.07,175,101189400
2023-04-04,1.2,1.24,1.15,1.23,1.23,1520000,453,USD,0.03,-0.04,0.07,175,101189400
2023-04-03,1.28,1.28,1.165,1.22,1.22,2248400,454,USD,0.03,-0.04,0.07,175,101189400
2023-03-31,1.26,1.31,1.2,1.27,1.27,2768800,457,USD,0.03,-0.04,0.07,175,101189400
2023-03-30,1.28,1.39,1.25,1.28,1.28,3557300,458,USD,-0.19,-0.17,-0.02,-11.7647,71895900
2023-03-29,1.16,1.35,1.13,1.26,1.26,7092000,459,USD,-0.19,-0.17,-0.02,-11.7647,71895900
2023-03-28,1.12,1.24,1.0306,1.19,1.19,7078473,460,USD,-0.19,-0.17,-0.02,-11.7647,71895900
2023-03-27,1.15,1.15,0.9313,1.01,1.01,10072760,461,USD,-0.19,-0.17,-0.02,-11.7647,71895900
2023-03-24,1.43,1.43,1.13,1.16,1.16,8161400,464,USD,-0.19,-0.17,-0.02,-11.7647,71895900
2023-03-23,1.7,1.72,1.31,1.43,1.43,13056500,465,USD,-0.19,-0.17,-0.02,-11.7647,71895900
2023-03-22,2.08,2.1,1.81,1.9,1.9,12924900,466,USD,-0.19,-0.17,-0.02,-11.7647,71895900
2023-03-21,1.81,2.1,1.78,1.98,1.98,10658300,467,USD,-0.19,-0.17,-0.02,-11.7647,71895900
2023-03-20,1.8,1.855,1.67,1.77,1.77,4572400,468,USD,-0.19,-0.17,-0.02,-11.7647,71895900
2023-03-17,1.65,1.77,1.6,1.76,1.76,4084300,471,USD,-0.19,-0.17,-0.02,-11.7647,71895900
2023-03-16,1.69,1.69,1.6,1.63,1.63,1869200,472,USD,-0.19,-0.17,-0.02,-11.7647,71895900
2023-03-15,1.67,1.72,1.64,1.68,1.68,1775400,473,USD,-0.19,-0.17,-0.02,-11.7647,71895900
2023-03-14,1.73,1.76,1.67,1.7,1.7,3823000,474,USD,-0.19,-0.17,-0.02,-11.7647,71895900
2023-03-13,1.53,1.79,1.477,1.73,1.73,5056500,475,USD,-0.19,-0.17,-0.02,-11.7647,71895900
2023-03-10,1.55,1.79,1.45,1.56,1.56,4940000,478,USD,-0.19,-0.17,-0.02,-11.7647,71895900
2023-03-09,1.63,1.64,1.47,1.5,1.5,4242300,479,USD,-0.19,-0.17,-0.02,-11.7647,71895900
