date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-07-31,18.99,19.0,18.24,18.24,18.0821,36281,335,USD,0.64,0.72,-0.08,-11.1111,
2023-07-28,19.35,19.41,18.73,19.0,18.8355,29386,338,USD,0.64,0.72,-0.08,-11.1111,
2023-07-27,19.38,19.73,19.25,19.46,19.2915,21638,339,USD,0.64,0.72,-0.08,-11.1111,
2023-07-26,19.01,19.797,19.01,19.71,19.5394,31190,340,USD,0.64,0.72,-0.08,-11.1111,
2023-07-25,18.97,19.11,18.77,18.85,18.6868,12789,341,USD,0.64,0.72,-0.08,-11.1111,
2023-07-24,19.04,19.23,18.86,18.97,18.8058,35003,342,USD,0.64,0.72,-0.08,-11.1111,
2023-07-21,18.76,18.85,18.47,18.82,18.6571,39469,345,USD,0.64,0.72,-0.08,-11.1111,
2023-07-20,18.43,18.78,18.19,18.74,18.5777,17660,346,USD,0.64,0.72,-0.08,-11.1111,
2023-07-19,18.155,18.56,18.12,18.56,18.3993,22247,347,USD,0.64,0.72,-0.08,-11.1111,
2023-07-18,17.51,18.26,17.51,18.16,18.0028,16470,348,USD,0.64,0.72,-0.08,-11.1111,
2023-07-17,17.04,17.615,16.9,17.51,17.3584,22361,349,USD,0.64,0.72,-0.08,-11.1111,
2023-07-14,17.33,17.33,16.855,16.9,16.7537,15211,352,USD,0.64,0.72,-0.08,-11.1111,
2023-07-13,17.2,17.4,17.13,17.27,17.1205,10370,353,USD,0.64,0.72,-0.08,-11.1111,
2023-07-12,17.55,17.6,17.134,17.24,17.0907,19440,354,USD,0.64,0.72,-0.08,-11.1111,
2023-07-11,16.89,17.32,16.89,17.23,17.0808,22367,355,USD,0.64,0.72,-0.08,-11.1111,
2023-07-10,17.05,17.39,16.83,16.9,16.7537,15686,356,USD,0.64,0.72,-0.08,-11.1111,
2023-07-07,16.87,17.175,16.77,17.05,16.9024,64342,359,USD,0.64,0.72,-0.08,-11.1111,
2023-07-06,17.17,17.17,16.61,16.75,16.605,48481,360,USD,0.64,0.72,-0.08,-11.1111,
2023-07-05,17.395,17.49,17.3,17.35,17.1998,59273,361,USD,0.64,0.72,-0.08,-11.1111,
2023-07-03,17.38,17.44,17.25,17.41,17.2593,13767,363,USD,0.64,0.72,-0.08,-11.1111,
