date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-07-31,77.51,79.11,77.51,78.61,78.61,443200,335,USD,0.14,0.03,0.11,366.6667,
2023-07-28,77.43,77.93,77.08,77.48,77.48,325200,338,USD,0.14,0.03,0.11,366.6667,
2023-07-27,78.31,78.54,76.68,77.1,77.1,781600,339,USD,0.14,0.03,0.11,366.6667,
2023-07-26,77.36,78.38,77.33,77.87,77.87,306562,340,USD,0.14,0.03,0.11,366.6667,
2023-07-25,77.76,77.78,76.77,77.36,77.36,266194,341,USD,0.14,0.03,0.11,366.6667,
2023-07-24,77.67,79.41,77.275,77.6,77.6,302696,342,USD,0.14,0.03,0.11,366.6667,
2023-07-21,77.74,77.88,77.0975,77.43,77.43,215650,345,USD,0.14,0.03,0.11,366.6667,
2023-07-20,78.26,78.27,76.725,77.07,77.07,322085,346,USD,0.14,0.03,0.11,366.6667,
2023-07-19,77.6,78.37,77.575,77.95,77.95,325637,347,USD,0.14,0.03,0.11,366.6667,
2023-07-18,76.89,78.45,76.835,77.81,77.81,228327,348,USD,0.14,0.03,0.11,366.6667,
2023-07-17,76.92,77.5,76.225,77.04,77.04,283187,349,USD,0.14,0.03,0.11,366.6667,
2023-07-14,78.07,78.07,76.45,77.38,77.38,327849,352,USD,0.14,0.03,0.11,366.6667,
2023-07-13,79.03,79.24,77.76,77.84,77.84,374596,353,USD,0.14,0.03,0.11,366.6667,
2023-07-12,77.89,78.76,76.96,78.76,78.76,452997,354,USD,0.14,0.03,0.11,366.6667,
2023-07-11,75.95,77.33,75.695,77.13,77.13,352794,355,USD,0.14,0.03,0.11,366.6667,
2023-07-10,74.89,76.6475,74.7325,75.68,75.68,569435,356,USD,0.14,0.03,0.11,366.6667,
2023-07-07,75.78,75.78,74.64,75.12,75.12,590991,359,USD,0.14,0.03,0.11,366.6667,
2023-07-06,75.1,75.84,74.09,75.63,75.63,555698,360,USD,0.14,0.03,0.11,366.6667,
2023-07-05,76.86,76.86,75.51,75.95,75.95,513396,361,USD,0.14,0.03,0.11,366.6667,
2023-07-03,77.24,77.71,76.91,77.04,77.04,234382,363,USD,0.14,0.03,0.11,366.6667,
2023-06-30,76.87,77.7,76.445,77.24,77.24,442437,366,USD,0.14,0.03,0.11,366.6667,61781000
2023-06-29,76.58,77.3,76.005,76.52,76.52,304686,367,USD,0.74,0.86,-0.12,-13.9535,62417000
2023-06-28,76.06,76.57,75.14,76.57,76.57,491019,368,USD,0.74,0.86,-0.12,-13.9535,62417000
2023-06-27,75.27,76.89,75.12,76.29,76.29,279662,369,USD,0.74,0.86,-0.12,-13.9535,62417000
2023-06-26,74.59,75.665,74.35,75.13,75.13,283540,370,USD,0.74,0.86,-0.12,-13.9535,62417000
2023-06-23,74.69,74.9,73.6,74.33,74.33,543999,373,USD,0.74,0.86,-0.12,-13.9535,62417000
2023-06-22,76.1,76.595,75.05,75.25,75.25,391404,374,USD,0.74,0.86,-0.12,-13.9535,62417000
2023-06-21,75.84,76.485,75.3,76.16,76.16,343898,375,USD,0.74,0.86,-0.12,-13.9535,62417000
2023-06-20,76.47,76.52,75.36,76.21,76.21,377065,376,USD,0.74,0.86,-0.12,-13.9535,62417000
2023-06-16,77.79,77.79,76.55,76.92,76.92,536260,380,USD,0.74,0.86,-0.12,-13.9535,62417000
2023-06-15,76.56,77.47,76.23,77.36,77.36,396328,381,USD,0.74,0.86,-0.12,-13.9535,62417000
2023-06-14,76.25,77.37,76.11,76.99,76.99,469457,382,USD,0.74,0.86,-0.12,-13.9535,62417000
2023-06-13,76.65,77.07,76.14,76.26,76.26,312791,383,USD,0.74,0.86,-0.12,-13.9535,62417000
2023-06-12,77.25,77.26,76.0,76.23,76.23,449762,384,USD,0.74,0.86,-0.12,-13.9535,62417000
2023-06-09,77.46,77.724,76.59,76.99,76.99,289156,387,USD,0.74,0.86,-0.12,-13.9535,62417000
2023-06-08,78.79,78.79,76.26,77.54,77.54,307221,388,USD,0.74,0.86,-0.12,-13.9535,62417000
2023-06-07,78.36,79.715,78.26,78.87,78.87,373207,389,USD,0.74,0.86,-0.12,-13.9535,62417000
2023-06-06,75.82,78.16,75.82,77.94,77.94,236894,390,USD,0.74,0.86,-0.12,-13.9535,62417000
2023-06-05,75.04,75.99,74.55,75.82,75.82,292166,391,USD,0.74,0.86,-0.12,-13.9535,62417000
2023-06-02,74.9,76.46,74.08,75.84,75.84,409759,394,USD,0.74,0.86,-0.12,-13.9535,62417000
2023-06-01,73.64,74.01,72.9,73.57,73.57,306188,395,USD,0.74,0.86,-0.12,-13.9535,62417000
2023-05-31,74.35,74.41,72.84,73.83,73.83,465554,396,USD,0.74,0.86,-0.12,-13.9535,62417000
2023-05-30,74.72,75.219,73.92,74.61,74.61,253931,397,USD,0.74,0.86,-0.12,-13.9535,62417000
2023-05-26,73.92,75.09,73.54,74.65,74.65,237761,401,USD,0.74,0.86,-0.12,-13.9535,62417000
2023-05-25,73.83,75.49,73.41,73.96,73.96,428537,402,USD,0.74,0.86,-0.12,-13.9535,62417000
2023-05-24,76.03,76.39,73.5333,73.91,73.91,290975,403,USD,0.74,0.86,-0.12,-13.9535,62417000
2023-05-23,76.26,77.125,75.655,76.01,76.01,272672,404,USD,0.74,0.86,-0.12,-13.9535,62417000
2023-05-22,75.99,76.92,75.035,76.55,76.55,412696,405,USD,0.74,0.86,-0.12,-13.9535,62417000
2023-05-19,76.61,76.61,74.565,75.75,75.75,577617,408,USD,0.74,0.86,-0.12,-13.9535,62417000
2023-05-18,76.68,77.05,76.067,76.89,76.89,370315,409,USD,0.74,0.86,-0.12,-13.9535,62417000
2023-05-17,75.83,76.92,75.575,76.44,76.44,309638,410,USD,0.74,0.86,-0.12,-13.9535,62417000
2023-05-16,76.91,76.91,75.99,76.0,75.7,341305,411,USD,0.74,0.86,-0.12,-13.9535,62417000
2023-05-15,78.73,79.08,77.19,77.55,77.2439,351884,412,USD,0.74,0.86,-0.12,-13.9535,62417000
2023-05-12,79.49,80.28,77.62,78.22,77.9112,294575,415,USD,0.74,0.86,-0.12,-13.9535,62417000
2023-05-11,79.49,80.0375,79.17,79.33,79.0169,249743,416,USD,0.74,0.86,-0.12,-13.9535,62417000
2023-05-10,81.06,81.41,78.48,79.46,79.1463,344414,417,USD,0.74,0.86,-0.12,-13.9535,62417000
2023-05-09,81.34,81.34,80.27,80.31,79.993,285907,418,USD,0.74,0.86,-0.12,-13.9535,62417000
2023-05-08,82.89,83.29,81.73,82.01,81.6863,210887,419,USD,0.74,0.86,-0.12,-13.9535,62417000
2023-05-05,81.81,83.25,81.465,82.63,82.3038,424177,422,USD,0.74,0.86,-0.12,-13.9535,62417000
2023-05-04,80.22,83.12,80.09,80.72,80.4014,480167,423,USD,0.74,0.86,-0.12,-13.9535,62417000
2023-05-03,81.3,83.68,80.67,80.98,80.6603,429878,424,USD,0.74,0.86,-0.12,-13.9535,62417000
2023-05-02,82.52,82.75,80.91,81.25,80.9293,534241,425,USD,0.74,0.86,-0.12,-13.9535,62417000
2023-05-01,83.44,85.73,83.13,83.28,82.9513,499391,426,USD,0.74,0.86,-0.12,-13.9535,62417000
2023-04-28,85.26,86.96,82.0,83.54,83.2102,924512,429,USD,0.74,0.86,-0.12,-13.9535,62417000
2023-04-27,86.14,88.17,85.49,87.6,87.2542,409975,430,USD,0.74,0.86,-0.12,-13.9535,62417000
2023-04-26,85.86,86.56,85.58,86.14,85.8,361204,431,USD,0.74,0.86,-0.12,-13.9535,62417000
2023-04-25,88.35,89.11,86.11,86.14,85.8,296614,432,USD,0.74,0.86,-0.12,-13.9535,62417000
2023-04-24,89.08,90.04,88.915,89.78,89.4256,281632,433,USD,0.74,0.86,-0.12,-13.9535,62417000
2023-04-21,88.91,89.1,87.965,88.83,88.4794,250842,436,USD,0.74,0.86,-0.12,-13.9535,62417000
2023-04-20,88.37,89.72,88.37,88.73,88.3798,274864,437,USD,0.74,0.86,-0.12,-13.9535,62417000
2023-04-19,87.79,88.48,86.89,88.41,88.061,221780,438,USD,0.74,0.86,-0.12,-13.9535,62417000
2023-04-18,87.17,87.85,87.08,87.76,87.4136,256668,439,USD,0.74,0.86,-0.12,-13.9535,62417000
2023-04-17,87.88,88.36,86.47,86.89,86.547,279649,440,USD,0.74,0.86,-0.12,-13.9535,62417000
2023-04-14,88.35,89.525,87.77,87.9,87.553,301432,443,USD,0.74,0.86,-0.12,-13.9535,62417000
2023-04-13,87.88,88.86,87.61,88.23,87.8817,253379,444,USD,0.74,0.86,-0.12,-13.9535,62417000
2023-04-12,89.24,89.28,87.63,87.78,87.4335,284991,445,USD,0.74,0.86,-0.12,-13.9535,62417000
2023-04-11,88.8,89.34,88.35,88.67,88.32,333708,446,USD,0.74,0.86,-0.12,-13.9535,62417000
2023-04-10,87.86,89.11,87.86,88.6,88.2503,270457,447,USD,0.74,0.86,-0.12,-13.9535,62417000
2023-04-06,89.0,89.0,87.42,88.39,88.0411,225474,451,USD,0.74,0.86,-0.12,-13.9535,62417000
2023-04-05,90.03,90.46,88.71,89.53,89.1766,287206,452,USD,0.74,0.86,-0.12,-13.9535,62417000
2023-04-04,91.45,91.55,89.755,90.68,90.3221,277840,453,USD,0.74,0.86,-0.12,-13.9535,62417000
2023-04-03,90.08,91.625,90.08,91.61,91.2484,246938,454,USD,0.74,0.86,-0.12,-13.9535,62417000
2023-03-31,88.55,90.29,88.22,90.24,89.8838,197419,457,USD,0.74,0.86,-0.12,-13.9535,62417000
2023-03-30,88.2,88.72,87.54,87.97,87.6228,164652,458,USD,2.02,2.28,-0.26,-11.4035,62311000
2023-03-29,87.97,88.05,87.01,87.57,87.2243,184658,459,USD,2.02,2.28,-0.26,-11.4035,62311000
2023-03-28,86.74,88.03,86.54,87.41,87.065,181108,460,USD,2.02,2.28,-0.26,-11.4035,62311000
2023-03-27,87.5,87.77,86.01,86.52,86.1785,323387,461,USD,2.02,2.28,-0.26,-11.4035,62311000
2023-03-24,85.58,86.92,84.95,86.9,86.557,338297,464,USD,2.02,2.28,-0.26,-11.4035,62311000
2023-03-23,86.05,87.36,85.01,86.03,85.6904,248332,465,USD,2.02,2.28,-0.26,-11.4035,62311000
2023-03-22,87.24,88.47,85.62,85.67,85.3318,265682,466,USD,2.02,2.28,-0.26,-11.4035,62311000
2023-03-21,87.55,88.59,87.12,87.73,87.3837,370358,467,USD,2.02,2.28,-0.26,-11.4035,62311000
2023-03-20,86.88,87.58,86.05,86.46,86.1187,278458,468,USD,2.02,2.28,-0.26,-11.4035,62311000
2023-03-17,86.51,86.76,85.48,86.0,85.6605,425830,471,USD,2.02,2.28,-0.26,-11.4035,62311000
2023-03-16,84.31,87.06,84.02,86.98,86.6367,270379,472,USD,2.02,2.28,-0.26,-11.4035,62311000
2023-03-15,84.68,85.52,83.92,85.24,84.9035,459161,473,USD,2.02,2.28,-0.26,-11.4035,62311000
2023-03-14,87.23,87.46,85.78,86.38,86.039,289953,474,USD,2.02,2.28,-0.26,-11.4035,62311000
2023-03-13,85.07,86.77,84.92,85.38,85.043,221084,475,USD,2.02,2.28,-0.26,-11.4035,62311000
2023-03-10,87.57,87.585,85.195,86.33,85.9892,247444,478,USD,2.02,2.28,-0.26,-11.4035,62311000
2023-03-09,89.08,89.24,87.39,87.57,87.2243,259964,479,USD,2.02,2.28,-0.26,-11.4035,62311000
2023-03-08,88.28,89.005,87.64,88.9,88.2503,265471,480,USD,2.02,2.28,-0.26,-11.4035,62311000
2023-03-07,88.51,89.6,88.125,88.28,87.6348,338546,481,USD,2.02,2.28,-0.26,-11.4035,62311000
2023-03-06,89.99,90.42,88.22,88.47,87.8234,416395,482,USD,2.02,2.28,-0.26,-11.4035,62311000
2023-03-03,89.72,90.02,88.26,89.99,89.3323,225695,485,USD,2.02,2.28,-0.26,-11.4035,62311000
2023-03-02,87.71,89.38,87.71,89.36,88.7069,215772,486,USD,2.02,2.28,-0.26,-11.4035,62311000
2023-03-01,87.19,88.755,87.05,88.41,87.7638,270015,487,USD,2.02,2.28,-0.26,-11.4035,62311000
2023-02-28,87.74,88.45,87.15,87.2,86.5627,301974,488,USD,2.02,2.28,-0.26,-11.4035,62311000
2023-02-27,88.4,89.03,87.64,87.96,87.3171,206840,489,USD,2.02,2.28,-0.26,-11.4035,62311000
2023-02-24,86.9,88.475,86.78,87.97,87.3271,256172,492,USD,2.02,2.28,-0.26,-11.4035,62311000
2023-02-23,88.0,88.4,87.23,87.93,87.2874,186733,493,USD,2.02,2.28,-0.26,-11.4035,62311000
2023-02-22,87.76,88.895,87.045,87.61,86.9697,241962,494,USD,2.02,2.28,-0.26,-11.4035,62311000
2023-02-21,90.07,90.245,87.305,87.52,86.8803,348550,495,USD,2.02,2.28,-0.26,-11.4035,62311000
2023-02-17,90.4,91.2,90.03,91.03,90.3647,251889,499,USD,2.02,2.28,-0.26,-11.4035,62311000
2023-02-16,90.83,91.35,90.2,90.65,89.9875,370699,500,USD,2.02,2.28,-0.26,-11.4035,62311000
2023-02-15,89.94,91.86,89.94,91.86,91.1886,218544,501,USD,2.02,2.28,-0.26,-11.4035,62311000
2023-02-14,90.99,91.88,90.215,90.88,90.2158,242255,502,USD,2.02,2.28,-0.26,-11.4035,62311000
2023-02-13,89.93,91.45,89.12,91.42,90.7518,257457,503,USD,2.02,2.28,-0.26,-11.4035,62311000
2023-02-10,89.95,90.01,88.52,89.59,88.9352,355940,506,USD,2.02,2.28,-0.26,-11.4035,62311000
2023-02-09,91.8,92.98,89.665,90.01,89.3522,282729,507,USD,2.02,2.28,-0.26,-11.4035,62311000
2023-02-08,89.81,91.48,89.11,90.49,89.8286,354037,508,USD,2.02,2.28,-0.26,-11.4035,62311000
2023-02-07,90.64,92.45,90.17,91.38,90.7121,389178,509,USD,2.02,2.28,-0.26,-11.4035,62311000
2023-02-06,92.5,92.919,90.77,91.24,90.5732,496495,510,USD,2.02,2.28,-0.26,-11.4035,62311000
2023-02-03,85.99,93.83,85.99,93.49,92.8067,1013983,513,USD,2.02,2.28,-0.26,-11.4035,62311000
2023-02-02,97.4,98.32,95.22,96.11,95.4076,547497,514,USD,2.02,2.28,-0.26,-11.4035,62311000
2023-02-01,95.6,98.04,94.885,97.4,96.6881,482985,515,USD,2.02,2.28,-0.26,-11.4035,62311000
2023-01-31,93.03,96.05,93.03,95.9,95.1991,539851,516,USD,2.02,2.28,-0.26,-11.4035,62311000
2023-01-30,90.98,93.14,90.49,92.83,92.1515,404437,517,USD,2.02,2.28,-0.26,-11.4035,62311000
2023-01-27,90.3,92.29,89.99,91.6,90.9305,276693,520,USD,2.02,2.28,-0.26,-11.4035,62311000
2023-01-26,91.15,91.6,89.445,90.85,90.186,140718,521,USD,2.02,2.28,-0.26,-11.4035,62311000
2023-01-25,89.7,90.72,88.77,90.63,89.9676,189391,522,USD,2.02,2.28,-0.26,-11.4035,62311000
2023-01-24,90.0,91.0,89.53,90.6,89.9378,157939,523,USD,2.02,2.28,-0.26,-11.4035,62311000
2023-01-23,89.32,90.91,88.8518,90.41,89.7492,188774,524,USD,2.02,2.28,-0.26,-11.4035,62311000
2023-01-20,88.23,88.97,87.09,88.84,88.1907,261845,527,USD,2.02,2.28,-0.26,-11.4035,62311000
2023-01-19,90.06,90.16,87.31,87.65,87.0094,339782,528,USD,2.02,2.28,-0.26,-11.4035,62311000
2023-01-18,91.44,92.35,90.3,90.48,89.8187,221130,529,USD,2.02,2.28,-0.26,-11.4035,62311000
2023-01-17,92.61,92.78,91.24,91.44,90.7717,200092,530,USD,2.02,2.28,-0.26,-11.4035,62311000
2023-01-13,91.44,93.35,91.03,93.03,92.3501,233169,534,USD,2.02,2.28,-0.26,-11.4035,62311000
2023-01-12,92.13,92.13,90.78,91.95,91.278,345777,535,USD,2.02,2.28,-0.26,-11.4035,62311000
2023-01-11,92.17,92.6,91.73,92.03,91.3574,363623,536,USD,2.02,2.28,-0.26,-11.4035,62311000
2023-01-10,91.77,92.722,90.755,91.88,91.2085,260959,537,USD,2.02,2.28,-0.26,-11.4035,62311000
2023-01-09,92.51,93.3399,91.085,92.26,91.5857,221796,538,USD,2.02,2.28,-0.26,-11.4035,62311000
2023-01-06,90.73,93.07,90.39,92.71,92.0324,284743,541,USD,2.02,2.28,-0.26,-11.4035,62311000
2023-01-05,90.8,91.84,89.69,90.22,89.5606,371691,542,USD,2.02,2.28,-0.26,-11.4035,62311000
2023-01-04,89.65,91.975,89.37,91.43,90.7618,291854,543,USD,2.02,2.28,-0.26,-11.4035,62311000
2023-01-03,88.67,89.33,88.03,88.61,87.9624,263268,544,USD,2.02,2.28,-0.26,-11.4035,62311000
2022-12-30,86.82,87.88,86.82,87.58,86.9399,185293,548,USD,1.8,1.68,0.12,7.1429,62210000
2022-12-29,85.42,88.023,85.42,87.83,87.1881,190547,549,USD,1.8,1.68,0.12,7.1429,62210000
2022-12-28,87.07,87.65,84.705,85.08,84.4582,192000,550,USD,1.8,1.68,0.12,7.1429,62210000
2022-12-27,86.28,87.36,85.745,87.1,86.4634,158310,551,USD,1.8,1.68,0.12,7.1429,62210000
2022-12-23,85.77,85.96,84.66,85.91,85.2821,197508,555,USD,1.8,1.68,0.12,7.1429,62210000
2022-12-22,84.81,85.96,84.7,85.9,85.2722,184206,556,USD,1.8,1.68,0.12,7.1429,62210000
2022-12-21,85.44,86.69,85.29,85.84,85.2126,264507,557,USD,1.8,1.68,0.12,7.1429,62210000
2022-12-20,83.91,84.345,82.97,83.67,83.0585,281136,558,USD,1.8,1.68,0.12,7.1429,62210000
2022-12-19,84.89,84.89,83.25,83.91,83.2967,275346,559,USD,1.8,1.68,0.12,7.1429,62210000
2022-12-16,85.02,85.474,84.1,84.43,83.8129,594498,562,USD,1.8,1.68,0.12,7.1429,62210000
2022-12-15,86.26,86.26,84.96,85.69,85.0637,423975,563,USD,1.8,1.68,0.12,7.1429,62210000
2022-12-14,88.5,89.93,87.0,87.68,87.0392,306788,564,USD,1.8,1.68,0.12,7.1429,62210000
2022-12-13,90.84,91.02,88.18,88.54,87.8929,375463,565,USD,1.8,1.68,0.12,7.1429,62210000
2022-12-12,87.47,88.21,87.047,87.99,87.3469,291899,566,USD,1.8,1.68,0.12,7.1429,62210000
2022-12-09,88.81,89.27,87.445,87.51,86.8704,302181,569,USD,1.8,1.68,0.12,7.1429,62210000
2022-12-08,88.29,89.82,87.9,89.77,89.1139,205425,570,USD,1.8,1.68,0.12,7.1429,62210000
2022-12-07,88.09,90.0299,87.38,87.79,87.1484,339374,571,USD,1.8,1.68,0.12,7.1429,62210000
2022-12-06,89.35,90.08,87.38,88.09,87.4462,397399,572,USD,1.8,1.68,0.12,7.1429,62210000
2022-12-05,89.9,89.92,88.56,89.46,88.8062,314491,573,USD,1.8,1.68,0.12,7.1429,62210000
2022-12-02,89.3,91.59,89.12,91.17,90.5037,297083,576,USD,1.8,1.68,0.12,7.1429,62210000
2022-12-01,89.75,91.06,87.88,90.17,89.511,223912,577,USD,1.8,1.68,0.12,7.1429,62210000
2022-11-30,87.57,89.64,86.765,89.59,88.9352,355279,578,USD,1.8,1.68,0.12,7.1429,62210000
2022-11-29,86.92,87.92,86.64,87.15,86.5131,279411,579,USD,1.8,1.68,0.12,7.1429,62210000
2022-11-28,88.46,89.39,86.06,86.47,85.838,299399,580,USD,1.8,1.68,0.12,7.1429,62210000
2022-11-25,88.05,89.27,86.09,89.11,88.4587,157304,583,USD,1.8,1.68,0.12,7.1429,62210000
2022-11-23,86.77,88.5,85.735,88.49,87.8433,314738,585,USD,1.8,1.68,0.12,7.1429,62210000
2022-11-22,85.44,87.21,85.25,87.16,86.523,399992,586,USD,1.8,1.68,0.12,7.1429,62210000
