date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-07-31,16.9,17.06,16.68,16.97,16.97,1190900,274,USD,0,-0.03,0.03,100,
2023-07-28,17.13,17.28,16.88,16.9,16.9,1108200,277,USD,-0.04,-0.04,0,0,
2023-07-27,17.11,17.65,16.76,16.97,16.97,2116000,278,USD,-0.04,-0.04,0,0,
2023-07-26,16.76,17.27,16.42,16.72,16.72,1682500,279,USD,-0.04,-0.04,0,0,
2023-07-25,16.52,17.035,16.34,16.8,16.8,1244500,280,USD,-0.04,-0.04,0,0,
2023-07-24,16.21,16.41,15.965,16.37,16.37,1707800,281,USD,-0.04,-0.04,0,0,
2023-07-21,16.01,16.68,15.77,16.32,16.32,2747200,284,USD,-0.04,-0.04,0,0,
2023-07-20,16.04,16.04,15.435,15.76,15.76,1534500,285,USD,-0.04,-0.04,0,0,
2023-07-19,16.45,16.45,15.975,16.1,16.1,2212400,286,USD,-0.04,-0.04,0,0,
2023-07-18,16.79,16.81,15.605,16.36,16.36,1829500,287,USD,-0.04,-0.04,0,0,
2023-07-17,16.9,17.31,16.685,16.79,16.79,1735100,288,USD,-0.04,-0.04,0,0,
2023-07-14,17.11,17.27,16.6,16.9,16.9,2131900,291,USD,-0.04,-0.04,0,0,
2023-07-13,17.0,17.665,17.0,17.15,17.15,2491200,292,USD,-0.04,-0.04,0,0,
2023-07-12,17.1,17.23,16.735,16.88,16.88,1490800,293,USD,-0.04,-0.04,0,0,
2023-07-11,16.28,16.71,16.265,16.7,16.7,1423300,294,USD,-0.04,-0.04,0,0,
2023-07-10,16.4,16.735,16.265,16.45,16.45,1222800,295,USD,-0.04,-0.04,0,0,
2023-07-07,16.12,16.595,16.0,16.4,16.4,1742900,298,USD,-0.04,-0.04,0,0,
2023-07-06,16.08,16.35,15.76,16.07,16.07,2293200,299,USD,-0.04,-0.04,0,0,
2023-07-05,16.82,17.14,16.395,16.44,16.44,3247900,300,USD,-0.04,-0.04,0,0,
2023-07-03,17.14,17.39,16.675,16.91,16.91,1222800,302,USD,-0.04,-0.04,0,0,
2023-06-30,17.85,17.98,17.34,17.34,17.34,1198500,305,USD,-0.04,-0.04,0,0,148212000
2023-06-29,17.63,17.87,17.39,17.55,17.55,1572400,306,USD,-0.04,-0.04,0,0,156519000
2023-06-28,17.46,18.05,17.29,17.6,17.6,1942500,307,USD,-0.04,-0.04,0,0,156519000
2023-06-27,17.25,17.88,16.86,17.86,17.86,1849900,308,USD,-0.04,-0.04,0,0,156519000
2023-06-26,17.54,17.94,17.0,17.14,17.14,1851700,309,USD,-0.04,-0.04,0,0,156519000
2023-06-23,17.6,17.635,17.16,17.44,17.44,2744100,312,USD,-0.04,-0.04,0,0,156519000
2023-06-22,17.84,18.34,17.57,18.01,18.01,1708600,313,USD,-0.04,-0.04,0,0,156519000
2023-06-21,18.34,18.61,17.6,17.84,17.84,2731000,314,USD,-0.04,-0.04,0,0,156519000
2023-06-20,18.03,19.07,18.03,18.52,18.52,3525400,315,USD,-0.04,-0.04,0,0,156519000
2023-06-16,18.0,18.24,17.68,18.03,18.03,5134500,319,USD,-0.04,-0.04,0,0,156519000
2023-06-15,17.51,17.89,17.332,17.72,17.72,2301800,320,USD,-0.04,-0.04,0,0,156519000
2023-06-14,17.35,17.76,17.04,17.7,17.7,2879300,321,USD,-0.04,-0.04,0,0,156519000
2023-06-13,17.36,17.845,17.35,17.5,17.5,4445200,322,USD,-0.04,-0.04,0,0,156519000
