date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-07-31,11.66,11.97,11.66,11.83,11.83,295700,335,USD,0.08,0.06,0.02,33.3333,
2023-07-28,11.57,11.78,11.53,11.63,11.63,313800,338,USD,0.08,0.06,0.02,33.3333,
2023-07-27,12.3,12.37,11.32,11.32,11.32,595500,339,USD,0.08,0.06,0.02,33.3333,
2023-07-26,11.46,12.19,11.35,12.1,12.1,527500,340,USD,0.08,0.06,0.02,33.3333,
2023-07-25,11.51,11.51,11.26,11.47,11.47,405600,341,USD,0.08,0.06,0.02,33.3333,
2023-07-24,10.98,11.54,10.68,11.38,11.38,707000,342,USD,0.08,0.06,0.02,33.3333,
2023-07-21,11.72,11.86,11.33,11.53,11.53,442000,345,USD,0.08,0.06,0.02,33.3333,
2023-07-20,11.89,12.0,11.51,11.58,11.58,328600,346,USD,0.08,0.06,0.02,33.3333,
2023-07-19,12.26,12.455,11.81,11.9,11.9,422300,347,USD,0.08,0.06,0.02,33.3333,
2023-07-18,12.07,12.44,11.87,12.12,12.12,463600,348,USD,0.08,0.06,0.02,33.3333,
2023-07-17,11.69,12.05,11.64,12.0,12.0,381300,349,USD,0.08,0.06,0.02,33.3333,
2023-07-14,11.67,11.84,11.43,11.66,11.66,396000,352,USD,0.08,0.06,0.02,33.3333,
2023-07-13,11.89,11.97,11.51,11.61,11.61,598200,353,USD,0.08,0.06,0.02,33.3333,
2023-07-12,11.71,11.96,11.54,11.81,11.81,443000,354,USD,0.08,0.06,0.02,33.3333,
2023-07-11,11.32,11.645,11.26,11.43,11.43,508300,355,USD,0.08,0.06,0.02,33.3333,
2023-07-10,10.75,11.205,10.675,11.18,11.18,827700,356,USD,0.08,0.06,0.02,33.3333,
2023-07-07,10.75,11.025,10.67,10.67,10.67,716600,359,USD,0.08,0.06,0.02,33.3333,
2023-07-06,10.54,10.67,10.28,10.64,10.64,367600,360,USD,0.08,0.06,0.02,33.3333,
2023-07-05,10.88,10.9,10.72,10.77,10.77,344100,361,USD,0.08,0.06,0.02,33.3333,
2023-07-03,11.0,11.13,10.79,11.0,11.0,239300,363,USD,0.08,0.06,0.02,33.3333,
2023-06-30,10.95,11.25,10.795,11.0,11.0,555400,366,USD,0.08,0.06,0.02,33.3333,111768800
2023-06-29,10.76,10.97,10.59,10.81,10.81,543800,367,USD,0.06,0.04,0.02,50,108234000
2023-06-28,10.48,10.73,10.32,10.73,10.73,667700,368,USD,0.06,0.04,0.02,50,108234000
2023-06-27,10.15,10.57,10.05,10.56,10.56,480300,369,USD,0.06,0.04,0.02,50,108234000
2023-06-26,9.81,10.295,9.73,10.15,10.15,558100,370,USD,0.06,0.04,0.02,50,108234000
2023-06-23,9.67,9.92,9.59,9.86,9.86,5689900,373,USD,0.06,0.04,0.02,50,108234000
2023-06-22,9.7,9.93,9.51,9.79,9.79,737500,374,USD,0.06,0.04,0.02,50,108234000
2023-06-21,10.58,10.67,9.67,9.77,9.77,1097500,375,USD,0.06,0.04,0.02,50,108234000
2023-06-20,10.7,10.84,10.5,10.71,10.71,1041700,376,USD,0.06,0.04,0.02,50,108234000
2023-06-16,11.06,11.09,10.65,10.8,10.8,700300,380,USD,0.06,0.04,0.02,50,108234000
2023-06-15,10.48,11.0,10.48,10.94,10.94,637500,381,USD,0.06,0.04,0.02,50,108234000
2023-06-14,10.89,10.89,10.58,10.59,10.59,594000,382,USD,0.06,0.04,0.02,50,108234000
2023-06-13,10.75,11.055,10.625,10.9,10.9,559400,383,USD,0.06,0.04,0.02,50,108234000
2023-06-12,10.09,10.675,10.005,10.63,10.63,653700,384,USD,0.06,0.04,0.02,50,108234000
2023-06-09,10.34,10.44,10.0,10.05,10.05,442800,387,USD,0.06,0.04,0.02,50,108234000
2023-06-08,10.56,10.595,10.101,10.26,10.26,581800,388,USD,0.06,0.04,0.02,50,108234000
2023-06-07,11.0,11.25,10.54,10.57,10.57,479800,389,USD,0.06,0.04,0.02,50,108234000
2023-06-06,10.84,11.02,10.53,10.89,10.89,701400,390,USD,0.06,0.04,0.02,50,108234000
2023-06-05,10.94,11.15,10.7,10.84,10.84,514300,391,USD,0.06,0.04,0.02,50,108234000
2023-06-02,10.54,10.94,10.54,10.92,10.92,1004400,394,USD,0.06,0.04,0.02,50,108234000
2023-06-01,9.73,10.54,9.5,10.4,10.4,1173300,395,USD,0.06,0.04,0.02,50,108234000
2023-05-31,9.6,9.78,9.49,9.74,9.74,827700,396,USD,0.06,0.04,0.02,50,108234000
2023-05-30,9.5,9.66,9.4,9.6,9.6,548800,397,USD,0.06,0.04,0.02,50,108234000
2023-05-26,9.49,9.67,9.36,9.38,9.38,614800,401,USD,0.06,0.04,0.02,50,108234000
2023-05-25,9.42,9.545,9.265,9.48,9.48,752400,402,USD,0.06,0.04,0.02,50,108234000
2023-05-24,9.33,9.39,9.2,9.35,9.35,510400,403,USD,0.06,0.04,0.02,50,108234000
2023-05-23,9.57,9.77,9.38,9.42,9.42,874800,404,USD,0.06,0.04,0.02,50,108234000
2023-05-22,9.29,9.74,9.27,9.6,9.6,577000,405,USD,0.06,0.04,0.02,50,108234000
2023-05-19,9.28,9.45,9.05,9.27,9.27,882000,408,USD,0.06,0.04,0.02,50,108234000
2023-05-18,8.98,9.215,8.87,9.17,9.17,978300,409,USD,0.06,0.04,0.02,50,108234000
2023-05-17,9.01,9.129,8.895,9.0,9.0,733800,410,USD,0.06,0.04,0.02,50,108234000
2023-05-16,9.39,9.445,8.995,9.02,9.02,618800,411,USD,0.06,0.04,0.02,50,108234000
2023-05-15,9.16,9.52,9.03,9.5,9.5,805100,412,USD,0.06,0.04,0.02,50,108234000
2023-05-12,9.69,9.765,8.751,9.12,9.12,1984400,415,USD,0.06,0.04,0.02,50,108234000
2023-05-11,9.72,9.79,9.43,9.77,9.77,505900,416,USD,0.06,0.04,0.02,50,108234000
2023-05-10,9.9,9.9,9.39,9.81,9.81,805100,417,USD,0.06,0.04,0.02,50,108234000
2023-05-09,10.02,10.06,9.53,9.75,9.75,583000,418,USD,0.06,0.04,0.02,50,108234000
2023-05-08,10.14,10.4,9.96,10.07,10.07,848300,419,USD,0.06,0.04,0.02,50,108234000
2023-05-05,9.46,10.73,8.71,10.21,10.21,1476700,422,USD,0.06,0.04,0.02,50,108234000
2023-05-04,10.07,10.12,9.66,9.9,9.9,1521400,423,USD,0.06,0.04,0.02,50,108234000
2023-05-03,10.06,10.45,9.91,10.12,10.12,1072900,424,USD,0.06,0.04,0.02,50,108234000
2023-05-02,10.6,10.67,9.515,10.01,10.01,926900,425,USD,0.06,0.04,0.02,50,108234000
2023-05-01,10.64,10.85,10.5,10.69,10.69,1440300,426,USD,0.06,0.04,0.02,50,108234000
2023-04-28,10.71,10.97,10.4,10.7,10.7,535800,429,USD,0.06,0.04,0.02,50,108234000
2023-04-27,10.76,10.91,10.41,10.73,10.73,578600,430,USD,0.06,0.04,0.02,50,108234000
2023-04-26,10.39,10.73,10.35,10.63,10.63,403700,431,USD,0.06,0.04,0.02,50,108234000
2023-04-25,11.38,11.43,10.46,10.49,10.49,393700,432,USD,0.06,0.04,0.02,50,108234000
2023-04-24,11.84,11.9,11.43,11.48,11.48,425100,433,USD,0.06,0.04,0.02,50,108234000
