date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-07-31,14.37,14.79,14.27,14.53,14.53,42611,,,,,,,
2023-07-28,14.49,14.63,14.33,14.39,14.39,10424,,,,,,,
2023-07-27,14.5,14.5,14.01,14.49,14.49,16769,,,,,,,
2023-07-26,14.44,14.6,14.38,14.53,14.53,12104,,,,,,,
2023-07-25,14.34,14.5,14.33,14.5,14.5,8402,,,,,,,
2023-07-24,14.43,14.5,14.1,14.29,14.29,14091,,,,,,,
2023-07-21,14.54,14.54,14.45,14.53,14.53,11735,,,,,,,
2023-07-20,14.7,14.73,14.47,14.54,14.54,10314,,,,,,,
2023-07-19,14.8,14.9328,14.7,14.73,14.73,21896,,,,,,,
2023-07-18,14.5,14.8,14.4816,14.77,14.77,19527,,,,,,,
2023-07-17,14.41,14.44,14.162,14.44,14.44,2024,,,,,,,
2023-07-14,14.34,14.4,14.34,14.4,14.4,4172,,,,,,,
2023-07-13,14.31,14.52,14.28,14.45,14.45,25648,,,,,,,
2023-07-12,14.23,14.49,13.96,14.45,14.45,7775,,,,,,,
2023-07-11,14.11,14.21,13.9601,14.21,14.21,8889,,,,,,,
2023-07-10,14.0,14.37,14.0,14.16,14.16,13926,,,,,,,
2023-07-07,13.95,14.17,13.95,14.0401,14.0401,7724,,,,,,,
2023-07-06,14.2,14.2,13.98,14.0,14.0,11305,,,,,,,
2023-07-05,14.13,14.33,14.1,14.22,14.22,13745,,,,,,,
2023-07-03,14.3,14.9,14.135,14.36,14.36,33938,,,,,,,
2023-06-30,13.7,14.33,13.7,14.31,14.31,68873,,,,,,,
2023-06-29,13.63,13.85,13.4626,13.81,13.81,25394,,,,,,,
2023-06-28,13.67,13.9,13.48,13.77,13.77,42690,,,,,,,
2023-06-27,13.75,13.89,13.735,13.8,13.8,67277,,,,,,,
2023-06-26,13.7,13.85,13.65,13.7,13.7,35026,,,,,,,
2023-06-23,13.9,13.9,13.48,13.87,13.87,17105,,,,,,,
2023-06-22,13.62,13.86,13.465,13.84,13.84,12715,,,,,,,
2023-06-21,13.675,13.85,13.615,13.775,13.775,76082,,,,,,,
2023-06-20,13.667,13.91,13.555,13.7,13.7,23063,,,,,,,
2023-06-16,13.77,13.82,13.4,13.7,13.7,9973,,,,,,,
2023-06-15,13.62,13.8,13.62,13.75,13.75,9032,,,,,,,
2023-06-14,13.91,13.91,13.72,13.79,13.79,15729,,,,,,,
2023-06-13,14.0,14.3,13.8,13.85,13.85,33350,,,,,,,
2023-06-12,13.78,14.16,13.71,13.9,13.9,7840,,,,,,,
2023-06-09,13.79,13.85,13.7,13.85,13.85,7924,,,,,,,
2023-06-08,13.8,13.89,13.48,13.89,13.89,14513,,,,,,,
2023-06-07,13.99,14.19,13.62,13.66,13.66,19173,,,,,,,
2023-06-06,13.865,14.115,13.86,13.93,13.93,37010,,,,,,,
2023-06-05,13.96,14.28,13.93,14.04,14.04,44012,,,,,,,
2023-06-02,13.87,14.51,13.364,14.01,14.01,136519,,,,,,,
2023-06-01,13.18,14.44,12.88,13.9,13.9,35803,,,,,,,
2023-05-31,12.65,13.19,12.41,13.04,13.04,61336,,,,,,,
2023-05-30,12.7,12.84,12.55,12.72,12.72,20442,,,,,,,
2023-05-26,12.5999,12.75,12.5,12.75,12.75,18343,,,,,,,
2023-05-25,12.58,12.715,12.55,12.6,12.6,15260,,,,,,,
2023-05-24,13.13,13.16,12.5001,12.64,12.64,13106,,,,,,,
2023-05-23,12.65,13.06,12.65,12.77,12.77,29141,,,,,,,
2023-05-22,12.9,13.0892,12.77,12.8,12.8,15821,,,,,,,
2023-05-19,12.65,12.82,12.65,12.71,12.71,4096,,,,,,,
2023-05-18,12.5,12.71,12.4,12.67,12.67,41353,,,,,,,
2023-05-17,12.35,12.59,12.05,12.5,12.5,59528,,,,,,,
2023-05-16,11.95,12.32,11.95,12.18,12.18,46767,,,,,,,
2023-05-15,11.03,12.0,11.03,12.0,12.0,42434,,,,,,,
2023-05-12,11.3,11.72,11.3,11.72,11.72,24096,,,,,,,
2023-05-11,11.56,12.0,11.56,11.63,11.2394,16190,,,,,,,
2023-05-10,11.55,12.085,11.55,12.0,11.5969,62469,,,,,,,
2023-05-09,11.53,12.08,11.5,12.08,11.6743,39406,,,,,,,
2023-05-08,11.56,11.97,11.53,11.69,11.2974,12477,,,,,,,
2023-05-05,11.9,11.9,11.5,11.61,11.61,18087,,,,,,,
2023-05-04,11.8,11.875,11.5,11.5,11.5,31261,,,,,,,
2023-05-03,12.21,12.29,11.9,11.99,11.99,12892,,,,,,,
2023-05-02,12.6,12.6,12.02,12.34,12.34,23694,,,,,,,
2023-05-01,12.6,12.82,12.57,12.57,12.57,19156,,,,,,,
2023-04-28,12.04,12.69,11.915,12.59,12.59,30287,,,,,,,
2023-04-27,11.47,12.04,11.47,11.985,11.985,17183,,,,,,,
2023-04-26,11.33,11.68,11.33,11.5,11.5,16520,,,,,,,
2023-04-25,11.66,11.73,11.47,11.47,11.47,9350,,,,,,,
2023-04-24,11.73,11.8182,11.5,11.57,11.57,11039,,,,,,,
2023-04-21,11.5,11.92,11.5,11.86,11.86,18126,,,,,,,
2023-04-20,11.75,12.05,11.61,11.64,11.64,8042,,,,,,,
2023-04-19,12.03,12.03,11.805,11.91,11.91,17070,,,,,,,
2023-04-18,12.2,12.3,11.9,12.09,12.09,27210,,,,,,,
2023-04-17,12.19,12.21,12.06,12.15,12.15,9836,,,,,,,
2023-04-14,12.69,12.69,12.2,12.2,12.2,13841,,,,,,,
2023-04-13,12.24,13.0,12.2,12.7,12.7,24896,,,,,,,
2023-04-12,13.2,13.5,11.87,12.24,12.24,116931,,,,,,,
2023-04-11,13.88,14.0,12.99,13.17,13.17,94992,,,,,,,
2023-04-10,12.48,12.64,12.48,12.54,12.54,3272,,,,,,,
2023-04-06,12.7,12.93,12.5,12.5,12.5,24034,,,,,,,
2023-04-05,12.7,12.98,12.7,12.7722,12.7722,4232,,,,,,,
2023-04-04,13.22,13.22,12.6045,12.8,12.8,7849,,,,,,,
2023-04-03,13.44,13.65,13.25,13.28,13.28,46819,,,,,,,
2023-03-31,13.18,13.42,13.0,13.38,13.38,57409,,,,,,,
2023-03-30,12.93,13.15,12.89,12.92,12.92,10762,,,,,,,
2023-03-29,12.32,12.995,12.32,12.8,12.8,30826,,,,,,,
2023-03-28,12.7,12.81,12.15,12.615,12.615,12342,,,,,,,
2023-03-27,13.17,13.17,12.8,12.82,12.82,15252,,,,,,,
2023-03-24,13.247,13.247,13.05,13.052,13.052,2680,,,,,,,
2023-03-23,13.12,13.4999,13.002,13.05,13.05,14254,,,,,,,
2023-03-22,13.33,13.3694,13.2,13.23,13.23,5752,,,,,,,
2023-03-21,13.3085,13.555,13.3085,13.5,13.5,28424,,,,,,,
2023-03-20,13.73,13.9337,13.0,13.04,13.04,19701,,,,,,,
2023-03-17,14.2,14.42,13.65,13.67,13.67,19877,,,,,,,
2023-03-16,13.45,14.75,13.45,14.48,14.48,9780,,,,,,,
2023-03-15,13.76,13.9887,13.1016,13.94,13.94,36394,,,,,,,
2023-03-14,13.74,14.15,13.74,14.09,14.09,10463,,,,,,,
2023-03-13,13.76,13.945,13.21,13.45,13.45,22148,,,,,,,
2023-03-10,13.99,14.12,13.81,13.84,13.84,16769,,,,,,,
2023-03-09,14.41,14.71,14.0,14.02,14.02,39533,,,,,,,
