date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-07-31,27.95,28.75,27.95,28.43,28.43,459100,335,USD,1.3,-0.68,1.98,291.1765,
2023-07-28,28.21,28.465,27.765,27.98,27.98,550200,338,USD,1.3,-0.68,1.98,291.1765,
2023-07-27,28.22,28.22,27.55,27.82,27.82,286800,339,USD,1.3,-0.68,1.98,291.1765,
2023-07-26,28.33,28.415,27.77,27.88,27.88,403500,340,USD,1.3,-0.68,1.98,291.1765,
2023-07-25,28.37,28.53,28.095,28.34,28.34,306500,341,USD,1.3,-0.68,1.98,291.1765,
2023-07-24,29.12,29.22,28.25,28.4,28.4,452700,342,USD,1.3,-0.68,1.98,291.1765,
2023-07-21,29.1,29.39,28.73,29.14,29.14,326200,345,USD,1.3,-0.68,1.98,291.1765,
2023-07-20,30.03,30.19,28.01,28.8,28.8,588900,346,USD,1.3,-0.68,1.98,291.1765,
2023-07-19,29.94,30.79,29.86,30.17,30.17,449500,347,USD,1.3,-0.68,1.98,291.1765,
2023-07-18,29.7,30.48,29.59,29.7,29.7,441000,348,USD,1.3,-0.68,1.98,291.1765,
2023-07-17,29.44,29.955,29.29,29.5,29.5,344300,349,USD,1.3,-0.68,1.98,291.1765,
2023-07-14,29.31,29.62,28.75,29.33,29.33,292800,352,USD,1.3,-0.68,1.98,291.1765,
2023-07-13,29.5,29.84,29.225,29.33,29.33,316200,353,USD,1.3,-0.68,1.98,291.1765,
2023-07-12,29.66,29.68,28.875,29.46,29.46,324800,354,USD,1.3,-0.68,1.98,291.1765,
2023-07-11,29.11,29.13,28.63,29.03,29.03,441900,355,USD,1.3,-0.68,1.98,291.1765,
2023-07-10,29.17,29.538,28.94,29.17,29.17,666600,356,USD,1.3,-0.68,1.98,291.1765,
2023-07-07,29.25,29.57,29.07,29.28,29.28,464100,359,USD,1.3,-0.68,1.98,291.1765,
2023-07-06,29.66,29.66,28.78,29.08,29.08,566100,360,USD,1.3,-0.68,1.98,291.1765,
2023-07-05,29.885,30.03,29.27,29.91,29.91,678800,361,USD,1.3,-0.68,1.98,291.1765,
2023-07-03,29.35,29.75,29.14,29.68,29.68,258000,363,USD,1.3,-0.68,1.98,291.1765,
2023-06-30,29.66,30.03,29.245,29.51,29.51,550400,366,USD,1.3,-0.68,1.98,291.1765,140930600
2023-06-29,29.87,30.12,29.05,29.36,29.36,482800,367,USD,-0.8,-0.7,-0.1,-14.2857,136524500
2023-06-28,29.23,30.24,28.81,29.98,29.98,1016700,368,USD,-0.8,-0.7,-0.1,-14.2857,136524500
2023-06-27,28.85,29.39,28.35,29.17,29.17,726800,369,USD,-0.8,-0.7,-0.1,-14.2857,136524500
2023-06-26,28.82,29.14,28.25,28.67,28.67,712200,370,USD,-0.8,-0.7,-0.1,-14.2857,136524500
