date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-07-31,7.16,7.39,7.15,7.37,7.37,67700,244,USD,,0.05,,,
2023-07-28,7.01,7.29,6.98,7.17,7.17,83400,247,USD,,0.05,,,
2023-07-27,6.85,7.02,6.85,6.92,6.92,267800,248,USD,,0.05,,,
2023-07-26,6.72,6.92,6.69,6.83,6.83,63500,249,USD,,0.05,,,
2023-07-25,6.93,6.93,6.68,6.69,6.69,58600,250,USD,,0.05,,,
2023-07-24,6.85,7.05,6.82,6.87,6.87,44800,251,USD,,0.05,,,
2023-07-21,6.99,7.01,6.77,6.81,6.81,86100,254,USD,,0.05,,,
2023-07-20,7.2,7.2,6.92,6.94,6.94,59400,255,USD,,0.05,,,
2023-07-19,7.32,7.35,7.18,7.21,7.21,24900,256,USD,,0.05,,,
2023-07-18,7.49,7.5,7.31,7.32,7.32,39800,257,USD,,0.05,,,
2023-07-17,7.21,7.47,7.21,7.42,7.42,42100,258,USD,,0.05,,,
2023-07-14,7.16,7.23,7.12,7.17,7.17,49000,261,USD,,0.05,,,
2023-07-13,7.17,7.24,7.07,7.16,7.16,54800,262,USD,,0.05,,,
2023-07-12,7.2,7.21,7.08,7.11,7.11,45700,263,USD,,0.05,,,
2023-07-11,7.15,7.22,7.09,7.09,7.09,29500,264,USD,,0.05,,,
2023-07-10,7.01,7.21,7.01,7.15,7.15,35800,265,USD,,0.05,,,
2023-07-07,7.06,7.19,7.02,7.05,7.05,86900,268,USD,,0.05,,,
2023-07-06,7.14,7.14,6.97,7.06,7.06,62900,269,USD,,0.05,,,
2023-07-05,7.6,7.6,7.21,7.21,7.21,60100,270,USD,,0.05,,,
2023-07-03,7.49,7.77,7.46,7.6,7.6,41900,272,USD,,0.05,,,
2023-06-30,7.54,7.62,7.47,7.49,7.49,32100,275,USD,,0.05,,,
2023-06-29,7.34,7.56,7.34,7.48,7.48,45100,276,USD,0.03,0.01,0.02,200,
2023-06-28,7.31,7.4,7.25,7.37,7.37,52900,277,USD,0.03,0.01,0.02,200,
2023-06-27,7.2,7.33,7.14,7.26,7.26,67700,278,USD,0.03,0.01,0.02,200,
2023-06-26,7.2,7.33,6.95,7.16,7.16,71200,279,USD,0.03,0.01,0.02,200,
2023-06-23,7.19,7.34,7.11,7.23,7.23,573400,282,USD,0.03,0.01,0.02,200,
2023-06-22,7.36,7.38,7.2,7.29,7.29,62000,283,USD,0.03,0.01,0.02,200,
2023-06-21,7.43,7.53,7.36,7.37,7.37,50800,284,USD,0.03,0.01,0.02,200,
2023-06-20,7.61,7.65,7.45,7.45,7.45,45800,285,USD,0.03,0.01,0.02,200,
2023-06-16,7.56,7.67,7.45,7.61,7.61,81600,289,USD,0.03,0.01,0.02,200,
2023-06-15,7.56,7.57,7.48,7.54,7.54,44600,290,USD,0.03,0.01,0.02,200,
2023-06-14,7.67,7.78,7.59,7.59,7.59,45500,291,USD,0.03,0.01,0.02,200,
2023-06-13,7.6,7.77,7.6,7.67,7.67,81800,292,USD,0.03,0.01,0.02,200,
2023-06-12,7.48,7.59,7.45,7.52,7.52,42800,293,USD,0.03,0.01,0.02,200,
2023-06-09,7.46,7.59,7.41,7.49,7.49,45100,296,USD,0.03,0.01,0.02,200,
2023-06-08,7.65,7.67,7.37,7.42,7.42,51200,297,USD,0.03,0.01,0.02,200,
2023-06-07,7.5,7.71,7.46,7.64,7.64,80900,298,USD,0.03,0.01,0.02,200,
2023-06-06,7.13,7.46,7.11,7.44,7.44,89300,299,USD,0.03,0.01,0.02,200,
2023-06-05,7.17,7.28,7.08,7.14,7.14,67600,300,USD,0.03,0.01,0.02,200,
2023-06-02,7.05,7.25,7.03,7.22,7.22,76800,303,USD,0.03,0.01,0.02,200,
2023-06-01,7.15,7.15,6.98,6.98,6.98,116500,304,USD,0.03,0.01,0.02,200,
2023-05-31,7.16,7.28,7.13,7.25,7.25,53400,305,USD,0.03,0.01,0.02,200,
2023-05-30,7.09,7.19,7.09,7.13,7.13,76600,306,USD,0.03,0.01,0.02,200,
2023-05-26,6.96,7.18,6.96,7.02,7.02,44800,310,USD,0.03,0.01,0.02,200,
2023-05-25,6.9,7.05,6.81,6.94,6.94,46900,311,USD,0.03,0.01,0.02,200,
2023-05-24,6.99,7.14,6.91,6.91,6.91,56400,312,USD,0.03,0.01,0.02,200,
2023-05-23,7.0,7.27,7.0,7.07,7.07,64800,313,USD,0.03,0.01,0.02,200,
2023-05-22,6.88,7.32,6.85,7.02,7.02,89100,314,USD,0.03,0.01,0.02,200,
2023-05-19,6.86,7.02,6.77,6.88,6.88,111200,317,USD,0.03,0.01,0.02,200,
2023-05-18,6.53,7.0,6.51,6.82,6.82,134900,318,USD,0.03,0.01,0.02,200,
2023-05-17,6.52,6.82,6.5,6.55,6.55,93500,319,USD,0.03,0.01,0.02,200,
2023-05-16,6.81,6.85,6.58,6.65,6.65,50900,320,USD,0.03,0.01,0.02,200,
