date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-07-31,1.74,1.85,1.73,1.8,1.8,22500,244,USD,,-0.02,,,
2023-07-28,1.7,1.79,1.69,1.75,1.75,21600,247,USD,,-0.02,,,
2023-07-27,1.75,1.75,1.672,1.69,1.69,17600,248,USD,,-0.02,,,
2023-07-26,1.7,1.75,1.7,1.73,1.73,13600,249,USD,,-0.02,,,
2023-07-25,1.69,1.79,1.69,1.72,1.72,15100,250,USD,,-0.02,,,
2023-07-24,1.68,1.75,1.67,1.71,1.71,27700,251,USD,,-0.02,,,
2023-07-21,1.73,1.73,1.67,1.68,1.68,14700,254,USD,,-0.02,,,
2023-07-20,1.68,1.75,1.64,1.73,1.73,27300,255,USD,,-0.02,,,
2023-07-19,1.65,1.73,1.65,1.7,1.7,11400,256,USD,,-0.02,,,
2023-07-18,1.72,1.82,1.66,1.67,1.67,18800,257,USD,,-0.02,,,
2023-07-17,1.7,1.785,1.601,1.69,1.69,23700,258,USD,,-0.02,,,
2023-07-14,1.77,1.81,1.68,1.71,1.71,11300,261,USD,,-0.02,,,
2023-07-13,1.74,1.84,1.725,1.8,1.8,32100,262,USD,,-0.02,,,
2023-07-12,1.7,1.74,1.7,1.71,1.71,21000,263,USD,,-0.02,,,
2023-07-11,1.67,1.74,1.645,1.7,1.7,45100,264,USD,,-0.02,,,
2023-07-10,1.6,1.69,1.6,1.66,1.66,51000,265,USD,,-0.02,,,
2023-07-07,1.49,1.66,1.49,1.63,1.63,96000,268,USD,,-0.02,,,
2023-07-06,1.5,1.53,1.48,1.5,1.5,34200,269,USD,,-0.02,,,
2023-07-05,1.51,1.56,1.5,1.54,1.54,27300,270,USD,,-0.02,,,
2023-07-03,1.51,1.58,1.51,1.55,1.55,17100,272,USD,,-0.02,,,
2023-06-30,1.55,1.57,1.49,1.53,1.53,105600,275,USD,,-0.02,,,65171700
2023-06-29,1.57,1.59,1.527,1.55,1.55,27700,276,USD,-0.0247,-0.06,0.0353,58.8333,45149800
2023-06-28,1.45,1.53,1.45,1.5,1.5,174300,277,USD,-0.0247,-0.06,0.0353,58.8333,45149800
2023-06-27,1.56,1.565,1.48,1.49,1.49,68700,278,USD,-0.0247,-0.06,0.0353,58.8333,45149800
2023-06-26,1.44,1.51,1.4,1.48,1.48,367700,279,USD,-0.0247,-0.06,0.0353,58.8333,45149800
2023-06-23,1.61,1.61,1.45,1.45,1.45,2900200,282,USD,-0.0247,-0.06,0.0353,58.8333,45149800
2023-06-22,1.5,1.57,1.48,1.56,1.56,76700,283,USD,-0.0247,-0.06,0.0353,58.8333,45149800
2023-06-21,1.51,1.57,1.49,1.49,1.49,59600,284,USD,-0.0247,-0.06,0.0353,58.8333,45149800
2023-06-20,1.6,1.6,1.53,1.535,1.535,44200,285,USD,-0.0247,-0.06,0.0353,58.8333,45149800
2023-06-16,1.76,1.76,1.485,1.6,1.6,698200,289,USD,-0.0247,-0.06,0.0353,58.8333,45149800
2023-06-15,1.66,1.69,1.651,1.67,1.67,45800,290,USD,-0.0247,-0.06,0.0353,58.8333,45149800
2023-06-14,1.83,2.0,1.66,1.665,1.665,66500,291,USD,-0.0247,-0.06,0.0353,58.8333,45149800
2023-06-13,1.86,1.86,1.7,1.85,1.85,97200,292,USD,-0.0247,-0.06,0.0353,58.8333,45149800
2023-06-12,1.52,1.92,1.52,1.87,1.87,117700,293,USD,-0.0247,-0.06,0.0353,58.8333,45149800
2023-06-09,1.56,1.62,1.5,1.54,1.54,74300,296,USD,-0.0247,-0.06,0.0353,58.8333,45149800
2023-06-08,1.49,1.67,1.49,1.59,1.59,147000,297,USD,-0.0247,-0.06,0.0353,58.8333,45149800
2023-06-07,1.52,1.58,1.5,1.5,1.5,137500,298,USD,-0.0247,-0.06,0.0353,58.8333,45149800
2023-06-06,1.51,1.63,1.48,1.5,1.5,111363,299,USD,-0.0247,-0.06,0.0353,58.8333,45149800
2023-06-05,1.54,1.59,1.48,1.51,1.51,113320,300,USD,-0.0247,-0.06,0.0353,58.8333,45149800
2023-06-02,1.63,1.63,1.55,1.58,1.58,40300,303,USD,-0.0247,-0.06,0.0353,58.8333,45149800
2023-06-01,1.62,1.7,1.58,1.59,1.59,51000,304,USD,-0.0247,-0.06,0.0353,58.8333,45149800
2023-05-31,1.67,1.77,1.57,1.67,1.67,201600,305,USD,-0.0247,-0.06,0.0353,58.8333,45149800
2023-05-30,1.67,1.72,1.59,1.61,1.61,68100,306,USD,-0.0247,-0.06,0.0353,58.8333,45149800
2023-05-26,1.53,1.66,1.47,1.65,1.65,297200,310,USD,-0.0247,-0.06,0.0353,58.8333,45149800
2023-05-25,1.6,1.65,1.49,1.495,1.495,173000,311,USD,-0.0247,-0.06,0.0353,58.8333,45149800
2023-05-24,1.67,1.67,1.59,1.6,1.6,61800,312,USD,-0.0247,-0.06,0.0353,58.8333,45149800
2023-05-23,1.615,1.68,1.51,1.625,1.625,113300,313,USD,-0.0247,-0.06,0.0353,58.8333,45149800
2023-05-22,1.9,1.9,1.62,1.64,1.64,204700,314,USD,-0.0247,-0.06,0.0353,58.8333,45149800
2023-05-19,2.0,2.0,1.84,1.86,1.86,38600,317,USD,-0.0247,-0.06,0.0353,58.8333,45149800
2023-05-18,1.85,1.99,1.85,1.92,1.92,56100,318,USD,-0.0247,-0.06,0.0353,58.8333,45149800
2023-05-17,1.87,1.92,1.8,1.86,1.86,50300,319,USD,-0.0247,-0.06,0.0353,58.8333,45149800
2023-05-16,1.92,1.965,1.85,1.85,1.85,31600,320,USD,-0.0247,-0.06,0.0353,58.8333,45149800
2023-05-15,1.96,2.01,1.91,1.96,1.96,26700,321,USD,-0.0247,-0.06,0.0353,58.8333,45149800
2023-05-12,2.04,2.04,1.85,1.91,1.91,44900,324,USD,-0.0247,-0.06,0.0353,58.8333,45149800
