date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-07-31,156.19,158.37,155.8,158.24,158.24,699400,335,USD,3.21,2.86,0.35,12.2378,
2023-07-28,156.43,157.25,155.01,156.03,156.03,969300,338,USD,3.21,2.86,0.35,12.2378,
2023-07-27,156.45,158.6,155.02,155.55,155.55,806800,339,USD,3.21,2.86,0.35,12.2378,
2023-07-26,158.4,160.0,154.13,154.89,154.89,1014000,340,USD,3.21,2.86,0.35,12.2378,
2023-07-25,164.97,167.89,157.9,158.98,158.98,2490200,341,USD,3.21,2.86,0.35,12.2378,
2023-07-24,148.74,150.22,148.07,150.21,150.21,1148500,342,USD,3.21,2.86,0.35,12.2378,
2023-07-21,150.73,151.03,148.62,148.82,148.82,685400,345,USD,3.21,2.86,0.35,12.2378,
2023-07-20,150.51,150.72,148.58,149.09,149.09,458100,346,USD,3.21,2.86,0.35,12.2378,
2023-07-19,150.6,151.0,148.95,150.7,150.7,406700,347,USD,3.21,2.86,0.35,12.2378,
2023-07-18,148.13,150.18,147.47,149.75,149.75,421000,348,USD,3.21,2.86,0.35,12.2378,
2023-07-17,146.39,149.56,145.96,148.11,148.11,516100,349,USD,3.21,2.86,0.35,12.2378,
2023-07-14,148.37,148.85,146.31,146.86,146.86,332600,352,USD,3.21,2.86,0.35,12.2378,
2023-07-13,148.83,150.22,148.24,149.74,149.74,483600,353,USD,3.21,2.86,0.35,12.2378,
2023-07-12,150.0,150.0,147.54,148.32,148.32,439700,354,USD,3.21,2.86,0.35,12.2378,
2023-07-11,148.33,149.42,146.55,148.69,148.69,569500,355,USD,3.21,2.86,0.35,12.2378,
2023-07-10,142.82,148.76,142.81,147.55,147.55,692000,356,USD,3.21,2.86,0.35,12.2378,
2023-07-07,142.85,144.34,142.16,143.42,143.42,637800,359,USD,3.21,2.86,0.35,12.2378,
2023-07-06,144.96,145.48,143.02,143.17,143.17,725800,360,USD,3.21,2.86,0.35,12.2378,
2023-07-05,145.27,146.45,144.32,146.24,146.24,518800,361,USD,3.21,2.86,0.35,12.2378,
2023-07-03,145.28,146.36,145.28,146.12,146.12,380000,363,USD,3.21,2.86,0.35,12.2378,
2023-06-30,147.48,148.11,146.17,146.26,146.26,748500,366,USD,3.21,2.86,0.35,12.2378,60314000
2023-06-29,144.93,145.84,144.01,145.77,145.77,395800,367,USD,2.53,2.42,0.11,4.5455,60691000
2023-06-28,145.89,146.35,142.52,144.82,144.82,485400,368,USD,2.53,2.42,0.11,4.5455,60691000
2023-06-27,144.51,146.55,144.47,146.35,146.35,397400,369,USD,2.53,2.42,0.11,4.5455,60691000
2023-06-26,144.45,145.92,144.14,144.38,144.38,369300,370,USD,2.53,2.42,0.11,4.5455,60691000
2023-06-23,143.29,144.94,142.65,144.45,144.45,609800,373,USD,2.53,2.42,0.11,4.5455,60691000
2023-06-22,145.05,146.2,144.24,144.86,144.86,516500,374,USD,2.53,2.42,0.11,4.5455,60691000
2023-06-21,148.0,148.44,145.57,145.66,145.66,581100,375,USD,2.53,2.42,0.11,4.5455,60691000
2023-06-20,151.32,152.17,148.9,149.14,149.14,696700,376,USD,2.53,2.42,0.11,4.5455,60691000
2023-06-16,153.16,154.04,151.34,151.98,151.98,1186000,380,USD,2.53,2.42,0.11,4.5455,60691000
2023-06-15,148.19,152.08,148.19,151.51,151.51,650800,381,USD,2.53,2.42,0.11,4.5455,60691000
2023-06-14,150.34,151.47,148.77,149.72,149.72,570500,382,USD,2.53,2.42,0.11,4.5455,60691000
2023-06-13,149.59,150.68,148.87,150.37,150.37,439000,383,USD,2.53,2.42,0.11,4.5455,60691000
2023-06-12,146.96,149.7,146.95,148.65,148.65,452600,384,USD,2.53,2.42,0.11,4.5455,60691000
2023-06-09,146.68,147.89,146.35,146.78,146.78,456800,387,USD,2.53,2.42,0.11,4.5455,60691000
2023-06-08,145.28,146.73,144.44,146.13,146.13,305000,388,USD,2.53,2.42,0.11,4.5455,60691000
2023-06-07,145.7,146.78,145.21,145.58,145.58,428900,389,USD,2.53,2.42,0.11,4.5455,60691000
2023-06-06,143.92,145.4,143.23,145.2,145.2,373300,390,USD,2.53,2.42,0.11,4.5455,60691000
2023-06-05,146.35,146.71,143.6,144.96,144.96,572700,391,USD,2.53,2.42,0.11,4.5455,60691000
2023-06-02,147.3,147.82,145.99,146.75,146.75,680400,394,USD,2.53,2.42,0.11,4.5455,60691000
2023-06-01,147.77,148.0,146.16,146.25,146.25,436000,395,USD,2.53,2.42,0.11,4.5455,60691000
2023-05-31,146.67,148.45,146.14,147.58,147.58,1235400,396,USD,2.53,2.42,0.11,4.5455,60691000
2023-05-30,149.26,149.42,145.85,147.63,147.63,591200,397,USD,2.53,2.42,0.11,4.5455,60691000
2023-05-26,145.33,148.95,145.04,148.2,148.2,520500,401,USD,2.53,2.42,0.11,4.5455,60691000
2023-05-25,143.92,145.8,143.81,144.95,144.95,631300,402,USD,2.53,2.42,0.11,4.5455,60691000
2023-05-24,143.79,144.44,142.07,142.65,142.65,471100,403,USD,2.53,2.42,0.11,4.5455,60691000
2023-05-23,143.57,146.09,141.64,144.27,144.27,609900,404,USD,2.53,2.42,0.11,4.5455,60691000
2023-05-22,142.53,145.27,142.15,144.75,144.75,553000,405,USD,2.53,2.42,0.11,4.5455,60691000
2023-05-19,142.53,143.33,142.22,142.53,142.53,507300,408,USD,2.53,2.42,0.11,4.5455,60691000
2023-05-18,138.24,142.38,137.88,141.98,141.98,521500,409,USD,2.53,2.42,0.11,4.5455,60691000
