date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-07-31,2.86,3.124,2.82,2.88,2.88,5300,335,USD,-0.03,-0.05,0.02,40,
2023-07-28,2.71,2.92,2.71,2.92,2.92,4100,338,USD,-0.03,-0.05,0.02,40,
2023-07-27,3.07,3.085,2.86,2.89,2.89,14500,339,USD,-0.03,-0.05,0.02,40,
2023-07-26,2.8,3.09,2.8,3.07,3.07,2600,340,USD,-0.03,-0.05,0.02,40,
2023-07-25,2.809,2.95,2.809,2.89,2.89,2900,341,USD,-0.03,-0.05,0.02,40,
2023-07-24,2.89,2.95,2.85,2.95,2.95,5800,342,USD,-0.03,-0.05,0.02,40,
2023-07-21,2.69,2.89,2.69,2.81,2.81,3200,345,USD,-0.03,-0.05,0.02,40,
2023-07-20,2.708,2.77,2.623,2.75,2.75,8000,346,USD,-0.03,-0.05,0.02,40,
2023-07-19,2.59,2.74,2.51,2.6,2.6,5400,347,USD,-0.03,-0.05,0.02,40,
2023-07-18,2.605,2.641,2.595,2.63,2.63,1900,348,USD,-0.03,-0.05,0.02,40,
2023-07-17,2.55,2.65,2.55,2.65,2.65,1700,349,USD,-0.03,-0.05,0.02,40,
2023-07-14,2.56,2.61,2.55,2.55,2.55,3700,352,USD,-0.03,-0.05,0.02,40,
2023-07-13,2.53,2.59,2.46,2.59,2.59,6200,353,USD,-0.03,-0.05,0.02,40,
2023-07-12,2.47,2.53,2.36,2.53,2.53,9900,354,USD,-0.03,-0.05,0.02,40,
2023-07-11,2.35,2.47,2.35,2.47,2.47,6000,355,USD,-0.03,-0.05,0.02,40,
2023-07-10,2.36,2.43,2.26,2.385,2.385,2300,356,USD,-0.03,-0.05,0.02,40,
2023-07-07,2.13,2.414,2.13,2.39,2.39,2500,359,USD,-0.03,-0.05,0.02,40,
2023-07-06,2.39,2.39,2.32,2.38,2.38,5500,360,USD,-0.03,-0.05,0.02,40,
2023-07-05,2.47,2.47,2.245,2.37,2.37,3000,361,USD,-0.03,-0.05,0.02,40,
2023-07-03,2.5,2.65,2.45,2.475,2.475,14000,363,USD,-0.03,-0.05,0.02,40,
2023-06-30,2.36,2.49,2.36,2.45,2.45,5400,366,USD,-0.03,-0.05,0.02,40,32261000.000000004
2023-06-29,2.11,2.35,2.11,2.35,2.35,5300,367,USD,0.19,-0.11,0.3,272.7273,32300199.999999996
2023-06-28,2.13,2.3,2.13,2.21,2.21,7900,368,USD,0.19,-0.11,0.3,272.7273,32300199.999999996
2023-06-27,2.33,2.33,2.05,2.12,2.12,103600,369,USD,0.19,-0.11,0.3,272.7273,32300199.999999996
2023-06-26,2.35,2.35,2.325,2.34,2.34,1700,370,USD,0.19,-0.11,0.3,272.7273,32300199.999999996
2023-06-23,2.34,2.45,2.325,2.365,2.365,12600,373,USD,0.19,-0.11,0.3,272.7273,32300199.999999996
2023-06-22,2.26,2.42,2.26,2.33,2.33,2400,374,USD,0.19,-0.11,0.3,272.7273,32300199.999999996
2023-06-21,2.3,2.3,2.22,2.22,2.22,12200,375,USD,0.19,-0.11,0.3,272.7273,32300199.999999996
2023-06-20,2.37,2.61,2.29,2.34,2.34,12500,376,USD,0.19,-0.11,0.3,272.7273,32300199.999999996
2023-06-16,2.2,2.3,2.18,2.3,2.3,33300,380,USD,0.19,-0.11,0.3,272.7273,32300199.999999996
2023-06-15,2.26,2.26,2.16,2.17,2.17,60600,381,USD,0.19,-0.11,0.3,272.7273,32300199.999999996
2023-06-14,2.4,2.4,2.26,2.3,2.3,29400,382,USD,0.19,-0.11,0.3,272.7273,32300199.999999996
2023-06-13,2.37,2.659,2.37,2.45,2.45,15700,383,USD,0.19,-0.11,0.3,272.7273,32300199.999999996
2023-06-12,2.37,2.4,2.28,2.38,2.38,15500,384,USD,0.19,-0.11,0.3,272.7273,32300199.999999996
2023-06-09,2.44,2.44,2.3,2.41,2.41,12800,387,USD,0.19,-0.11,0.3,272.7273,32300199.999999996
2023-06-08,2.54,2.6,2.52,2.52,2.52,6000,388,USD,0.19,-0.11,0.3,272.7273,32300199.999999996
2023-06-07,2.6,2.61,2.51,2.61,2.61,3800,389,USD,0.19,-0.11,0.3,272.7273,32300199.999999996
2023-06-06,2.44,2.572,2.41,2.55,2.55,12700,390,USD,0.19,-0.11,0.3,272.7273,32300199.999999996
2023-06-05,2.68,2.72,2.36,2.45,2.45,30100,391,USD,0.19,-0.11,0.3,272.7273,32300199.999999996
2023-06-02,2.49,2.59,2.48,2.56,2.56,8700,394,USD,0.19,-0.11,0.3,272.7273,32300199.999999996
2023-06-01,2.43,2.53,2.36,2.48,2.48,2200,395,USD,0.19,-0.11,0.3,272.7273,32300199.999999996
2023-05-31,2.4,2.44,2.39,2.39,2.39,73800,396,USD,0.19,-0.11,0.3,272.7273,32300199.999999996
2023-05-30,2.37,2.42,2.363,2.39,2.39,25100,397,USD,0.19,-0.11,0.3,272.7273,32300199.999999996
2023-05-26,2.32,2.38,2.32,2.38,2.38,5300,401,USD,0.19,-0.11,0.3,272.7273,32300199.999999996
2023-05-25,2.393,2.393,2.31,2.31,2.31,7200,402,USD,0.19,-0.11,0.3,272.7273,32300199.999999996
2023-05-24,2.36,2.39,2.35,2.38,2.38,15400,403,USD,0.19,-0.11,0.3,272.7273,32300199.999999996
2023-05-23,2.4,2.63,2.36,2.36,2.36,30400,404,USD,0.19,-0.11,0.3,272.7273,32300199.999999996
2023-05-22,2.4,2.47,2.37,2.37,2.37,6700,405,USD,0.19,-0.11,0.3,272.7273,32300199.999999996
2023-05-19,2.3,2.4,2.3,2.385,2.385,14100,408,USD,0.19,-0.11,0.3,272.7273,32300199.999999996
2023-05-18,2.353,2.429,2.27,2.27,2.27,49100,409,USD,0.19,-0.11,0.3,272.7273,32300199.999999996
2023-05-17,2.405,2.44,2.35,2.43,2.43,27000,410,USD,0.19,-0.11,0.3,272.7273,32300199.999999996
2023-05-16,2.36,2.42,2.34,2.41,2.41,27800,411,USD,0.19,-0.11,0.3,272.7273,32300199.999999996
2023-05-15,2.44,2.545,2.35,2.41,2.41,14600,412,USD,0.19,-0.11,0.3,272.7273,32300199.999999996
2023-05-12,2.42,2.515,2.33,2.39,2.39,74000,415,USD,0.19,-0.11,0.3,272.7273,32300199.999999996
