date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-07-31,29.67,30.84,29.67,30.77,30.77,831500,335,USD,0.11,0.05,0.06,120,
2023-07-28,29.42,29.73,28.89,29.66,29.66,531600,338,USD,0.11,0.05,0.06,120,
2023-07-27,29.67,29.94,28.92,28.94,28.94,1083100,339,USD,0.11,0.05,0.06,120,
2023-07-26,29.42,29.78,28.88,29.0,29.0,533900,340,USD,0.11,0.05,0.06,120,
2023-07-25,29.42,29.91,29.18,29.62,29.62,532300,341,USD,0.11,0.05,0.06,120,
2023-07-24,29.0,29.12,28.3,28.97,28.97,641900,342,USD,0.11,0.05,0.06,120,
2023-07-21,29.44,29.885,28.89,28.94,28.94,574600,345,USD,0.11,0.05,0.06,120,
2023-07-20,29.5,29.7,28.905,29.19,29.19,957700,346,USD,0.11,0.05,0.06,120,
2023-07-19,30.74,30.846,29.5,29.8,29.8,936000,347,USD,0.11,0.05,0.06,120,
2023-07-18,30.44,30.94,30.236,30.44,30.44,702700,348,USD,0.11,0.05,0.06,120,
2023-07-17,29.78,30.82,29.59,30.4,30.4,2258500,349,USD,0.11,0.05,0.06,120,
2023-07-14,29.31,29.93,28.69,29.19,29.19,883800,352,USD,0.11,0.05,0.06,120,
2023-07-13,28.52,29.81,28.398,29.65,29.65,950300,353,USD,0.11,0.05,0.06,120,
2023-07-12,28.4,28.57,27.57,28.09,28.09,742800,354,USD,0.11,0.05,0.06,120,
2023-07-11,27.15,27.89,26.9,27.87,27.87,582900,355,USD,0.11,0.05,0.06,120,
2023-07-10,26.4,27.37,25.952,27.35,27.35,841900,356,USD,0.11,0.05,0.06,120,
2023-07-07,26.88,27.18,26.12,26.4,26.4,750600,359,USD,0.11,0.05,0.06,120,
2023-07-06,27.02,27.15,26.51,26.83,26.83,535200,360,USD,0.11,0.05,0.06,120,
2023-07-05,26.88,27.51,26.63,27.42,27.42,623800,361,USD,0.11,0.05,0.06,120,
