date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-07-31,12.69,13.19,12.48,12.86,12.86,17200,335,USD,0.23,0.22,0.01,4.5455,
2023-07-28,12.65,12.65,12.26,12.57,12.57,12100,338,USD,0.23,0.22,0.01,4.5455,
2023-07-27,12.45,12.67,12.23,12.52,12.52,17900,339,USD,0.23,0.22,0.01,4.5455,
2023-07-26,12.22,12.94,11.39,12.36,12.36,18300,340,USD,0.23,0.22,0.01,4.5455,
2023-07-25,12.207,12.21,11.74,11.93,11.93,6400,341,USD,0.23,0.22,0.01,4.5455,
2023-07-24,11.21,12.16,10.83,12.16,12.16,11300,342,USD,0.23,0.22,0.01,4.5455,
2023-07-21,11.76,12.34,11.47,11.47,11.47,22700,345,USD,0.23,0.22,0.01,4.5455,
2023-07-20,12.59,12.59,11.41,11.46,11.46,31300,346,USD,0.23,0.22,0.01,4.5455,
2023-07-19,11.32,12.62,10.817,12.62,12.62,16000,347,USD,0.23,0.22,0.01,4.5455,
2023-07-18,10.28,11.47,10.28,11.32,11.32,22300,348,USD,0.23,0.22,0.01,4.5455,
2023-07-17,10.57,10.79,10.11,10.39,10.39,25900,349,USD,0.23,0.22,0.01,4.5455,
2023-07-14,10.65,10.675,10.36,10.51,10.51,17000,352,USD,0.23,0.22,0.01,4.5455,
2023-07-13,10.56,10.69,10.46,10.63,10.63,13700,353,USD,0.23,0.22,0.01,4.5455,
2023-07-12,10.46,11.01,10.33,10.58,10.58,23700,354,USD,0.23,0.22,0.01,4.5455,
2023-07-11,10.47,10.795,10.27,10.44,10.44,10700,355,USD,0.23,0.22,0.01,4.5455,
2023-07-10,10.55,10.75,10.19,10.51,10.51,13800,356,USD,0.23,0.22,0.01,4.5455,
2023-07-07,10.31,10.665,10.31,10.63,10.63,59100,359,USD,0.23,0.22,0.01,4.5455,
2023-07-06,10.5,10.5,10.11,10.11,10.11,35000,360,USD,0.23,0.22,0.01,4.5455,
2023-07-05,10.81,10.85,10.566,10.71,10.71,17600,361,USD,0.23,0.22,0.01,4.5455,
2023-07-03,10.76,10.94,10.395,10.83,10.83,23700,363,USD,0.23,0.22,0.01,4.5455,
2023-06-30,10.37,10.87,10.37,10.77,10.77,21300,366,USD,0.23,0.22,0.01,4.5455,18058600
2023-06-29,10.63,10.8,10.5,10.77,10.77,32900,367,USD,0.27,0.24,0.03,12.5,18296400
2023-06-28,10.74,10.81,10.4,10.58,10.58,20800,368,USD,0.27,0.24,0.03,12.5,18296400
2023-06-27,10.92,10.95,10.505,10.8,10.8,33100,369,USD,0.27,0.24,0.03,12.5,18296400
2023-06-26,10.48,10.94,10.48,10.9,10.9,46100,370,USD,0.27,0.24,0.03,12.5,18296400
2023-06-23,10.27,10.74,10.21,10.5,10.5,207700,373,USD,0.27,0.24,0.03,12.5,18296400
2023-06-22,10.26,10.51,10.147,10.4,10.4,23400,374,USD,0.27,0.24,0.03,12.5,18296400
2023-06-21,10.61,10.63,10.25,10.5,10.5,37000,375,USD,0.27,0.24,0.03,12.5,18296400
2023-06-20,10.76,10.94,10.5,10.57,10.57,46300,376,USD,0.27,0.24,0.03,12.5,18296400
2023-06-16,10.71,10.89,10.5,10.76,10.76,53200,380,USD,0.27,0.24,0.03,12.5,18296400
2023-06-15,10.47,10.82,10.39,10.6,10.6,36300,381,USD,0.27,0.24,0.03,12.5,18296400
2023-06-14,10.62,10.87,10.42,10.58,10.58,55600,382,USD,0.27,0.24,0.03,12.5,18296400
2023-06-13,10.3,10.749,10.29,10.62,10.62,36000,383,USD,0.27,0.24,0.03,12.5,18296400
2023-06-12,10.46,10.64,10.27,10.28,10.28,26500,384,USD,0.27,0.24,0.03,12.5,18296400
2023-06-09,10.46,10.668,10.13,10.44,10.44,51000,387,USD,0.27,0.24,0.03,12.5,18296400
2023-06-08,10.65,10.78,10.27,10.45,10.45,27800,388,USD,0.27,0.24,0.03,12.5,18296400
2023-06-07,10.52,10.76,10.32,10.65,10.65,49100,389,USD,0.27,0.24,0.03,12.5,18296400
2023-06-06,10.84,10.98,10.32,10.47,10.47,49500,390,USD,0.27,0.24,0.03,12.5,18296400
2023-06-05,10.61,10.97,10.36,10.7,10.7,39800,391,USD,0.27,0.24,0.03,12.5,18296400
2023-06-02,10.17,10.63,10.17,10.63,10.63,24200,394,USD,0.27,0.24,0.03,12.5,18296400
2023-06-01,10.22,10.85,10.02,10.17,10.17,39900,395,USD,0.27,0.24,0.03,12.5,18296400
2023-05-31,10.32,10.48,10.11,10.22,10.22,26300,396,USD,0.27,0.24,0.03,12.5,18296400
2023-05-30,10.39,10.425,10.115,10.22,10.22,9400,397,USD,0.27,0.24,0.03,12.5,18296400
2023-05-26,10.14,10.54,10.07,10.38,10.38,14600,401,USD,0.27,0.24,0.03,12.5,18296400
2023-05-25,10.61,11.02,10.06,10.15,10.15,18500,402,USD,0.27,0.24,0.03,12.5,18296400
2023-05-24,10.44,10.91,10.43,10.63,10.63,28700,403,USD,0.27,0.24,0.03,12.5,18296400
2023-05-23,10.18,10.71,10.001,10.53,10.53,28800,404,USD,0.27,0.24,0.03,12.5,18296400
2023-05-22,9.58,10.36,9.23,10.19,10.19,27500,405,USD,0.27,0.24,0.03,12.5,18296400
2023-05-19,9.57,9.735,9.34,9.43,9.43,19500,408,USD,0.27,0.24,0.03,12.5,18296400
2023-05-18,9.365,9.525,9.25,9.4,9.4,20200,409,USD,0.27,0.24,0.03,12.5,18296400
2023-05-17,8.94,9.93,8.74,9.43,9.43,38000,410,USD,0.27,0.24,0.03,12.5,18296400
2023-05-16,8.97,9.3,8.845,9.04,9.04,11500,411,USD,0.27,0.24,0.03,12.5,18296400
2023-05-15,8.49,9.22,8.49,9.0,9.0,42400,412,USD,0.27,0.24,0.03,12.5,18296400
2023-05-12,8.5,8.61,8.38,8.525,8.525,23200,415,USD,0.27,0.24,0.03,12.5,18296400
2023-05-11,8.75,9.11,8.3,8.49,8.49,54200,416,USD,0.27,0.24,0.03,12.5,18296400
2023-05-10,8.8,8.91,8.31,8.76,8.76,62879,417,USD,0.27,0.24,0.03,12.5,18296400
2023-05-09,8.78,8.85,8.6101,8.75,8.75,20314,418,USD,0.27,0.24,0.03,12.5,18296400
2023-05-08,8.97,8.97,8.66,8.76,8.76,25356,419,USD,0.27,0.24,0.03,12.5,18296400
2023-05-05,9.14,9.2599,8.75,8.8,8.8,40000,422,USD,0.27,0.24,0.03,12.5,18296400
2023-05-04,9.02,9.25,8.68,8.85,8.85,29805,423,USD,0.27,0.24,0.03,12.5,18296400
2023-05-03,8.89,9.41,8.89,9.01,9.01,28435,424,USD,0.27,0.24,0.03,12.5,18296400
2023-05-02,9.58,9.58,8.88,9.025,9.025,33752,425,USD,0.27,0.24,0.03,12.5,18296400
2023-05-01,9.61,9.715,9.3983,9.59,9.59,17515,426,USD,0.27,0.24,0.03,12.5,18296400
2023-04-28,9.68,9.76,9.31,9.61,9.61,18990,429,USD,0.27,0.24,0.03,12.5,18296400
2023-04-27,9.38,9.8,9.1999,9.65,9.65,58828,430,USD,0.27,0.24,0.03,12.5,18296400
2023-04-26,9.36,9.37,9.17,9.3,9.3,40385,431,USD,0.27,0.24,0.03,12.5,18296400
2023-04-25,9.63,9.63,9.36,9.42,9.42,20748,432,USD,0.27,0.24,0.03,12.5,18296400
2023-04-24,9.52,9.84,9.3657,9.55,9.55,22535,433,USD,0.27,0.24,0.03,12.5,18296400
2023-04-21,9.67,10.155,9.56,9.56,9.56,33110,436,USD,0.27,0.24,0.03,12.5,18296400
2023-04-20,10.0,10.03,9.77,9.9,9.9,20835,437,USD,0.27,0.24,0.03,12.5,18296400
2023-04-19,9.86,10.11,9.77,10.0,10.0,24231,438,USD,0.27,0.24,0.03,12.5,18296400
2023-04-18,10.21,10.21,9.86,9.92,9.92,30265,439,USD,0.27,0.24,0.03,12.5,18296400
2023-04-17,9.77,10.2,9.63,10.13,10.13,33867,440,USD,0.27,0.24,0.03,12.5,18296400
2023-04-14,10.13,10.13,9.67,9.7,9.7,26626,443,USD,0.27,0.24,0.03,12.5,18296400
2023-04-13,9.98,10.07,9.81,10.01,10.01,29803,444,USD,0.27,0.24,0.03,12.5,18296400
2023-04-12,10.28,10.28,9.99,10.045,10.045,24397,445,USD,0.27,0.24,0.03,12.5,18296400
2023-04-11,10.35,10.5,10.265,10.34,10.34,29646,446,USD,0.27,0.24,0.03,12.5,18296400
2023-04-10,10.35,10.4313,10.1718,10.3,10.3,117591,447,USD,0.27,0.24,0.03,12.5,18296400
2023-04-06,10.22,10.39,10.1133,10.32,10.32,65227,451,USD,0.27,0.24,0.03,12.5,18296400
2023-04-05,10.11,10.43,10.0,10.11,10.11,67976,452,USD,0.27,0.24,0.03,12.5,18296400
2023-04-04,10.955,10.955,10.07,10.28,10.28,77741,453,USD,0.27,0.24,0.03,12.5,18296400
2023-04-03,10.57,10.975,10.52,10.82,10.82,27955,454,USD,0.27,0.24,0.03,12.5,18296400
2023-03-31,10.86,10.86,10.5,10.65,10.65,38924,457,USD,0.27,0.24,0.03,12.5,18296400
2023-03-30,11.33,11.33,10.4,10.75,10.75,49023,458,USD,0.22,0.38,-0.16,-42.1053,18489600
2023-03-29,11.71,11.84,11.31,11.35,11.35,18327,459,USD,0.22,0.38,-0.16,-42.1053,18489600
2023-03-28,11.57,11.78,11.305,11.74,11.74,36204,460,USD,0.22,0.38,-0.16,-42.1053,18489600
2023-03-27,11.7,11.75,11.48,11.53,11.53,26651,461,USD,0.22,0.38,-0.16,-42.1053,18489600
2023-03-24,11.59,11.63,11.35,11.62,11.62,39134,464,USD,0.22,0.38,-0.16,-42.1053,18489600
2023-03-23,11.99,12.24,11.58,11.63,11.63,19472,465,USD,0.22,0.38,-0.16,-42.1053,18489600
2023-03-22,12.2,12.2,11.83,11.92,11.92,54809,466,USD,0.22,0.38,-0.16,-42.1053,18489600
