date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-07-31,80.74,81.0,79.1,79.42,79.42,1920600,335,USD,0.93,0.89,0.04,4.4944,
2023-07-28,81.08,81.09,79.71,80.69,80.69,1649200,338,USD,0.93,0.89,0.04,4.4944,
2023-07-27,82.13,82.31,80.27,80.39,80.39,1896400,339,USD,0.93,0.89,0.04,4.4944,
2023-07-26,81.16,82.11,80.76,81.9,81.9,1342300,340,USD,0.93,0.89,0.04,4.4944,
2023-07-25,81.01,81.96,80.75,81.47,81.47,1209000,341,USD,0.93,0.89,0.04,4.4944,
2023-07-24,81.27,82.45,81.21,81.32,81.32,1543900,342,USD,0.93,0.89,0.04,4.4944,
2023-07-21,79.71,81.58,79.26,80.88,80.88,7171300,345,USD,0.93,0.89,0.04,4.4944,
2023-07-20,78.92,80.04,78.17,79.3,79.3,1566700,346,USD,0.93,0.89,0.04,4.4944,
2023-07-19,77.77,78.87,77.48,78.54,78.54,1992200,347,USD,0.93,0.89,0.04,4.4944,
2023-07-18,78.92,78.92,77.63,77.77,77.77,1773600,348,USD,0.93,0.89,0.04,4.4944,
2023-07-17,79.96,79.96,78.65,78.96,78.96,1295300,349,USD,0.93,0.89,0.04,4.4944,
2023-07-14,80.33,80.79,79.76,80.32,80.32,931600,352,USD,0.93,0.89,0.04,4.4944,
2023-07-13,79.02,79.33,78.77,79.28,79.28,939200,353,USD,0.93,0.89,0.04,4.4944,
2023-07-12,79.46,79.58,78.88,78.99,78.99,1076700,354,USD,0.93,0.89,0.04,4.4944,
2023-07-11,78.67,79.51,78.35,79.09,79.09,1002200,355,USD,0.93,0.89,0.04,4.4944,
2023-07-10,77.5,78.98,77.49,78.55,78.55,1365000,356,USD,0.93,0.89,0.04,4.4944,
2023-07-07,77.78,78.24,77.43,77.51,77.51,1249800,359,USD,0.93,0.89,0.04,4.4944,
2023-07-06,78.2,78.43,77.4,78.02,78.02,1314600,360,USD,0.93,0.89,0.04,4.4944,
2023-07-05,79.48,79.58,78.57,78.83,78.83,1256800,361,USD,0.93,0.89,0.04,4.4944,
