date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-07-31,22.53,23.41,22.4,23.29,23.29,24200,274,USD,,,,,
2023-07-28,22.39,22.99,22.36,22.82,22.82,16400,277,USD,0.0571,,,,
2023-07-27,22.3,22.62,22.23,22.5,22.5,11300,278,USD,0.0571,,,,
2023-07-26,22.59,22.69,22.24,22.3,22.3,17000,279,USD,0.0571,,,,
2023-07-25,22.59,22.59,22.18,22.3,22.3,14600,280,USD,0.0571,,,,
2023-07-24,22.31,22.98,22.1,22.74,22.74,21100,281,USD,0.0571,,,,
2023-07-21,22.31,22.4,22.19,22.2,22.2,15500,284,USD,0.0571,,,,
2023-07-20,22.04,22.2,21.76,22.2,22.2,7100,285,USD,0.0571,,,,
2023-07-19,21.83,22.29,21.83,21.99,21.99,13800,286,USD,0.0571,,,,
2023-07-18,21.5,22.07,21.5,21.94,21.94,13200,287,USD,0.0571,,,,
2023-07-17,21.86,23.04,21.43,21.44,21.44,16600,288,USD,0.0571,,,,
2023-07-14,21.61,22.11,21.61,21.68,21.68,11500,291,USD,0.0571,,,,
2023-07-13,22.09,22.3,21.6,21.68,21.68,23000,292,USD,0.0571,,,,
2023-07-12,22.61,23.1,21.96,22.2,22.2,26700,293,USD,0.0571,,,,
2023-07-11,21.74,22.02,21.68,21.85,21.85,25500,294,USD,0.0571,,,,
2023-07-10,21.11,21.66,20.99,21.46,21.46,32400,295,USD,0.0571,,,,
2023-07-07,21.14,21.35,20.77,21.21,21.21,36500,298,USD,0.0571,,,,
2023-07-06,21.19,21.29,20.56,20.85,20.85,46300,299,USD,0.0571,,,,
2023-07-05,21.7,21.7,21.16,21.16,21.16,31500,300,USD,0.0571,,,,
2023-07-03,21.65,22.02,21.53,21.67,21.67,6400,302,USD,0.0571,,,,
2023-06-30,21.57,21.65,21.4,21.65,21.65,9400,305,USD,0.0571,,,,6516000
2023-06-29,22.18,22.18,21.53,21.55,21.55,21900,306,USD,0.0571,,,,6622000
2023-06-28,21.6,21.72,21.2,21.26,21.26,14800,307,USD,0.0571,,,,6622000
2023-06-27,21.25,21.99,21.25,21.36,21.36,26100,308,USD,0.0571,,,,6622000
2023-06-26,20.87,21.39,20.78,21.38,21.38,14100,309,USD,0.0571,,,,6622000
2023-06-23,21.5,21.57,21.01,21.09,21.09,37400,312,USD,0.0571,,,,6622000
2023-06-22,21.75,21.79,21.46,21.64,21.48,21500,313,USD,0.0571,,,,6622000
2023-06-21,21.87,22.19,21.57,21.69,21.5296,23700,314,USD,0.0571,,,,6622000
2023-06-20,21.87,22.23,21.67,22.08,21.9167,18600,315,USD,0.0571,,,,6622000
2023-06-16,22.45,22.45,21.7,21.75,21.5892,15825,319,USD,0.0571,,,,6622000
2023-06-15,22.205,22.5285,22.205,22.45,22.284,37755,320,USD,0.0571,,,,6622000
2023-06-14,22.37,22.7,22.345,22.5,22.3336,26269,321,USD,0.0571,,,,6622000
2023-06-13,21.9,22.62,21.78,22.51,22.3436,54938,322,USD,0.0571,,,,6622000
2023-06-12,22.0,22.2,21.81,21.98,21.8175,41169,323,USD,0.0571,,,,6622000
2023-06-09,22.79,22.79,22.0,22.05,21.887,26033,326,USD,0.0571,,,,6622000
2023-06-08,22.58,22.58,22.07,22.535,22.3684,29478,327,USD,0.0571,,,,6622000
2023-06-07,22.4,22.9,21.665,22.61,22.4428,73842,328,USD,0.0571,,,,6622000
2023-06-06,21.48,22.68,21.48,22.62,22.4528,30331,329,USD,0.0571,,,,6622000
2023-06-05,21.68,21.9,21.54,21.65,21.4899,47032,330,USD,0.0571,,,,6622000
2023-06-02,21.2,22.1176,20.98,21.84,21.6785,71590,333,USD,0.0571,,,,6622000
2023-06-01,21.125,21.41,21.0207,21.2,21.0433,9351,334,USD,0.0571,,,,6622000
2023-05-31,21.19,21.31,21.0,21.05,20.8944,20928,335,USD,0.0571,,,,6622000
2023-05-30,21.4,21.43,21.04,21.06,20.9043,17409,336,USD,0.0571,,,,6622000
2023-05-26,21.32,21.8,21.09,21.27,21.1127,15845,340,USD,0.0571,,,,6622000
2023-05-25,21.55,21.62,21.0,21.43,21.2716,15542,341,USD,0.0571,,,,6622000
2023-05-24,21.4661,21.51,21.0024,21.1,20.944,13599,342,USD,0.0571,,,,6622000
2023-05-23,21.67,21.8999,21.23,21.36,21.2021,23498,343,USD,0.0571,,,,6622000
2023-05-22,21.72,21.9908,21.4,21.68,21.5197,17960,344,USD,0.0571,,,,6622000
2023-05-19,21.63,22.0632,21.63,21.88,21.7182,8417,347,USD,0.0571,,,,6622000
2023-05-18,22.182,22.182,21.68,21.72,21.5594,34079,348,USD,0.0571,,,,6622000
2023-05-17,21.92,21.94,21.715,21.94,21.7778,5604,349,USD,0.0571,,,,6622000
2023-05-16,22.17,22.17,21.56,21.61,21.4502,10271,350,USD,0.0571,,,,6622000
2023-05-15,22.3,22.72,21.7601,21.94,21.7778,21177,351,USD,0.0571,,,,6622000
2023-05-12,21.5,22.26,21.5,22.1,21.9366,14232,354,USD,0.0571,,,,6622000
2023-05-11,21.59,21.66,21.21,21.65,21.4899,12314,355,USD,0.0571,,,,6622000
2023-05-10,21.79,21.85,21.21,21.66,21.4999,10467,356,USD,0.0571,,,,6622000
2023-05-09,21.41,21.75,21.305,21.51,21.351,17929,357,USD,0.0571,,,,6622000
2023-05-08,21.87,21.9899,21.355,21.41,21.2517,14189,358,USD,0.0571,,,,6622000
2023-05-05,21.55,22.34,21.4201,21.79,21.6289,20875,361,USD,0.0571,,,,6622000
