date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-07-31,48.87,49.71,48.84,49.64,48.9742,366492,335,USD,1.6154,,,,
2023-07-28,49.47,49.48,48.81,48.98,48.323,142363,338,USD,1.6154,,,,
2023-07-27,49.97,49.97,48.65,48.94,48.2836,199489,339,USD,1.6154,,,,
2023-07-26,48.56,49.82,48.19,49.55,48.8854,354513,340,USD,1.6154,,,,
2023-07-25,48.65,48.915,47.9805,48.11,47.4647,164071,341,USD,1.6154,,,,
2023-07-24,47.98,49.13,47.77,48.72,48.0665,133927,342,USD,1.6154,,,,
2023-07-21,49.3,49.3,48.07,48.18,47.5338,189631,345,USD,1.6154,,,,
2023-07-20,48.19,49.12,47.495,49.11,48.4513,297069,346,USD,1.6154,,,,
2023-07-19,48.5,48.78,47.9,48.05,47.4055,811194,347,USD,1.6154,,,,
2023-07-18,47.06,48.63,47.06,48.36,47.7114,214632,348,USD,1.6154,,,,
2023-07-17,45.73,47.4,45.525,47.07,46.4387,129289,349,USD,1.6154,,,,
2023-07-14,46.4,46.4,45.15,45.86,45.2449,151105,352,USD,1.6154,,,,
2023-07-13,46.09,46.795,45.68,46.13,45.5113,167130,353,USD,1.6154,,,,
2023-07-12,45.91,46.38,45.46,45.86,45.2449,188464,354,USD,1.6154,,,,
2023-07-11,45.24,45.36,44.8,45.04,44.4359,154921,355,USD,1.6154,,,,
2023-07-10,44.76,45.37,44.49,44.96,44.357,162919,356,USD,1.6154,,,,
2023-07-07,44.0,45.21,44.0,44.68,44.0807,183462,359,USD,1.6154,,,,
2023-07-06,44.17,44.17,43.62,43.97,43.3802,159887,360,USD,1.6154,,,,
2023-07-05,44.68,45.3,44.38,44.79,44.1892,180562,361,USD,1.6154,,,,
2023-07-03,44.05,45.44,44.05,45.08,44.4754,93418,363,USD,1.6154,,,,
2023-06-30,45.07,45.36,43.99,44.2,43.6072,209845,366,USD,1.6154,,,,62205300
2023-06-29,43.88,44.91,43.47,44.68,44.0807,142065,367,USD,1.63,,,,62282300
2023-06-28,43.52,43.86,43.01,43.42,42.8376,195011,368,USD,1.63,,,,62282300
2023-06-27,43.39,44.155,42.91,43.68,43.0941,153905,369,USD,1.63,,,,62282300
2023-06-26,43.35,44.215,43.3,43.3,42.7192,145545,370,USD,1.63,,,,62282300
2023-06-23,43.32,44.05,42.69,43.2,42.6206,548193,373,USD,1.63,,,,62282300
2023-06-22,44.62,44.62,43.42,43.94,43.3506,191182,374,USD,1.63,,,,62282300
2023-06-21,45.56,46.255,44.8,44.84,44.2386,179397,375,USD,1.63,,,,62282300
2023-06-20,46.39,46.39,45.56,45.82,45.2054,171872,376,USD,1.63,,,,62282300
2023-06-16,47.88,47.88,46.21,46.32,45.6987,642824,380,USD,1.63,,,,62282300
2023-06-15,46.5,47.47,46.5,47.4,46.7642,224016,381,USD,1.63,,,,62282300
2023-06-14,48.09,48.41,46.47,46.76,46.1328,277495,382,USD,1.63,,,,62282300
2023-06-13,47.55,48.615,47.22,48.02,47.3759,235328,383,USD,1.63,,,,62282300
2023-06-12,47.75,48.68,46.75,47.41,46.7741,254807,384,USD,1.63,,,,62282300
2023-06-09,48.61,48.76,47.51,47.74,47.0997,134865,387,USD,1.63,,,,62282300
2023-06-08,48.31,48.86,47.14,48.75,48.0961,166518,388,USD,1.63,,,,62282300
2023-06-07,47.43,48.94,46.75,48.57,47.9185,300750,389,USD,1.63,,,,62282300
