date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-07-31,8.44,8.78,8.44,8.57,8.57,27300,335,USD,-0.36,-0.4,0.04,10,
2023-07-28,8.43,8.68,8.37,8.43,8.43,25300,338,USD,-0.36,-0.4,0.04,10,
2023-07-27,8.66,8.69,8.32,8.36,8.36,34300,339,USD,-0.36,-0.4,0.04,10,
2023-07-26,8.47,8.75,8.46,8.5,8.5,24700,340,USD,-0.36,-0.4,0.04,10,
2023-07-25,8.85,9.13,8.6,8.6,8.6,42700,341,USD,-0.36,-0.4,0.04,10,
2023-07-24,8.94,9.2,8.68,8.95,8.95,41500,342,USD,-0.36,-0.4,0.04,10,
2023-07-21,9.02,9.02,8.55,8.92,8.92,50800,345,USD,-0.36,-0.4,0.04,10,
2023-07-20,9.03,9.31,8.88,8.96,8.96,38500,346,USD,-0.36,-0.4,0.04,10,
2023-07-19,9.19,9.34,9.0,9.0,9.0,77800,347,USD,-0.36,-0.4,0.04,10,
2023-07-18,9.35,9.67,8.881,9.22,9.22,159500,348,USD,-0.36,-0.4,0.04,10,
2023-07-17,11.0,11.01,9.25,9.47,9.47,298300,349,USD,-0.36,-0.4,0.04,10,
2023-07-14,9.89,11.15,9.74,10.9,10.9,328300,352,USD,-0.36,-0.4,0.04,10,
2023-07-13,10.06,10.42,9.712,9.85,9.85,133500,353,USD,-0.36,-0.4,0.04,10,
2023-07-12,11.0,11.258,9.81,10.05,10.05,212100,354,USD,-0.36,-0.4,0.04,10,
2023-07-11,9.7,10.8,9.61,10.8,10.8,139200,355,USD,-0.36,-0.4,0.04,10,
2023-07-10,9.21,9.79,9.21,9.46,9.46,60300,356,USD,-0.36,-0.4,0.04,10,
2023-07-07,8.6,9.7,8.57,9.51,9.51,47700,359,USD,-0.36,-0.4,0.04,10,
2023-07-06,9.0,9.19,8.6,8.71,8.71,31000,360,USD,-0.36,-0.4,0.04,10,
2023-07-05,9.28,9.35,8.9,9.01,9.01,67200,361,USD,-0.36,-0.4,0.04,10,
2023-07-03,9.19,9.3,8.989,9.28,9.28,20400,363,USD,-0.36,-0.4,0.04,10,
2023-06-30,8.57,9.102,8.57,9.08,9.08,37000,366,USD,-0.36,-0.4,0.04,10,17946000
2023-06-29,8.39,9.05,8.38,8.51,8.51,33900,367,USD,-0.36,-0.02,-0.34,-1700,17946000
2023-06-28,8.26,8.59,8.23,8.41,8.41,29800,368,USD,-0.36,-0.02,-0.34,-1700,17946000
2023-06-27,8.52,8.72,8.31,8.32,8.32,54600,369,USD,-0.36,-0.02,-0.34,-1700,17946000
2023-06-26,9.19,9.21,8.41,8.41,8.41,61100,370,USD,-0.36,-0.02,-0.34,-1700,17946000
2023-06-23,9.07,9.19,8.9,9.11,9.11,28900,373,USD,-0.36,-0.02,-0.34,-1700,17946000
2023-06-22,9.26,9.385,9.08,9.08,9.08,21000,374,USD,-0.36,-0.02,-0.34,-1700,17946000
2023-06-21,9.26,9.505,9.15,9.38,9.38,59600,375,USD,-0.36,-0.02,-0.34,-1700,17946000
2023-06-20,9.08,9.544,8.86,9.15,9.15,45900,376,USD,-0.36,-0.02,-0.34,-1700,17946000
2023-06-16,9.0,9.246,8.76,8.97,8.97,77000,380,USD,-0.36,-0.02,-0.34,-1700,17946000
2023-06-15,9.435,9.617,9.07,9.22,9.22,45700,381,USD,-0.36,-0.02,-0.34,-1700,17946000
2023-06-14,9.89,9.9,9.31,9.49,9.49,38000,382,USD,-0.36,-0.02,-0.34,-1700,17946000
2023-06-13,10.11,10.175,9.66,9.68,9.68,65700,383,USD,-0.36,-0.02,-0.34,-1700,17946000
2023-06-12,9.29,10.45,9.289,10.09,10.09,149800,384,USD,-0.36,-0.02,-0.34,-1700,17946000
2023-06-09,8.49,9.3,8.42,9.03,9.03,79800,387,USD,-0.36,-0.02,-0.34,-1700,17946000
2023-06-08,8.12,8.575,8.04,8.4,8.4,42700,388,USD,-0.36,-0.02,-0.34,-1700,17946000
2023-06-07,8.3,8.622,8.12,8.25,8.25,45100,389,USD,-0.36,-0.02,-0.34,-1700,17946000
2023-06-06,8.09,8.7,8.05,8.38,8.38,46600,390,USD,-0.36,-0.02,-0.34,-1700,17946000
2023-06-05,7.96,8.4,7.86,8.35,8.35,45900,391,USD,-0.36,-0.02,-0.34,-1700,17946000
2023-06-02,7.87,7.98,7.45,7.86,7.86,43700,394,USD,-0.36,-0.02,-0.34,-1700,17946000
2023-06-01,7.98,7.98,7.54,7.84,7.84,85500,395,USD,-0.36,-0.02,-0.34,-1700,17946000
2023-05-31,7.8,7.98,7.432,7.58,7.58,32100,396,USD,-0.36,-0.02,-0.34,-1700,17946000
2023-05-30,7.72,7.88,7.447,7.87,7.87,15600,397,USD,-0.36,-0.02,-0.34,-1700,17946000
2023-05-26,7.35,7.61,7.1,7.57,7.57,30700,401,USD,-0.36,-0.02,-0.34,-1700,17946000
2023-05-25,7.37,7.52,6.87,7.12,7.12,64200,402,USD,-0.36,-0.02,-0.34,-1700,17946000
2023-05-24,7.42,7.79,7.22,7.35,7.35,35500,403,USD,-0.36,-0.02,-0.34,-1700,17946000
2023-05-23,7.38,7.78,7.193,7.59,7.59,30900,404,USD,-0.36,-0.02,-0.34,-1700,17946000
2023-05-22,7.37,7.65,7.06,7.47,7.47,28300,405,USD,-0.36,-0.02,-0.34,-1700,17946000
2023-05-19,7.18,7.78,7.16,7.36,7.36,33300,408,USD,-0.36,-0.02,-0.34,-1700,17946000
2023-05-18,7.41,7.461,6.99,7.18,7.18,21900,409,USD,-0.36,-0.02,-0.34,-1700,17946000
2023-05-17,7.57,7.65,7.32,7.41,7.41,51100,410,USD,-0.36,-0.02,-0.34,-1700,17946000
2023-05-16,7.605,7.76,7.31,7.46,7.46,28600,411,USD,-0.36,-0.02,-0.34,-1700,17946000
2023-05-15,7.77,7.9,7.61,7.79,7.79,25900,412,USD,-0.36,-0.02,-0.34,-1700,17946000
2023-05-12,8.36,8.38,7.71,7.87,7.87,73500,415,USD,-0.36,-0.02,-0.34,-1700,17946000
2023-05-11,8.62,8.7,8.27,8.33,8.33,20200,416,USD,-0.36,-0.02,-0.34,-1700,17946000
2023-05-10,8.47,8.75,8.15,8.72,8.72,59800,417,USD,-0.36,-0.02,-0.34,-1700,17946000
2023-05-09,8.32,8.71,8.01,8.45,8.45,31200,418,USD,-0.36,-0.02,-0.34,-1700,17946000
2023-05-08,8.44,9.0,8.3,8.365,8.365,91200,419,USD,-0.36,-0.02,-0.34,-1700,17946000
2023-05-05,7.73,8.47,7.73,8.06,8.06,51800,422,USD,-0.36,-0.02,-0.34,-1700,17946000
2023-05-04,7.35,7.62,7.05,7.56,7.56,49100,423,USD,-0.36,-0.02,-0.34,-1700,17946000
2023-05-03,7.67,7.9,7.15,7.25,7.25,48000,424,USD,-0.36,-0.02,-0.34,-1700,17946000
2023-05-02,7.15,7.765,7.06,7.68,7.68,42800,425,USD,-0.36,-0.02,-0.34,-1700,17946000
2023-05-01,7.23,7.64,7.02,7.07,7.07,27800,426,USD,-0.36,-0.02,-0.34,-1700,17946000
2023-04-28,6.83,7.61,6.83,7.25,7.25,30700,429,USD,-0.36,-0.02,-0.34,-1700,17946000
2023-04-27,6.94,7.08,6.78,6.85,6.85,16800,430,USD,-0.36,-0.02,-0.34,-1700,17946000
2023-04-26,7.1,7.1,6.86,6.98,6.98,40200,431,USD,-0.36,-0.02,-0.34,-1700,17946000
2023-04-25,7.443,7.61,7.05,7.05,7.05,11800,432,USD,-0.36,-0.02,-0.34,-1700,17946000
2023-04-24,7.43,7.72,7.391,7.59,7.59,41100,433,USD,-0.36,-0.02,-0.34,-1700,17946000
2023-04-21,8.09,8.173,7.31,7.35,7.35,43200,436,USD,-0.36,-0.02,-0.34,-1700,17946000
2023-04-20,8.19,8.19,7.7,7.95,7.95,26700,437,USD,-0.36,-0.02,-0.34,-1700,17946000
2023-04-19,8.355,8.355,7.95,8.31,8.31,26600,438,USD,-0.36,-0.02,-0.34,-1700,17946000
2023-04-18,8.54,8.54,7.96,8.1,8.1,16900,439,USD,-0.36,-0.02,-0.34,-1700,17946000
2023-04-17,8.83,8.83,8.21,8.45,8.45,42200,440,USD,-0.36,-0.02,-0.34,-1700,17946000
2023-04-14,8.75,8.92,8.52,8.67,8.67,82000,443,USD,-0.36,-0.02,-0.34,-1700,17946000
2023-04-13,8.19,8.91,7.99,8.65,8.65,55200,444,USD,-0.36,-0.02,-0.34,-1700,17946000
2023-04-12,8.1,8.29,7.73,8.15,8.15,34600,445,USD,-0.36,-0.02,-0.34,-1700,17946000
2023-04-11,7.44,8.08,7.053,8.0,8.0,52300,446,USD,-0.36,-0.02,-0.34,-1700,17946000
2023-04-10,6.86,7.5,6.86,7.5,7.5,30600,447,USD,-0.36,-0.02,-0.34,-1700,17946000
2023-04-06,6.87,6.9,6.51,6.84,6.84,33800,451,USD,-0.36,-0.02,-0.34,-1700,17946000
2023-04-05,6.69,6.96,6.48,6.5,6.5,21300,452,USD,-0.36,-0.02,-0.34,-1700,17946000
2023-04-04,7.02,7.1,6.66,6.75,6.75,191800,453,USD,-0.36,-0.02,-0.34,-1700,17946000
2023-04-03,6.46,7.01,6.46,6.91,6.91,60000,454,USD,-0.36,-0.02,-0.34,-1700,17946000
