date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-07-31,41.64,41.64,39.95,41.43,41.43,1619800,335,USD,-0.6,-0.9,0.3,33.3333,
2023-07-28,38.71,39.81,38.58,39.79,39.79,1424000,338,USD,-0.6,-0.9,0.3,33.3333,
2023-07-27,39.11,39.16,38.26,38.5,38.5,1093000,339,USD,-0.6,-0.9,0.3,33.3333,
2023-07-26,39.76,39.8,38.89,38.98,38.98,867100,340,USD,-0.6,-0.9,0.3,33.3333,
2023-07-25,39.24,40.375,39.08,39.85,39.85,1714848,341,USD,-0.6,-0.9,0.3,33.3333,
2023-07-24,40.62,40.72,39.18,39.24,39.24,976940,342,USD,-0.6,-0.9,0.3,33.3333,
2023-07-21,41.19,41.34,40.64,40.65,40.65,2077100,345,USD,-0.6,-0.9,0.3,33.3333,
2023-07-20,42.01,42.03,40.78,40.96,40.96,1183000,346,USD,-0.6,-0.9,0.3,33.3333,
2023-07-19,42.0,42.48,41.46,42.03,42.03,1093200,347,USD,-0.6,-0.9,0.3,33.3333,
2023-07-18,42.19,42.72,41.96,42.08,42.08,1017800,348,USD,-0.6,-0.9,0.3,33.3333,
2023-07-17,42.77,43.88,42.13,42.2,42.2,1582400,349,USD,-0.6,-0.9,0.3,33.3333,
2023-07-14,42.82,43.0,42.24,42.48,42.48,641100,352,USD,-0.6,-0.9,0.3,33.3333,
2023-07-13,42.53,43.44,42.1,42.66,42.66,1258800,353,USD,-0.6,-0.9,0.3,33.3333,
2023-07-12,42.09,42.77,41.5,42.52,42.52,1184800,354,USD,-0.6,-0.9,0.3,33.3333,
2023-07-11,41.74,42.15,41.43,42.1,42.1,618700,355,USD,-0.6,-0.9,0.3,33.3333,
2023-07-10,41.81,42.37,41.44,41.78,41.78,1139700,356,USD,-0.6,-0.9,0.3,33.3333,
2023-07-07,41.73,42.59,41.68,41.78,41.78,871000,359,USD,-0.6,-0.9,0.3,33.3333,
2023-07-06,42.12,42.12,41.61,41.76,41.76,902100,360,USD,-0.6,-0.9,0.3,33.3333,
2023-07-05,41.11,42.21,41.02,42.19,42.19,617900,361,USD,-0.6,-0.9,0.3,33.3333,
2023-07-03,41.14,41.61,40.9,41.08,41.08,419800,363,USD,-0.6,-0.9,0.3,33.3333,
2023-06-30,41.47,41.6,40.84,41.03,41.03,769400,366,USD,-0.6,-0.9,0.3,33.3333,143098000
2023-06-29,40.85,41.72,40.64,41.11,41.11,1314700,367,USD,-0.87,-0.91,0.04,4.3956,143000000
2023-06-28,39.23,40.87,38.95,40.85,40.85,1355600,368,USD,-0.87,-0.91,0.04,4.3956,143000000
2023-06-27,39.13,39.64,38.88,39.36,39.36,850500,369,USD,-0.87,-0.91,0.04,4.3956,143000000
