date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-07-31,48.62,49.825,48.62,49.6,49.6,153700,335,USD,-0.74,-0.86,0.12,13.9535,
2023-07-28,46.67,48.58,46.32,48.44,48.44,83000,338,USD,-0.74,-0.86,0.12,13.9535,
2023-07-27,46.26,47.3,46.01,46.38,46.38,107100,339,USD,-0.74,-0.86,0.12,13.9535,
2023-07-26,45.02,46.25,44.65,46.09,46.09,67700,340,USD,-0.74,-0.86,0.12,13.9535,
2023-07-25,45.65,46.15,44.4,45.0,45.0,101900,341,USD,-0.74,-0.86,0.12,13.9535,
2023-07-24,45.88,45.88,44.41,45.61,45.61,98900,342,USD,-0.74,-0.86,0.12,13.9535,
2023-07-21,46.36,46.6,45.05,45.81,45.81,113500,345,USD,-0.74,-0.86,0.12,13.9535,
2023-07-20,46.39,46.68,44.78,46.12,46.12,180300,346,USD,-0.74,-0.86,0.12,13.9535,
2023-07-19,46.1,46.965,44.71,46.49,46.49,121500,347,USD,-0.74,-0.86,0.12,13.9535,
2023-07-18,46.17,48.06,45.38,46.03,46.03,84800,348,USD,-0.74,-0.86,0.12,13.9535,
2023-07-17,46.39,47.31,45.9,45.99,45.99,104700,349,USD,-0.74,-0.86,0.12,13.9535,
2023-07-14,47.93,47.93,44.85,46.17,46.17,131500,352,USD,-0.74,-0.86,0.12,13.9535,
2023-07-13,47.87,48.2,47.1,47.58,47.58,95700,353,USD,-0.74,-0.86,0.12,13.9535,
2023-07-12,48.17,48.515,46.21,47.51,47.51,190000,354,USD,-0.74,-0.86,0.12,13.9535,
2023-07-11,46.79,48.2,46.23,47.8,47.8,247500,355,USD,-0.74,-0.86,0.12,13.9535,
2023-07-10,45.45,46.74,44.78,46.68,46.68,298800,356,USD,-0.74,-0.86,0.12,13.9535,
2023-07-07,43.99,45.76,43.615,45.44,45.44,244400,359,USD,-0.74,-0.86,0.12,13.9535,
2023-07-06,43.02,44.3,41.61,44.03,44.03,251400,360,USD,-0.74,-0.86,0.12,13.9535,
2023-07-05,43.02,44.95,42.785,43.21,43.21,188500,361,USD,-0.74,-0.86,0.12,13.9535,
2023-07-03,42.93,44.64,42.18,44.15,44.15,172700,363,USD,-0.74,-0.86,0.12,13.9535,
2023-06-30,46.55,47.78,44.25,44.4,44.4,359500,366,USD,-0.74,-0.86,0.12,13.9535,21485000
2023-06-29,47.99,47.99,44.0,46.55,46.55,571800,367,USD,-1.2,-0.68,-0.52,-76.4706,18954900
2023-06-28,51.69,51.69,48.56,51.2,51.2,300300,368,USD,-1.2,-0.68,-0.52,-76.4706,18954900
2023-06-27,49.82,52.185,49.1,51.99,51.99,195000,369,USD,-1.2,-0.68,-0.52,-76.4706,18954900
2023-06-26,51.63,53.5,48.28,49.9,49.9,262400,370,USD,-1.2,-0.68,-0.52,-76.4706,18954900
2023-06-23,56.43,56.43,51.74,52.47,52.47,1165000,373,USD,-1.2,-0.68,-0.52,-76.4706,18954900
2023-06-22,54.28,57.7,51.73,54.24,54.24,300800,374,USD,-1.2,-0.68,-0.52,-76.4706,18954900
2023-06-21,54.48,54.48,49.959,53.34,53.34,189000,375,USD,-1.2,-0.68,-0.52,-76.4706,18954900
2023-06-20,48.85,53.48,48.063,52.98,52.98,528000,376,USD,-1.2,-0.68,-0.52,-76.4706,18954900
2023-06-16,48.96,49.96,47.7,49.42,49.42,400800,380,USD,-1.2,-0.68,-0.52,-76.4706,18954900
2023-06-15,48.92,50.804,48.09,48.67,48.67,158300,381,USD,-1.2,-0.68,-0.52,-76.4706,18954900
2023-06-14,52.05,53.69,48.25,49.0,49.0,883300,382,USD,-1.2,-0.68,-0.52,-76.4706,18954900
2023-06-13,47.3,51.64,47.078,50.83,50.83,164600,383,USD,-1.2,-0.68,-0.52,-76.4706,18954900
2023-06-12,48.27,54.95,46.23,48.85,48.85,330600,384,USD,-1.2,-0.68,-0.52,-76.4706,18954900
2023-06-09,41.98,48.879,40.0,45.69,45.69,777600,387,USD,-1.2,-0.68,-0.52,-76.4706,18954900
2023-06-08,39.08,40.99,38.25,39.47,39.47,220400,388,USD,-1.2,-0.68,-0.52,-76.4706,18954900
2023-06-07,40.4,41.045,38.01,38.94,38.94,94300,389,USD,-1.2,-0.68,-0.52,-76.4706,18954900
2023-06-06,41.22,42.28,37.61,39.17,39.17,312600,390,USD,-1.2,-0.68,-0.52,-76.4706,18954900
2023-06-05,41.26,42.49,39.12,41.53,41.53,366300,391,USD,-1.2,-0.68,-0.52,-76.4706,18954900
2023-06-02,40.0,42.19,39.31,40.67,40.67,182100,394,USD,-1.2,-0.68,-0.52,-76.4706,18954900
2023-06-01,37.02,40.0,36.745,39.75,39.75,179800,395,USD,-1.2,-0.68,-0.52,-76.4706,18954900
2023-05-31,33.88,37.25,33.75,37.13,37.13,256900,396,USD,-1.2,-0.68,-0.52,-76.4706,18954900
2023-05-30,32.56,33.86,31.181,33.15,33.15,65500,397,USD,-1.2,-0.68,-0.52,-76.4706,18954900
2023-05-26,32.67,33.17,30.425,32.53,32.53,53500,401,USD,-1.2,-0.68,-0.52,-76.4706,18954900
2023-05-25,32.2,33.39,31.88,32.05,32.05,24800,402,USD,-1.2,-0.68,-0.52,-76.4706,18954900
2023-05-24,32.48,33.95,31.83,32.4,32.4,51000,403,USD,-1.2,-0.68,-0.52,-76.4706,18954900
2023-05-23,33.66,34.82,32.69,33.2,33.2,31700,404,USD,-1.2,-0.68,-0.52,-76.4706,18954900
2023-05-22,34.05,37.48,33.0,33.53,33.53,107000,405,USD,-1.2,-0.68,-0.52,-76.4706,18954900
2023-05-19,33.7,33.98,32.245,33.8,33.8,39700,408,USD,-1.2,-0.68,-0.52,-76.4706,18954900
2023-05-18,34.2,34.44,33.23,33.58,33.58,26900,409,USD,-1.2,-0.68,-0.52,-76.4706,18954900
2023-05-17,34.49,34.49,33.012,34.05,34.05,49000,410,USD,-1.2,-0.68,-0.52,-76.4706,18954900
2023-05-16,31.64,33.705,30.1,33.39,33.39,71900,411,USD,-1.2,-0.68,-0.52,-76.4706,18954900
2023-05-15,31.79,33.55,31.1,32.0,32.0,64600,412,USD,-1.2,-0.68,-0.52,-76.4706,18954900
2023-05-12,32.6,33.505,32.0,33.2,33.2,52000,415,USD,-1.2,-0.68,-0.52,-76.4706,18954900
2023-05-11,33.87,33.92,31.39,32.43,32.43,37600,416,USD,-1.2,-0.68,-0.52,-76.4706,18954900
2023-05-10,32.05,34.39,31.36,33.73,33.73,58000,417,USD,-1.2,-0.68,-0.52,-76.4706,18954900
2023-05-09,30.85,32.76,30.72,32.05,32.05,169800,418,USD,-1.2,-0.68,-0.52,-76.4706,18954900
2023-05-08,31.14,31.14,29.44,31.05,31.05,65100,419,USD,-1.2,-0.68,-0.52,-76.4706,18954900
2023-05-05,31.6,32.18,30.1,30.63,30.63,96100,422,USD,-1.2,-0.68,-0.52,-76.4706,18954900
2023-05-04,31.39,32.675,30.36,31.35,31.35,196300,423,USD,-1.2,-0.68,-0.52,-76.4706,18954900
2023-05-03,32.65,33.25,31.15,31.55,31.55,109900,424,USD,-1.2,-0.68,-0.52,-76.4706,18954900
2023-05-02,34.57,34.57,30.595,32.6,32.6,107200,425,USD,-1.2,-0.68,-0.52,-76.4706,18954900
2023-05-01,33.13,35.025,32.41,34.61,34.61,178000,426,USD,-1.2,-0.68,-0.52,-76.4706,18954900
2023-04-28,32.97,33.25,31.276,32.73,32.73,113600,429,USD,-1.2,-0.68,-0.52,-76.4706,18954900
2023-04-27,31.93,33.0,30.03,32.24,32.24,242400,430,USD,-1.2,-0.68,-0.52,-76.4706,18954900
2023-04-26,30.0,32.59,29.59,31.69,31.69,72600,431,USD,-1.2,-0.68,-0.52,-76.4706,18954900
2023-04-25,29.45,31.304,28.585,30.05,30.05,97200,432,USD,-1.2,-0.68,-0.52,-76.4706,18954900
2023-04-24,31.44,32.18,29.68,29.85,29.85,146900,433,USD,-1.2,-0.68,-0.52,-76.4706,18954900
2023-04-21,29.0,32.855,27.815,31.35,31.35,220900,436,USD,-1.2,-0.68,-0.52,-76.4706,18954900
2023-04-20,26.01,29.87,25.03,28.1,28.1,236800,437,USD,-1.2,-0.68,-0.52,-76.4706,18954900
2023-04-19,25.2,26.31,24.89,25.76,25.76,53200,438,USD,-1.2,-0.68,-0.52,-76.4706,18954900
2023-04-18,23.3,25.785,23.3,25.4,25.4,264600,439,USD,-1.2,-0.68,-0.52,-76.4706,18954900
2023-04-17,22.0,23.73,21.705,23.19,23.19,327500,440,USD,-1.2,-0.68,-0.52,-76.4706,18954900
2023-04-14,22.24,22.99,21.69,21.95,21.95,135700,443,USD,-1.2,-0.68,-0.52,-76.4706,18954900
2023-04-13,21.49,22.49,21.49,22.21,22.21,71200,444,USD,-1.2,-0.68,-0.52,-76.4706,18954900
2023-04-12,21.79,22.49,20.92,21.5,21.5,51300,445,USD,-1.2,-0.68,-0.52,-76.4706,18954900
2023-04-11,21.31,21.83,20.88,21.76,21.76,53700,446,USD,-1.2,-0.68,-0.52,-76.4706,18954900
2023-04-10,22.48,22.975,21.12,21.28,21.28,36300,447,USD,-1.2,-0.68,-0.52,-76.4706,18954900
2023-04-06,22.05,23.0,20.05,22.51,22.51,585800,451,USD,-1.2,-0.68,-0.52,-76.4706,18954900
2023-04-05,21.01,22.625,20.14,22.22,22.22,46800,452,USD,-1.2,-0.68,-0.52,-76.4706,18954900
2023-04-04,21.96,22.16,20.57,21.19,21.19,47200,453,USD,-1.2,-0.68,-0.52,-76.4706,18954900
2023-04-03,21.21,22.08,21.0,21.92,21.92,26100,454,USD,-1.2,-0.68,-0.52,-76.4706,18954900
2023-03-31,23.0,23.0,18.25,21.19,21.19,209800,457,USD,-1.2,-0.68,-0.52,-76.4706,18954900
2023-03-30,22.03,22.36,20.14,22.06,22.06,41500,458,USD,-1.22,-0.76,-0.46,-60.5263,5197500
2023-03-29,21.74,21.95,21.26,21.73,21.73,110000,459,USD,-1.22,-0.76,-0.46,-60.5263,5197500
2023-03-28,22.67,22.67,21.76,22.03,22.03,38127,460,USD,-1.22,-0.76,-0.46,-60.5263,5197500
2023-03-27,22.78,22.99,22.0001,22.59,22.59,83284,461,USD,-1.22,-0.76,-0.46,-60.5263,5197500
2023-03-24,23.13,23.13,22.1525,22.78,22.78,70923,464,USD,-1.22,-0.76,-0.46,-60.5263,5197500
2023-03-23,24.06,24.9899,22.012,22.84,22.84,87481,465,USD,-1.22,-0.76,-0.46,-60.5263,5197500
2023-03-22,21.9,22.22,21.325,21.63,21.63,47375,466,USD,-1.22,-0.76,-0.46,-60.5263,5197500
2023-03-21,21.73,22.4,21.1378,22.24,22.24,98120,467,USD,-1.22,-0.76,-0.46,-60.5263,5197500
2023-03-20,22.1,22.51,20.915,21.61,21.61,128461,468,USD,-1.22,-0.76,-0.46,-60.5263,5197500
2023-03-17,22.45,23.0,20.412,21.76,21.76,135945,471,USD,-1.22,-0.76,-0.46,-60.5263,5197500
2023-03-16,22.46,23.08,20.72,23.0,23.0,180237,472,USD,-1.22,-0.76,-0.46,-60.5263,5197500
2023-03-15,22.67,22.67,21.105,22.5,22.5,142008,473,USD,-1.22,-0.76,-0.46,-60.5263,5197500
2023-03-14,22.58,23.37,21.98,22.7,22.7,52867,474,USD,-1.22,-0.76,-0.46,-60.5263,5197500
2023-03-13,21.29,22.95,21.29,22.49,22.49,94137,475,USD,-1.22,-0.76,-0.46,-60.5263,5197500
2023-03-10,23.244,23.244,21.035,21.08,21.08,50314,478,USD,-1.22,-0.76,-0.46,-60.5263,5197500
2023-03-09,23.76,23.76,22.43,22.95,22.95,47176,479,USD,-1.22,-0.76,-0.46,-60.5263,5197500
2023-03-08,24.76,25.07,23.56,23.7,23.7,57918,480,USD,-1.22,-0.76,-0.46,-60.5263,5197500
2023-03-07,24.99,25.28,23.2849,24.5,24.5,62626,481,USD,-1.22,-0.76,-0.46,-60.5263,5197500
2023-03-06,24.62,25.025,24.15,24.73,24.73,56977,482,USD,-1.22,-0.76,-0.46,-60.5263,5197500
2023-03-03,24.45,24.84,23.68,24.365,24.365,155664,485,USD,-1.22,-0.76,-0.46,-60.5263,5197500
2023-03-02,25.32,25.67,22.97,24.37,24.37,54048,486,USD,-1.22,-0.76,-0.46,-60.5263,5197500
2023-03-01,25.34,26.4299,23.01,25.14,25.14,513256,487,USD,-1.22,-0.76,-0.46,-60.5263,5197500
2023-02-28,25.45,25.45,24.7375,25.0,25.0,21947,488,USD,-1.22,-0.76,-0.46,-60.5263,5197500
2023-02-27,24.61,25.435,23.08,24.39,24.39,56824,489,USD,-1.22,-0.76,-0.46,-60.5263,5197500
2023-02-24,24.88,25.5,24.0,24.47,24.47,29965,492,USD,-1.22,-0.76,-0.46,-60.5263,5197500
2023-02-23,24.7307,25.39,23.8101,25.39,25.39,17421,493,USD,-1.22,-0.76,-0.46,-60.5263,5197500
