date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-07-31,10.62,10.62,10.62,10.62,10.62,376,,,,,,,
2023-07-28,10.6,10.66,10.51,10.62,10.62,1500,,,,,,,
2023-07-27,10.84,10.84,10.84,10.84,10.84,0,,,,,,,
2023-07-26,10.84,10.84,10.84,10.84,10.84,2,,,,,,,
2023-07-25,10.84,10.84,10.84,10.84,10.84,300,,,,,,,
2023-07-24,10.62,10.62,10.62,10.62,10.62,0,,,,,,,
2023-07-21,10.62,10.62,10.62,10.62,10.62,0,,,,,,,
2023-07-20,10.62,10.62,10.62,10.62,10.62,0,,,,,,,
2023-07-19,10.62,10.62,10.62,10.62,10.62,100,,,,,,,
2023-07-18,10.62,10.62,10.62,10.62,10.62,100,,,,,,,
2023-07-17,10.51,10.62,10.51,10.62,10.62,400,,,,,,,
2023-07-14,10.5,10.51,10.5,10.51,10.51,800,,,,,,,
2023-07-13,10.524,10.524,10.524,10.524,10.524,100,,,,,,,
2023-07-12,10.45,10.45,10.45,10.45,10.45,0,,,,,,,
2023-07-11,10.45,10.45,10.45,10.45,10.45,100,,,,,,,
2023-07-10,10.45,10.45,10.45,10.45,10.45,100,,,,,,,
2023-07-07,10.45,10.45,10.45,10.45,10.45,0,,,,,,,
2023-07-06,10.45,10.45,10.45,10.45,10.45,0,,,,,,,
2023-07-05,10.45,10.45,10.45,10.45,10.45,5,,,,,,,
2023-07-03,10.88,10.88,10.45,10.45,10.45,1200,,,,,,,
2023-06-30,10.47,10.47,10.47,10.47,10.47,0,,,,,,,
2023-06-29,10.47,10.47,10.47,10.47,10.47,0,,,,,,,
2023-06-28,10.47,10.47,10.47,10.47,10.47,0,,,,,,,
2023-06-27,10.47,10.47,10.47,10.47,10.47,0,,,,,,,
2023-06-26,11.02,11.269,10.46,10.47,10.47,1300,,,,,,,
2023-06-23,11.015,11.015,10.445,10.505,10.505,4400,,,,,,,
2023-06-22,11.01,11.01,10.5,10.545,10.545,5000,,,,,,,
2023-06-21,10.47,10.47,10.47,10.47,10.47,0,,,,,,,
2023-06-20,10.47,10.47,10.47,10.47,10.47,0,,,,,,,
2023-06-16,10.37,10.739,10.37,10.47,10.47,3600,,,,,,,
2023-06-15,10.47,10.48,10.46,10.46,10.46,6400,,,,,,,
2023-06-14,10.48,10.5,10.47,10.47,10.47,1100,,,,,,,
2023-06-13,10.44,10.44,10.44,10.44,10.44,91,,,,,,,
2023-06-12,10.5,10.5,10.44,10.44,10.44,400,,,,,,,
2023-06-09,10.43,10.43,10.43,10.43,10.43,0,,,,,,,
2023-06-08,10.43,10.43,10.43,10.43,10.43,0,,,,,,,
2023-06-07,10.43,10.43,10.43,10.43,10.43,0,,,,,,,
2023-06-06,10.43,10.43,10.43,10.43,10.43,0,,,,,,,
2023-06-05,10.42,10.43,10.42,10.43,10.43,16200,,,,,,,
2023-06-02,10.42,10.42,10.42,10.42,10.42,6,,,,,,,
2023-06-01,10.42,10.42,10.42,10.42,10.42,900,,,,,,,
2023-05-31,10.39,10.39,10.39,10.39,10.39,0,,,,,,,
2023-05-30,10.39,10.4,10.39,10.39,10.39,29000,,,,,,,
2023-05-26,10.37,10.37,10.37,10.37,10.37,1200,,,,,,,
2023-05-25,10.38,10.39,10.38,10.39,10.39,11200,,,,,,,
2023-05-24,10.37,10.37,10.37,10.37,10.37,0,,,,,,,
2023-05-23,10.41,10.43,10.37,10.37,10.37,15000,,,,,,,
2023-05-22,10.43,10.43,10.39,10.41,10.41,8800,,,,,,,
2023-05-19,10.42,10.42,10.42,10.42,10.42,100,,,,,,,
2023-05-18,10.42,10.42,10.42,10.42,10.42,20,,,,,,,
2023-05-17,10.39,10.42,10.36,10.42,10.42,11500,,,,,,,
2023-05-16,10.39,10.39,10.39,10.39,10.39,2,,,,,,,
2023-05-15,10.36,10.39,10.36,10.39,10.39,1400,,,,,,,
2023-05-12,10.37,10.56,10.36,10.39,10.39,9700,,,,,,,
2023-05-11,10.38,10.565,10.36,10.39,10.39,25200,,,,,,,
2023-05-10,10.48,10.48,10.48,10.48,10.48,200,,,,,,,
2023-05-09,10.525,10.525,10.525,10.525,10.525,6,,,,,,,
2023-05-08,10.37,10.55,10.37,10.525,10.525,3500,,,,,,,
2023-05-05,10.565,10.565,10.38,10.38,10.38,11900,,,,,,,
2023-05-04,10.39,10.39,10.38,10.385,10.385,7300,,,,,,,
2023-05-03,10.39,10.39,10.39,10.39,10.39,900,,,,,,,
2023-05-02,10.565,10.565,10.38,10.45,10.45,12800,,,,,,,
2023-05-01,10.39,10.56,10.37,10.38,10.38,17500,,,,,,,
2023-04-28,10.772,11.078,10.38,10.38,10.38,8700,,,,,,,
2023-04-27,11.45,11.45,10.37,10.43,10.43,5600,,,,,,,
2023-04-26,10.6,10.633,10.37,10.395,10.395,9600,,,,,,,
2023-04-25,10.4,10.4,10.4,10.4,10.4,0,,,,,,,
2023-04-24,10.4,10.4,10.4,10.4,10.4,0,,,,,,,
2023-04-21,10.4,10.4,10.4,10.4,10.4,0,,,,,,,
2023-04-20,10.4,10.4,10.4,10.4,10.4,600,,,,,,,
2023-04-19,10.42,10.42,10.42,10.42,10.42,54,,,,,,,
2023-04-18,10.36,10.42,10.36,10.42,10.42,1600,,,,,,,
2023-04-17,10.32,10.41,9.759,10.368,10.368,3500,,,,,,,
2023-04-14,10.42,10.42,10.3,10.33,10.33,2200,,,,,,,
2023-04-13,10.3,10.3,10.3,10.3,10.3,300,,,,,,,
2023-04-12,10.39,10.39,10.39,10.39,10.39,3,,,,,,,
2023-04-11,10.43,10.43,10.32,10.39,10.39,1300,,,,,,,
2023-04-10,10.59,10.6,10.34,10.42,10.42,7400,,,,,,,
2023-04-06,10.621,10.621,10.33,10.38,10.38,7900,,,,,,,
2023-04-05,10.38,10.38,10.38,10.38,10.38,600,,,,,,,
2023-04-04,10.39,10.39,10.37,10.39,10.39,56000,,,,,,,
2023-04-03,10.45,10.45,10.38,10.38,10.38,141900,,,,,,,
2023-03-31,10.39,10.4,10.38,10.39,10.39,1007900,0.0,USD,0.0519,,,,21562500
2023-03-30,10.38,10.38,10.38,10.38,10.38,22400,1.0,USD,0.2,,,,16635600
2023-03-29,10.38,10.38,10.38,10.38,10.38,23700,2.0,USD,0.2,,,,16635600
2023-03-28,10.38,10.4,10.37,10.38,10.38,549200,3.0,USD,0.2,,,,16635600
2023-03-27,10.38,10.39,10.38,10.38,10.38,11800,4.0,USD,0.2,,,,16635600
2023-03-24,10.38,10.4,10.38,10.4,10.4,14300,7.0,USD,0.2,,,,16635600
2023-03-23,10.38,10.38,10.38,10.38,10.38,14600,8.0,USD,0.2,,,,16635600
