date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-07-31,10.48,10.49,10.2,10.3,10.3,19200,335,USD,0.14,0.19,-0.05,-26.3158,
2023-07-28,10.32,10.41,10.32,10.39,10.39,6100,338,USD,0.14,0.19,-0.05,-26.3158,
2023-07-27,10.56,10.58,10.2,10.29,10.29,34800,339,USD,0.14,0.19,-0.05,-26.3158,
2023-07-26,9.98,10.55,9.98,10.47,10.47,22400,340,USD,0.14,0.19,-0.05,-26.3158,
2023-07-25,9.96,10.23,9.96,10.0,10.0,20100,341,USD,0.14,0.19,-0.05,-26.3158,
2023-07-24,10.05,10.1,10.01,10.03,10.03,9100,342,USD,0.14,0.19,-0.05,-26.3158,
2023-07-21,9.89,10.01,9.8,9.84,9.84,34100,345,USD,0.14,0.19,-0.05,-26.3158,
2023-07-20,10.0,10.07,9.79,9.91,9.91,16700,346,USD,0.14,0.19,-0.05,-26.3158,
2023-07-19,9.63,10.09,9.576,10.07,10.07,26800,347,USD,0.14,0.19,-0.05,-26.3158,
2023-07-18,9.38,9.69,9.38,9.69,9.69,9700,348,USD,0.14,0.19,-0.05,-26.3158,
2023-07-17,8.87,9.46,8.87,9.38,9.38,29000,349,USD,0.14,0.19,-0.05,-26.3158,
2023-07-14,9.36,9.36,8.9,8.93,8.93,23000,352,USD,0.14,0.19,-0.05,-26.3158,
2023-07-13,9.23,9.36,9.23,9.29,9.29,10100,353,USD,0.14,0.19,-0.05,-26.3158,
2023-07-12,9.26,9.32,9.09,9.16,9.16,22200,354,USD,0.14,0.19,-0.05,-26.3158,
2023-07-11,9.02,9.17,9.02,9.09,9.09,13200,355,USD,0.14,0.19,-0.05,-26.3158,
2023-07-10,8.9,9.16,8.88,9.01,9.01,12100,356,USD,0.14,0.19,-0.05,-26.3158,
2023-07-07,8.7,8.97,8.7,8.93,8.93,31900,359,USD,0.14,0.19,-0.05,-26.3158,
2023-07-06,8.7,8.7,8.48,8.67,8.67,53200,360,USD,0.14,0.19,-0.05,-26.3158,
2023-07-05,8.98,9.08,8.85,8.88,8.88,20800,361,USD,0.14,0.19,-0.05,-26.3158,
2023-07-03,8.89,9.13,8.89,9.08,9.08,8900,363,USD,0.14,0.19,-0.05,-26.3158,
2023-06-30,9.12,9.12,8.87,8.92,8.92,80500,366,USD,0.14,0.19,-0.05,-26.3158,49407100
2023-06-29,9.04,9.1,8.94,9.06,9.06,13900,367,USD,0.26,0.27,-0.01,-3.7037,51700000
2023-06-28,9.02,9.195,8.84,8.94,8.94,12900,368,USD,0.26,0.27,-0.01,-3.7037,51700000
2023-06-27,8.95,9.125,8.905,9.05,9.05,65300,369,USD,0.26,0.27,-0.01,-3.7037,51700000
2023-06-26,9.11,9.19,8.92,8.96,8.96,78200,370,USD,0.26,0.27,-0.01,-3.7037,51700000
2023-06-23,8.64,9.21,8.6,9.07,9.07,687000,373,USD,0.26,0.27,-0.01,-3.7037,51700000
2023-06-22,9.01,9.01,8.78,8.8,8.8,45200,374,USD,0.26,0.27,-0.01,-3.7037,51700000
2023-06-21,9.28,9.3,9.04,9.06,9.06,31800,375,USD,0.26,0.27,-0.01,-3.7037,51700000
