date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-07-31,721.46,726.53,713.72,718.49,718.49,1133200,335,USD,5.98,5.07,0.91,17.9487,
2023-07-28,710.29,724.07,705.6,721.26,721.26,1850000,338,USD,5.98,5.07,0.91,17.9487,
2023-07-27,675.0,715.94,673.32,701.95,701.95,3390000,339,USD,5.98,5.07,0.91,17.9487,
2023-07-26,642.02,648.34,632.14,642.37,642.37,1361400,340,USD,5.98,5.07,0.91,17.9487,
2023-07-25,639.03,654.38,638.05,650.24,650.24,908700,341,USD,5.98,5.07,0.91,17.9487,
2023-07-24,629.49,642.59,629.0,639.03,639.03,1147500,342,USD,5.98,5.07,0.91,17.9487,
2023-07-21,619.52,626.95,617.99,623.63,623.63,2574200,345,USD,5.98,5.07,0.91,17.9487,
2023-07-20,629.7,629.87,612.61,615.52,615.52,1672000,346,USD,5.98,5.07,0.91,17.9487,
2023-07-19,652.45,654.21,638.22,640.11,640.11,932600,347,USD,5.98,5.07,0.91,17.9487,
2023-07-18,654.24,660.99,648.68,655.94,655.94,1023700,348,USD,5.98,5.07,0.91,17.9487,
2023-07-17,635.0,663.83,635.0,660.07,660.07,1383400,349,USD,5.98,5.07,0.91,17.9487,
2023-07-14,642.12,647.18,635.92,638.56,638.56,918800,352,USD,5.98,5.07,0.91,17.9487,
2023-07-13,627.0,642.08,627.0,638.3,638.3,1088700,353,USD,5.98,5.07,0.91,17.9487,
2023-07-12,628.96,629.0,617.79,622.6,622.6,1303200,354,USD,5.98,5.07,0.91,17.9487,
2023-07-11,628.55,630.14,608.26,619.42,619.42,1203300,355,USD,5.98,5.07,0.91,17.9487,
2023-07-10,620.0,630.28,617.6,627.64,627.64,1288200,356,USD,5.98,5.07,0.91,17.9487,
2023-07-07,621.87,629.36,616.94,617.87,617.87,728800,359,USD,5.98,5.07,0.91,17.9487,
2023-07-06,617.44,622.74,611.66,621.0,621.0,1297500,360,USD,5.98,5.07,0.91,17.9487,
2023-07-05,644.07,646.08,628.5,628.58,628.58,1105200,361,USD,5.98,5.07,0.91,17.9487,
2023-07-03,642.86,651.01,638.85,650.99,650.99,621900,363,USD,5.98,5.07,0.91,17.9487,
2023-06-30,644.33,648.87,638.91,642.86,642.86,1086000,366,USD,5.98,5.07,0.91,17.9487,134392000
2023-06-29,647.62,647.9,636.0,640.36,640.36,1402300,367,USD,6.99,6.54,0.45,6.8807,135395000
2023-06-28,639.99,649.67,635.97,642.18,642.18,1180600,368,USD,6.99,6.54,0.45,6.8807,135395000
2023-06-27,623.74,650.23,622.01,649.16,649.16,1335500,369,USD,6.99,6.54,0.45,6.8807,135395000
2023-06-26,614.15,633.41,613.69,620.33,620.33,1344000,370,USD,6.99,6.54,0.45,6.8807,135395000
2023-06-23,609.5,611.35,601.37,608.76,608.76,1080600,373,USD,6.99,6.54,0.45,6.8807,135395000
2023-06-22,601.1,624.48,598.42,619.87,619.87,1173500,374,USD,6.99,6.54,0.45,6.8807,135395000
2023-06-21,609.29,615.8,602.31,605.8,605.8,898700,375,USD,6.99,6.54,0.45,6.8807,135395000
2023-06-20,610.81,618.68,607.96,614.28,614.28,981100,376,USD,6.99,6.54,0.45,6.8807,135395000
2023-06-16,623.62,623.99,610.37,612.65,612.65,2678700,380,USD,6.99,6.54,0.45,6.8807,135395000
2023-06-15,617.7,625.13,616.42,621.0,621.0,1862400,381,USD,6.99,6.54,0.45,6.8807,135395000
2023-06-14,620.0,630.72,613.05,630.03,630.03,1121900,382,USD,6.99,6.54,0.45,6.8807,135395000
2023-06-13,625.0,629.73,615.9,625.54,625.54,1175900,383,USD,6.99,6.54,0.45,6.8807,135395000
2023-06-12,612.66,628.55,607.25,627.53,625.8051,1509400,384,USD,6.99,6.54,0.45,6.8807,135395000
2023-06-09,618.26,621.11,605.76,606.59,604.9226,1067590,387,USD,6.99,6.54,0.45,6.8807,135395000
2023-06-08,611.94,616.19,604.5,614.54,612.8507,911308,388,USD,6.99,6.54,0.45,6.8807,135395000
2023-06-07,612.92,621.2299,607.57,610.78,609.101,1202706,389,USD,6.99,6.54,0.45,6.8807,135395000
2023-06-06,596.06,615.72,593.775,612.2,610.5171,1106444,390,USD,6.99,6.54,0.45,6.8807,135395000
2023-06-05,611.57,613.9,603.02,605.61,603.9453,1044297,391,USD,6.99,6.54,0.45,6.8807,135395000
2023-06-02,620.0,621.99,607.75,613.67,611.9831,1181425,394,USD,6.99,6.54,0.45,6.8807,135395000
2023-06-01,616.7,625.475,604.67,619.86,618.1561,1455738,395,USD,6.99,6.54,0.45,6.8807,135395000
2023-05-31,618.39,630.325,613.89,616.7,615.0048,2689108,396,USD,6.99,6.54,0.45,6.8807,135395000
2023-05-30,640.0,644.5999,619.2,629.96,628.2283,1365595,397,USD,6.99,6.54,0.45,6.8807,135395000
2023-05-26,605.0,633.01,599.98,628.25,626.523,2198852,401,USD,6.99,6.54,0.45,6.8807,135395000
2023-05-25,586.0,606.79,579.935,602.1,600.4449,2055412,402,USD,6.99,6.54,0.45,6.8807,135395000
2023-05-24,563.54,569.14,559.41,565.87,564.3145,1325533,403,USD,6.99,6.54,0.45,6.8807,135395000
2023-05-23,580.11,581.47,572.12,573.49,571.9135,1066850,404,USD,6.99,6.54,0.45,6.8807,135395000
2023-05-22,584.8,591.68,581.74,585.07,583.4617,1042396,405,USD,6.99,6.54,0.45,6.8807,135395000
2023-05-19,595.26,595.69,588.3,588.86,587.2413,1225335,408,USD,6.99,6.54,0.45,6.8807,135395000
2023-05-18,574.0,600.29,574.0,598.74,597.0941,1922269,409,USD,6.99,6.54,0.45,6.8807,135395000
2023-05-17,564.51,580.26,560.11,574.11,572.5318,1667440,410,USD,6.99,6.54,0.45,6.8807,135395000
2023-05-16,550.33,564.19,549.29,558.935,557.3986,1738803,411,USD,6.99,6.54,0.45,6.8807,135395000
2023-05-15,530.0,552.4899,529.95,552.27,550.7519,1745581,412,USD,6.99,6.54,0.45,6.8807,135395000
2023-05-12,530.0,533.5,521.39,527.1,525.6511,916938,415,USD,6.99,6.54,0.45,6.8807,135395000
2023-05-11,528.44,530.82,520.66,527.48,526.03,716201,416,USD,6.99,6.54,0.45,6.8807,135395000
2023-05-10,524.12,531.47,520.05,527.3,525.8505,1096956,417,USD,6.99,6.54,0.45,6.8807,135395000
2023-05-09,519.58,519.92,512.095,515.77,514.3522,1000209,418,USD,6.99,6.54,0.45,6.8807,135395000
