date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-07-31,3.35,3.42,3.09,3.22,3.22,366900,335,USD,-0.36,-0.42,0.06,14.2857,
2023-07-28,3.09,3.39,3.09,3.3,3.3,310500,338,USD,-0.36,-0.42,0.06,14.2857,
2023-07-27,3.1,3.18,2.95,3.09,3.09,312400,339,USD,-0.36,-0.42,0.06,14.2857,
2023-07-26,3.13,3.24,3.03,3.1,3.1,297500,340,USD,-0.36,-0.42,0.06,14.2857,
2023-07-25,3.24,3.405,3.09,3.11,3.11,284400,341,USD,-0.36,-0.42,0.06,14.2857,
2023-07-24,3.31,3.6,3.15,3.32,3.32,376000,342,USD,-0.36,-0.42,0.06,14.2857,
2023-07-21,3.17,3.4,3.1,3.32,3.32,1107400,345,USD,-0.36,-0.42,0.06,14.2857,
2023-07-20,3.04,3.18,2.95,3.07,3.07,243800,346,USD,-0.36,-0.42,0.06,14.2857,
2023-07-19,3.01,3.2,2.92,2.95,2.95,240700,347,USD,-0.36,-0.42,0.06,14.2857,
2023-07-18,3.2,3.21,3.05,3.07,3.07,90300,348,USD,-0.36,-0.42,0.06,14.2857,
2023-07-17,3.06,3.37,3.05,3.2,3.2,120900,349,USD,-0.36,-0.42,0.06,14.2857,
2023-07-14,3.06,3.15,3.02,3.06,3.06,53900,352,USD,-0.36,-0.42,0.06,14.2857,
2023-07-13,3.05,3.2,3.05,3.09,3.09,170000,353,USD,-0.36,-0.42,0.06,14.2857,
2023-07-12,3.28,3.299,3.06,3.065,3.065,111200,354,USD,-0.36,-0.42,0.06,14.2857,
2023-07-11,3.4,3.5,3.05,3.27,3.27,563900,355,USD,-0.36,-0.42,0.06,14.2857,
2023-07-10,3.71,3.76,3.37,3.46,3.46,170900,356,USD,-0.36,-0.42,0.06,14.2857,
2023-07-07,3.9,3.9,3.67,3.7,3.7,48600,359,USD,-0.36,-0.42,0.06,14.2857,
2023-07-06,4.04,4.05,3.75,3.9,3.9,107800,360,USD,-0.36,-0.42,0.06,14.2857,
2023-07-05,4.04,4.17,4.04,4.05,4.05,42000,361,USD,-0.36,-0.42,0.06,14.2857,
2023-07-03,4.05,4.26,4.05,4.1,4.1,28400,363,USD,-0.36,-0.42,0.06,14.2857,
2023-06-30,4.17,4.17,3.86,4.11,4.11,112300,366,USD,-0.36,-0.42,0.06,14.2857,43676400
2023-06-29,4.29,4.385,3.85,4.15,4.15,271400,367,USD,-0.44,-0.36,-0.08,-22.2222,36832700
2023-06-28,4.09,4.44,3.967,4.28,4.28,93800,368,USD,-0.44,-0.36,-0.08,-22.2222,36832700
2023-06-27,4.15,4.258,3.95,4.11,4.11,82700,369,USD,-0.44,-0.36,-0.08,-22.2222,36832700
2023-06-26,4.47,4.86,3.95,4.16,4.16,429300,370,USD,-0.44,-0.36,-0.08,-22.2222,36832700
2023-06-23,3.73,4.46,3.7,4.33,4.33,615200,373,USD,-0.44,-0.36,-0.08,-22.2222,36832700
2023-06-22,3.7,3.99,3.55,3.66,3.66,285600,374,USD,-0.44,-0.36,-0.08,-22.2222,36832700
2023-06-21,3.58,3.79,3.56,3.76,3.76,235300,375,USD,-0.44,-0.36,-0.08,-22.2222,36832700
2023-06-20,3.15,3.84,3.11,3.69,3.69,867300,376,USD,-0.44,-0.36,-0.08,-22.2222,36832700
2023-06-16,2.99,3.06,2.89,3.03,3.03,60300,380,USD,-0.44,-0.36,-0.08,-22.2222,36832700
2023-06-15,2.895,3.004,2.88,2.99,2.99,25400,381,USD,-0.44,-0.36,-0.08,-22.2222,36832700
2023-06-14,2.89,3.06,2.83,2.91,2.91,67700,382,USD,-0.44,-0.36,-0.08,-22.2222,36832700
2023-06-13,2.82,3.02,2.71,2.98,2.98,112600,383,USD,-0.44,-0.36,-0.08,-22.2222,36832700
2023-06-12,2.89,2.99,2.78,2.78,2.78,86600,384,USD,-0.44,-0.36,-0.08,-22.2222,36832700
2023-06-09,2.91,2.97,2.86,2.9,2.9,192500,387,USD,-0.44,-0.36,-0.08,-22.2222,36832700
2023-06-08,2.95,2.97,2.85,2.88,2.88,54900,388,USD,-0.44,-0.36,-0.08,-22.2222,36832700
2023-06-07,2.87,2.97,2.83,2.92,2.92,78700,389,USD,-0.44,-0.36,-0.08,-22.2222,36832700
2023-06-06,3.0,3.11,2.86,2.94,2.94,154600,390,USD,-0.44,-0.36,-0.08,-22.2222,36832700
2023-06-05,3.19,3.2,2.95,3.0,3.0,378500,391,USD,-0.44,-0.36,-0.08,-22.2222,36832700
2023-06-02,2.75,3.09,2.67,2.8,2.8,239900,394,USD,-0.44,-0.36,-0.08,-22.2222,36832700
2023-06-01,2.63,2.75,2.62,2.7,2.7,204000,395,USD,-0.44,-0.36,-0.08,-22.2222,36832700
2023-05-31,2.58,2.63,2.51,2.57,2.57,66900,396,USD,-0.44,-0.36,-0.08,-22.2222,36832700
2023-05-30,2.6,2.72,2.55,2.58,2.58,254400,397,USD,-0.44,-0.36,-0.08,-22.2222,36832700
2023-05-26,2.7,2.73,2.36,2.59,2.59,1226400,401,USD,-0.44,-0.36,-0.08,-22.2222,36832700
2023-05-25,2.568,2.64,2.43,2.43,2.43,44600,402,USD,-0.44,-0.36,-0.08,-22.2222,36832700
2023-05-24,2.61,2.625,2.56,2.58,2.58,33900,403,USD,-0.44,-0.36,-0.08,-22.2222,36832700
2023-05-23,2.68,2.689,2.56,2.68,2.68,40500,404,USD,-0.44,-0.36,-0.08,-22.2222,36832700
2023-05-22,2.66,2.71,2.6,2.64,2.64,25500,405,USD,-0.44,-0.36,-0.08,-22.2222,36832700
2023-05-19,2.68,2.71,2.65,2.69,2.69,25100,408,USD,-0.44,-0.36,-0.08,-22.2222,36832700
2023-05-18,2.74,2.74,2.63,2.72,2.72,12800,409,USD,-0.44,-0.36,-0.08,-22.2222,36832700
2023-05-17,2.68,2.776,2.565,2.74,2.74,32400,410,USD,-0.44,-0.36,-0.08,-22.2222,36832700
2023-05-16,2.6,2.795,2.56,2.76,2.76,31100,411,USD,-0.44,-0.36,-0.08,-22.2222,36832700
2023-05-15,2.68,2.76,2.57,2.61,2.61,41000,412,USD,-0.44,-0.36,-0.08,-22.2222,36832700
2023-05-12,2.73,2.857,2.58,2.67,2.67,44800,415,USD,-0.44,-0.36,-0.08,-22.2222,36832700
2023-05-11,2.67,2.805,2.64,2.8,2.8,27500,416,USD,-0.44,-0.36,-0.08,-22.2222,36832700
2023-05-10,2.66,2.66,2.563,2.57,2.57,25800,417,USD,-0.44,-0.36,-0.08,-22.2222,36832700
2023-05-09,2.58,2.674,2.57,2.66,2.66,22400,418,USD,-0.44,-0.36,-0.08,-22.2222,36832700
2023-05-08,2.6,2.7,2.56,2.61,2.61,19800,419,USD,-0.44,-0.36,-0.08,-22.2222,36832700
2023-05-05,2.591,2.69,2.56,2.62,2.62,16500,422,USD,-0.44,-0.36,-0.08,-22.2222,36832700
2023-05-04,2.6,2.66,2.56,2.56,2.56,30900,423,USD,-0.44,-0.36,-0.08,-22.2222,36832700
2023-05-03,2.74,2.79,2.61,2.63,2.63,44700,424,USD,-0.44,-0.36,-0.08,-22.2222,36832700
2023-05-02,2.6,2.88,2.56,2.73,2.73,60600,425,USD,-0.44,-0.36,-0.08,-22.2222,36832700
2023-05-01,2.45,2.67,2.36,2.59,2.59,47600,426,USD,-0.44,-0.36,-0.08,-22.2222,36832700
2023-04-28,2.43,2.49,2.26,2.4,2.4,41800,429,USD,-0.44,-0.36,-0.08,-22.2222,36832700
2023-04-27,2.37,2.8,2.33,2.46,2.46,109900,430,USD,-0.44,-0.36,-0.08,-22.2222,36832700
2023-04-26,2.06,2.36,2.01,2.36,2.36,43600,431,USD,-0.44,-0.36,-0.08,-22.2222,36832700
2023-04-25,2.0,2.07,1.96,2.02,2.02,65600,432,USD,-0.44,-0.36,-0.08,-22.2222,36832700
2023-04-24,2.02,2.03,1.93,1.98,1.98,35900,433,USD,-0.44,-0.36,-0.08,-22.2222,36832700
2023-04-21,2.03,2.109,2.02,2.03,2.03,36500,436,USD,-0.44,-0.36,-0.08,-22.2222,36832700
2023-04-20,2.05,2.109,2.02,2.02,2.02,21400,437,USD,-0.44,-0.36,-0.08,-22.2222,36832700
2023-04-19,2.198,2.198,2.02,2.03,2.03,33200,438,USD,-0.44,-0.36,-0.08,-22.2222,36832700
2023-04-18,2.156,2.18,2.04,2.11,2.11,47700,439,USD,-0.44,-0.36,-0.08,-22.2222,36832700
2023-04-17,2.36,2.37,2.15,2.22,2.22,56100,440,USD,-0.44,-0.36,-0.08,-22.2222,36832700
2023-04-14,2.52,2.528,2.288,2.39,2.39,80800,443,USD,-0.44,-0.36,-0.08,-22.2222,36832700
2023-04-13,2.57,2.61,2.51,2.54,2.54,40200,444,USD,-0.44,-0.36,-0.08,-22.2222,36832700
2023-04-12,2.51,2.73,2.5,2.51,2.51,79900,445,USD,-0.44,-0.36,-0.08,-22.2222,36832700
2023-04-11,2.52,2.8,2.5,2.5,2.5,65700,446,USD,-0.44,-0.36,-0.08,-22.2222,36832700
2023-04-10,2.34,2.55,2.34,2.5,2.5,25200,447,USD,-0.44,-0.36,-0.08,-22.2222,36832700
2023-04-06,2.24,2.4,2.15,2.35,2.35,37700,451,USD,-0.44,-0.36,-0.08,-22.2222,36832700
2023-04-05,2.22,2.4,2.12,2.24,2.24,50100,452,USD,-0.44,-0.36,-0.08,-22.2222,36832700
2023-04-04,2.21,2.23,2.07,2.16,2.16,36400,453,USD,-0.44,-0.36,-0.08,-22.2222,36832700
2023-04-03,2.05,2.23,2.05,2.23,2.23,29400,454,USD,-0.44,-0.36,-0.08,-22.2222,36832700
2023-03-31,2.15,2.16,1.99,2.01,2.01,18400,457,USD,-0.44,-0.36,-0.08,-22.2222,36832700
2023-03-30,2.0,2.16,1.93,2.08,2.08,26800,458,USD,-0.38,-0.41,0.03,7.3171,30235700
2023-03-29,1.99,2.05,1.91,2.03,2.03,17200,459,USD,-0.38,-0.41,0.03,7.3171,30235700
2023-03-28,2.15,2.15,1.891,1.96,1.96,42300,460,USD,-0.38,-0.41,0.03,7.3171,30235700
2023-03-27,1.9,2.14,1.86,2.08,2.08,34000,461,USD,-0.38,-0.41,0.03,7.3171,30235700
2023-03-24,2.0,2.063,1.93,1.95,1.95,37900,464,USD,-0.38,-0.41,0.03,7.3171,30235700
2023-03-23,2.06,2.15,1.95,2.005,2.005,17000,465,USD,-0.38,-0.41,0.03,7.3171,30235700
2023-03-22,2.16,2.2,2.01,2.063,2.063,26700,466,USD,-0.38,-0.41,0.03,7.3171,30235700
2023-03-21,1.91,2.23,1.91,2.14,2.14,55600,467,USD,-0.38,-0.41,0.03,7.3171,30235700
2023-03-20,2.06,2.1,1.92,1.95,1.95,43400,468,USD,-0.38,-0.41,0.03,7.3171,30235700
2023-03-17,2.06,2.12,1.91,2.03,2.03,65700,471,USD,-0.38,-0.41,0.03,7.3171,30235700
2023-03-16,2.02,2.075,2.0,2.055,2.055,25000,472,USD,-0.38,-0.41,0.03,7.3171,30235700
2023-03-15,2.11,2.133,1.984,2.04,2.04,35200,473,USD,-0.38,-0.41,0.03,7.3171,30235700
2023-03-14,2.24,2.24,2.01,2.11,2.11,26600,474,USD,-0.38,-0.41,0.03,7.3171,30235700
2023-03-13,1.97,2.12,1.92,1.95,1.95,30500,475,USD,-0.38,-0.41,0.03,7.3171,30235700
2023-03-10,2.19,2.325,1.95,2.0,2.0,49200,478,USD,-0.38,-0.41,0.03,7.3171,30235700
2023-03-09,2.36,2.37,2.11,2.16,2.16,76500,479,USD,-0.38,-0.41,0.03,7.3171,30235700
2023-03-08,2.29,2.397,2.22,2.31,2.31,23500,480,USD,-0.38,-0.41,0.03,7.3171,30235700
2023-03-07,2.34,2.35,2.18,2.3,2.3,35800,481,USD,-0.38,-0.41,0.03,7.3171,30235700
2023-03-06,2.38,2.38,2.27,2.35,2.35,41100,482,USD,-0.38,-0.41,0.03,7.3171,30235700
2023-03-03,2.32,2.42,2.3,2.39,2.39,19400,485,USD,-0.38,-0.41,0.03,7.3171,30235700
