date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-07-31,74.91,75.05,73.71,74.13,74.13,6476100,335,USD,0.76,0.69,0.07,10.1449,
2023-07-28,75.88,76.77,74.66,75.04,75.04,10226400,338,USD,0.76,0.69,0.07,10.1449,
2023-07-27,73.63,74.0,72.22,72.36,72.36,6446700,339,USD,0.76,0.69,0.07,10.1449,
2023-07-26,74.1,74.37,73.44,73.67,73.67,5676000,340,USD,0.76,0.69,0.07,10.1449,
2023-07-25,74.33,74.42,73.98,74.4,74.4,6928500,341,USD,0.76,0.69,0.07,10.1449,
2023-07-24,74.11,74.44,74.07,74.32,74.32,6224000,342,USD,0.76,0.69,0.07,10.1449,
2023-07-21,73.86,74.46,73.64,73.98,73.98,22068200,345,USD,0.76,0.69,0.07,10.1449,
2023-07-20,73.5,74.05,73.48,73.88,73.88,7003100,346,USD,0.76,0.69,0.07,10.1449,
2023-07-19,72.18,73.29,72.01,73.21,73.21,6206000,347,USD,0.76,0.69,0.07,10.1449,
2023-07-18,71.7,72.41,71.41,72.1,72.1,5777600,348,USD,0.76,0.69,0.07,10.1449,
2023-07-17,72.05,72.62,71.89,71.94,71.94,5824400,349,USD,0.76,0.69,0.07,10.1449,
2023-07-14,71.97,72.33,71.6,72.28,72.28,4556200,352,USD,0.76,0.69,0.07,10.1449,
2023-07-13,71.35,71.93,71.2,71.83,71.83,5582900,353,USD,0.76,0.69,0.07,10.1449,
2023-07-12,71.28,71.82,70.95,71.4,71.4,8454700,354,USD,0.76,0.69,0.07,10.1449,
2023-07-11,72.0,72.07,70.48,70.89,70.89,8284000,355,USD,0.76,0.69,0.07,10.1449,
2023-07-10,72.39,73.01,72.01,72.1,72.1,5702900,356,USD,0.76,0.69,0.07,10.1449,
2023-07-07,72.76,72.77,71.95,72.0,72.0,6720300,359,USD,0.76,0.69,0.07,10.1449,
2023-07-06,72.67,73.07,72.14,72.88,72.88,6781100,360,USD,0.76,0.69,0.07,10.1449,
2023-07-05,72.97,73.41,72.63,73.22,73.22,7448800,361,USD,0.76,0.69,0.07,10.1449,
2023-07-03,72.77,73.6,72.49,73.51,73.51,3931700,363,USD,0.76,0.69,0.07,10.1449,
2023-06-30,72.58,73.09,72.46,72.94,72.94,8377700,366,USD,0.76,0.69,0.07,10.1449,1372000000
2023-06-29,72.19,72.56,71.9,72.28,72.28,6453900,367,USD,0.89,0.8,0.09,11.25,1379000000
2023-06-28,73.39,73.71,72.75,73.22,72.835,6290100,368,USD,0.89,0.8,0.09,11.25,1379000000
2023-06-27,73.49,73.97,72.96,73.93,73.5413,6508000,369,USD,0.89,0.8,0.09,11.25,1379000000
2023-06-26,73.09,73.28,72.36,73.23,72.8449,4951000,370,USD,0.89,0.8,0.09,11.25,1379000000
2023-06-23,74.09,74.11,72.94,73.1,72.7156,7619006,373,USD,0.89,0.8,0.09,11.25,1379000000
2023-06-22,73.26,73.95,73.26,73.74,73.3523,6226401,374,USD,0.89,0.8,0.09,11.25,1379000000
2023-06-21,73.25,73.5,72.625,73.14,72.7554,6778835,375,USD,0.89,0.8,0.09,11.25,1379000000
2023-06-20,73.88,74.25,73.245,73.26,72.8748,6284096,376,USD,0.89,0.8,0.09,11.25,1379000000
2023-06-16,74.14,74.41,73.435,73.57,73.1832,10884810,380,USD,0.89,0.8,0.09,11.25,1379000000
2023-06-15,73.48,73.79,73.195,73.46,73.0737,4908936,381,USD,0.89,0.8,0.09,11.25,1379000000
2023-06-14,73.03,73.425,72.625,73.13,72.7455,5203885,382,USD,0.89,0.8,0.09,11.25,1379000000
2023-06-13,72.57,73.055,72.435,72.72,72.3376,3796576,383,USD,0.89,0.8,0.09,11.25,1379000000
