date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-07-31,5.06,5.13,4.9,5.02,5.02,8800,335,USD,0.08,0.06,0.02,33.3333,
2023-07-28,5.03,5.03,5.03,5.03,5.03,900,338,USD,0.08,0.06,0.02,33.3333,
2023-07-27,5.0,5.15,4.95,4.95,4.95,11500,339,USD,0.08,0.06,0.02,33.3333,
2023-07-26,5.37,5.37,4.9,5.13,5.13,4600,340,USD,0.08,0.06,0.02,33.3333,
2023-07-25,4.86,4.94,4.78,4.9,4.9,22200,341,USD,0.08,0.06,0.02,33.3333,
2023-07-24,5.11,5.34,4.61,5.0,5.0,8700,342,USD,0.08,0.06,0.02,33.3333,
2023-07-21,5.15,5.47,5.15,5.24,5.24,10400,345,USD,0.08,0.06,0.02,33.3333,
2023-07-20,5.31,5.48,5.21,5.3,5.3,13800,346,USD,0.08,0.06,0.02,33.3333,
2023-07-19,5.23,5.44,5.12,5.35,5.35,5300,347,USD,0.08,0.06,0.02,33.3333,
2023-07-18,5.3,5.49,5.18,5.27,5.27,2500,348,USD,0.08,0.06,0.02,33.3333,
2023-07-17,5.3,5.37,5.12,5.34,5.34,15700,349,USD,0.08,0.06,0.02,33.3333,
2023-07-14,5.37,5.49,5.37,5.39,5.39,3300,352,USD,0.08,0.06,0.02,33.3333,
2023-07-13,5.21,5.48,5.21,5.46,5.46,6800,353,USD,0.08,0.06,0.02,33.3333,
2023-07-12,5.11,5.45,5.03,5.29,5.29,4100,354,USD,0.08,0.06,0.02,33.3333,
2023-07-11,5.05,5.19,4.93,5.19,5.19,7000,355,USD,0.08,0.06,0.02,33.3333,
2023-07-10,5.01,5.03,5.0,5.0,5.0,1300,356,USD,0.08,0.06,0.02,33.3333,
2023-07-07,5.04,5.45,4.96,5.03,5.03,25800,359,USD,0.08,0.06,0.02,33.3333,
2023-07-06,5.49,5.49,4.78,5.0,5.0,38200,360,USD,0.08,0.06,0.02,33.3333,
2023-07-05,5.25,5.37,5.1,5.15,5.15,20700,361,USD,0.08,0.06,0.02,33.3333,
2023-07-03,5.43,5.5,5.28,5.43,5.43,9200,363,USD,0.08,0.06,0.02,33.3333,
2023-06-30,5.66,5.66,5.39,5.44,5.44,4500,366,USD,0.08,0.06,0.02,33.3333,20210000
2023-06-29,5.24,5.58,5.24,5.47,5.47,6400,367,USD,0.07,-0.01,0.08,800,20122100
2023-06-28,5.3,5.67,5.25,5.46,5.46,63800,368,USD,0.07,-0.01,0.08,800,20122100
2023-06-27,5.24,5.4,5.11,5.39,5.39,17300,369,USD,0.07,-0.01,0.08,800,20122100
2023-06-26,5.26,5.29,5.1,5.25,5.25,28000,370,USD,0.07,-0.01,0.08,800,20122100
2023-06-23,5.16,5.32,5.08,5.32,5.32,11500,373,USD,0.07,-0.01,0.08,800,20122100
2023-06-22,5.01,5.11,5.01,5.09,5.09,2700,374,USD,0.07,-0.01,0.08,800,20122100
2023-06-21,4.8,5.01,4.78,5.01,5.01,18400,375,USD,0.07,-0.01,0.08,800,20122100
2023-06-20,4.85,4.98,4.71,4.9,4.9,7800,376,USD,0.07,-0.01,0.08,800,20122100
2023-06-16,4.75,4.87,4.61,4.86,4.86,4500,380,USD,0.07,-0.01,0.08,800,20122100
2023-06-15,4.8,4.83,4.67,4.69,4.69,5900,381,USD,0.07,-0.01,0.08,800,20122100
2023-06-14,4.52,4.76,4.52,4.68,4.68,12700,382,USD,0.07,-0.01,0.08,800,20122100
2023-06-13,4.33,4.5,4.33,4.47,4.47,48400,383,USD,0.07,-0.01,0.08,800,20122100
2023-06-12,4.72,4.72,4.47,4.5,4.5,17000,384,USD,0.07,-0.01,0.08,800,20122100
2023-06-09,4.81,5.02,4.7,4.72,4.72,26500,387,USD,0.07,-0.01,0.08,800,20122100
2023-06-08,5.23,5.23,5.04,5.04,5.04,900,388,USD,0.07,-0.01,0.08,800,20122100
2023-06-07,5.1,5.26,5.1,5.22,5.22,15200,389,USD,0.07,-0.01,0.08,800,20122100
2023-06-06,4.98,5.12,4.95,5.03,5.03,5800,390,USD,0.07,-0.01,0.08,800,20122100
2023-06-05,4.62,5.0,4.62,5.0,5.0,34800,391,USD,0.07,-0.01,0.08,800,20122100
2023-06-02,4.6,4.92,4.6,4.82,4.82,4900,394,USD,0.07,-0.01,0.08,800,20122100
2023-06-01,4.51,4.7,4.5,4.63,4.63,9200,395,USD,0.07,-0.01,0.08,800,20122100
2023-05-31,4.9,4.9,4.47,4.57,4.57,10100,396,USD,0.07,-0.01,0.08,800,20122100
2023-05-30,4.75,4.9,4.54,4.55,4.55,6700,397,USD,0.07,-0.01,0.08,800,20122100
2023-05-26,5.02,5.02,4.75,4.85,4.85,9700,401,USD,0.07,-0.01,0.08,800,20122100
2023-05-25,5.0,5.0,4.79,4.79,4.79,11100,402,USD,0.07,-0.01,0.08,800,20122100
2023-05-24,4.98,4.99,4.91,4.95,4.95,24000,403,USD,0.07,-0.01,0.08,800,20122100
2023-05-23,4.82,5.09,4.82,4.96,4.96,9200,404,USD,0.07,-0.01,0.08,800,20122100
2023-05-22,4.78,4.91,4.76,4.77,4.77,33500,405,USD,0.07,-0.01,0.08,800,20122100
2023-05-19,4.62,4.78,4.62,4.77,4.77,8400,408,USD,0.07,-0.01,0.08,800,20122100
2023-05-18,4.42,4.79,4.42,4.79,4.79,16400,409,USD,0.07,-0.01,0.08,800,20122100
2023-05-17,4.47,4.52,4.37,4.37,4.37,31300,410,USD,0.07,-0.01,0.08,800,20122100
2023-05-16,4.61,4.7,4.45,4.54,4.54,13700,411,USD,0.07,-0.01,0.08,800,20122100
2023-05-15,4.69,4.78,4.68,4.7,4.7,36600,412,USD,0.07,-0.01,0.08,800,20122100
2023-05-12,4.73,4.85,4.7,4.73,4.73,9600,415,USD,0.07,-0.01,0.08,800,20122100
2023-05-11,4.87,4.92,4.68,4.69,4.69,13600,416,USD,0.07,-0.01,0.08,800,20122100
2023-05-10,4.86,4.97,4.79,4.81,4.81,14000,417,USD,0.07,-0.01,0.08,800,20122100
2023-05-09,4.9,5.01,4.8,4.94,4.94,18000,418,USD,0.07,-0.01,0.08,800,20122100
2023-05-08,4.91,5.02,4.91,4.93,4.93,21700,419,USD,0.07,-0.01,0.08,800,20122100
2023-05-05,5.09,5.09,4.9,4.96,4.96,29500,422,USD,0.07,-0.01,0.08,800,20122100
2023-05-04,5.6,5.73,4.75,5.04,5.04,34100,423,USD,0.07,-0.01,0.08,800,20122100
2023-05-03,5.13,5.25,5.13,5.21,5.21,46100,424,USD,0.07,-0.01,0.08,800,20122100
2023-05-02,5.19,5.23,5.1,5.15,5.15,16500,425,USD,0.07,-0.01,0.08,800,20122100
2023-05-01,5.21,5.21,5.15,5.18,5.18,11700,426,USD,0.07,-0.01,0.08,800,20122100
2023-04-28,5.11,5.23,5.11,5.17,5.17,7000,429,USD,0.07,-0.01,0.08,800,20122100
2023-04-27,4.99,5.18,4.93,5.09,5.09,8700,430,USD,0.07,-0.01,0.08,800,20122100
2023-04-26,5.15,5.2,5.05,5.05,5.05,12200,431,USD,0.07,-0.01,0.08,800,20122100
2023-04-25,5.19,5.28,5.14,5.18,5.18,16100,432,USD,0.07,-0.01,0.08,800,20122100
2023-04-24,5.1,5.2,5.1,5.2,5.2,6300,433,USD,0.07,-0.01,0.08,800,20122100
2023-04-21,5.23,5.23,5.11,5.23,5.23,14100,436,USD,0.07,-0.01,0.08,800,20122100
2023-04-20,4.95,5.31,4.95,5.18,5.18,12900,437,USD,0.07,-0.01,0.08,800,20122100
2023-04-19,5.187,5.27,4.75,5.0,5.0,54846,438,USD,0.07,-0.01,0.08,800,20122100
2023-04-18,5.21,5.21,5.18,5.2,5.2,5856,439,USD,0.07,-0.01,0.08,800,20122100
2023-04-17,5.2,5.25,5.1,5.19,5.19,19644,440,USD,0.07,-0.01,0.08,800,20122100
2023-04-14,5.16,5.29,5.16,5.2,5.2,9811,443,USD,0.07,-0.01,0.08,800,20122100
2023-04-13,5.3,5.3,5.205,5.22,5.22,23760,444,USD,0.07,-0.01,0.08,800,20122100
2023-04-12,5.175,5.3,5.15,5.3,5.3,21214,445,USD,0.07,-0.01,0.08,800,20122100
2023-04-11,5.15,5.3,5.15,5.1997,5.1997,10268,446,USD,0.07,-0.01,0.08,800,20122100
2023-04-10,5.18,5.23,5.18,5.2,5.2,4857,447,USD,0.07,-0.01,0.08,800,20122100
2023-04-06,5.27,5.36,5.14,5.2,5.2,8079,451,USD,0.07,-0.01,0.08,800,20122100
2023-04-05,5.1,5.13,5.08,5.13,5.13,5616,452,USD,0.07,-0.01,0.08,800,20122100
2023-04-04,5.15,5.23,5.1,5.16,5.16,18247,453,USD,0.07,-0.01,0.08,800,20122100
2023-04-03,5.11,5.22,5.1,5.15,5.15,15710,454,USD,0.07,-0.01,0.08,800,20122100
2023-03-31,5.1,5.34,5.1,5.21,5.21,16105,457,USD,0.07,-0.01,0.08,800,20122100
2023-03-30,5.12,5.2216,5.09,5.18,5.18,7739,458,USD,0.1,0.07,0.03,42.8571,20103400
2023-03-29,5.2,5.3,5.04,5.16,5.16,21123,459,USD,0.1,0.07,0.03,42.8571,20103400
2023-03-28,5.24,5.3,5.18,5.19,5.19,4912,460,USD,0.1,0.07,0.03,42.8571,20103400
2023-03-27,5.2,5.2,5.15,5.18,5.18,7618,461,USD,0.1,0.07,0.03,42.8571,20103400
2023-03-24,5.15,5.26,5.15,5.22,5.22,10229,464,USD,0.1,0.07,0.03,42.8571,20103400
2023-03-23,5.27,5.45,5.21,5.27,5.27,12811,465,USD,0.1,0.07,0.03,42.8571,20103400
2023-03-22,5.4,5.51,5.33,5.35,5.35,28975,466,USD,0.1,0.07,0.03,42.8571,20103400
2023-03-21,5.01,5.64,5.01,5.28,5.28,24560,467,USD,0.1,0.07,0.03,42.8571,20103400
2023-03-20,5.04,5.09,4.95,5.05,5.05,10610,468,USD,0.1,0.07,0.03,42.8571,20103400
2023-03-17,5.29,5.5199,5.01,5.1,5.1,39005,471,USD,0.1,0.07,0.03,42.8571,20103400
2023-03-16,5.46,5.56,5.26,5.29,5.29,12300,472,USD,0.1,0.07,0.03,42.8571,20103400
2023-03-15,5.55,5.6094,5.31,5.44,5.44,26697,473,USD,0.1,0.07,0.03,42.8571,20103400
2023-03-14,5.69,5.69,5.4622,5.55,5.55,32303,474,USD,0.1,0.07,0.03,42.8571,20103400
2023-03-13,5.69,5.69,5.45,5.67,5.67,32108,475,USD,0.1,0.07,0.03,42.8571,20103400
2023-03-10,5.49,5.8,5.4035,5.69,5.69,21099,478,USD,0.1,0.07,0.03,42.8571,20103400
2023-03-09,5.33,5.64,5.2225,5.44,5.44,11605,479,USD,0.1,0.07,0.03,42.8571,20103400
2023-03-08,5.55,5.6,4.97,5.32,5.32,83333,480,USD,0.1,0.07,0.03,42.8571,20103400
2023-03-07,5.07,5.23,5.07,5.15,5.15,26569,481,USD,0.1,0.07,0.03,42.8571,20103400
2023-03-06,5.285,5.285,5.11,5.12,5.12,16643,482,USD,0.1,0.07,0.03,42.8571,20103400
2023-03-03,5.17,5.31,5.11,5.15,5.15,31326,485,USD,0.1,0.07,0.03,42.8571,20103400
2023-03-02,5.0,5.35,5.0,5.15,5.15,11639,486,USD,0.1,0.07,0.03,42.8571,20103400
2023-03-01,5.133,5.14,5.0,5.04,5.04,46479,487,USD,0.1,0.07,0.03,42.8571,20103400
2023-02-28,5.21,5.2882,5.11,5.12,5.12,37730,488,USD,0.1,0.07,0.03,42.8571,20103400
2023-02-27,5.39,5.595,5.202,5.21,5.21,33879,489,USD,0.1,0.07,0.03,42.8571,20103400
2023-02-24,5.57,5.62,5.46,5.46,5.46,14097,492,USD,0.1,0.07,0.03,42.8571,20103400
2023-02-23,5.58,5.72,5.5521,5.63,5.63,5614,493,USD,0.1,0.07,0.03,42.8571,20103400
2023-02-22,5.59,5.7,5.59,5.61,5.61,10602,494,USD,0.1,0.07,0.03,42.8571,20103400
2023-02-21,5.81,6.215,5.755,5.79,5.79,14866,495,USD,0.1,0.07,0.03,42.8571,20103400
2023-02-17,5.79,5.94,5.6,5.92,5.92,31390,499,USD,0.1,0.07,0.03,42.8571,20103400
2023-02-16,5.82,5.9,5.72,5.85,5.85,11930,500,USD,0.1,0.07,0.03,42.8571,20103400
2023-02-15,5.92,6.24,5.69,5.75,5.75,35937,501,USD,0.1,0.07,0.03,42.8571,20103400
2023-02-14,6.19,6.26,5.84,6.065,6.065,62397,502,USD,0.1,0.07,0.03,42.8571,20103400
2023-02-13,5.98,6.2,5.65,6.2,6.2,38263,503,USD,0.1,0.07,0.03,42.8571,20103400
2023-02-10,5.48,5.91,5.48,5.89,5.89,59263,506,USD,0.1,0.07,0.03,42.8571,20103400
2023-02-09,5.52,5.59,5.484,5.58,5.58,18386,507,USD,0.1,0.07,0.03,42.8571,20103400
2023-02-08,5.5,5.75,5.2018,5.5,5.5,49453,508,USD,0.1,0.07,0.03,42.8571,20103400
2023-02-07,5.08,6.0366,5.08,5.52,5.52,230940,509,USD,0.1,0.07,0.03,42.8571,20103400
2023-02-06,4.74,5.11,4.74,5.03,5.03,52713,510,USD,0.1,0.07,0.03,42.8571,20103400
2023-02-03,4.49,4.765,4.45,4.7,4.7,19038,513,USD,0.1,0.07,0.03,42.8571,20103400
2023-02-02,4.08,4.57,4.0499,4.57,4.57,102022,514,USD,0.1,0.07,0.03,42.8571,20103400
2023-02-01,4.05,4.14,4.01,4.06,4.06,73242,515,USD,0.1,0.07,0.03,42.8571,20103400
2023-01-31,4.01,4.26,4.01,4.08,4.08,117730,516,USD,0.1,0.07,0.03,42.8571,20103400
2023-01-30,4.0,4.15,3.75,4.0,4.0,73554,517,USD,0.1,0.07,0.03,42.8571,20103400
2023-01-27,3.99,4.0499,3.97,4.02,4.02,35512,520,USD,0.1,0.07,0.03,42.8571,20103400
2023-01-26,4.0,4.14,3.84,3.94,3.94,44439,521,USD,0.1,0.07,0.03,42.8571,20103400
2023-01-25,4.05,4.05,3.95,4.03,4.03,48098,522,USD,0.1,0.07,0.03,42.8571,20103400
2023-01-24,4.105,4.16,4.0,4.07,4.07,77530,523,USD,0.1,0.07,0.03,42.8571,20103400
2023-01-23,4.03,4.21,3.83,4.18,4.18,141964,524,USD,0.1,0.07,0.03,42.8571,20103400
2023-01-20,4.0,4.05,4.0,4.01,4.01,59993,527,USD,0.1,0.07,0.03,42.8571,20103400
2023-01-19,4.02,4.14,3.98,4.04,4.04,75296,528,USD,0.1,0.07,0.03,42.8571,20103400
2023-01-18,4.035,4.085,3.95,3.98,3.98,39906,529,USD,0.1,0.07,0.03,42.8571,20103400
2023-01-17,3.85,4.11,3.77,4.04,4.04,48716,530,USD,0.1,0.07,0.03,42.8571,20103400
2023-01-13,3.85,4.05,3.85,3.88,3.88,76264,534,USD,0.1,0.07,0.03,42.8571,20103400
2023-01-12,3.79,3.9899,3.75,3.86,3.86,40296,535,USD,0.1,0.07,0.03,42.8571,20103400
2023-01-11,3.83,4.0188,3.81,3.83,3.83,7773,536,USD,0.1,0.07,0.03,42.8571,20103400
2023-01-10,3.87,4.06,3.7694,3.83,3.83,20693,537,USD,0.1,0.07,0.03,42.8571,20103400
2023-01-09,3.93,4.21,3.93,3.93,3.93,7406,538,USD,0.1,0.07,0.03,42.8571,20103400
2023-01-06,3.87,4.1472,3.86,3.98,3.98,16856,541,USD,0.1,0.07,0.03,42.8571,20103400
2023-01-05,3.8,3.94,3.7516,3.86,3.86,22428,542,USD,0.1,0.07,0.03,42.8571,20103400
2023-01-04,3.8,3.8424,3.75,3.75,3.75,5896,543,USD,0.1,0.07,0.03,42.8571,20103400
2023-01-03,4.08,4.3,3.79,3.86,3.86,39898,544,USD,0.1,0.07,0.03,42.8571,20103400
2022-12-30,3.75,4.13,3.75,4.0,4.0,135212,548,USD,0.05,-0.07,0.12,171.4286,20094500
2022-12-29,3.48,3.84,3.48,3.79,3.79,284601,549,USD,0.05,-0.07,0.12,171.4286,20094500
2022-12-28,3.67,3.89,3.48,3.5,3.5,107261,550,USD,0.05,-0.07,0.12,171.4286,20094500
2022-12-27,3.83,3.83,3.54,3.61,3.61,47103,551,USD,0.05,-0.07,0.12,171.4286,20094500
2022-12-23,3.79,3.94,3.69,3.8,3.8,59038,555,USD,0.05,-0.07,0.12,171.4286,20094500
2022-12-22,4.07,4.22,3.7,3.81,3.81,111594,556,USD,0.05,-0.07,0.12,171.4286,20094500
2022-12-21,4.26,4.35,4.14,4.16,4.16,45890,557,USD,0.05,-0.07,0.12,171.4286,20094500
2022-12-20,4.25,4.35,4.05,4.3,4.3,61794,558,USD,0.05,-0.07,0.12,171.4286,20094500
2022-12-19,3.98,4.31,3.98,4.29,4.29,48871,559,USD,0.05,-0.07,0.12,171.4286,20094500
2022-12-16,4.16,4.3,3.96,3.98,3.98,139993,562,USD,0.05,-0.07,0.12,171.4286,20094500
2022-12-15,4.19,4.43,4.11,4.19,4.19,297044,563,USD,0.05,-0.07,0.12,171.4286,20094500
2022-12-14,4.45,4.625,4.12,4.17,4.17,125290,564,USD,0.05,-0.07,0.12,171.4286,20094500
2022-12-13,4.5,4.59,4.37,4.48,4.48,55655,565,USD,0.05,-0.07,0.12,171.4286,20094500
2022-12-12,4.52,4.82,4.49,4.49,4.49,27209,566,USD,0.05,-0.07,0.12,171.4286,20094500
2022-12-09,4.77,4.8347,4.47,4.47,4.47,20084,569,USD,0.05,-0.07,0.12,171.4286,20094500
2022-12-08,4.85,5.01,4.71,4.72,4.72,10353,570,USD,0.05,-0.07,0.12,171.4286,20094500
2022-12-07,5.0,5.04,4.8,4.82,4.82,30837,571,USD,0.05,-0.07,0.12,171.4286,20094500
2022-12-06,5.1743,5.1743,4.9,4.9,4.9,10241,572,USD,0.05,-0.07,0.12,171.4286,20094500
2022-12-05,5.0,5.15,4.85,5.0,5.0,88361,573,USD,0.05,-0.07,0.12,171.4286,20094500
2022-12-02,4.97,5.03,4.73,4.98,4.98,32967,576,USD,0.05,-0.07,0.12,171.4286,20094500
2022-12-01,4.72,5.15,4.7,5.01,5.01,42324,577,USD,0.05,-0.07,0.12,171.4286,20094500
2022-11-30,4.97,4.98,4.69,4.74,4.74,11475,578,USD,0.05,-0.07,0.12,171.4286,20094500
2022-11-29,5.0,5.0,4.88,4.97,4.97,16734,579,USD,0.05,-0.07,0.12,171.4286,20094500
2022-11-28,5.01,5.0767,4.985,5.0,5.0,5526,580,USD,0.05,-0.07,0.12,171.4286,20094500
2022-11-25,4.91,5.05,4.825,5.05,5.05,27912,583,USD,0.05,-0.07,0.12,171.4286,20094500
2022-11-23,5.0,5.082,4.82,4.83,4.83,16003,585,USD,0.05,-0.07,0.12,171.4286,20094500
2022-11-22,4.63,5.0,4.5,4.78,4.78,85504,586,USD,0.05,-0.07,0.12,171.4286,20094500
2022-11-21,4.46,4.5717,4.4,4.49,4.49,44137,587,USD,0.05,-0.07,0.12,171.4286,20094500
2022-11-18,4.65,4.75,4.45,4.45,4.45,13993,590,USD,0.05,-0.07,0.12,171.4286,20094500
2022-11-17,4.72,4.72,4.5501,4.64,4.64,1863,591,USD,0.05,-0.07,0.12,171.4286,20094500
2022-11-16,4.64,4.72,4.45,4.72,4.72,18087,592,USD,0.05,-0.07,0.12,171.4286,20094500
2022-11-15,4.6,4.93,4.6,4.66,4.66,11911,593,USD,0.05,-0.07,0.12,171.4286,20094500
2022-11-14,4.895,5.1499,4.54,4.6,4.6,14412,594,USD,0.05,-0.07,0.12,171.4286,20094500
2022-11-11,5.1325,5.1325,5.05,5.055,5.055,3797,597,USD,0.05,-0.07,0.12,171.4286,20094500
2022-11-10,4.94,5.03,4.67,5.03,5.03,5518,598,USD,0.05,-0.07,0.12,171.4286,20094500
2022-11-09,4.76,4.95,4.76,4.85,4.85,1921,599,USD,0.05,-0.07,0.12,171.4286,20094500
2022-11-08,5.06,5.15,4.79,4.79,4.79,4544,600,USD,0.05,-0.07,0.12,171.4286,20094500
2022-11-07,5.0087,5.0087,5.0087,5.0087,5.0087,217,601,USD,0.05,-0.07,0.12,171.4286,20094500
2022-11-04,5.0,5.26,5.0,5.0087,5.0087,2775,604,USD,0.05,-0.07,0.12,171.4286,20094500
2022-11-03,4.42,4.69,4.42,4.64,4.64,1327,605,USD,0.05,-0.07,0.12,171.4286,20094500
2022-11-02,4.74,4.94,4.57,4.625,4.625,6573,606,USD,0.05,-0.07,0.12,171.4286,20094500
2022-11-01,4.93,4.93,4.6,4.87,4.87,3573,607,USD,0.05,-0.07,0.12,171.4286,20094500
2022-10-31,4.3701,4.76,4.3701,4.56,4.56,8944,608,USD,0.05,-0.07,0.12,171.4286,20094500
2022-10-28,4.86,4.86,4.65,4.65,4.65,6739,611,USD,0.05,-0.07,0.12,171.4286,20094500
2022-10-27,4.65,4.73,4.49,4.55,4.55,13066,612,USD,0.05,-0.07,0.12,171.4286,20094500
2022-10-26,4.6,4.9,4.545,4.63,4.63,22984,613,USD,0.05,-0.07,0.12,171.4286,20094500
2022-10-25,4.52,4.65,4.36,4.6485,4.6485,16796,614,USD,0.05,-0.07,0.12,171.4286,20094500
2022-10-24,4.5,4.71,4.41,4.71,4.71,535,615,USD,0.05,-0.07,0.12,171.4286,20094500
2022-10-21,4.535,4.5999,4.4,4.4,4.4,1321,618,USD,0.05,-0.07,0.12,171.4286,20094500
2022-10-20,4.54,4.5799,4.48,4.48,4.48,3531,619,USD,0.05,-0.07,0.12,171.4286,20094500
2022-10-19,4.52,4.66,4.51,4.51,4.51,2947,620,USD,0.05,-0.07,0.12,171.4286,20094500
2022-10-18,4.34,4.64,4.34,4.49,4.49,2722,621,USD,0.05,-0.07,0.12,171.4286,20094500
2022-10-17,4.6058,4.7001,4.48,4.48,4.48,16094,622,USD,0.05,-0.07,0.12,171.4286,20094500
2022-10-14,4.58,4.72,4.58,4.72,4.72,785,625,USD,0.05,-0.07,0.12,171.4286,20094500
2022-10-13,4.56,4.75,4.56,4.74,4.74,7161,626,USD,0.05,-0.07,0.12,171.4286,20094500
2022-10-12,5.05,5.24,4.63,4.63,4.63,24993,627,USD,0.05,-0.07,0.12,171.4286,20094500
2022-10-11,5.4,5.4,4.95,5.01,5.01,14878,628,USD,0.05,-0.07,0.12,171.4286,20094500
2022-10-10,5.05,5.32,5.02,5.1439,5.1439,9099,629,USD,0.05,-0.07,0.12,171.4286,20094500
2022-10-07,5.4475,5.4475,5.02,5.02,5.02,1742,632,USD,0.05,-0.07,0.12,171.4286,20094500
2022-10-06,5.15,5.2,5.0937,5.125,5.125,3527,633,USD,0.05,-0.07,0.12,171.4286,20094500
