date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-07-31,14.05,14.05,13.929,13.93,13.93,4600,335,USD,-0.3816,,,,
2023-07-28,13.99,14.02,13.92,13.95,13.95,5400,338,USD,-0.3816,,,,
2023-07-27,14.07,14.07,13.92,13.95,13.95,6600,339,USD,-0.3816,,,,
2023-07-26,14.01,14.16,14.01,14.07,14.07,4000,340,USD,-0.3816,,,,
2023-07-25,13.75,13.96,13.71,13.88,13.88,7400,341,USD,-0.3816,,,,
2023-07-24,13.99,14.06,13.99,13.99,13.99,2700,342,USD,-0.3816,,,,
2023-07-21,14.05,14.05,13.74,13.92,13.92,7000,345,USD,-0.3816,,,,
2023-07-20,13.85,14.05,13.85,14.05,14.05,8100,346,USD,-0.3816,,,,
2023-07-19,14.0,14.1,14.0,14.07,14.07,7900,347,USD,-0.3816,,,,
2023-07-18,13.92,13.98,13.92,13.98,13.98,3100,348,USD,-0.3816,,,,
2023-07-17,13.849,14.01,13.766,13.94,13.94,8800,349,USD,-0.3816,,,,
2023-07-14,13.785,13.85,13.67,13.85,13.85,3400,352,USD,-0.3816,,,,
2023-07-13,13.92,13.94,13.92,13.94,13.94,2000,353,USD,-0.3816,,,,
2023-07-12,14.21,14.23,13.68,13.99,13.99,8800,354,USD,-0.3816,,,,
2023-07-11,14.06,14.12,13.687,14.12,14.12,8600,355,USD,-0.3816,,,,
2023-07-10,13.91,14.05,13.91,14.05,14.05,2300,356,USD,-0.3816,,,,
2023-07-07,13.96,14.2,13.62,13.96,13.96,12300,359,USD,-0.3816,,,,
2023-07-06,14.14,14.14,13.83,13.83,13.83,5700,360,USD,-0.3816,,,,
2023-07-05,14.66,14.89,14.445,14.5,14.5,8600,361,USD,-0.3816,,,,
2023-07-03,14.69,14.98,14.64,14.98,14.98,2000,363,USD,-0.3816,,,,
2023-06-30,14.99,15.0,14.77,14.85,14.85,9200,366,USD,-0.3816,,,,21281500
2023-06-29,14.25,14.93,14.25,14.93,14.93,13500,367,USD,-0.2,,,,21369000
2023-06-28,14.22,14.35,14.22,14.35,14.35,1500,368,USD,-0.2,,,,21369000
2023-06-27,14.43,14.43,14.25,14.36,14.36,5430,369,USD,-0.2,,,,21369000
2023-06-26,14.04,14.19,14.02,14.19,14.19,4462,370,USD,-0.2,,,,21369000
2023-06-23,14.17,14.45,14.14,14.33,14.33,45700,373,USD,-0.2,,,,21369000
2023-06-22,13.96,14.45,13.96,14.21,14.21,22100,374,USD,-0.2,,,,21369000
