date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-07-31,41.87,41.9,41.02,41.21,41.21,495800,335,USD,0.56,0.55,0.01,1.8182,
2023-07-28,42.08,42.3,41.61,41.93,41.93,192500,338,USD,0.56,0.55,0.01,1.8182,
2023-07-27,43.38,43.38,41.71,41.75,41.75,462300,339,USD,0.56,0.55,0.01,1.8182,
2023-07-26,42.81,43.14,42.21,43.05,43.05,356400,340,USD,0.56,0.55,0.01,1.8182,
2023-07-25,42.2,42.74,41.8,42.54,42.54,958700,341,USD,0.56,0.55,0.01,1.8182,
2023-07-24,43.2,43.33,42.24,42.35,42.35,535400,342,USD,0.56,0.55,0.01,1.8182,
2023-07-21,43.04,43.5,41.65,43.08,43.08,608600,345,USD,0.56,0.55,0.01,1.8182,
2023-07-20,43.06,43.68,41.92,42.89,42.89,871300,346,USD,0.56,0.55,0.01,1.8182,
2023-07-19,43.86,44.12,42.89,43.14,43.14,273200,347,USD,0.56,0.55,0.01,1.8182,
2023-07-18,43.45,43.97,42.93,43.61,43.61,425600,348,USD,0.56,0.55,0.01,1.8182,
2023-07-17,43.1,43.69,42.92,43.56,43.56,253100,349,USD,0.56,0.55,0.01,1.8182,
2023-07-14,43.26,43.53,42.76,43.36,43.36,192400,352,USD,0.56,0.55,0.01,1.8182,
2023-07-13,43.63,43.65,42.91,43.16,43.16,254800,353,USD,0.56,0.55,0.01,1.8182,
2023-07-12,42.9,43.57,42.49,43.44,43.44,316700,354,USD,0.56,0.55,0.01,1.8182,
2023-07-11,41.74,42.47,41.62,42.39,42.39,531900,355,USD,0.56,0.55,0.01,1.8182,
2023-07-10,40.08,41.91,39.93,41.55,41.55,378700,356,USD,0.56,0.55,0.01,1.8182,
2023-07-07,39.39,40.1,39.39,40.02,40.02,520600,359,USD,0.56,0.55,0.01,1.8182,
2023-07-06,39.71,39.87,38.97,39.18,39.18,548200,360,USD,0.56,0.55,0.01,1.8182,
2023-07-05,40.62,40.86,40.17,40.19,40.19,340500,361,USD,0.56,0.55,0.01,1.8182,
2023-07-03,41.27,41.27,40.3,40.82,40.82,156500,363,USD,0.56,0.55,0.01,1.8182,
2023-06-30,41.51,41.88,41.19,41.59,41.59,647900,366,USD,0.56,0.55,0.01,1.8182,52907000
2023-06-29,40.68,41.43,40.68,40.94,40.94,352000,367,USD,0.47,0.43,0.04,9.3023,52242000
2023-06-28,40.37,40.8,40.37,40.75,40.75,294300,368,USD,0.47,0.43,0.04,9.3023,52242000
2023-06-27,40.39,40.83,39.74,40.52,40.52,1020500,369,USD,0.47,0.43,0.04,9.3023,52242000
2023-06-26,40.87,41.11,40.37,40.43,40.43,602200,370,USD,0.47,0.43,0.04,9.3023,52242000
2023-06-23,41.0,41.52,40.91,41.05,41.05,1252300,373,USD,0.47,0.43,0.04,9.3023,52242000
2023-06-22,40.8,41.39,40.47,41.32,41.32,560900,374,USD,0.47,0.43,0.04,9.3023,52242000
2023-06-21,40.5,40.83,40.08,40.77,40.77,729800,375,USD,0.47,0.43,0.04,9.3023,52242000
2023-06-20,40.98,41.18,40.49,40.52,40.52,331700,376,USD,0.47,0.43,0.04,9.3023,52242000
2023-06-16,42.1,42.1,41.31,41.35,41.35,907700,380,USD,0.47,0.43,0.04,9.3023,52242000
2023-06-15,39.79,41.75,38.64,41.67,41.67,548800,381,USD,0.47,0.43,0.04,9.3023,52242000
2023-06-14,40.37,41.1,39.78,39.84,39.84,467800,382,USD,0.47,0.43,0.04,9.3023,52242000
2023-06-13,40.32,40.59,39.74,39.84,39.84,498800,383,USD,0.47,0.43,0.04,9.3023,52242000
2023-06-12,39.47,40.23,39.42,40.22,40.22,410900,384,USD,0.47,0.43,0.04,9.3023,52242000
2023-06-09,39.49,39.81,39.32,39.46,39.46,387200,387,USD,0.47,0.43,0.04,9.3023,52242000
2023-06-08,39.6,39.69,39.36,39.63,39.63,523500,388,USD,0.47,0.43,0.04,9.3023,52242000
2023-06-07,39.9,40.01,39.32,39.65,39.65,564600,389,USD,0.47,0.43,0.04,9.3023,52242000
