date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-07-31,29.73,30.15,29.1,29.23,29.18,113458,335,USD,0.73,0.89,-0.16,-17.9775,
2023-07-28,29.21,30.0,29.01,29.79,29.739,75788,338,USD,0.73,0.89,-0.16,-17.9775,
2023-07-27,31.16,31.16,28.815,28.86,28.8106,149482,339,USD,0.73,0.89,-0.16,-17.9775,
2023-07-26,30.31,31.19,30.25,30.88,30.8272,128745,340,USD,0.73,0.89,-0.16,-17.9775,
2023-07-25,30.09,30.655,29.72,30.31,30.2582,58914,341,USD,0.73,0.89,-0.16,-17.9775,
2023-07-24,29.47,30.405,29.47,30.14,30.0884,44591,342,USD,0.73,0.89,-0.16,-17.9775,
2023-07-21,30.0,30.0,29.405,29.5,29.4495,57545,345,USD,0.73,0.89,-0.16,-17.9775,
2023-07-20,29.86,29.86,29.3,29.82,29.769,64131,346,USD,0.73,0.89,-0.16,-17.9775,
2023-07-19,29.17,29.91,28.8,29.91,29.8588,78997,347,USD,0.73,0.89,-0.16,-17.9775,
2023-07-18,28.27,29.06,28.27,28.95,28.9005,45820,348,USD,0.73,0.89,-0.16,-17.9775,
2023-07-17,27.73,28.69,27.73,28.24,28.1917,31254,349,USD,0.73,0.89,-0.16,-17.9775,
2023-07-14,28.46,28.46,27.535,27.77,27.7225,36308,352,USD,0.73,0.89,-0.16,-17.9775,
2023-07-13,27.91,28.35,27.88,28.18,28.1318,54466,353,USD,0.73,0.89,-0.16,-17.9775,
2023-07-12,27.68,28.22,27.68,27.73,27.6826,47526,354,USD,0.73,0.89,-0.16,-17.9775,
2023-07-11,27.17,27.475,26.83,27.29,27.2433,41363,355,USD,0.73,0.89,-0.16,-17.9775,
2023-07-10,26.83,27.67,26.83,26.96,26.9139,32853,356,USD,0.73,0.89,-0.16,-17.9775,
2023-07-07,26.43,27.52,26.43,27.0,26.9538,70600,359,USD,0.73,0.89,-0.16,-17.9775,
2023-07-06,26.63,26.96,25.96,26.39,26.3449,69729,360,USD,0.73,0.89,-0.16,-17.9775,
2023-07-05,27.24,27.32,26.76,26.94,26.8939,43536,361,USD,0.73,0.89,-0.16,-17.9775,
2023-07-03,27.07,27.64,27.07,27.28,27.2333,22287,363,USD,0.73,0.89,-0.16,-17.9775,
2023-06-30,27.4,27.4,26.83,27.08,27.0337,68050,366,USD,0.73,0.89,-0.16,-17.9775,18078800
2023-06-29,27.14,27.785,27.06,27.07,27.0237,47088,367,USD,1.01,1.06,-0.05,-4.717,18263300
2023-06-28,26.87,27.115,26.6,26.91,26.864,53917,368,USD,1.01,1.06,-0.05,-4.717,18263300
2023-06-27,27.05,27.46,26.78,26.84,26.7941,59355,369,USD,1.01,1.06,-0.05,-4.717,18263300
2023-06-26,27.31,27.83,26.92,26.94,26.8939,46056,370,USD,1.01,1.06,-0.05,-4.717,18263300
2023-06-23,27.11,27.555,26.75,27.35,27.3032,175963,373,USD,1.01,1.06,-0.05,-4.717,18263300
2023-06-22,28.1,28.1,27.32,27.54,27.4929,47152,374,USD,1.01,1.06,-0.05,-4.717,18263300
2023-06-21,28.67,28.8,28.21,28.24,28.1917,53875,375,USD,1.01,1.06,-0.05,-4.717,18263300
2023-06-20,29.4,30.045,28.75,28.83,28.7807,64176,376,USD,1.01,1.06,-0.05,-4.717,18263300
2023-06-16,30.42,30.42,29.38,29.41,29.3597,73189,380,USD,1.01,1.06,-0.05,-4.717,18263300
2023-06-15,29.51,30.235,28.145,30.07,30.0186,60672,381,USD,1.01,1.06,-0.05,-4.717,18263300
2023-06-14,30.02,30.7,29.52,29.72,29.6692,76719,382,USD,1.01,1.06,-0.05,-4.717,18263300
2023-06-13,29.0,30.14,28.86,30.14,30.0884,52418,383,USD,1.01,1.06,-0.05,-4.717,18263300
2023-06-12,29.33,29.83,28.66,29.01,28.9604,49009,384,USD,1.01,1.06,-0.05,-4.717,18263300
2023-06-09,29.61,29.9529,29.06,29.3,29.2499,36454,387,USD,1.01,1.06,-0.05,-4.717,18263300
2023-06-08,29.97,29.97,29.18,29.7,29.6492,67062,388,USD,1.01,1.06,-0.05,-4.717,18263300
2023-06-07,29.39,30.38,29.1,30.05,29.9986,81799,389,USD,1.01,1.06,-0.05,-4.717,18263300
2023-06-06,27.18,29.4,26.92,29.06,29.0103,64036,390,USD,1.01,1.06,-0.05,-4.717,18263300
2023-06-05,28.19,28.23,27.05,27.28,27.2333,65572,391,USD,1.01,1.06,-0.05,-4.717,18263300
2023-06-02,27.05,28.99,27.05,28.18,28.1318,73537,394,USD,1.01,1.06,-0.05,-4.717,18263300
2023-06-01,26.42,27.01,26.025,26.72,26.6743,46393,395,USD,1.01,1.06,-0.05,-4.717,18263300
2023-05-31,26.89,26.89,25.81,26.39,26.3449,82514,396,USD,1.01,1.06,-0.05,-4.717,18263300
2023-05-30,27.4,27.4,26.75,27.03,26.9838,33737,397,USD,1.01,1.06,-0.05,-4.717,18263300
2023-05-26,27.08,27.45,26.8101,27.43,27.3831,31271,401,USD,1.01,1.06,-0.05,-4.717,18263300
2023-05-25,27.14,27.58,26.97,27.24,27.1934,44086,402,USD,1.01,1.06,-0.05,-4.717,18263300
2023-05-24,28.37,28.655,27.3,27.31,27.2633,81165,403,USD,1.01,1.06,-0.05,-4.717,18263300
2023-05-23,27.89,29.265,27.61,28.65,28.601,129345,404,USD,1.01,1.06,-0.05,-4.717,18263300
2023-05-22,27.77,28.125,27.3,27.97,27.9222,75959,405,USD,1.01,1.06,-0.05,-4.717,18263300
2023-05-19,28.11,28.5099,27.22,27.5,27.453,100463,408,USD,1.01,1.06,-0.05,-4.717,18263300
2023-05-18,26.99,27.9,26.5,27.77,27.7225,103357,409,USD,1.01,1.06,-0.05,-4.717,18263300
2023-05-17,25.35,27.11,25.35,27.11,27.0636,95739,410,USD,1.01,1.06,-0.05,-4.717,18263300
2023-05-16,25.1,25.38,24.93,24.96,24.9173,61782,411,USD,1.01,1.06,-0.05,-4.717,18263300
2023-05-15,24.57,25.38,24.57,24.94,24.8973,80489,412,USD,1.01,1.06,-0.05,-4.717,18263300
2023-05-12,24.69,24.69,24.22,24.54,24.498,58583,415,USD,1.01,1.06,-0.05,-4.717,18263300
2023-05-11,24.51,24.95,24.43,24.54,24.498,80426,416,USD,1.01,1.06,-0.05,-4.717,18263300
2023-05-10,24.86,24.98,24.32,24.9,24.8574,77758,417,USD,1.01,1.06,-0.05,-4.717,18263300
2023-05-09,24.37,24.66,24.2201,24.43,24.3882,62354,418,USD,1.01,1.06,-0.05,-4.717,18263300
2023-05-08,25.53,25.599,24.59,24.59,24.5479,70452,419,USD,1.01,1.06,-0.05,-4.717,18263300
2023-05-05,24.47,25.29,24.38,25.21,25.1669,96587,422,USD,1.01,1.06,-0.05,-4.717,18263300
2023-05-04,24.06,24.6,22.88,23.93,23.8392,94915,423,USD,1.01,1.06,-0.05,-4.717,18263300
2023-05-03,24.67,25.805,24.53,24.63,24.5365,134184,424,USD,1.01,1.06,-0.05,-4.717,18263300
2023-05-02,26.59,26.59,24.21,24.6,24.5066,102906,425,USD,1.01,1.06,-0.05,-4.717,18263300
2023-05-01,26.53,26.85,26.29,26.79,26.6883,72498,426,USD,1.01,1.06,-0.05,-4.717,18263300
2023-04-28,25.84,26.72,25.84,26.56,26.4592,81089,429,USD,1.01,1.06,-0.05,-4.717,18263300
2023-04-27,26.7,27.0,25.98,26.05,25.9511,103920,430,USD,1.01,1.06,-0.05,-4.717,18263300
2023-04-26,26.3,26.6838,25.42,26.61,26.509,85430,431,USD,1.01,1.06,-0.05,-4.717,18263300
2023-04-25,27.06,27.29,25.95,26.09,25.991,51461,432,USD,1.01,1.06,-0.05,-4.717,18263300
2023-04-24,27.33,27.76,27.03,27.21,27.1067,53688,433,USD,1.01,1.06,-0.05,-4.717,18263300
2023-04-21,27.93,27.93,27.285,27.41,27.3059,42793,436,USD,1.01,1.06,-0.05,-4.717,18263300
2023-04-20,27.92,28.23,27.73,28.02,27.9136,41028,437,USD,1.01,1.06,-0.05,-4.717,18263300
2023-04-19,27.53,28.4,27.34,28.2,28.0929,55166,438,USD,1.01,1.06,-0.05,-4.717,18263300
2023-04-18,28.06,29.205,27.12,27.36,27.2561,51056,439,USD,1.01,1.06,-0.05,-4.717,18263300
2023-04-17,27.59,28.08,27.42,28.08,27.9734,42293,440,USD,1.01,1.06,-0.05,-4.717,18263300
2023-04-14,28.35,28.37,27.35,27.59,27.4853,81599,443,USD,1.01,1.06,-0.05,-4.717,18263300
