date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-07-31,8.2,8.39,7.98,8.15,8.15,36100,274,USD,,,,,
2023-07-28,8.09,8.11,7.86,7.96,7.96,12200,277,USD,-0.1403,,,,
2023-07-27,8.02,8.5,7.84,8.0,8.0,14000,278,USD,-0.1403,,,,
2023-07-26,8.29,8.5,7.77,8.17,8.17,26800,279,USD,-0.1403,,,,
2023-07-25,8.36,8.4,7.87,8.28,8.28,12800,280,USD,-0.1403,,,,
2023-07-24,8.42,8.65,8.31,8.31,8.31,8300,281,USD,-0.1403,,,,
2023-07-21,8.37,8.81,8.37,8.61,8.61,6500,284,USD,-0.1403,,,,
2023-07-20,8.85,8.85,8.3,8.33,8.33,9100,285,USD,-0.1403,,,,
2023-07-19,8.43,8.79,8.31,8.73,8.73,51400,286,USD,-0.1403,,,,
2023-07-18,8.47,8.69,8.4,8.49,8.49,69400,287,USD,-0.1403,,,,
2023-07-17,8.6,8.66,8.4,8.4,8.4,24900,288,USD,-0.1403,,,,
2023-07-14,8.52,8.76,8.51,8.61,8.61,8200,291,USD,-0.1403,,,,
2023-07-13,8.87,8.92,8.87,8.87,8.87,4400,292,USD,-0.1403,,,,
2023-07-12,8.69,8.97,8.68,8.97,8.97,3900,293,USD,-0.1403,,,,
2023-07-11,8.65,8.77,8.0,8.77,8.77,29200,294,USD,-0.1403,,,,
2023-07-10,8.56,8.9,8.5,8.51,8.51,8300,295,USD,-0.1403,,,,
2023-07-07,8.91,9.36,8.21,8.67,8.67,126500,298,USD,-0.1403,,,,
2023-07-06,9.23,9.23,8.67,8.71,8.71,2200,299,USD,-0.1403,,,,
2023-07-05,9.85,9.85,9.16,9.16,9.16,5800,300,USD,-0.1403,,,,
2023-07-03,9.33,9.64,9.22,9.64,9.64,3200,302,USD,-0.1403,,,,
2023-06-30,9.99,10.01,9.51,9.51,9.51,6500,305,USD,-0.1403,,,,8004000
2023-06-29,9.26,10.2,8.81,9.91,9.91,33700,306,USD,-0.1403,,,,8116000
2023-06-28,9.27,9.91,9.21,9.26,9.26,6000,307,USD,-0.1403,,,,8116000
2023-06-27,10.08,10.1,9.6,9.96,9.96,4100,308,USD,-0.1403,,,,8116000
2023-06-26,10.14,10.14,10.01,10.13,10.13,1200,309,USD,-0.1403,,,,8116000
2023-06-23,10.14,10.28,9.98,10.14,10.14,6300,312,USD,-0.1403,,,,8116000
2023-06-22,9.7,9.89,9.7,9.7,9.7,7300,313,USD,-0.1403,,,,8116000
2023-06-21,9.95,9.96,9.6,9.86,9.86,6500,314,USD,-0.1403,,,,8116000
2023-06-20,9.76,9.95,9.74,9.74,9.74,5700,315,USD,-0.1403,,,,8116000
2023-06-16,9.68,9.81,9.68,9.81,9.81,6200,319,USD,-0.1403,,,,8116000
2023-06-15,9.8,9.9,9.7,9.73,9.73,12800,320,USD,-0.1403,,,,8116000
2023-06-14,10.27,10.27,9.6,9.8,9.8,46200,321,USD,-0.1403,,,,8116000
2023-06-13,10.73,10.73,10.45,10.45,10.45,2700,322,USD,-0.1403,,,,8116000
2023-06-12,10.72,10.73,10.55,10.62,10.62,5100,323,USD,-0.1403,,,,8116000
2023-06-09,10.69,10.69,10.55,10.55,10.55,500,326,USD,-0.1403,,,,8116000
2023-06-08,10.68,10.68,10.4,10.4,10.4,3200,327,USD,-0.1403,,,,8116000
2023-06-07,10.51,10.66,10.3,10.51,10.51,3300,328,USD,-0.1403,,,,8116000
2023-06-06,10.34,10.55,10.34,10.51,10.51,4100,329,USD,-0.1403,,,,8116000
2023-06-05,10.19,10.39,10.19,10.2,10.2,1900,330,USD,-0.1403,,,,8116000
2023-06-02,10.42,10.42,10.36,10.39,10.39,1200,333,USD,-0.1403,,,,8116000
2023-06-01,10.45,10.66,10.35,10.37,10.37,1500,334,USD,-0.1403,,,,8116000
2023-05-31,10.39,10.69,10.19,10.32,10.32,9300,335,USD,-0.1403,,,,8116000
2023-05-30,10.58,10.58,10.33,10.33,10.33,1000,336,USD,-0.1403,,,,8116000
2023-05-26,10.57,10.64,10.43,10.5,10.5,3200,340,USD,-0.1403,,,,8116000
2023-05-25,10.69,10.75,10.59,10.68,10.68,3600,341,USD,-0.1403,,,,8116000
2023-05-24,10.54,10.54,10.54,10.54,10.54,700,342,USD,-0.1403,,,,8116000
2023-05-23,10.4,10.78,10.22,10.65,10.65,10500,343,USD,-0.1403,,,,8116000
2023-05-22,10.31,10.58,10.3,10.46,10.46,2100,344,USD,-0.1403,,,,8116000
2023-05-19,10.36,10.56,10.26,10.3,10.3,6000,347,USD,-0.1403,,,,8116000
2023-05-18,10.32,10.57,10.26,10.26,10.26,4200,348,USD,-0.1403,,,,8116000
2023-05-17,10.35,10.42,10.34,10.42,10.42,1500,349,USD,-0.1403,,,,8116000
2023-05-16,10.67,10.67,10.35,10.58,10.58,2500,350,USD,-0.1403,,,,8116000
2023-05-15,10.79,10.89,10.29,10.65,10.65,5400,351,USD,-0.1403,,,,8116000
2023-05-12,10.73,10.73,10.38,10.5,10.5,4000,354,USD,-0.1403,,,,8116000
2023-05-11,10.95,10.95,10.75,10.75,10.75,6500,355,USD,-0.1403,,,,8116000
2023-05-10,10.71,10.99,10.7,10.99,10.99,2100,356,USD,-0.1403,,,,8116000
2023-05-09,10.65,10.79,10.4,10.79,10.79,5500,357,USD,-0.1403,,,,8116000
2023-05-08,10.83,10.83,10.63,10.63,10.63,1600,358,USD,-0.1403,,,,8116000
2023-05-05,10.94,11.06,10.87,10.95,10.95,2700,361,USD,-0.1403,,,,8116000
2023-05-04,10.65,10.99,10.65,10.99,10.99,11500,362,USD,-0.1403,,,,8116000
2023-05-03,10.77,10.78,10.69,10.69,10.69,8300,363,USD,-0.1403,,,,8116000
2023-05-02,11.04,11.04,10.74,10.75,10.75,1000,364,USD,-0.1403,,,,8116000
2023-05-01,10.88,11.03,10.68,10.89,10.89,18200,365,USD,-0.1403,,,,8116000
2023-04-28,11.0,11.0,10.93,10.93,10.93,1300,368,USD,0.3937,,,,8116000
2023-04-27,10.85,10.89,10.83,10.83,10.83,3200,369,USD,0.3937,,,,8116000
2023-04-26,10.77,10.81,10.7,10.81,10.81,35300,370,USD,0.3937,,,,8116000
2023-04-25,11.03,11.05,10.85,10.86,10.86,4100,371,USD,0.3937,,,,8116000
2023-04-24,11.07,11.19,10.99,10.99,10.99,3700,372,USD,0.3937,,,,8116000
2023-04-21,10.88,11.19,10.88,11.18,11.18,1000,375,USD,0.3937,,,,8116000
2023-04-20,10.98,11.17,10.83,11.14,11.14,2300,376,USD,0.3937,,,,8116000
2023-04-19,10.77,11.03,10.77,10.94,10.94,18600,377,USD,0.3937,,,,8116000
2023-04-18,10.86,10.99,10.76,10.76,10.76,5800,378,USD,0.3937,,,,8116000
2023-04-17,10.84,10.84,10.73,10.73,10.73,2800,379,USD,0.3937,,,,8116000
2023-04-14,10.75,11.09,10.75,10.94,10.94,1100,382,USD,0.3937,,,,8116000
2023-04-13,10.89,11.09,10.82,10.85,10.85,2000,383,USD,0.3937,,,,8116000
2023-04-12,10.89,10.89,10.77,10.88,10.88,5100,384,USD,0.3937,,,,8116000
2023-04-11,10.86,10.92,10.85,10.89,10.89,12200,385,USD,0.3937,,,,8116000
2023-04-10,10.78,11.11,10.78,11.0,11.0,23700,386,USD,0.3937,,,,8116000
2023-04-06,10.69,10.84,10.69,10.84,10.84,1600,390,USD,0.3937,,,,8116000
2023-04-05,10.78,10.97,10.66,10.8,10.8,6600,391,USD,0.3937,,,,8116000
2023-04-04,10.93,10.93,10.71,10.77,10.77,2500,392,USD,0.3937,,,,8116000
2023-04-03,10.5,11.0,10.5,10.82,10.82,6300,393,USD,0.3937,,,,8116000
2023-03-31,10.29,10.69,10.22,10.69,10.69,11400,396,USD,0.3937,,,,8116000
2023-03-30,10.47,10.54,10.27,10.3,10.3,3900,397,USD,0.3937,,,,8146000.000000001
2023-03-29,10.45,10.75,10.36,10.45,10.45,8100,398,USD,0.3937,,,,8146000.000000001
2023-03-28,10.75,10.75,10.3,10.38,10.38,12000,399,USD,0.3937,,,,8146000.000000001
2023-03-27,10.45,10.74,10.4,10.74,10.74,1300,400,USD,0.3937,,,,8146000.000000001
2023-03-24,9.93,10.4,9.93,10.4,10.4,3400,403,USD,0.3937,,,,8146000.000000001
2023-03-23,10.38,10.38,9.9,9.91,9.91,5100,404,USD,0.3937,,,,8146000.000000001
2023-03-22,10.09,10.25,10.04,10.11,10.11,3300,405,USD,0.3937,,,,8146000.000000001
2023-03-21,10.14,10.29,10.12,10.22,10.22,7700,406,USD,0.3937,,,,8146000.000000001
2023-03-20,10.01,10.05,10.01,10.05,10.05,4000,407,USD,0.3937,,,,8146000.000000001
2023-03-17,10.0,10.09,9.9,10.09,10.09,6100,410,USD,0.3937,,,,8146000.000000001
