date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-07-31,13.11,13.4,13.11,13.35,13.35,200600,335,USD,0.61,0.52,0.09,17.3077,
2023-07-28,12.96,13.135,12.96,13.11,13.11,202819,338,USD,0.61,0.52,0.09,17.3077,
2023-07-27,13.06,13.135,12.92,12.93,12.93,219172,339,USD,0.61,0.52,0.09,17.3077,
2023-07-26,13.03,13.17,13.0,13.03,13.03,249784,340,USD,0.61,0.52,0.09,17.3077,
2023-07-25,13.05,13.13,13.01,13.05,13.05,168575,341,USD,0.61,0.52,0.09,17.3077,
2023-07-24,13.05,13.17,12.95,13.14,13.14,149331,342,USD,0.61,0.52,0.09,17.3077,
2023-07-21,13.03,13.14,12.95,13.02,13.02,247827,345,USD,0.61,0.52,0.09,17.3077,
2023-07-20,13.18,13.205,12.9,12.95,12.95,350213,346,USD,0.61,0.52,0.09,17.3077,
2023-07-19,12.96,13.14,12.93,13.11,13.11,180772,347,USD,0.61,0.52,0.09,17.3077,
2023-07-18,12.75,12.99,12.75,12.96,12.96,202668,348,USD,0.61,0.52,0.09,17.3077,
2023-07-17,12.64,12.835,12.57,12.75,12.75,211898,349,USD,0.61,0.52,0.09,17.3077,
2023-07-14,12.54,12.7,12.3,12.7,12.7,278640,352,USD,0.61,0.52,0.09,17.3077,
2023-07-13,12.6,12.64,12.49,12.56,12.56,195688,353,USD,0.61,0.52,0.09,17.3077,
2023-07-12,12.77,12.78,12.56,12.65,12.65,255905,354,USD,0.61,0.52,0.09,17.3077,
2023-07-11,12.5,12.65,12.45,12.64,12.64,193306,355,USD,0.61,0.52,0.09,17.3077,
2023-07-10,12.39,12.65,12.39,12.5,12.5,320225,356,USD,0.61,0.52,0.09,17.3077,
2023-07-07,12.24,12.68,12.24,12.42,12.42,329744,359,USD,0.61,0.52,0.09,17.3077,
2023-07-06,12.36,12.48,12.01,12.18,12.18,300173,360,USD,0.61,0.52,0.09,17.3077,
2023-07-05,12.1,12.55,11.88,12.49,12.49,926209,361,USD,0.61,0.52,0.09,17.3077,
2023-07-03,12.27,12.4,12.05,12.1,12.1,302558,363,USD,0.61,0.52,0.09,17.3077,
2023-06-30,12.33,12.39,12.19,12.27,12.27,395819,366,USD,0.61,0.52,0.09,17.3077,68533000
2023-06-29,12.13,12.27,12.09,12.27,12.27,231304,367,USD,0.58,0.56,0.02,3.5714,68514000
2023-06-28,12.15,12.15,11.94,12.09,12.09,271887,368,USD,0.58,0.56,0.02,3.5714,68514000
2023-06-27,12.13,12.26,12.03,12.15,12.15,206633,369,USD,0.58,0.56,0.02,3.5714,68514000
2023-06-26,12.1,12.45,12.09,12.12,12.12,274537,370,USD,0.58,0.56,0.02,3.5714,68514000
2023-06-23,12.25,12.51,12.11,12.18,12.18,479775,373,USD,0.58,0.56,0.02,3.5714,68514000
2023-06-22,12.53,12.53,11.85,12.36,12.36,499540,374,USD,0.58,0.56,0.02,3.5714,68514000
2023-06-21,12.45,12.61,12.35,12.53,12.53,283376,375,USD,0.58,0.56,0.02,3.5714,68514000
2023-06-20,12.52,12.67,12.31,12.49,12.49,315815,376,USD,0.58,0.56,0.02,3.5714,68514000
2023-06-16,12.75,12.75,12.4452,12.55,12.55,1262638,380,USD,0.58,0.56,0.02,3.5714,68514000
2023-06-15,12.37,12.755,12.12,12.67,12.67,521965,381,USD,0.58,0.56,0.02,3.5714,68514000
2023-06-14,12.56,12.63,12.25,12.4,12.4,449071,382,USD,0.58,0.56,0.02,3.5714,68514000
2023-06-13,12.42,12.665,12.355,12.59,12.59,237955,383,USD,0.58,0.56,0.02,3.5714,68514000
2023-06-12,12.4,12.445,12.2475,12.42,12.42,228046,384,USD,0.58,0.56,0.02,3.5714,68514000
2023-06-09,12.61,12.66,12.32,12.38,12.38,280878,387,USD,0.58,0.56,0.02,3.5714,68514000
2023-06-08,12.64,12.64,12.39,12.56,12.56,221502,388,USD,0.58,0.56,0.02,3.5714,68514000
2023-06-07,12.36,12.73,12.25,12.69,12.69,315532,389,USD,0.58,0.56,0.02,3.5714,68514000
2023-06-06,12.0,12.405,11.86,12.35,12.35,291070,390,USD,0.58,0.56,0.02,3.5714,68514000
2023-06-05,12.35,12.35,11.88,12.04,12.04,294716,391,USD,0.58,0.56,0.02,3.5714,68514000
2023-06-02,12.07,12.48,11.99,12.46,12.46,279609,394,USD,0.58,0.56,0.02,3.5714,68514000
2023-06-01,11.78,11.99,11.62,11.95,11.95,505533,395,USD,0.58,0.56,0.02,3.5714,68514000
2023-05-31,11.87,11.94,11.6359,11.79,11.79,411727,396,USD,0.58,0.56,0.02,3.5714,68514000
2023-05-30,11.9,11.9501,11.64,11.87,11.87,441476,397,USD,0.58,0.56,0.02,3.5714,68514000
2023-05-26,11.98,12.04,11.8731,11.93,11.93,230314,401,USD,0.58,0.56,0.02,3.5714,68514000
2023-05-25,12.16,12.28,11.91,12.01,12.01,227985,402,USD,0.58,0.56,0.02,3.5714,68514000
2023-05-24,12.26,12.37,12.18,12.21,12.21,191687,403,USD,0.58,0.56,0.02,3.5714,68514000
2023-05-23,12.26,12.4,12.15,12.29,12.29,254429,404,USD,0.58,0.56,0.02,3.5714,68514000
2023-05-22,12.43,12.445,12.12,12.3,12.3,351375,405,USD,0.58,0.56,0.02,3.5714,68514000
2023-05-19,12.38,12.55,12.31,12.39,12.39,335667,408,USD,0.58,0.56,0.02,3.5714,68514000
2023-05-18,12.13,12.38,12.05,12.25,12.25,284531,409,USD,0.58,0.56,0.02,3.5714,68514000
2023-05-17,11.95,12.18,11.7812,12.16,12.16,370750,410,USD,0.58,0.56,0.02,3.5714,68514000
2023-05-16,11.92,12.005,11.75,11.92,11.92,294754,411,USD,0.58,0.56,0.02,3.5714,68514000
2023-05-15,11.89,11.95,11.655,11.9,11.9,376865,412,USD,0.58,0.56,0.02,3.5714,68514000
2023-05-12,12.0,12.05,11.8,11.91,11.91,258638,415,USD,0.58,0.56,0.02,3.5714,68514000
2023-05-11,12.01,12.1759,11.8191,11.97,11.97,317419,416,USD,0.58,0.56,0.02,3.5714,68514000
2023-05-10,12.23,12.37,11.95,12.06,12.06,377454,417,USD,0.58,0.56,0.02,3.5714,68514000
2023-05-09,12.08,12.22,11.94,12.07,12.07,313265,418,USD,0.58,0.56,0.02,3.5714,68514000
2023-05-08,11.91,12.31,11.91,12.12,12.12,344392,419,USD,0.58,0.56,0.02,3.5714,68514000
2023-05-05,12.7,12.8,11.5,11.81,11.81,585514,422,USD,0.58,0.56,0.02,3.5714,68514000
2023-05-04,12.29,12.325,11.94,12.32,12.32,326273,423,USD,0.58,0.56,0.02,3.5714,68514000
2023-05-03,12.5,12.89,12.43,12.44,12.44,343805,424,USD,0.58,0.56,0.02,3.5714,68514000
2023-05-02,13.0,13.11,12.23,12.44,12.44,353260,425,USD,0.58,0.56,0.02,3.5714,68514000
2023-05-01,12.96,13.35,12.94,13.2,13.2,236756,426,USD,0.58,0.56,0.02,3.5714,68514000
2023-04-28,13.14,13.27,12.95,12.98,12.98,283165,429,USD,0.58,0.56,0.02,3.5714,68514000
2023-04-27,13.23,13.36,12.95,13.17,13.17,317180,430,USD,0.58,0.56,0.02,3.5714,68514000
2023-04-26,13.12,13.27,13.02,13.23,13.23,252195,431,USD,0.58,0.56,0.02,3.5714,68514000
2023-04-25,13.2,13.46,13.14,13.2,13.2,253388,432,USD,0.58,0.56,0.02,3.5714,68514000
2023-04-24,13.36,13.4,13.135,13.2,13.2,707495,433,USD,0.58,0.56,0.02,3.5714,68514000
2023-04-21,13.41,13.475,13.285,13.42,13.42,305456,436,USD,0.58,0.56,0.02,3.5714,68514000
2023-04-20,13.08,13.44,13.0,13.41,13.41,353277,437,USD,0.58,0.56,0.02,3.5714,68514000
2023-04-19,13.03,13.17,13.01,13.12,13.12,326230,438,USD,0.58,0.56,0.02,3.5714,68514000
2023-04-18,13.36,13.4,12.94,13.03,13.03,315776,439,USD,0.58,0.56,0.02,3.5714,68514000
2023-04-17,13.57,13.58,13.29,13.33,13.33,225959,440,USD,0.58,0.56,0.02,3.5714,68514000
2023-04-14,13.55,13.67,13.385,13.55,13.55,249608,443,USD,0.58,0.56,0.02,3.5714,68514000
2023-04-13,13.5,13.675,13.43,13.62,13.62,239475,444,USD,0.58,0.56,0.02,3.5714,68514000
2023-04-12,13.47,13.575,13.41,13.49,13.49,222139,445,USD,0.58,0.56,0.02,3.5714,68514000
2023-04-11,13.37,13.6,13.3,13.43,13.43,266192,446,USD,0.58,0.56,0.02,3.5714,68514000
2023-04-10,13.21,13.42,13.166,13.35,13.35,312968,447,USD,0.58,0.56,0.02,3.5714,68514000
2023-04-06,13.22,13.34,13.12,13.19,13.19,236176,451,USD,0.58,0.56,0.02,3.5714,68514000
2023-04-05,13.14,13.24,13.06,13.22,13.22,217794,452,USD,0.58,0.56,0.02,3.5714,68514000
2023-04-04,13.38,13.38,12.98,13.17,13.17,228209,453,USD,0.58,0.56,0.02,3.5714,68514000
2023-04-03,13.46,13.58,13.27,13.41,13.41,285395,454,USD,0.58,0.56,0.02,3.5714,68514000
2023-03-31,13.05,13.5,13.01,13.43,13.43,498652,457,USD,0.58,0.56,0.02,3.5714,68514000
2023-03-30,12.96,13.04,12.87,12.99,12.99,234620,458,USD,0.31,0.28,0.03,10.7143,68423000
2023-03-29,13.34,13.36,12.91,12.95,12.95,224433,459,USD,0.31,0.28,0.03,10.7143,68423000
2023-03-28,13.24,13.37,13.07,13.29,13.29,306749,460,USD,0.31,0.28,0.03,10.7143,68423000
2023-03-27,13.06,13.31,13.06,13.26,13.26,210905,461,USD,0.31,0.28,0.03,10.7143,68423000
2023-03-24,12.72,13.07,12.7,12.98,12.98,290093,464,USD,0.31,0.28,0.03,10.7143,68423000
2023-03-23,13.11,13.115,12.745,12.84,12.84,314474,465,USD,0.31,0.28,0.03,10.7143,68423000
2023-03-22,13.37,13.51,13.1,13.11,13.11,282480,466,USD,0.31,0.28,0.03,10.7143,68423000
2023-03-21,13.42,13.545,13.195,13.42,13.42,416745,467,USD,0.31,0.28,0.03,10.7143,68423000
2023-03-20,13.17,13.4,13.01,13.3,13.3,425185,468,USD,0.31,0.28,0.03,10.7143,68423000
2023-03-17,13.35,13.36,12.95,13.02,13.02,1137977,471,USD,0.31,0.28,0.03,10.7143,68423000
2023-03-16,13.04,13.405,12.81,13.37,13.37,382855,472,USD,0.31,0.28,0.03,10.7143,68423000
2023-03-15,13.05,13.2,12.885,13.18,13.18,477502,473,USD,0.31,0.28,0.03,10.7143,68423000
