date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-07-31,2.18,2.21,2.17,2.2,2.2,1375700,335,USD,-0.25,-0.31,0.06,19.3548,
2023-07-28,2.19,2.2,2.18,2.19,2.19,251800,338,USD,-0.25,-0.31,0.06,19.3548,
2023-07-27,2.18,2.21,2.18,2.19,2.19,518800,339,USD,-0.25,-0.31,0.06,19.3548,
2023-07-26,2.18,2.19,2.17,2.18,2.18,202400,340,USD,-0.25,-0.31,0.06,19.3548,
2023-07-25,2.18,2.19,2.18,2.18,2.18,111500,341,USD,-0.25,-0.31,0.06,19.3548,
2023-07-24,2.18,2.19,2.18,2.18,2.18,77400,342,USD,-0.25,-0.31,0.06,19.3548,
2023-07-21,2.19,2.19,2.18,2.19,2.19,565451,345,USD,-0.25,-0.31,0.06,19.3548,
2023-07-20,2.19,2.2,2.18,2.19,2.19,508019,346,USD,-0.25,-0.31,0.06,19.3548,
2023-07-19,2.19,2.2,2.185,2.19,2.19,219292,347,USD,-0.25,-0.31,0.06,19.3548,
2023-07-18,2.19,2.2,2.18,2.19,2.19,375192,348,USD,-0.25,-0.31,0.06,19.3548,
2023-07-17,2.2,2.205,2.18,2.19,2.19,661984,349,USD,-0.25,-0.31,0.06,19.3548,
2023-07-14,2.2,2.21,2.19,2.2,2.2,205280,352,USD,-0.25,-0.31,0.06,19.3548,
2023-07-13,2.19,2.21,2.19,2.2,2.2,217956,353,USD,-0.25,-0.31,0.06,19.3548,
2023-07-12,2.2,2.21,2.185,2.2,2.2,386380,354,USD,-0.25,-0.31,0.06,19.3548,
2023-07-11,2.19,2.1901,2.18,2.19,2.19,229477,355,USD,-0.25,-0.31,0.06,19.3548,
2023-07-10,2.2,2.21,2.18,2.18,2.18,268560,356,USD,-0.25,-0.31,0.06,19.3548,
2023-07-07,2.2,2.21,2.18,2.19,2.19,510566,359,USD,-0.25,-0.31,0.06,19.3548,
2023-07-06,2.21,2.22,2.18,2.19,2.19,2173513,360,USD,-0.25,-0.31,0.06,19.3548,
2023-07-05,2.2,2.23,2.19,2.22,2.22,324221,361,USD,-0.25,-0.31,0.06,19.3548,
2023-07-03,2.19,2.22,2.19,2.21,2.21,460115,363,USD,-0.25,-0.31,0.06,19.3548,
2023-06-30,2.19,2.22,2.18,2.21,2.21,675152,366,USD,-0.25,-0.31,0.06,19.3548,57282200
2023-06-29,2.2,2.225,2.17,2.19,2.19,773027,367,USD,-0.35,-0.42,0.07,16.6667,56903400
2023-06-28,2.21,2.22,2.2,2.21,2.21,526876,368,USD,-0.35,-0.42,0.07,16.6667,56903400
2023-06-27,2.18,2.23,2.18,2.23,2.23,1275151,369,USD,-0.35,-0.42,0.07,16.6667,56903400
2023-06-26,2.2,2.22,2.17,2.19,2.19,1358960,370,USD,-0.35,-0.42,0.07,16.6667,56903400
2023-06-23,2.19,2.21,2.19,2.21,2.21,779995,373,USD,-0.35,-0.42,0.07,16.6667,56903400
2023-06-22,2.2,2.22,2.19,2.195,2.195,842634,374,USD,-0.35,-0.42,0.07,16.6667,56903400
2023-06-21,2.19,2.21,2.185,2.21,2.21,1043750,375,USD,-0.35,-0.42,0.07,16.6667,56903400
2023-06-20,2.19,2.2,2.17,2.19,2.19,1421856,376,USD,-0.35,-0.42,0.07,16.6667,56903400
2023-06-16,2.19,2.2,2.18,2.18,2.18,782796,380,USD,-0.35,-0.42,0.07,16.6667,56903400
2023-06-15,2.18,2.19,2.18,2.19,2.19,460443,381,USD,-0.35,-0.42,0.07,16.6667,56903400
2023-06-14,2.18,2.2,2.18,2.19,2.19,894111,382,USD,-0.35,-0.42,0.07,16.6667,56903400
2023-06-13,2.19,2.19,2.17,2.19,2.19,718100,383,USD,-0.35,-0.42,0.07,16.6667,56903400
2023-06-12,2.17,2.19,2.17,2.19,2.19,750294,384,USD,-0.35,-0.42,0.07,16.6667,56903400
2023-06-09,2.2,2.2092,2.17,2.17,2.17,3103568,387,USD,-0.35,-0.42,0.07,16.6667,56903400
2023-06-08,2.23,2.23,2.19,2.195,2.195,1614952,388,USD,-0.35,-0.42,0.07,16.6667,56903400
2023-06-07,2.18,2.26,2.17,2.26,2.26,8899774,389,USD,-0.35,-0.42,0.07,16.6667,56903400
2023-06-06,2.21,2.26,2.15,2.17,2.17,10469420,390,USD,-0.35,-0.42,0.07,16.6667,56903400
2023-06-05,1.93,1.98,1.835,1.96,1.96,276537,391,USD,-0.35,-0.42,0.07,16.6667,56903400
2023-06-02,1.9,1.94,1.8,1.92,1.92,459119,394,USD,-0.35,-0.42,0.07,16.6667,56903400
2023-06-01,1.53,1.91,1.52,1.86,1.86,2250093,395,USD,-0.35,-0.42,0.07,16.6667,56903400
2023-05-31,1.55,1.62,1.49,1.53,1.53,222965,396,USD,-0.35,-0.42,0.07,16.6667,56903400
2023-05-30,1.63,1.65,1.53,1.55,1.55,137081,397,USD,-0.35,-0.42,0.07,16.6667,56903400
2023-05-26,1.62,1.65,1.57,1.58,1.58,145952,401,USD,-0.35,-0.42,0.07,16.6667,56903400
2023-05-25,1.76,1.76,1.605,1.62,1.62,212515,402,USD,-0.35,-0.42,0.07,16.6667,56903400
2023-05-24,1.85,1.85,1.73,1.76,1.76,226748,403,USD,-0.35,-0.42,0.07,16.6667,56903400
2023-05-23,1.91,1.98,1.87,1.88,1.88,120081,404,USD,-0.35,-0.42,0.07,16.6667,56903400
2023-05-22,1.85,1.96,1.85,1.91,1.91,229060,405,USD,-0.35,-0.42,0.07,16.6667,56903400
2023-05-19,1.87,1.93,1.75,1.82,1.82,308476,408,USD,-0.35,-0.42,0.07,16.6667,56903400
2023-05-18,1.89,1.91,1.825,1.88,1.88,144516,409,USD,-0.35,-0.42,0.07,16.6667,56903400
2023-05-17,1.84,1.9,1.78,1.89,1.89,220832,410,USD,-0.35,-0.42,0.07,16.6667,56903400
2023-05-16,1.95,1.95,1.78,1.83,1.83,299519,411,USD,-0.35,-0.42,0.07,16.6667,56903400
2023-05-15,1.93,2.0,1.9,1.95,1.95,243887,412,USD,-0.35,-0.42,0.07,16.6667,56903400
2023-05-12,1.84,1.9625,1.8,1.91,1.91,359923,415,USD,-0.35,-0.42,0.07,16.6667,56903400
2023-05-11,1.85,1.9,1.8,1.82,1.82,209395,416,USD,-0.35,-0.42,0.07,16.6667,56903400
2023-05-10,1.7,1.94,1.61,1.87,1.87,556023,417,USD,-0.35,-0.42,0.07,16.6667,56903400
2023-05-09,1.72,1.79,1.61,1.69,1.69,407900,418,USD,-0.35,-0.42,0.07,16.6667,56903400
2023-05-08,1.77,1.86,1.71,1.8,1.8,463218,419,USD,-0.35,-0.42,0.07,16.6667,56903400
2023-05-05,1.65,1.765,1.6,1.74,1.74,515016,422,USD,-0.35,-0.42,0.07,16.6667,56903400
2023-05-04,1.62,1.63,1.57,1.58,1.58,498264,423,USD,-0.35,-0.42,0.07,16.6667,56903400
2023-05-03,1.56,1.73,1.56,1.67,1.67,1020075,424,USD,-0.35,-0.42,0.07,16.6667,56903400
2023-05-02,1.59,1.62,1.55,1.55,1.55,289552,425,USD,-0.35,-0.42,0.07,16.6667,56903400
2023-05-01,1.6,1.645,1.54,1.58,1.58,221987,426,USD,-0.35,-0.42,0.07,16.6667,56903400
2023-04-28,1.53,1.62,1.45,1.59,1.59,450174,429,USD,-0.35,-0.42,0.07,16.6667,56903400
2023-04-27,1.6,1.6,1.5,1.52,1.52,474734,430,USD,-0.35,-0.42,0.07,16.6667,56903400
2023-04-26,1.7,1.7199,1.54,1.6,1.6,641284,431,USD,-0.35,-0.42,0.07,16.6667,56903400
2023-04-25,1.85,1.9,1.68,1.69,1.69,776214,432,USD,-0.35,-0.42,0.07,16.6667,56903400
2023-04-24,2.39,2.45,1.83,1.84,1.84,1852758,433,USD,-0.35,-0.42,0.07,16.6667,56903400
2023-04-21,2.27,2.53,2.27,2.49,2.49,313105,436,USD,-0.35,-0.42,0.07,16.6667,56903400
2023-04-20,2.41,2.47,2.19,2.27,2.27,590505,437,USD,-0.35,-0.42,0.07,16.6667,56903400
2023-04-19,2.49,2.51,2.43,2.44,2.44,391424,438,USD,-0.35,-0.42,0.07,16.6667,56903400
2023-04-18,2.7,2.7,2.5,2.5,2.5,425502,439,USD,-0.35,-0.42,0.07,16.6667,56903400
2023-04-17,2.78,2.8,2.63,2.69,2.69,482226,440,USD,-0.35,-0.42,0.07,16.6667,56903400
2023-04-14,2.67,2.78,2.65,2.72,2.72,261152,443,USD,-0.35,-0.42,0.07,16.6667,56903400
2023-04-13,2.75,2.805,2.67,2.73,2.73,246764,444,USD,-0.35,-0.42,0.07,16.6667,56903400
2023-04-12,2.58,2.77,2.58,2.74,2.74,489176,445,USD,-0.35,-0.42,0.07,16.6667,56903400
2023-04-11,2.55,2.73,2.535,2.61,2.61,550313,446,USD,-0.35,-0.42,0.07,16.6667,56903400
2023-04-10,2.6,2.63,2.46,2.57,2.57,368408,447,USD,-0.35,-0.42,0.07,16.6667,56903400
2023-04-06,2.59,2.741,2.5362,2.65,2.65,433147,451,USD,-0.35,-0.42,0.07,16.6667,56903400
2023-04-05,2.74,2.74,2.41,2.67,2.67,934867,452,USD,-0.35,-0.42,0.07,16.6667,56903400
2023-04-04,2.78,2.81,2.5,2.73,2.73,1022119,453,USD,-0.35,-0.42,0.07,16.6667,56903400
2023-04-03,2.62,2.91,2.55,2.8,2.8,2567593,454,USD,-0.35,-0.42,0.07,16.6667,56903400
2023-03-31,2.58,2.8,2.38,2.54,2.54,5822350,457,USD,-0.35,-0.42,0.07,16.6667,56903400
2023-03-30,2.08,2.18,2.01,2.12,2.12,631152,458,USD,-0.12,0.09,-0.21,-233.3333,54387900
2023-03-29,1.9,1.985,1.84,1.95,1.95,432305,459,USD,-0.12,0.09,-0.21,-233.3333,54387900
2023-03-28,1.86,1.965,1.85,1.93,1.93,343738,460,USD,-0.12,0.09,-0.21,-233.3333,54387900
2023-03-27,1.7,1.93,1.67,1.89,1.89,518026,461,USD,-0.12,0.09,-0.21,-233.3333,54387900
2023-03-24,1.69,1.71,1.62,1.65,1.65,465024,464,USD,-0.12,0.09,-0.21,-233.3333,54387900
2023-03-23,1.83,1.83,1.6701,1.69,1.69,559022,465,USD,-0.12,0.09,-0.21,-233.3333,54387900
2023-03-22,1.73,1.81,1.585,1.805,1.805,2210845,466,USD,-0.12,0.09,-0.21,-233.3333,54387900
2023-03-21,1.45,1.92,1.37,1.86,1.86,7063707,467,USD,-0.12,0.09,-0.21,-233.3333,54387900
2023-03-20,1.6,1.6048,1.34,1.37,1.37,612866,468,USD,-0.12,0.09,-0.21,-233.3333,54387900
2023-03-17,1.48,1.5517,1.45,1.54,1.54,903442,471,USD,-0.12,0.09,-0.21,-233.3333,54387900
2023-03-16,1.69,1.7003,1.29,1.48,1.48,3447572,472,USD,-0.12,0.09,-0.21,-233.3333,54387900
2023-03-15,1.91,2.0,1.87,1.91,1.91,293894,473,USD,-0.12,0.09,-0.21,-233.3333,54387900
2023-03-14,1.96,1.99,1.77,1.95,1.95,775498,474,USD,-0.12,0.09,-0.21,-233.3333,54387900
2023-03-13,1.66,1.76,1.64,1.76,1.76,254579,475,USD,-0.12,0.09,-0.21,-233.3333,54387900
2023-03-10,1.68,1.68,1.585,1.66,1.66,411443,478,USD,-0.12,0.09,-0.21,-233.3333,54387900
2023-03-09,1.78,1.795,1.66,1.69,1.69,236812,479,USD,-0.12,0.09,-0.21,-233.3333,54387900
2023-03-08,1.87,1.91,1.78,1.78,1.78,134624,480,USD,-0.12,0.09,-0.21,-233.3333,54387900
2023-03-07,1.92,1.96,1.87,1.88,1.88,182915,481,USD,-0.12,0.09,-0.21,-233.3333,54387900
