date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-07-31,78.33,78.68,77.47,77.73,77.2679,105471,305,USD,1.02,0.85,0.17,20,
2023-07-28,78.52,79.0959,78.02,78.45,77.9836,78311,308,USD,1.02,0.85,0.17,20,
2023-07-27,79.57,79.74,78.06,78.22,77.7549,130132,309,USD,1.02,0.85,0.17,20,
2023-07-26,79.19,79.65,78.91,79.22,78.749,124525,310,USD,1.02,0.85,0.17,20,
2023-07-25,78.42,79.48,78.33,79.28,78.8086,160520,311,USD,1.02,0.85,0.17,20,
2023-07-24,78.43,79.25,78.31,78.68,78.2122,110696,312,USD,1.02,0.85,0.17,20,
2023-07-21,79.31,79.68,78.46,78.61,78.1426,97846,315,USD,1.02,0.85,0.17,20,
2023-07-20,78.1,78.86,77.48,78.83,78.3613,109428,316,USD,1.02,0.85,0.17,20,
2023-07-19,78.44,78.69,77.38,77.8,77.3374,163536,317,USD,1.02,0.85,0.17,20,
2023-07-18,78.48,79.51,77.82,78.44,77.9736,114782,318,USD,1.02,0.85,0.17,20,
2023-07-17,75.86,78.97,75.86,78.19,77.7251,136425,319,USD,1.02,0.85,0.17,20,
2023-07-14,76.19,76.39,74.92,76.09,75.6376,113260,322,USD,1.02,0.85,0.17,20,
2023-07-13,76.56,77.39,76.153,76.4,75.9458,188329,323,USD,1.02,0.85,0.17,20,
2023-07-12,78.1,78.28,76.05,76.71,76.2539,225291,324,USD,1.02,0.85,0.17,20,
2023-07-11,76.0,82.0,75.6797,77.19,76.7311,381981,325,USD,1.02,0.85,0.17,20,
2023-07-10,75.87,77.1999,75.87,76.89,76.4329,259137,326,USD,1.02,0.85,0.17,20,
2023-07-07,75.63,75.7,74.83,75.49,75.0412,118533,329,USD,1.02,0.85,0.17,20,
2023-07-06,74.16,75.64,74.16,75.29,74.8424,110611,330,USD,1.02,0.85,0.17,20,
2023-07-05,74.07,74.86,73.175,74.81,74.3652,141325,331,USD,1.02,0.85,0.17,20,
2023-07-03,74.06,74.81,74.06,74.2,73.7588,59092,333,USD,1.02,0.85,0.17,20,
2023-06-30,74.91,75.45,73.98,74.06,73.6197,112479,336,USD,1.02,0.85,0.17,20,30829000
2023-06-29,73.52,74.74,73.2,74.66,74.2161,135389,337,USD,1.02,0.85,0.17,20,30760000
2023-06-28,73.64,73.85,73.08,73.56,73.1227,85410,338,USD,1.02,0.85,0.17,20,30760000
2023-06-27,73.78,74.69,73.61,73.8,73.3612,116047,339,USD,1.02,0.85,0.17,20,30760000
2023-06-26,74.09,74.71,73.46,73.49,73.0531,146925,340,USD,1.02,0.85,0.17,20,30760000
2023-06-23,74.96,76.41,74.0,74.09,73.6495,260220,343,USD,1.02,0.85,0.17,20,30760000
2023-06-22,75.95,76.03,75.0,75.48,75.0312,116065,344,USD,1.02,0.85,0.17,20,30760000
2023-06-21,74.6,76.54,74.14,75.9,75.4487,143216,345,USD,1.02,0.85,0.17,20,30760000
