date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-07-31,1.73,1.8,1.71,1.73,1.73,500673,335,USD,-0.32,-0.53,0.21,39.6226,
2023-07-28,1.69,1.74,1.65,1.72,1.72,359038,338,USD,-0.32,-0.53,0.21,39.6226,
2023-07-27,1.72,1.73,1.63,1.64,1.64,627394,339,USD,-0.32,-0.53,0.21,39.6226,
2023-07-26,1.69,1.74,1.65,1.715,1.715,433975,340,USD,-0.32,-0.53,0.21,39.6226,
2023-07-25,1.8,1.82,1.69,1.69,1.69,444266,341,USD,-0.32,-0.53,0.21,39.6226,
2023-07-24,1.97,1.97,1.8,1.805,1.805,500476,342,USD,-0.32,-0.53,0.21,39.6226,
2023-07-21,1.95,1.99,1.86,1.95,1.95,446484,345,USD,-0.32,-0.53,0.21,39.6226,
2023-07-20,2.05,2.05,1.91,1.93,1.93,495863,346,USD,-0.32,-0.53,0.21,39.6226,
2023-07-19,1.96,2.15,1.96,2.06,2.06,465970,347,USD,-0.32,-0.53,0.21,39.6226,
2023-07-18,1.93,2.05,1.91,1.95,1.95,440922,348,USD,-0.32,-0.53,0.21,39.6226,
2023-07-17,1.9,1.965,1.8601,1.92,1.92,320614,349,USD,-0.32,-0.53,0.21,39.6226,
2023-07-14,1.98,2.01,1.865,1.9,1.9,638405,352,USD,-0.32,-0.53,0.21,39.6226,
2023-07-13,2.0,2.09,1.969,1.99,1.99,443817,353,USD,-0.32,-0.53,0.21,39.6226,
2023-07-12,1.96,1.985,1.88,1.95,1.95,597162,354,USD,-0.32,-0.53,0.21,39.6226,
2023-07-11,2.11,2.11,1.91,1.94,1.94,780592,355,USD,-0.32,-0.53,0.21,39.6226,
2023-07-10,1.94,2.3,1.93,2.11,2.11,1252634,356,USD,-0.32,-0.53,0.21,39.6226,
2023-07-07,1.67,1.98,1.67,1.95,1.95,1041601,359,USD,-0.32,-0.53,0.21,39.6226,
2023-07-06,1.71,1.74,1.595,1.68,1.68,1207756,360,USD,-0.32,-0.53,0.21,39.6226,
2023-07-05,1.88,2.1282,1.58,1.7,1.7,3729446,361,USD,-0.32,-0.53,0.21,39.6226,
2023-07-03,1.76,1.81,1.71,1.73,1.73,636803,363,USD,-0.32,-0.53,0.21,39.6226,
2023-06-30,1.7,1.82,1.7,1.76,1.76,1105835,366,USD,-0.32,-0.53,0.21,39.6226,86794700
2023-06-29,1.78,1.809,1.54,1.66,1.66,1813476,367,USD,-0.45,-0.45,0,0,86265200
2023-06-28,1.77,1.92,1.755,1.795,1.795,1204565,368,USD,-0.45,-0.45,0,0,86265200
2023-06-27,2.1,2.1,1.77,1.79,1.79,1610565,369,USD,-0.45,-0.45,0,0,86265200
2023-06-26,2.34,2.34,2.03,2.09,2.09,1212335,370,USD,-0.45,-0.45,0,0,86265200
2023-06-23,2.43,2.46,2.27,2.35,2.35,10544247,373,USD,-0.45,-0.45,0,0,86265200
2023-06-22,2.31,2.53,2.2175,2.5,2.5,755209,374,USD,-0.45,-0.45,0,0,86265200
2023-06-21,2.42,2.42,2.15,2.295,2.295,1113466,375,USD,-0.45,-0.45,0,0,86265200
2023-06-20,2.33,2.42,2.2827,2.39,2.39,982638,376,USD,-0.45,-0.45,0,0,86265200
2023-06-16,2.51,2.53,2.34,2.35,2.35,613447,380,USD,-0.45,-0.45,0,0,86265200
2023-06-15,2.37,2.54,2.34,2.47,2.47,589182,381,USD,-0.45,-0.45,0,0,86265200
2023-06-14,2.43,2.55,2.3001,2.41,2.41,836153,382,USD,-0.45,-0.45,0,0,86265200
2023-06-13,2.24,2.45,2.215,2.4,2.4,1181327,383,USD,-0.45,-0.45,0,0,86265200
2023-06-12,2.2,2.29,2.15,2.18,2.18,544029,384,USD,-0.45,-0.45,0,0,86265200
2023-06-09,2.32,2.35,2.18,2.2,2.2,759028,387,USD,-0.45,-0.45,0,0,86265200
2023-06-08,2.36,2.43,2.3,2.31,2.31,342132,388,USD,-0.45,-0.45,0,0,86265200
2023-06-07,2.4,2.5,2.33,2.38,2.38,396789,389,USD,-0.45,-0.45,0,0,86265200
2023-06-06,2.56,2.63,2.37,2.41,2.41,551426,390,USD,-0.45,-0.45,0,0,86265200
2023-06-05,2.41,2.5609,2.41,2.55,2.55,426735,391,USD,-0.45,-0.45,0,0,86265200
2023-06-02,2.36,2.445,2.21,2.42,2.42,590720,394,USD,-0.45,-0.45,0,0,86265200
2023-06-01,2.29,2.335,2.2,2.28,2.28,452401,395,USD,-0.45,-0.45,0,0,86265200
2023-05-31,2.43,2.52,2.22,2.27,2.27,1194815,396,USD,-0.45,-0.45,0,0,86265200
2023-05-30,2.38,2.45,2.31,2.43,2.43,426128,397,USD,-0.45,-0.45,0,0,86265200
2023-05-26,2.35,2.42,2.27,2.38,2.38,268474,401,USD,-0.45,-0.45,0,0,86265200
2023-05-25,2.6,2.619,2.25,2.36,2.36,542017,402,USD,-0.45,-0.45,0,0,86265200
2023-05-24,2.83,2.83,2.48,2.55,2.55,421261,403,USD,-0.45,-0.45,0,0,86265200
2023-05-23,2.8,2.94,2.79,2.8,2.8,534197,404,USD,-0.45,-0.45,0,0,86265200
2023-05-22,2.56,2.925,2.53,2.82,2.82,658827,405,USD,-0.45,-0.45,0,0,86265200
2023-05-19,2.53,2.71,2.53,2.58,2.58,606510,408,USD,-0.45,-0.45,0,0,86265200
2023-05-18,2.71,2.8611,2.44,2.52,2.52,526653,409,USD,-0.45,-0.45,0,0,86265200
2023-05-17,2.93,2.93,2.67,2.7,2.7,496797,410,USD,-0.45,-0.45,0,0,86265200
2023-05-16,2.92,2.94,2.78,2.9,2.9,438455,411,USD,-0.45,-0.45,0,0,86265200
2023-05-15,2.9,3.1001,2.86,2.95,2.95,466844,412,USD,-0.45,-0.45,0,0,86265200
2023-05-12,3.08,3.08,2.755,2.91,2.91,852253,415,USD,-0.45,-0.45,0,0,86265200
