date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-07-31,21.4,22.15,20.72,21.5,21.5,4482,61,USD,-0.12,-0.0619,-0.0581,-93.8611,
2023-07-28,20.08,21.4,20.08,20.9,20.9,1833,64,USD,-0.12,-0.0619,-0.0581,-93.8611,
2023-07-27,19.99,19.99,19.975,19.98,19.98,1180,65,USD,-0.12,-0.0619,-0.0581,-93.8611,
2023-07-26,20.19,20.37,19.3,20.0,20.0,4646,66,USD,-0.12,-0.0619,-0.0581,-93.8611,
2023-07-25,19.83,19.83,19.83,19.83,19.83,537,67,USD,-0.12,-0.0619,-0.0581,-93.8611,
2023-07-24,20.23,20.23,19.63,19.63,19.63,3372,68,USD,-0.12,-0.0619,-0.0581,-93.8611,
2023-07-21,19.83,20.44,19.83,20.01,20.01,9314,71,USD,-0.12,-0.0619,-0.0581,-93.8611,
2023-07-20,20.0,20.1,19.5,20.1,20.1,1878,72,USD,-0.12,-0.0619,-0.0581,-93.8611,
2023-07-19,20.3,20.5,20.0,20.0,20.0,3112,73,USD,-0.12,-0.0619,-0.0581,-93.8611,
2023-07-18,20.5,20.85,20.0,20.51,20.51,4612,74,USD,-0.12,-0.0619,-0.0581,-93.8611,
2023-07-17,20.69,21.15,20.18,20.26,20.26,7232,75,USD,-0.12,-0.0619,-0.0581,-93.8611,
2023-07-14,21.04,21.05,20.0,20.1,20.1,11300,78,USD,-0.12,-0.0619,-0.0581,-93.8611,
2023-07-13,21.09,21.45,20.45,20.88,20.88,21320,79,USD,-0.12,-0.0619,-0.0581,-93.8611,
2023-07-12,22.55,22.55,21.11,21.21,21.21,25311,80,USD,-0.12,-0.0619,-0.0581,-93.8611,
2023-07-11,22.75,22.75,21.73,22.5,22.5,15641,81,USD,-0.12,-0.0619,-0.0581,-93.8611,
2023-07-10,23.38,23.38,22.71,22.71,22.71,11323,82,USD,-0.12,-0.0619,-0.0581,-93.8611,
2023-07-07,22.8,23.1,22.52,23.0,23.0,2050,85,USD,-0.12,-0.0619,-0.0581,-93.8611,
2023-07-06,23.15,23.27,22.52,22.58,22.58,21251,86,USD,-0.12,-0.0619,-0.0581,-93.8611,
