date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-07-31,494.6,494.6,490.17,493.05,493.05,354800,335,USD,4.12,3.99,0.13,3.2581,
2023-07-28,494.53,495.6,489.36,492.4,492.4,339000,338,USD,4.12,3.99,0.13,3.2581,
2023-07-27,497.22,498.0,488.78,491.19,491.19,421000,339,USD,4.12,3.99,0.13,3.2581,
2023-07-26,491.1,495.02,487.02,493.85,493.85,450900,340,USD,4.12,3.99,0.13,3.2581,
2023-07-25,491.74,496.22,487.74,494.36,494.36,720000,341,USD,4.12,3.99,0.13,3.2581,
2023-07-24,500.13,502.13,492.12,495.16,495.16,745400,342,USD,4.12,3.99,0.13,3.2581,
2023-07-21,500.0,502.0,493.3,499.38,499.38,838033,345,USD,4.12,3.99,0.13,3.2581,
2023-07-20,482.53,486.46,480.32,481.59,481.59,471600,346,USD,4.12,3.99,0.13,3.2581,
2023-07-19,480.96,483.2,479.35,482.63,482.63,568200,347,USD,4.12,3.99,0.13,3.2581,
2023-07-18,473.64,480.47,472.18,480.2,480.2,537113,348,USD,4.12,3.99,0.13,3.2581,
2023-07-17,475.61,477.08,472.58,476.53,476.53,708760,349,USD,4.12,3.99,0.13,3.2581,
2023-07-14,477.98,480.97,476.99,477.63,477.63,348000,352,USD,4.12,3.99,0.13,3.2581,
2023-07-13,478.95,480.25,475.8,478.85,478.85,430100,353,USD,4.12,3.99,0.13,3.2581,
2023-07-12,480.1,481.9,475.74,477.23,477.23,379600,354,USD,4.12,3.99,0.13,3.2581,
2023-07-11,476.85,478.29,473.0,476.92,476.92,486800,355,USD,4.12,3.99,0.13,3.2581,
2023-07-10,476.94,482.1,473.65,475.65,475.65,330200,356,USD,4.12,3.99,0.13,3.2581,
2023-07-07,472.58,479.63,472.58,476.41,476.41,392600,359,USD,4.12,3.99,0.13,3.2581,
2023-07-06,473.49,479.65,472.29,477.0,476.317,517100,360,USD,4.12,3.99,0.13,3.2581,
2023-07-05,473.06,477.09,471.93,476.97,476.287,352800,361,USD,4.12,3.99,0.13,3.2581,
2023-07-03,477.84,478.04,472.35,477.39,476.7065,297100,363,USD,4.12,3.99,0.13,3.2581,
2023-06-30,478.03,482.75,476.93,480.8,480.1121,556354,366,USD,4.12,3.99,0.13,3.2581,107400000
2023-06-29,470.73,476.6,470.27,476.13,475.4487,342942,367,USD,3.9,3.85,0.05,1.2987,107000000
2023-06-28,470.97,472.7229,469.61,471.14,470.4659,576624,368,USD,3.9,3.85,0.05,1.2987,107000000
2023-06-27,465.14,472.04,464.815,470.87,470.1963,622879,369,USD,3.9,3.85,0.05,1.2987,107000000
2023-06-26,460.13,461.79,457.44,460.2,459.5415,363545,370,USD,3.9,3.85,0.05,1.2987,107000000
2023-06-23,460.91,465.45,460.465,460.81,460.1507,670321,373,USD,3.9,3.85,0.05,1.2987,107000000
2023-06-22,459.22,462.41,453.96,462.02,461.3589,516244,374,USD,3.9,3.85,0.05,1.2987,107000000
2023-06-21,455.84,458.05,453.165,456.33,455.6771,447074,375,USD,3.9,3.85,0.05,1.2987,107000000
2023-06-20,456.52,458.92,454.54,455.75,455.0979,425362,376,USD,3.9,3.85,0.05,1.2987,107000000
2023-06-16,463.4,464.02,457.26,458.78,458.1236,1015387,380,USD,3.9,3.85,0.05,1.2987,107000000
2023-06-15,454.16,462.725,454.16,461.14,460.4802,396878,381,USD,3.9,3.85,0.05,1.2987,107000000
2023-06-14,456.0,458.22,453.16,456.44,455.7869,371943,382,USD,3.9,3.85,0.05,1.2987,107000000
2023-06-13,454.01,459.92,453.815,455.92,455.2677,302629,383,USD,3.9,3.85,0.05,1.2987,107000000
2023-06-12,453.07,454.16,448.13,454.01,453.3604,441478,384,USD,3.9,3.85,0.05,1.2987,107000000
2023-06-09,451.99,453.28,449.41,451.8,451.1536,516166,387,USD,3.9,3.85,0.05,1.2987,107000000
2023-06-08,449.95,452.81,448.85,452.22,451.573,357256,388,USD,3.9,3.85,0.05,1.2987,107000000
2023-06-07,451.52,453.67,447.95,450.57,449.9253,594830,389,USD,3.9,3.85,0.05,1.2987,107000000
2023-06-06,456.26,457.75,451.34,453.97,453.3205,370740,390,USD,3.9,3.85,0.05,1.2987,107000000
2023-06-05,458.22,458.5,452.35,454.89,454.2391,381765,391,USD,3.9,3.85,0.05,1.2987,107000000
2023-06-02,455.04,461.25,454.06,458.86,458.2035,507352,394,USD,3.9,3.85,0.05,1.2987,107000000
2023-06-01,450.15,454.17,446.86,452.8,452.1521,604549,395,USD,3.9,3.85,0.05,1.2987,107000000
2023-05-31,448.13,456.68,448.13,454.22,453.5701,2362472,396,USD,3.9,3.85,0.05,1.2987,107000000
2023-05-30,450.64,455.8,449.3,451.73,451.0837,619673,397,USD,3.9,3.85,0.05,1.2987,107000000
2023-05-26,451.62,455.32,445.54,449.96,449.3162,524130,401,USD,3.9,3.85,0.05,1.2987,107000000
2023-05-25,444.49,451.35,441.06,449.44,448.7969,526772,402,USD,3.9,3.85,0.05,1.2987,107000000
2023-05-24,448.38,448.72,441.39,441.89,441.2577,641623,403,USD,3.9,3.85,0.05,1.2987,107000000
2023-05-23,454.65,456.45,448.87,449.98,449.3362,435776,404,USD,3.9,3.85,0.05,1.2987,107000000
2023-05-22,457.08,459.48,454.85,457.28,456.6257,333598,405,USD,3.9,3.85,0.05,1.2987,107000000
2023-05-19,459.85,461.0,455.51,457.72,457.0651,340596,408,USD,3.9,3.85,0.05,1.2987,107000000
2023-05-18,453.54,459.46,452.39,458.51,457.854,360059,409,USD,3.9,3.85,0.05,1.2987,107000000
2023-05-17,461.79,461.79,453.93,454.43,453.7798,626917,410,USD,3.9,3.85,0.05,1.2987,107000000
2023-05-16,459.25,461.9,458.26,459.83,459.1721,307384,411,USD,3.9,3.85,0.05,1.2987,107000000
2023-05-15,462.32,463.9,459.55,461.88,461.2191,338683,412,USD,3.9,3.85,0.05,1.2987,107000000
2023-05-12,458.64,462.5517,458.27,461.71,461.0494,403684,415,USD,3.9,3.85,0.05,1.2987,107000000
2023-05-11,459.38,459.38,455.47,458.46,457.804,344821,416,USD,3.9,3.85,0.05,1.2987,107000000
2023-05-10,460.78,461.56,454.98,459.3,458.6428,449708,417,USD,3.9,3.85,0.05,1.2987,107000000
2023-05-09,458.39,460.51,457.04,457.55,456.8953,261914,418,USD,3.9,3.85,0.05,1.2987,107000000
2023-05-08,456.17,460.325,456.17,458.25,457.5943,341866,419,USD,3.9,3.85,0.05,1.2987,107000000
2023-05-05,455.91,460.83,455.435,458.12,457.4645,329669,422,USD,3.9,3.85,0.05,1.2987,107000000
2023-05-04,457.35,458.25,451.68,453.48,452.8312,376098,423,USD,3.9,3.85,0.05,1.2987,107000000
2023-05-03,462.19,463.13,456.18,456.42,455.7669,406740,424,USD,3.9,3.85,0.05,1.2987,107000000
2023-05-02,459.61,463.7,456.9,460.72,460.0608,687707,425,USD,3.9,3.85,0.05,1.2987,107000000
2023-05-01,455.5,462.48,453.96,458.63,457.9738,446007,426,USD,3.9,3.85,0.05,1.2987,107000000
2023-04-28,452.0,457.09,451.61,454.78,454.1293,560645,429,USD,3.9,3.85,0.05,1.2987,107000000
