date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-07-31,8.18,8.38,8.18,8.35,8.35,277800,335,USD,0.19,0.2,-0.01,-5,
2023-07-28,8.2,8.335,8.15,8.16,8.16,261600,338,USD,0.19,0.2,-0.01,-5,
2023-07-27,8.21,8.25,8.02,8.07,8.07,520500,339,USD,0.19,0.2,-0.01,-5,
2023-07-26,8.12,8.23,8.07,8.17,8.17,348400,340,USD,0.19,0.2,-0.01,-5,
2023-07-25,8.26,8.38,8.13,8.17,8.17,235900,341,USD,0.19,0.2,-0.01,-5,
2023-07-24,8.21,8.33,8.2,8.31,8.31,240400,342,USD,0.19,0.2,-0.01,-5,
2023-07-21,8.43,8.52,8.05,8.19,8.19,504200,345,USD,0.19,0.2,-0.01,-5,
2023-07-20,8.36,8.645,8.335,8.35,8.35,775100,346,USD,0.19,0.2,-0.01,-5,
2023-07-19,8.09,8.36,8.09,8.35,8.35,511600,347,USD,0.19,0.2,-0.01,-5,
2023-07-18,7.97,8.195,7.94,8.03,8.03,343500,348,USD,0.19,0.2,-0.01,-5,
2023-07-17,7.75,7.93,7.75,7.92,7.92,357900,349,USD,0.19,0.2,-0.01,-5,
2023-07-14,7.91,7.94,7.685,7.78,7.78,376100,352,USD,0.19,0.2,-0.01,-5,
2023-07-13,7.71,7.99,7.69,7.92,7.92,305900,353,USD,0.19,0.2,-0.01,-5,
2023-07-12,7.8,7.88,7.66,7.7,7.7,349600,354,USD,0.19,0.2,-0.01,-5,
2023-07-11,7.76,7.79,7.525,7.57,7.57,431200,355,USD,0.19,0.2,-0.01,-5,
2023-07-10,7.64,7.785,7.6,7.69,7.69,355600,356,USD,0.19,0.2,-0.01,-5,
2023-07-07,7.51,7.74,7.44,7.67,7.67,492400,359,USD,0.19,0.2,-0.01,-5,
2023-07-06,7.67,7.75,7.28,7.5,7.5,579300,360,USD,0.19,0.2,-0.01,-5,
2023-07-05,7.87,7.94,7.76,7.79,7.79,638000,361,USD,0.19,0.2,-0.01,-5,
2023-07-03,7.85,8.04,7.71,7.95,7.95,524300,363,USD,0.19,0.2,-0.01,-5,
2023-06-30,7.81,8.005,7.81,7.83,7.83,605600,366,USD,0.19,0.2,-0.01,-5,89170800
2023-06-29,7.58,7.77,7.56,7.77,7.77,382000,367,USD,0.2,0.2,0,0,88615800
2023-06-28,7.52,7.575,7.38,7.56,7.56,339300,368,USD,0.2,0.2,0,0,88615800
2023-06-27,7.37,7.62,7.37,7.52,7.52,425300,369,USD,0.2,0.2,0,0,88615800
2023-06-26,7.31,7.5,7.31,7.38,7.38,455500,370,USD,0.2,0.2,0,0,88615800
2023-06-23,7.17,7.401,7.17,7.36,7.36,1722000,373,USD,0.2,0.2,0,0,88615800
2023-06-22,7.35,7.395,7.171,7.34,7.34,477800,374,USD,0.2,0.2,0,0,88615800
2023-06-21,7.48,7.58,7.36,7.44,7.44,439100,375,USD,0.2,0.2,0,0,88615800
2023-06-20,7.38,7.52,7.32,7.51,7.51,645600,376,USD,0.2,0.2,0,0,88615800
2023-06-16,7.63,7.63,7.25,7.44,7.44,1329900,380,USD,0.2,0.2,0,0,88615800
2023-06-15,7.34,7.725,7.28,7.55,7.55,1307300,381,USD,0.2,0.2,0,0,88615800
2023-06-14,7.47,7.6,7.08,7.41,7.41,887000,382,USD,0.2,0.2,0,0,88615800
2023-06-13,7.39,7.575,7.35,7.53,7.53,1448500,383,USD,0.2,0.2,0,0,88615800
2023-06-12,7.0,7.38,7.0,7.37,7.37,588900,384,USD,0.2,0.2,0,0,88615800
