date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-07-31,8.18,8.36,8.1,8.29,8.29,950700,335,USD,0.17,0.06,0.11,183.3333,
2023-07-28,8.32,8.46,8.12,8.15,8.15,906900,338,USD,0.17,0.06,0.11,183.3333,
2023-07-27,8.54,8.675,8.08,8.18,8.18,1519900,339,USD,0.17,0.06,0.11,183.3333,
2023-07-26,8.06,8.45,8.06,8.37,8.37,962700,340,USD,0.17,0.06,0.11,183.3333,
2023-07-25,7.99,8.15,7.895,8.09,8.09,920100,341,USD,0.17,0.06,0.11,183.3333,
2023-07-24,7.97,8.03,7.745,7.96,7.96,1279300,342,USD,0.17,0.06,0.11,183.3333,
2023-07-21,8.02,8.127,7.84,8.01,8.01,953300,345,USD,0.17,0.06,0.11,183.3333,
2023-07-20,8.49,8.49,7.92,7.93,7.93,1094100,346,USD,0.17,0.06,0.11,183.3333,
2023-07-19,8.75,8.83,8.411,8.56,8.56,912200,347,USD,0.17,0.06,0.11,183.3333,
2023-07-18,8.51,8.758,8.51,8.71,8.71,896700,348,USD,0.17,0.06,0.11,183.3333,
2023-07-17,8.32,8.63,8.19,8.55,8.55,1365200,349,USD,0.17,0.06,0.11,183.3333,
2023-07-14,8.57,8.57,8.26,8.37,8.37,905000,352,USD,0.17,0.06,0.11,183.3333,
2023-07-13,8.7,8.79,8.5,8.55,8.55,1081300,353,USD,0.17,0.06,0.11,183.3333,
2023-07-12,8.89,8.955,8.58,8.69,8.69,1329000,354,USD,0.17,0.06,0.11,183.3333,
2023-07-11,8.78,8.85,8.59,8.69,8.69,1605500,355,USD,0.17,0.06,0.11,183.3333,
2023-07-10,8.21,8.78,8.15,8.78,8.78,1369900,356,USD,0.17,0.06,0.11,183.3333,
2023-07-07,8.18,8.39,8.1,8.23,8.23,1158200,359,USD,0.17,0.06,0.11,183.3333,
2023-07-06,8.15,8.179,7.89,8.15,8.15,1480200,360,USD,0.17,0.06,0.11,183.3333,
2023-07-05,8.36,8.415,8.14,8.24,8.24,1118000,361,USD,0.17,0.06,0.11,183.3333,
2023-07-03,8.37,8.52,8.34,8.49,8.49,360100,363,USD,0.17,0.06,0.11,183.3333,
2023-06-30,8.53,8.56,8.295,8.37,8.37,849500,366,USD,0.17,0.06,0.11,183.3333,132716000.00000001
2023-06-29,8.12,8.47,8.08,8.44,8.44,1516700,367,USD,-0.04,-0.02,-0.02,-100,132420800.00000001
2023-06-28,8.06,8.15,7.86,8.1,8.1,955600,368,USD,-0.04,-0.02,-0.02,-100,132420800.00000001
2023-06-27,7.96,8.2,7.89,8.15,8.15,946700,369,USD,-0.04,-0.02,-0.02,-100,132420800.00000001
2023-06-26,7.75,8.145,7.75,7.95,7.95,999700,370,USD,-0.04,-0.02,-0.02,-100,132420800.00000001
