date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-07-31,22.5,23.16,22.5,22.56,22.56,25400,335,USD,0.54,0.74,-0.2,-27.027,
2023-07-28,23.19,23.59,22.31,22.48,22.48,17900,338,USD,0.54,0.74,-0.2,-27.027,
2023-07-27,23.0,23.51,23.0,23.29,23.29,21300,339,USD,0.54,0.74,-0.2,-27.027,
2023-07-26,22.52,23.6,22.52,23.29,23.29,28800,340,USD,0.54,0.74,-0.2,-27.027,
2023-07-25,22.77,23.11,22.54,22.54,22.54,8900,341,USD,0.54,0.74,-0.2,-27.027,
2023-07-24,22.06,22.99,22.0,22.81,22.81,22100,342,USD,0.54,0.74,-0.2,-27.027,
2023-07-21,22.49,22.49,22.0,22.14,22.14,20800,345,USD,0.54,0.74,-0.2,-27.027,
2023-07-20,22.17,22.5,21.87,22.49,22.49,28300,346,USD,0.54,0.74,-0.2,-27.027,
2023-07-19,21.78,22.46,21.78,22.17,22.17,21300,347,USD,0.54,0.74,-0.2,-27.027,
2023-07-18,21.11,21.8,21.11,21.79,21.79,15400,348,USD,0.54,0.74,-0.2,-27.027,
2023-07-17,20.55,21.15,20.55,21.03,21.03,19700,349,USD,0.54,0.74,-0.2,-27.027,
2023-07-14,20.55,20.66,20.4,20.45,20.45,9100,352,USD,0.54,0.74,-0.2,-27.027,
2023-07-13,20.7,20.74,20.55,20.69,20.69,14800,353,USD,0.54,0.74,-0.2,-27.027,
2023-07-12,20.48,20.74,20.3,20.38,20.38,20600,354,USD,0.54,0.74,-0.2,-27.027,
2023-07-11,20.27,20.45,20.1,20.16,20.16,15700,355,USD,0.54,0.74,-0.2,-27.027,
2023-07-10,20.18,20.52,20.05,20.28,20.28,18900,356,USD,0.54,0.74,-0.2,-27.027,
2023-07-07,19.85,20.54,19.85,20.28,20.28,58900,359,USD,0.54,0.74,-0.2,-27.027,
2023-07-06,20.3,20.4,19.67,19.73,19.73,24000,360,USD,0.54,0.74,-0.2,-27.027,
2023-07-05,20.8,20.86,20.35,20.36,20.36,26300,361,USD,0.54,0.74,-0.2,-27.027,
2023-07-03,21.01,21.01,20.53,20.8,20.8,10800,363,USD,0.54,0.74,-0.2,-27.027,
2023-06-30,21.69,21.74,20.64,20.66,20.66,25700,366,USD,0.54,0.74,-0.2,-27.027,14703600
2023-06-29,21.55,21.76,21.44,21.51,21.51,11900,367,USD,1.1,1.06,0.04,3.7736,12830100
2023-06-28,21.48,21.5,21.17,21.33,21.33,13200,368,USD,1.1,1.06,0.04,3.7736,12830100
2023-06-27,21.71,21.98,21.19,21.41,21.41,28100,369,USD,1.1,1.06,0.04,3.7736,12830100
2023-06-26,21.65,21.95,21.31,21.71,21.71,47700,370,USD,1.1,1.06,0.04,3.7736,12830100
2023-06-23,20.4,21.44,20.2,21.36,21.36,129200,373,USD,1.1,1.06,0.04,3.7736,12830100
2023-06-22,20.76,20.85,20.45,20.66,20.66,14500,374,USD,1.1,1.06,0.04,3.7736,12830100
2023-06-21,21.17,21.4,21.0,21.02,21.02,21500,375,USD,1.1,1.06,0.04,3.7736,12830100
2023-06-20,21.14,21.39,20.8,21.15,21.15,28200,376,USD,1.1,1.06,0.04,3.7736,12830100
2023-06-16,21.09,21.37,20.55,21.25,21.25,137300,380,USD,1.1,1.06,0.04,3.7736,12830100
2023-06-15,21.0,21.16,20.84,20.88,20.88,20900,381,USD,1.1,1.06,0.04,3.7736,12830100
2023-06-14,21.2,21.43,20.8,21.0,21.0,34400,382,USD,1.1,1.06,0.04,3.7736,12830100
2023-06-13,20.82,21.31,20.82,21.13,20.93,17200,383,USD,1.1,1.06,0.04,3.7736,12830100
2023-06-12,20.92,21.07,20.59,20.59,20.3951,14100,384,USD,1.1,1.06,0.04,3.7736,12830100
2023-06-09,21.2353,21.2353,20.715,20.76,20.5635,12610,387,USD,1.1,1.06,0.04,3.7736,12830100
2023-06-08,21.74,21.74,21.0,21.455,21.2519,28719,388,USD,1.1,1.06,0.04,3.7736,12830100
2023-06-07,21.05,22.86,21.05,21.67,21.4649,104337,389,USD,1.1,1.06,0.04,3.7736,12830100
2023-06-06,19.66,21.18,19.66,20.97,20.7715,27551,390,USD,1.1,1.06,0.04,3.7736,12830100
2023-06-05,20.07,20.07,19.49,19.56,19.3749,25672,391,USD,1.1,1.06,0.04,3.7736,12830100
2023-06-02,19.19,20.25,19.19,20.25,20.0583,17404,394,USD,1.1,1.06,0.04,3.7736,12830100
2023-06-01,19.05,19.33,18.9299,19.11,18.9291,12222,395,USD,1.1,1.06,0.04,3.7736,12830100
2023-05-31,19.45,19.61,19.01,19.06,18.8796,17183,396,USD,1.1,1.06,0.04,3.7736,12830100
2023-05-30,19.44,19.74,19.42,19.61,19.4244,25526,397,USD,1.1,1.06,0.04,3.7736,12830100
2023-05-26,19.21,19.8726,19.2,19.47,19.2857,10204,401,USD,1.1,1.06,0.04,3.7736,12830100
2023-05-25,19.44,19.75,19.2,19.26,19.0777,7514,402,USD,1.1,1.06,0.04,3.7736,12830100
2023-05-24,19.48,19.905,19.39,19.485,19.3006,27058,403,USD,1.1,1.06,0.04,3.7736,12830100
2023-05-23,19.48,20.0,19.48,19.53,19.3451,19038,404,USD,1.1,1.06,0.04,3.7736,12830100
2023-05-22,19.43,19.55,18.91,19.49,19.3055,21645,405,USD,1.1,1.06,0.04,3.7736,12830100
2023-05-19,19.42,19.66,19.09,19.21,19.0282,21159,408,USD,1.1,1.06,0.04,3.7736,12830100
2023-05-18,19.23,19.29,18.79,19.19,19.0084,26087,409,USD,1.1,1.06,0.04,3.7736,12830100
2023-05-17,18.45,19.22,18.24,19.11,18.9291,44253,410,USD,1.1,1.06,0.04,3.7736,12830100
2023-05-16,18.0,18.54,17.91,18.22,18.0475,34310,411,USD,1.1,1.06,0.04,3.7736,12830100
2023-05-15,17.48,18.7,17.06,17.85,17.681,14667,412,USD,1.1,1.06,0.04,3.7736,12830100
2023-05-12,17.98,18.61,17.37,17.6,17.4334,13227,415,USD,1.1,1.06,0.04,3.7736,12830100
2023-05-11,17.94,18.1975,17.64,17.98,17.8098,24026,416,USD,1.1,1.06,0.04,3.7736,12830100
2023-05-10,18.17,18.22,17.8,17.94,17.7702,31624,417,USD,1.1,1.06,0.04,3.7736,12830100
2023-05-09,17.61,18.66,17.34,17.88,17.7108,24897,418,USD,1.1,1.06,0.04,3.7736,12830100
2023-05-08,18.4,18.4,17.67,17.72,17.5523,21873,419,USD,1.1,1.06,0.04,3.7736,12830100
2023-05-05,18.19,18.3,17.83,18.2,18.0277,32278,422,USD,1.1,1.06,0.04,3.7736,12830100
2023-05-04,18.5,18.66,17.61,17.73,17.5622,57245,423,USD,1.1,1.06,0.04,3.7736,12830100
2023-05-03,18.6,18.96,18.56,18.56,18.3843,37496,424,USD,1.1,1.06,0.04,3.7736,12830100
2023-05-02,19.385,19.385,18.45,18.68,18.5032,32287,425,USD,1.1,1.06,0.04,3.7736,12830100
2023-05-01,19.59,19.7198,19.2,19.53,19.3451,26184,426,USD,1.1,1.06,0.04,3.7736,12830100
2023-04-28,19.59,19.5999,19.34,19.43,19.2461,18571,429,USD,1.1,1.06,0.04,3.7736,12830100
2023-04-27,19.283,19.585,19.155,19.55,19.365,21710,430,USD,1.1,1.06,0.04,3.7736,12830100
2023-04-26,18.89,19.05,18.49,18.83,18.6518,23898,431,USD,1.1,1.06,0.04,3.7736,12830100
2023-04-25,19.11,19.4,18.89,18.92,18.7409,9613,432,USD,1.1,1.06,0.04,3.7736,12830100
2023-04-24,19.0,19.68,19.0,19.23,19.048,17860,433,USD,1.1,1.06,0.04,3.7736,12830100
