date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-07-31,21.22,21.635,21.1,21.32,21.32,808700,335,USD,-0.64,-0.73,0.09,12.3288,
2023-07-28,21.3,22.11,21.22,21.23,21.23,794600,338,USD,-0.64,-0.73,0.09,12.3288,
2023-07-27,22.23,22.31,21.22,21.3,21.3,828800,339,USD,-0.64,-0.73,0.09,12.3288,
2023-07-26,21.77,21.97,21.41,21.63,21.63,535500,340,USD,-0.64,-0.73,0.09,12.3288,
2023-07-25,22.05,22.885,21.58,21.66,21.66,690500,341,USD,-0.64,-0.73,0.09,12.3288,
2023-07-24,23.0,23.55,20.81,21.77,21.77,2352600,342,USD,-0.64,-0.73,0.09,12.3288,
2023-07-21,21.52,21.73,21.145,21.26,21.26,427500,345,USD,-0.64,-0.73,0.09,12.3288,
2023-07-20,21.8,21.88,20.91,21.37,21.37,657500,346,USD,-0.64,-0.73,0.09,12.3288,
2023-07-19,21.81,22.01,21.285,21.75,21.75,495600,347,USD,-0.64,-0.73,0.09,12.3288,
2023-07-18,21.57,22.06,21.19,21.63,21.63,712200,348,USD,-0.64,-0.73,0.09,12.3288,
2023-07-17,21.33,22.06,21.18,21.57,21.57,765500,349,USD,-0.64,-0.73,0.09,12.3288,
2023-07-14,20.43,21.16,20.1,21.15,21.15,578500,352,USD,-0.64,-0.73,0.09,12.3288,
2023-07-13,20.23,20.84,20.23,20.46,20.46,327100,353,USD,-0.64,-0.73,0.09,12.3288,
2023-07-12,20.48,20.5,20.16,20.24,20.24,497000,354,USD,-0.64,-0.73,0.09,12.3288,
2023-07-11,21.34,21.74,20.24,20.29,20.29,736900,355,USD,-0.64,-0.73,0.09,12.3288,
2023-07-10,20.32,20.72,20.1,20.28,20.28,719000,356,USD,-0.64,-0.73,0.09,12.3288,
2023-07-07,20.55,20.8,20.18,20.3,20.3,296100,359,USD,-0.64,-0.73,0.09,12.3288,
2023-07-06,20.77,20.9,20.301,20.55,20.55,706200,360,USD,-0.64,-0.73,0.09,12.3288,
2023-07-05,20.87,21.11,20.59,20.95,20.95,458000,361,USD,-0.64,-0.73,0.09,12.3288,
2023-07-03,21.0,21.12,20.735,20.87,20.87,506500,363,USD,-0.64,-0.73,0.09,12.3288,
2023-06-30,20.7,21.15,20.27,20.93,20.93,916500,366,USD,-0.64,-0.73,0.09,12.3288,69638400
2023-06-29,21.12,21.41,20.395,20.47,20.47,474300,367,USD,-0.59,-0.6,0.01,1.6667,69438900
2023-06-28,21.09,21.27,20.023,21.17,21.17,627600,368,USD,-0.59,-0.6,0.01,1.6667,69438900
2023-06-27,21.08,21.21,20.59,20.99,20.99,581847,369,USD,-0.59,-0.6,0.01,1.6667,69438900
2023-06-26,21.24,21.57,20.87,21.0,21.0,625416,370,USD,-0.59,-0.6,0.01,1.6667,69438900
2023-06-23,21.18,21.18,19.92,20.92,20.92,2316900,373,USD,-0.59,-0.6,0.01,1.6667,69438900
2023-06-22,21.82,21.9,21.055,21.32,21.32,563700,374,USD,-0.59,-0.6,0.01,1.6667,69438900
2023-06-21,21.43,22.008,21.085,21.82,21.82,603800,375,USD,-0.59,-0.6,0.01,1.6667,69438900
2023-06-20,20.88,21.63,20.43,21.43,21.43,934000,376,USD,-0.59,-0.6,0.01,1.6667,69438900
2023-06-16,21.75,21.75,20.65,20.95,20.95,2206200,380,USD,-0.59,-0.6,0.01,1.6667,69438900
2023-06-15,21.69,21.75,21.17,21.33,21.33,929600,381,USD,-0.59,-0.6,0.01,1.6667,69438900
2023-06-14,22.29,22.45,21.505,21.82,21.82,1134700,382,USD,-0.59,-0.6,0.01,1.6667,69438900
2023-06-13,20.81,22.67,20.67,22.31,22.31,1433900,383,USD,-0.59,-0.6,0.01,1.6667,69438900
2023-06-12,21.37,21.775,20.47,20.74,20.74,631600,384,USD,-0.59,-0.6,0.01,1.6667,69438900
2023-06-09,21.34,21.6,20.94,21.16,21.16,561700,387,USD,-0.59,-0.6,0.01,1.6667,69438900
2023-06-08,20.73,21.38,20.455,21.32,21.32,590400,388,USD,-0.59,-0.6,0.01,1.6667,69438900
2023-06-07,21.65,22.02,20.77,20.82,20.82,922900,389,USD,-0.59,-0.6,0.01,1.6667,69438900
2023-06-06,21.26,22.06,21.0,21.71,21.71,1034500,390,USD,-0.59,-0.6,0.01,1.6667,69438900
2023-06-05,20.36,21.21,20.13,21.1,21.1,929100,391,USD,-0.59,-0.6,0.01,1.6667,69438900
2023-06-02,20.25,20.56,19.99,20.47,20.47,1129200,394,USD,-0.59,-0.6,0.01,1.6667,69438900
2023-06-01,19.96,20.44,19.745,20.17,20.17,3336000,395,USD,-0.59,-0.6,0.01,1.6667,69438900
2023-05-31,19.99,20.47,19.8,19.97,19.97,1168500,396,USD,-0.59,-0.6,0.01,1.6667,69438900
2023-05-30,19.86,20.215,19.63,19.91,19.91,856000,397,USD,-0.59,-0.6,0.01,1.6667,69438900
2023-05-26,20.22,20.56,19.84,20.0,20.0,742400,401,USD,-0.59,-0.6,0.01,1.6667,69438900
2023-05-25,21.24,21.24,20.1,20.33,20.33,971400,402,USD,-0.59,-0.6,0.01,1.6667,69438900
2023-05-24,21.8,22.0,21.2,21.39,21.39,1272200,403,USD,-0.59,-0.6,0.01,1.6667,69438900
2023-05-23,22.31,23.05,21.605,21.9,21.9,1137000,404,USD,-0.59,-0.6,0.01,1.6667,69438900
2023-05-22,21.85,22.26,21.64,22.26,22.26,1051000,405,USD,-0.59,-0.6,0.01,1.6667,69438900
2023-05-19,21.51,21.89,21.27,21.69,21.69,728800,408,USD,-0.59,-0.6,0.01,1.6667,69438900
2023-05-18,21.37,21.79,20.73,21.25,21.25,1033900,409,USD,-0.59,-0.6,0.01,1.6667,69438900
2023-05-17,21.23,21.95,20.945,21.5,21.5,1212300,410,USD,-0.59,-0.6,0.01,1.6667,69438900
2023-05-16,20.95,21.24,20.53,21.11,21.11,991100,411,USD,-0.59,-0.6,0.01,1.6667,69438900
2023-05-15,21.22,21.82,21.12,21.15,21.15,746100,412,USD,-0.59,-0.6,0.01,1.6667,69438900
2023-05-12,20.56,21.09,20.26,21.07,21.07,497600,415,USD,-0.59,-0.6,0.01,1.6667,69438900
2023-05-11,20.15,20.5,19.95,20.44,20.44,556300,416,USD,-0.59,-0.6,0.01,1.6667,69438900
2023-05-10,21.89,22.16,20.34,20.37,20.37,689700,417,USD,-0.59,-0.6,0.01,1.6667,69438900
2023-05-09,21.69,23.135,20.78,21.62,21.62,1440600,418,USD,-0.59,-0.6,0.01,1.6667,69438900
2023-05-08,20.02,20.3,19.87,20.29,20.29,893200,419,USD,-0.59,-0.6,0.01,1.6667,69438900
2023-05-05,20.19,20.52,19.96,20.06,20.06,742100,422,USD,-0.59,-0.6,0.01,1.6667,69438900
2023-05-04,20.24,20.242,19.55,20.08,20.08,583700,423,USD,-0.59,-0.6,0.01,1.6667,69438900
2023-05-03,19.98,20.8,19.96,20.38,20.38,1402400,424,USD,-0.59,-0.6,0.01,1.6667,69438900
2023-05-02,20.86,20.87,19.65,19.79,19.79,842500,425,USD,-0.59,-0.6,0.01,1.6667,69438900
2023-05-01,20.59,21.23,20.46,21.04,21.04,915900,426,USD,-0.59,-0.6,0.01,1.6667,69438900
2023-04-28,20.38,20.77,20.21,20.55,20.55,560700,429,USD,-0.59,-0.6,0.01,1.6667,69438900
2023-04-27,20.97,21.5,20.36,20.38,20.38,537400,430,USD,-0.59,-0.6,0.01,1.6667,69438900
2023-04-26,21.08,21.37,20.69,20.81,20.81,488500,431,USD,-0.59,-0.6,0.01,1.6667,69438900
2023-04-25,21.13,21.43,20.91,21.11,21.11,430200,432,USD,-0.59,-0.6,0.01,1.6667,69438900
