date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-07-31,1.55,1.65,1.531,1.63,1.63,2664600,335,USD,-0.23,-0.34,0.11,32.3529,
2023-07-28,1.38,1.43,1.375,1.42,1.42,123900,338,USD,-0.23,-0.34,0.11,32.3529,
2023-07-27,1.43,1.43,1.36,1.39,1.39,205200,339,USD,-0.23,-0.34,0.11,32.3529,
2023-07-26,1.4,1.44,1.4,1.42,1.42,172200,340,USD,-0.23,-0.34,0.11,32.3529,
2023-07-25,1.44,1.44,1.4,1.41,1.41,150100,341,USD,-0.23,-0.34,0.11,32.3529,
2023-07-24,1.44,1.46,1.4,1.45,1.45,293000,342,USD,-0.23,-0.34,0.11,32.3529,
2023-07-21,1.47,1.48,1.42,1.45,1.45,247800,345,USD,-0.23,-0.34,0.11,32.3529,
2023-07-20,1.48,1.5,1.45,1.46,1.46,165300,346,USD,-0.23,-0.34,0.11,32.3529,
2023-07-19,1.5,1.51,1.46,1.48,1.48,77900,347,USD,-0.23,-0.34,0.11,32.3529,
2023-07-18,1.51,1.524,1.49,1.5,1.5,107100,348,USD,-0.23,-0.34,0.11,32.3529,
2023-07-17,1.5,1.53,1.48,1.51,1.51,154900,349,USD,-0.23,-0.34,0.11,32.3529,
2023-07-14,1.52,1.53,1.49,1.51,1.51,418200,352,USD,-0.23,-0.34,0.11,32.3529,
2023-07-13,1.51,1.53,1.5,1.52,1.52,137700,353,USD,-0.23,-0.34,0.11,32.3529,
2023-07-12,1.56,1.56,1.5,1.51,1.51,151500,354,USD,-0.23,-0.34,0.11,32.3529,
2023-07-11,1.49,1.56,1.47,1.55,1.55,272500,355,USD,-0.23,-0.34,0.11,32.3529,
2023-07-10,1.45,1.5,1.45,1.49,1.49,83800,356,USD,-0.23,-0.34,0.11,32.3529,
2023-07-07,1.43,1.473,1.41,1.46,1.46,166400,359,USD,-0.23,-0.34,0.11,32.3529,
2023-07-06,1.46,1.46,1.42,1.43,1.43,140100,360,USD,-0.23,-0.34,0.11,32.3529,
