date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-07-31,47.13,47.31,46.65,46.9,46.9,64300,335,USD,1.3,1.11,0.19,17.1171,
2023-07-28,47.39,47.71,47.09,47.3,46.98,51900,338,USD,1.3,1.11,0.19,17.1171,
2023-07-27,48.08,48.26,46.95,47.13,46.8112,44731,339,USD,1.3,1.11,0.19,17.1171,
2023-07-26,46.43,48.24,46.43,47.82,47.4965,55226,340,USD,1.3,1.11,0.19,17.1171,
2023-07-25,45.48,47.0,45.48,46.13,45.8179,54823,341,USD,1.3,1.11,0.19,17.1171,
2023-07-24,45.45,46.47,44.811,45.49,45.1822,98857,342,USD,1.3,1.11,0.19,17.1171,
2023-07-21,47.03,47.835,45.115,45.38,45.073,77334,345,USD,1.3,1.11,0.19,17.1171,
2023-07-20,45.66,45.67,44.93,45.67,45.361,80097,346,USD,1.3,1.11,0.19,17.1171,
2023-07-19,44.94,45.84,44.94,45.21,44.9041,75145,347,USD,1.3,1.11,0.19,17.1171,
2023-07-18,43.74,44.9,43.74,44.75,44.4473,64366,348,USD,1.3,1.11,0.19,17.1171,
2023-07-17,42.9,44.05,42.9,43.53,43.2355,36559,349,USD,1.3,1.11,0.19,17.1171,
2023-07-14,43.74,43.74,42.41,43.03,42.7389,51047,352,USD,1.3,1.11,0.19,17.1171,
2023-07-13,43.27,43.74,43.045,43.34,43.0468,41703,353,USD,1.3,1.11,0.19,17.1171,
2023-07-12,43.22,43.6,42.775,42.93,42.6396,56692,354,USD,1.3,1.11,0.19,17.1171,
2023-07-11,42.57,42.96,42.06,42.42,42.133,31911,355,USD,1.3,1.11,0.19,17.1171,
2023-07-10,42.15,42.97,42.07,42.37,42.0834,31673,356,USD,1.3,1.11,0.19,17.1171,
2023-07-07,41.69,42.84,41.69,42.33,42.0436,32940,359,USD,1.3,1.11,0.19,17.1171,
2023-07-06,41.82,41.82,41.31,41.69,41.408,46202,360,USD,1.3,1.11,0.19,17.1171,
2023-07-05,42.75,42.8748,42.17,42.25,41.9642,47165,361,USD,1.3,1.11,0.19,17.1171,
2023-07-03,41.92,43.32,41.8,42.99,42.6992,25601,363,USD,1.3,1.11,0.19,17.1171,
2023-06-30,42.99,42.99,41.82,41.93,41.6463,48538,366,USD,1.3,1.11,0.19,17.1171,24686400
2023-06-29,42.43,43.06,42.43,42.58,42.2919,36939,367,USD,1.25,1.25,0,0,24687100
2023-06-28,42.14,42.785,41.64,42.14,41.8549,32932,368,USD,1.25,1.25,0,0,24687100
2023-06-27,42.22,42.875,41.985,42.3,42.0138,43867,369,USD,1.25,1.25,0,0,24687100
2023-06-26,41.96,43.045,41.96,42.19,41.9046,58426,370,USD,1.25,1.25,0,0,24687100
2023-06-23,42.31,43.33,41.57,41.88,41.5967,217027,373,USD,1.25,1.25,0,0,24687100
2023-06-22,43.42,43.42,42.36,42.84,42.5502,44319,374,USD,1.25,1.25,0,0,24687100
2023-06-21,44.12,44.22,43.39,43.4,43.1064,31778,375,USD,1.25,1.25,0,0,24687100
2023-06-20,45.2,45.49,44.12,44.16,43.8612,58363,376,USD,1.25,1.25,0,0,24687100
2023-06-16,46.48,46.48,45.02,45.26,44.9538,94156,380,USD,1.25,1.25,0,0,24687100
2023-06-15,45.2,46.42,45.13,46.11,45.7981,42489,381,USD,1.25,1.25,0,0,24687100
2023-06-14,46.73,47.12,45.53,45.67,45.361,54709,382,USD,1.25,1.25,0,0,24687100
2023-06-13,45.89,46.57,45.89,46.56,46.245,53836,383,USD,1.25,1.25,0,0,24687100
2023-06-12,46.03,46.585,45.38,45.62,45.3114,47883,384,USD,1.25,1.25,0,0,24687100
2023-06-09,46.28,46.465,45.61,45.82,45.51,35885,387,USD,1.25,1.25,0,0,24687100
2023-06-08,47.02,47.02,45.595,46.61,46.2947,68476,388,USD,1.25,1.25,0,0,24687100
2023-06-07,45.78,47.94,43.965,47.38,47.0595,91726,389,USD,1.25,1.25,0,0,24687100
2023-06-06,42.92,45.71,42.92,45.5,45.1922,73057,390,USD,1.25,1.25,0,0,24687100
2023-06-05,44.26,44.26,42.47,43.04,42.7488,37365,391,USD,1.25,1.25,0,0,24687100
2023-06-02,42.29,44.4,42.01,44.4,44.0996,62458,394,USD,1.25,1.25,0,0,24687100
2023-06-01,41.22,42.32,40.96,41.85,41.5669,36180,395,USD,1.25,1.25,0,0,24687100
2023-05-31,42.32,42.32,40.81,41.13,40.8517,54572,396,USD,1.25,1.25,0,0,24687100
2023-05-30,42.66,42.67,42.09,42.27,41.984,47505,397,USD,1.25,1.25,0,0,24687100
2023-05-26,42.36,42.67,41.88,42.66,42.3714,35443,401,USD,1.25,1.25,0,0,24687100
2023-05-25,42.81,43.03,42.01,42.17,41.8847,54405,402,USD,1.25,1.25,0,0,24687100
2023-05-24,43.24,43.24,42.6503,43.06,42.7687,63698,403,USD,1.25,1.25,0,0,24687100
2023-05-23,42.25,43.97,42.12,43.27,42.9773,78633,404,USD,1.25,1.25,0,0,24687100
2023-05-22,41.86,42.21,41.385,42.14,41.8549,56396,405,USD,1.25,1.25,0,0,24687100
2023-05-19,42.94,42.96,41.0,41.55,41.2689,75243,408,USD,1.25,1.25,0,0,24687100
2023-05-18,43.57,43.57,42.3,42.37,42.0834,103230,409,USD,1.25,1.25,0,0,24687100
2023-05-17,41.93,43.68,41.93,43.67,43.3746,56780,410,USD,1.25,1.25,0,0,24687100
2023-05-16,41.38,41.95,40.8,41.48,41.1994,76352,411,USD,1.25,1.25,0,0,24687100
2023-05-15,41.42,42.1459,41.3,41.48,41.1994,64148,412,USD,1.25,1.25,0,0,24687100
2023-05-12,41.73,41.73,40.78,41.4,41.1199,84311,415,USD,1.25,1.25,0,0,24687100
2023-05-11,40.96,41.84,40.96,41.4,41.1199,60320,416,USD,1.25,1.25,0,0,24687100
2023-05-10,41.64,41.7741,40.44,41.44,41.1596,73369,417,USD,1.25,1.25,0,0,24687100
2023-05-09,41.22,41.64,40.53,41.14,40.8617,60043,418,USD,1.25,1.25,0,0,24687100
2023-05-08,42.58,42.58,41.04,41.35,41.0703,89423,419,USD,1.25,1.25,0,0,24687100
2023-05-05,40.96,42.62,40.87,42.54,42.2522,119175,422,USD,1.25,1.25,0,0,24687100
2023-05-04,40.01,40.61,38.77,40.25,39.9777,84260,423,USD,1.25,1.25,0,0,24687100
2023-05-03,40.54,41.6,40.48,40.52,40.2459,82136,424,USD,1.25,1.25,0,0,24687100
2023-05-02,40.98,41.11,39.3701,40.36,40.087,96435,425,USD,1.25,1.25,0,0,24687100
2023-05-01,41.56,42.1316,41.02,41.2,40.9213,94472,426,USD,1.25,1.25,0,0,24687100
2023-04-28,41.93,42.43,41.52,41.68,41.0802,83334,429,USD,1.25,1.25,0,0,24687100
2023-04-27,41.97,42.21,41.67,41.8,41.1985,49100,430,USD,1.25,1.25,0,0,24687100
2023-04-26,42.41,42.57,41.11,41.84,41.2379,46075,431,USD,1.25,1.25,0,0,24687100
2023-04-25,43.45,43.69,42.48,42.67,42.0559,78061,432,USD,1.25,1.25,0,0,24687100
2023-04-24,43.35,44.32,43.35,43.99,43.3569,80559,433,USD,1.25,1.25,0,0,24687100
2023-04-21,42.85,43.66,42.48,43.61,42.9824,79980,436,USD,1.25,1.25,0,0,24687100
2023-04-20,43.64,43.64,42.89,43.43,42.805,49144,437,USD,1.25,1.25,0,0,24687100
2023-04-19,42.56,43.68,42.5,43.65,43.0218,60211,438,USD,1.25,1.25,0,0,24687100
2023-04-18,43.69,43.73,42.04,42.49,41.8785,83141,439,USD,1.25,1.25,0,0,24687100
2023-04-17,43.11,43.51,42.495,43.5,42.874,95775,440,USD,1.25,1.25,0,0,24687100
2023-04-14,44.2,44.4,43.05,43.36,42.736,72373,443,USD,1.25,1.25,0,0,24687100
2023-04-13,43.57,44.49,43.26,43.91,43.2781,49274,444,USD,1.25,1.25,0,0,24687100
2023-04-12,43.88,43.89,43.17,43.44,42.8149,40226,445,USD,1.25,1.25,0,0,24687100
2023-04-11,44.15,44.15,43.66,43.72,43.0908,54340,446,USD,1.25,1.25,0,0,24687100
2023-04-10,43.38,44.66,43.38,44.18,43.5442,128146,447,USD,1.25,1.25,0,0,24687100
2023-04-06,42.96,43.42,42.85,43.41,42.7853,53532,451,USD,1.25,1.25,0,0,24687100
2023-04-05,42.88,43.4,42.79,43.16,42.5389,52579,452,USD,1.25,1.25,0,0,24687100
2023-04-04,43.51,43.51,42.04,43.11,42.4896,102047,453,USD,1.25,1.25,0,0,24687100
2023-04-03,43.26,43.66,42.91,43.28,42.6572,64157,454,USD,1.25,1.25,0,0,24687100
2023-03-31,42.97,43.52,42.6,43.15,42.529,93499,457,USD,1.25,1.25,0,0,24687100
2023-03-30,43.76,43.96,42.5,42.86,42.2432,47043,458,USD,1.25,1.28,-0.03,-2.3438,24658300
2023-03-29,44.27,44.61,43.38,43.69,43.0613,84661,459,USD,1.25,1.28,-0.03,-2.3438,24658300
2023-03-28,44.82,45.33,43.98,44.12,43.4851,63250,460,USD,1.25,1.28,-0.03,-2.3438,24658300
2023-03-27,45.6,45.94,44.98,45.11,44.4608,45396,461,USD,1.25,1.28,-0.03,-2.3438,24658300
2023-03-24,43.11,45.0,42.85,44.92,44.2736,55942,464,USD,1.25,1.28,-0.03,-2.3438,24658300
2023-03-23,44.38,44.75,42.975,43.5,42.874,61625,465,USD,1.25,1.28,-0.03,-2.3438,24658300
2023-03-22,46.55,47.0,44.13,44.13,43.4949,56470,466,USD,1.25,1.28,-0.03,-2.3438,24658300
2023-03-21,45.78,47.02,45.78,46.65,45.9787,73610,467,USD,1.25,1.28,-0.03,-2.3438,24658300
2023-03-20,45.6,46.74,45.01,45.14,44.4904,91131,468,USD,1.25,1.28,-0.03,-2.3438,24658300
2023-03-17,47.74,47.74,44.97,45.1,44.451,243255,471,USD,1.25,1.28,-0.03,-2.3438,24658300
2023-03-16,46.1,48.84,45.52,48.23,47.5359,82892,472,USD,1.25,1.28,-0.03,-2.3438,24658300
2023-03-15,45.24,46.91,44.06,46.58,45.9097,89469,473,USD,1.25,1.28,-0.03,-2.3438,24658300
2023-03-14,48.04,49.66,46.38,46.96,46.2842,93135,474,USD,1.25,1.28,-0.03,-2.3438,24658300
2023-03-13,46.2,48.26,43.5,46.29,45.6238,124084,475,USD,1.25,1.28,-0.03,-2.3438,24658300
2023-03-10,46.51,47.81,45.2701,47.25,46.57,92259,478,USD,1.25,1.28,-0.03,-2.3438,24658300
2023-03-09,48.69,48.69,46.71,47.0,46.3236,59217,479,USD,1.25,1.28,-0.03,-2.3438,24658300
2023-03-08,49.15,49.3,48.5,48.9,48.1963,44065,480,USD,1.25,1.28,-0.03,-2.3438,24658300
2023-03-07,49.45,49.45,48.88,49.28,48.5708,58402,481,USD,1.25,1.28,-0.03,-2.3438,24658300
2023-03-06,50.0,50.0,49.225,49.51,48.7975,31237,482,USD,1.25,1.28,-0.03,-2.3438,24658300
2023-03-03,49.45,49.9,49.05,49.75,49.0341,37674,485,USD,1.25,1.28,-0.03,-2.3438,24658300
2023-03-02,49.27,49.62,48.97,49.41,48.6989,55228,486,USD,1.25,1.28,-0.03,-2.3438,24658300
