date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-07-31,2.95,3.11,2.93,3.0,3.0,103900,335,USD,-0.02,-0.08,0.06,75,
2023-07-28,2.85,2.99,2.8,2.9,2.9,45400,338,USD,-0.02,-0.08,0.06,75,
2023-07-27,3.04,3.04,2.75,2.8,2.8,181500,339,USD,-0.02,-0.08,0.06,75,
2023-07-26,3.01,3.06,2.95,2.98,2.98,53700,340,USD,-0.02,-0.08,0.06,75,
2023-07-25,3.03,3.09,3.0,3.0,3.0,61000,341,USD,-0.02,-0.08,0.06,75,
2023-07-24,3.09,3.12,3.01,3.04,3.04,49300,342,USD,-0.02,-0.08,0.06,75,
2023-07-21,3.08,3.12,3.0,3.03,3.03,66500,345,USD,-0.02,-0.08,0.06,75,
2023-07-20,2.98,3.15,2.98,3.08,3.08,130200,346,USD,-0.02,-0.08,0.06,75,
2023-07-19,3.18,3.25,3.06,3.1,3.1,85100,347,USD,-0.02,-0.08,0.06,75,
2023-07-18,3.15,3.28,3.11,3.18,3.18,57800,348,USD,-0.02,-0.08,0.06,75,
2023-07-17,3.1,3.375,3.1,3.12,3.12,128300,349,USD,-0.02,-0.08,0.06,75,
2023-07-14,3.5,3.59,2.95,3.09,3.09,472600,352,USD,-0.02,-0.08,0.06,75,
2023-07-13,3.39,3.6,3.37,3.52,3.52,59400,353,USD,-0.02,-0.08,0.06,75,
2023-07-12,3.44,3.47,3.28,3.37,3.37,78400,354,USD,-0.02,-0.08,0.06,75,
2023-07-11,3.52,3.6,3.32,3.37,3.37,92600,355,USD,-0.02,-0.08,0.06,75,
2023-07-10,3.28,3.64,3.26,3.53,3.53,268400,356,USD,-0.02,-0.08,0.06,75,
2023-07-07,3.19,3.39,3.11,3.28,3.28,177700,359,USD,-0.02,-0.08,0.06,75,
2023-07-06,3.29,3.29,3.05,3.16,3.16,101600,360,USD,-0.02,-0.08,0.06,75,
2023-07-05,3.24,3.4,3.2,3.31,3.31,119300,361,USD,-0.02,-0.08,0.06,75,
2023-07-03,3.13,3.27,3.13,3.23,3.23,53600,363,USD,-0.02,-0.08,0.06,75,
2023-06-30,3.28,3.39,3.1,3.15,3.15,150500,366,USD,-0.02,-0.08,0.06,75,16249800
2023-06-29,3.03,3.45,3.03,3.28,3.28,183900,367,USD,-0.12,0.13,-0.25,-192.3077,16245300
2023-06-28,2.81,3.07,2.81,3.04,3.04,128300,368,USD,-0.12,0.13,-0.25,-192.3077,16245300
2023-06-27,2.88,2.89,2.803,2.83,2.83,57500,369,USD,-0.12,0.13,-0.25,-192.3077,16245300
2023-06-26,2.81,2.898,2.81,2.87,2.87,37800,370,USD,-0.12,0.13,-0.25,-192.3077,16245300
2023-06-23,2.88,2.97,2.78,2.78,2.78,298200,373,USD,-0.12,0.13,-0.25,-192.3077,16245300
2023-06-22,2.96,2.98,2.88,2.9,2.9,33600,374,USD,-0.12,0.13,-0.25,-192.3077,16245300
2023-06-21,2.94,3.03,2.88,2.98,2.98,28500,375,USD,-0.12,0.13,-0.25,-192.3077,16245300
2023-06-20,2.92,2.97,2.86,2.94,2.94,45900,376,USD,-0.12,0.13,-0.25,-192.3077,16245300
2023-06-16,2.96,2.976,2.85,2.92,2.92,104700,380,USD,-0.12,0.13,-0.25,-192.3077,16245300
2023-06-15,2.92,3.0,2.88,2.97,2.97,60100,381,USD,-0.12,0.13,-0.25,-192.3077,16245300
2023-06-14,3.13,3.13,2.91,2.92,2.92,114000,382,USD,-0.12,0.13,-0.25,-192.3077,16245300
2023-06-13,2.95,3.13,2.95,3.1,3.1,171900,383,USD,-0.12,0.13,-0.25,-192.3077,16245300
2023-06-12,2.86,2.99,2.86,2.95,2.95,107200,384,USD,-0.12,0.13,-0.25,-192.3077,16245300
2023-06-09,2.9,3.0,2.84,2.87,2.87,104400,387,USD,-0.12,0.13,-0.25,-192.3077,16245300
2023-06-08,3.07,3.07,2.89,2.9,2.9,135100,388,USD,-0.12,0.13,-0.25,-192.3077,16245300
2023-06-07,2.81,3.13,2.79,3.09,3.09,244300,389,USD,-0.12,0.13,-0.25,-192.3077,16245300
2023-06-06,2.69,2.845,2.64,2.83,2.83,248400,390,USD,-0.12,0.13,-0.25,-192.3077,16245300
2023-06-05,2.7,2.76,2.65,2.66,2.66,92400,391,USD,-0.12,0.13,-0.25,-192.3077,16245300
2023-06-02,2.78,2.81,2.62,2.7,2.7,510800,394,USD,-0.12,0.13,-0.25,-192.3077,16245300
2023-06-01,2.7,2.765,2.69,2.72,2.72,337300,395,USD,-0.12,0.13,-0.25,-192.3077,16245300
2023-05-31,2.78,2.78,2.67,2.69,2.69,119500,396,USD,-0.12,0.13,-0.25,-192.3077,16245300
2023-05-30,2.67,2.825,2.67,2.77,2.77,171200,397,USD,-0.12,0.13,-0.25,-192.3077,16245300
2023-05-26,2.65,2.73,2.6,2.68,2.68,119500,401,USD,-0.12,0.13,-0.25,-192.3077,16245300
2023-05-25,2.73,2.8,2.61,2.62,2.62,127700,402,USD,-0.12,0.13,-0.25,-192.3077,16245300
2023-05-24,2.85,2.918,2.69,2.72,2.72,192300,403,USD,-0.12,0.13,-0.25,-192.3077,16245300
2023-05-23,2.91,2.985,2.84,2.87,2.87,189800,404,USD,-0.12,0.13,-0.25,-192.3077,16245300
2023-05-22,2.81,2.97,2.81,2.95,2.95,191300,405,USD,-0.12,0.13,-0.25,-192.3077,16245300
2023-05-19,2.92,3.0,2.79,2.8,2.8,225700,408,USD,-0.12,0.13,-0.25,-192.3077,16245300
2023-05-18,3.02,3.04,2.91,2.91,2.91,163100,409,USD,-0.12,0.13,-0.25,-192.3077,16245300
2023-05-17,2.9,3.025,2.892,3.02,3.02,319500,410,USD,-0.12,0.13,-0.25,-192.3077,16245300
2023-05-16,2.83,2.938,2.83,2.905,2.905,159800,411,USD,-0.12,0.13,-0.25,-192.3077,16245300
2023-05-15,2.86,2.92,2.81,2.89,2.89,141900,412,USD,-0.12,0.13,-0.25,-192.3077,16245300
2023-05-12,2.9,2.92,2.81,2.84,2.84,185600,415,USD,-0.12,0.13,-0.25,-192.3077,16245300
