date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-07-31,32.78,34.52,32.78,34.44,34.44,244300,335,USD,0.55,0.47,0.08,17.0213,
2023-07-28,32.95,33.28,32.46,32.81,32.81,202700,338,USD,0.55,0.47,0.08,17.0213,
2023-07-27,33.69,33.91,32.56,32.7,32.7,304400,339,USD,0.55,0.47,0.08,17.0213,
2023-07-26,33.34,33.93,33.17,33.49,33.49,339900,340,USD,0.55,0.47,0.08,17.0213,
2023-07-25,32.71,33.59,32.61,33.35,33.35,212700,341,USD,0.55,0.47,0.08,17.0213,
2023-07-24,31.48,32.84,31.48,32.79,32.79,327200,342,USD,0.55,0.47,0.08,17.0213,
2023-07-21,32.26,32.6,31.23,31.43,31.43,545100,345,USD,0.55,0.47,0.08,17.0213,
2023-07-20,31.93,33.5,31.83,31.85,31.85,453500,346,USD,0.55,0.47,0.08,17.0213,
2023-07-19,35.07,35.67,31.66,31.78,31.78,1076700,347,USD,0.55,0.47,0.08,17.0213,
2023-07-18,34.2,35.19,34.02,34.88,34.88,147900,348,USD,0.55,0.47,0.08,17.0213,
2023-07-17,33.93,34.39,33.82,34.17,34.17,240100,349,USD,0.55,0.47,0.08,17.0213,
2023-07-14,34.27,34.48,33.88,34.19,34.19,142800,352,USD,0.55,0.47,0.08,17.0213,
2023-07-13,33.58,34.7,33.16,34.43,34.43,93300,353,USD,0.55,0.47,0.08,17.0213,
2023-07-12,33.84,34.28,33.45,33.53,33.53,112400,354,USD,0.55,0.47,0.08,17.0213,
2023-07-11,33.0,33.38,32.78,33.35,33.35,110700,355,USD,0.55,0.47,0.08,17.0213,
2023-07-10,32.54,33.44,32.54,32.94,32.94,124700,356,USD,0.55,0.47,0.08,17.0213,
2023-07-07,32.55,32.97,32.14,32.5,32.5,201200,359,USD,0.55,0.47,0.08,17.0213,
2023-07-06,32.71,33.61,31.55,32.56,32.56,190400,360,USD,0.55,0.47,0.08,17.0213,
2023-07-05,33.97,33.97,32.95,33.2,33.2,144500,361,USD,0.55,0.47,0.08,17.0213,
2023-07-03,33.82,34.41,33.82,34.41,34.41,69600,363,USD,0.55,0.47,0.08,17.0213,
2023-06-30,34.25,34.39,33.63,33.84,33.84,151400,366,USD,0.55,0.47,0.08,17.0213,47453000
2023-06-29,33.1,33.94,32.93,33.85,33.85,162300,367,USD,0.78,0.47,0.31,65.9574,47401000
2023-06-28,33.58,33.58,32.92,33.1,33.1,73100,368,USD,0.78,0.47,0.31,65.9574,47401000
2023-06-27,33.29,33.86,32.85,33.58,33.58,81100,369,USD,0.78,0.47,0.31,65.9574,47401000
2023-06-26,32.73,33.39,32.73,33.18,33.18,75900,370,USD,0.78,0.47,0.31,65.9574,47401000
2023-06-23,33.3,33.58,32.65,32.77,32.77,231800,373,USD,0.78,0.47,0.31,65.9574,47401000
2023-06-22,34.01,34.06,33.21,33.74,33.74,167700,374,USD,0.78,0.47,0.31,65.9574,47401000
2023-06-21,34.48,34.58,34.0,34.25,34.25,119400,375,USD,0.78,0.47,0.31,65.9574,47401000
2023-06-20,34.74,34.94,34.04,34.72,34.72,135000,376,USD,0.78,0.47,0.31,65.9574,47401000
2023-06-16,35.2,35.41,34.71,34.97,34.97,372000,380,USD,0.78,0.47,0.31,65.9574,47401000
2023-06-15,34.15,34.86,33.8,34.85,34.85,153300,381,USD,0.78,0.47,0.31,65.9574,47401000
2023-06-14,35.81,36.01,34.0,34.13,34.13,207500,382,USD,0.78,0.47,0.31,65.9574,47401000
2023-06-13,35.97,36.27,35.59,35.69,35.69,161600,383,USD,0.78,0.47,0.31,65.9574,47401000
2023-06-12,35.36,35.97,35.16,35.62,35.62,136100,384,USD,0.78,0.47,0.31,65.9574,47401000
2023-06-09,34.68,35.82,34.62,35.44,35.44,155300,387,USD,0.78,0.47,0.31,65.9574,47401000
2023-06-08,35.77,35.79,34.6,34.66,34.66,128200,388,USD,0.78,0.47,0.31,65.9574,47401000
2023-06-07,34.79,36.04,34.79,35.8,35.8,217300,389,USD,0.78,0.47,0.31,65.9574,47401000
2023-06-06,33.03,34.46,32.81,34.39,34.39,134900,390,USD,0.78,0.47,0.31,65.9574,47401000
