date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-07-31,30.4,31.16,30.32,31.09,31.09,23400,335,USD,0.9,1.01,-0.11,-10.8911,
2023-07-28,30.78,31.22,29.12,30.51,30.51,31900,338,USD,0.9,1.01,-0.11,-10.8911,
2023-07-27,31.64,31.87,31.3,31.59,31.59,34200,339,USD,0.9,1.01,-0.11,-10.8911,
2023-07-26,31.33,31.7,31.28,31.7,31.7,21400,340,USD,0.9,1.01,-0.11,-10.8911,
2023-07-25,31.53,31.76,30.82,31.04,31.04,31700,341,USD,0.9,1.01,-0.11,-10.8911,
2023-07-24,31.65,32.0,31.11,31.66,31.66,27400,342,USD,0.9,1.01,-0.11,-10.8911,
2023-07-21,31.97,31.97,31.53,31.62,31.62,33900,345,USD,0.9,1.01,-0.11,-10.8911,
2023-07-20,31.58,31.98,31.27,31.8,31.8,33100,346,USD,0.9,1.01,-0.11,-10.8911,
2023-07-19,30.52,31.7,30.52,31.67,31.67,29600,347,USD,0.9,1.01,-0.11,-10.8911,
2023-07-18,30.25,30.91,30.09,30.51,30.51,24800,348,USD,0.9,1.01,-0.11,-10.8911,
2023-07-17,29.98,30.56,29.87,29.98,29.98,34400,349,USD,0.9,1.01,-0.11,-10.8911,
2023-07-14,30.33,30.33,29.68,29.98,29.98,22600,352,USD,0.9,1.01,-0.11,-10.8911,
2023-07-13,30.35,30.7,29.76,30.24,30.24,18500,353,USD,0.9,1.01,-0.11,-10.8911,
2023-07-12,31.12,31.65,30.35,30.35,30.35,23300,354,USD,0.9,1.01,-0.11,-10.8911,
2023-07-11,30.24,30.62,29.97,30.6,30.6,24200,355,USD,0.9,1.01,-0.11,-10.8911,
2023-07-10,29.79,30.4,29.0,30.28,30.28,38400,356,USD,0.9,1.01,-0.11,-10.8911,
2023-07-07,29.3,30.4,29.3,30.0,30.0,48100,359,USD,0.9,1.01,-0.11,-10.8911,
2023-07-06,29.26,29.61,28.8,29.46,29.46,31300,360,USD,0.9,1.01,-0.11,-10.8911,
