date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-07-31,1.25,1.36,1.22,1.33,1.33,13066500,335,USD,-0.12,-0.15,0.03,20,
2023-07-28,1.07,1.19,1.07,1.17,1.17,7228000,338,USD,-0.12,-0.15,0.03,20,
2023-07-27,1.16,1.18,1.06,1.08,1.08,4942000,339,USD,-0.12,-0.15,0.03,20,
2023-07-26,1.1,1.17,1.07,1.135,1.135,5399800,340,USD,-0.12,-0.15,0.03,20,
2023-07-25,1.19,1.195,1.11,1.12,1.12,6181500,341,USD,-0.12,-0.15,0.03,20,
2023-07-24,1.17,1.24,1.16,1.185,1.185,5318400,342,USD,-0.12,-0.15,0.03,20,
2023-07-21,1.23,1.25,1.09,1.16,1.16,7263100,345,USD,-0.12,-0.15,0.03,20,
2023-07-20,1.27,1.3,1.19,1.22,1.22,8417600,346,USD,-0.12,-0.15,0.03,20,
2023-07-19,1.1,1.29,1.09,1.26,1.26,17076000,347,USD,-0.12,-0.15,0.03,20,
2023-07-18,1.08,1.12,1.05,1.07,1.07,4067100,348,USD,-0.12,-0.15,0.03,20,
2023-07-17,1.01,1.13,1.0,1.08,1.08,6091200,349,USD,-0.12,-0.15,0.03,20,
2023-07-14,1.14,1.16,0.97,0.989,0.989,14964800,352,USD,-0.12,-0.15,0.03,20,
2023-07-13,1.05,1.115,1.03,1.1,1.1,7452000,353,USD,-0.12,-0.15,0.03,20,
2023-07-12,1.05,1.1,1.005,1.05,1.05,8704300,354,USD,-0.12,-0.15,0.03,20,
2023-07-11,0.93,1.04,0.91,1.02,1.02,12872800,355,USD,-0.12,-0.15,0.03,20,
2023-07-10,0.949,0.949,0.893,0.93,0.93,8411800,356,USD,-0.12,-0.15,0.03,20,
2023-07-07,0.9,0.975,0.9,0.919,0.919,9695100,359,USD,-0.12,-0.15,0.03,20,
2023-07-06,0.934,0.947,0.876,0.897,0.897,7334500,360,USD,-0.12,-0.15,0.03,20,
2023-07-05,0.976,1.0,0.938,0.967,0.967,18319100,361,USD,-0.12,-0.15,0.03,20,
2023-07-03,0.901,0.991,0.9,0.99,0.99,15892000,363,USD,-0.12,-0.15,0.03,20,
2023-06-30,0.802,0.885,0.801,0.872,0.872,26974700,366,USD,-0.12,-0.15,0.03,20,185660300
2023-06-29,0.814,0.825,0.76,0.8,0.8,18856700,367,USD,-0.15,-0.18,0.03,16.6667,167144400
2023-06-28,0.81,0.83,0.772,0.804,0.804,12989900,368,USD,-0.15,-0.18,0.03,16.6667,167144400
2023-06-27,0.8,0.808,0.709,0.797,0.797,20893100,369,USD,-0.15,-0.18,0.03,16.6667,167144400
2023-06-26,0.815,0.84,0.791,0.792,0.792,10660300,370,USD,-0.15,-0.18,0.03,16.6667,167144400
2023-06-23,0.87,0.877,0.785,0.802,0.802,28057900,373,USD,-0.15,-0.18,0.03,16.6667,167144400
2023-06-22,0.93,0.93,0.875,0.876,0.876,10166100,374,USD,-0.15,-0.18,0.03,16.6667,167144400
2023-06-21,0.961,0.97,0.9,0.927,0.927,9495700,375,USD,-0.15,-0.18,0.03,16.6667,167144400
2023-06-20,1.03,1.04,0.92,0.951,0.951,22945800,376,USD,-0.15,-0.18,0.03,16.6667,167144400
2023-06-16,1.11,1.18,1.07,1.07,1.07,17868300,380,USD,-0.15,-0.18,0.03,16.6667,167144400
2023-06-15,0.999,1.18,0.991,1.08,1.08,15326400,381,USD,-0.15,-0.18,0.03,16.6667,167144400
