date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-07-31,20.57,20.86,19.9,20.06,19.8026,15617,335,USD,0.35,0.32,0.03,9.375,
2023-07-28,20.9,20.9,20.42,20.42,20.1579,16317,338,USD,0.35,0.32,0.03,9.375,
2023-07-27,20.9,20.91,20.4638,20.68,20.4146,17715,339,USD,0.35,0.32,0.03,9.375,
2023-07-26,20.06,20.475,19.9685,20.32,20.0592,20394,340,USD,0.35,0.32,0.03,9.375,
2023-07-25,19.5951,20.13,19.56,19.56,19.309,9404,341,USD,0.35,0.32,0.03,9.375,
2023-07-24,19.62,19.835,19.375,19.79,19.536,10220,342,USD,0.35,0.32,0.03,9.375,
2023-07-21,19.86,19.98,19.4267,19.58,19.3287,16618,345,USD,0.35,0.32,0.03,9.375,
2023-07-20,19.88,20.1451,19.55,19.71,19.457,18362,346,USD,0.35,0.32,0.03,9.375,
2023-07-19,19.34,19.88,19.26,19.88,19.6249,14858,347,USD,0.35,0.32,0.03,9.375,
2023-07-18,18.7,19.49,18.7,19.38,19.1313,21208,348,USD,0.35,0.32,0.03,9.375,
2023-07-17,18.33,18.77,18.33,18.64,18.4008,11367,349,USD,0.35,0.32,0.03,9.375,
2023-07-14,18.86,18.86,18.29,18.47,18.233,18185,352,USD,0.35,0.32,0.03,9.375,
2023-07-13,18.695,18.81,18.635,18.81,18.5686,10535,353,USD,0.35,0.32,0.03,9.375,
2023-07-12,18.43,18.53,18.3003,18.37,18.1342,23911,354,USD,0.35,0.32,0.03,9.375,
2023-07-11,18.25,18.4095,18.01,18.1,17.8677,12218,355,USD,0.35,0.32,0.03,9.375,
2023-07-10,18.34,18.87,18.0,18.09,17.8578,18716,356,USD,0.35,0.32,0.03,9.375,
2023-07-07,18.13,18.6499,18.13,18.53,18.2922,63303,359,USD,0.35,0.32,0.03,9.375,
2023-07-06,17.78,18.105,17.78,18.09,17.8578,12220,360,USD,0.35,0.32,0.03,9.375,
2023-07-05,18.75,18.75,18.28,18.4,18.1639,18024,361,USD,0.35,0.32,0.03,9.375,
2023-07-03,18.55,18.86,18.345,18.79,18.5489,7846,363,USD,0.35,0.32,0.03,9.375,
2023-06-30,18.88,18.88,18.2,18.41,18.1737,26550,366,USD,0.35,0.32,0.03,9.375,16756000
2023-06-29,18.3744,18.625,18.3744,18.57,18.3317,14081,367,USD,0.47,0.43,0.04,9.3023,16805000
2023-06-28,18.36,18.4,18.15,18.26,18.0257,14825,368,USD,0.47,0.43,0.04,9.3023,16805000
2023-06-27,18.289,18.57,18.2,18.27,18.0355,18644,369,USD,0.47,0.43,0.04,9.3023,16805000
2023-06-26,18.57,18.72,18.225,18.33,18.0948,32881,370,USD,0.47,0.43,0.04,9.3023,16805000
2023-06-23,17.87,19.02,17.71,18.72,18.4798,193029,373,USD,0.47,0.43,0.04,9.3023,16805000
2023-06-22,18.16,18.28,17.9027,18.07,17.8381,18987,374,USD,0.47,0.43,0.04,9.3023,16805000
2023-06-21,18.651,18.785,18.51,18.51,18.2724,17020,375,USD,0.47,0.43,0.04,9.3023,16805000
2023-06-20,19.9,19.9,18.84,18.89,18.6476,33977,376,USD,0.47,0.43,0.04,9.3023,16805000
2023-06-16,19.13,19.96,18.47,19.96,19.7038,169906,380,USD,0.47,0.43,0.04,9.3023,16805000
2023-06-15,18.52,18.96,18.48,18.96,18.7167,20003,381,USD,0.47,0.43,0.04,9.3023,16805000
2023-06-14,19.0,19.31,18.66,18.66,18.4205,39450,382,USD,0.47,0.43,0.04,9.3023,16805000
2023-06-13,18.6812,19.0,18.6812,18.93,18.6871,21818,383,USD,0.47,0.43,0.04,9.3023,16805000
2023-06-12,19.2,19.65,18.81,18.99,18.7463,37081,384,USD,0.47,0.43,0.04,9.3023,16805000
2023-06-09,19.198,19.3999,19.04,19.13,18.8845,13155,387,USD,0.47,0.43,0.04,9.3023,16805000
2023-06-08,19.45,19.5599,19.1354,19.455,19.2053,19427,388,USD,0.47,0.43,0.04,9.3023,16805000
2023-06-07,18.56,19.61,18.56,19.49,19.2399,56495,389,USD,0.47,0.43,0.04,9.3023,16805000
2023-06-06,17.69,18.82,17.69,18.34,18.1046,37150,390,USD,0.47,0.43,0.04,9.3023,16805000
2023-06-05,18.35,18.3599,17.47,17.69,17.463,65508,391,USD,0.47,0.43,0.04,9.3023,16805000
2023-06-02,17.33,18.54,17.27,18.43,18.1935,40657,394,USD,0.47,0.43,0.04,9.3023,16805000
2023-06-01,16.86,17.2,16.735,17.15,16.9299,21333,395,USD,0.47,0.43,0.04,9.3023,16805000
2023-05-31,17.03,17.03,16.63,16.8,16.5844,29833,396,USD,0.47,0.43,0.04,9.3023,16805000
2023-05-30,17.17,17.19,16.8249,16.98,16.7621,9101,397,USD,0.47,0.43,0.04,9.3023,16805000
2023-05-26,17.17,17.32,17.04,17.21,16.9891,16628,401,USD,0.47,0.43,0.04,9.3023,16805000
2023-05-25,17.23,17.52,17.0,17.09,16.8707,11793,402,USD,0.47,0.43,0.04,9.3023,16805000
2023-05-24,17.24,17.65,17.09,17.23,17.0089,91241,403,USD,0.47,0.43,0.04,9.3023,16805000
2023-05-23,16.99,17.4,16.99,17.15,16.9299,64484,404,USD,0.47,0.43,0.04,9.3023,16805000
2023-05-22,16.3,16.93,16.28,16.93,16.7127,54460,405,USD,0.47,0.43,0.04,9.3023,16805000
2023-05-19,16.63,16.63,16.03,16.11,15.9032,21793,408,USD,0.47,0.43,0.04,9.3023,16805000
2023-05-18,16.2,16.4242,16.1,16.35,16.1402,28970,409,USD,0.47,0.43,0.04,9.3023,16805000
2023-05-17,15.91,16.35,15.8,16.1,15.8934,115387,410,USD,0.47,0.43,0.04,9.3023,16805000
2023-05-16,15.51,15.9338,15.482,15.69,15.4886,37383,411,USD,0.47,0.43,0.04,9.3023,16805000
2023-05-15,15.31,15.64,15.1201,15.47,15.2715,27210,412,USD,0.47,0.43,0.04,9.3023,16805000
2023-05-12,15.5,15.5,15.0357,15.34,15.1431,19557,415,USD,0.47,0.43,0.04,9.3023,16805000
2023-05-11,15.21,15.8399,15.21,15.37,15.1727,43929,416,USD,0.47,0.43,0.04,9.3023,16805000
2023-05-10,15.77,15.855,15.21,15.38,15.1826,55304,417,USD,0.47,0.43,0.04,9.3023,16805000
2023-05-09,15.66,15.7,15.25,15.38,15.1826,35812,418,USD,0.47,0.43,0.04,9.3023,16805000
2023-05-08,16.15,16.2899,15.75,15.78,15.3307,76056,419,USD,0.47,0.43,0.04,9.3023,16805000
